"MD","variable","PLOT_DATE","clim_mean","clim_min","clim_max","clim_sd","q10","q25","q75","q90","value","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","MONTH","clim_max_date","hover_value","hover_band","hover_histmax","hover_mean","AES","NAME","por_start","por_end"
"04-01","TMAX",2001-04-01,8.0578947368421,-1.5,20.3,5.18173242045486,3.9,4.3,12,13.76,3.6,"NA (ECCC AES NA; station_id 27534)",NA,27534,"",4,2010-04-01,"DATE: Apr-01<br>Value: 3.6 °C<br>Anomaly: -4.5 °C<br>Weather station: NA (ECCC AES NA; station_id 27534)","DATE: Apr-01<br><b>Maximum temperature</b><br>10-90 percentile<br>3.9 to 13.8 °C","Historical daily maximum<br>20.3 °C<br>2010-04-01","DATE: Apr-01</b><br>Normal: 8.1 °C<br>Period: 1991-2020","6104027","KEMPTVILLE+CS",2000,2026
"04-01","TMIN",2001-04-01,-2.33684210526316,-10.8,3.3,3.92983043545927,-7.34,-4.7,0.6,1.9,-2.7,"NA (ECCC AES NA; station_id 27534)",NA,27534,"",4,2004-04-01,"DATE: Apr-01<br>Value: -2.7 °C<br>Anomaly: -0.4 °C<br>Weather station: NA (ECCC AES NA; station_id 27534)","DATE: Apr-01<br><b>Minimum temperature</b><br>10-90 percentile<br>-7.3 to 1.9 °C","Historical daily maximum<br>3.3 °C<br>2004-04-01","DATE: Apr-01</b><br>Normal: -2.3 °C<br>Period: 1991-2020","6104027","KEMPTVILLE+CS",2000,2026
"04-01","VPD",2001-04-01,0.604034822047435,0.154602531733364,1.74406737218987,0.392275696004955,0.227838470180388,0.365909975341216,0.720094134695932,1.0739392657927,0.289945698826798,"NA (ECCC AES NA; station_id 27534)",NA,27534,"",4,2010-04-01,"DATE: Apr-01<br>Value: 0.3 kPa<br>Anomaly: -0.3 kPa<br>Weather station: NA (ECCC AES NA; station_id 27534)","DATE: Apr-01<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 1.1 kPa","Historical daily maximum<br>1.7 kPa<br>2010-04-01","DATE: Apr-01</b><br>Normal: 0.6 kPa<br>Period: 1991-2020","6104027","KEMPTVILLE+CS",2000,2026
"04-02","TMAX",2001-04-02,9.06842105263158,1,27.9,6.24758198839794,2.88,5.05,11,15.54,6.9,"NA (ECCC AES NA; station_id 27534)",NA,27534,"",4,2010-04-02,"DATE: Apr-02<br>Value: 6.9 °C<br>Anomaly: -2.2 °C<br>Weather station: NA (ECCC AES NA; station_id 27534)","DATE: Apr-02<br><b>Maximum temperature</b><br>10-90 percentile<br>2.9 to 15.5 °C","Historical daily maximum<br>27.9 °C<br>2010-04-02","DATE: Apr-02</b><br>Normal: 9.1 °C<br>Period: 1991-2020","6104027","KEMPTVILLE+CS",2000,2026
"04-02","TMIN",2001-04-02,-1.74210526315789,-7.8,4.7,3.49210471229564,-6.8,-3.2,0.75,2.24,-2.5,"NA (ECCC AES NA; station_id 27534)",NA,27534,"",4,2007-04-02,"DATE: Apr-02<br>Value: -2.5 °C<br>Anomaly: -0.8 °C<br>Weather station: NA (ECCC AES NA; station_id 27534)","DATE: Apr-02<br><b>Minimum temperature</b><br>10-90 percentile<br>-6.8 to 2.2 °C","Historical daily maximum<br>4.7 °C<br>2007-04-02","DATE: Apr-02</b><br>Normal: -1.7 °C<br>Period: 1991-2020","6104027","KEMPTVILLE+CS",2000,2026
"04-02","VPD",2001-04-02,0.701356575532718,0.115460971982752,2.92153332825612,0.616659528313381,0.18723945683636,0.380010584618356,0.761087698012048,1.15896109671873,0.486792387964031,"NA (ECCC AES NA; station_id 27534)",NA,27534,"",4,2010-04-02,"DATE: Apr-02<br>Value: 0.5 kPa<br>Anomaly: -0.2 kPa<br>Weather station: NA (ECCC AES NA; station_id 27534)","DATE: Apr-02<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 1.2 kPa","Historical daily maximum<br>2.9 kPa<br>2010-04-02","DATE: Apr-02</b><br>Normal: 0.7 kPa<br>Period: 1991-2020","6104027","KEMPTVILLE+CS",2000,2026
"04-03","TMAX",2001-04-03,8.91578947368421,-3.8,28.8,6.79642578924922,2.8,4.7,11,15.1,21.8,"NA (ECCC AES NA; station_id 27534)",NA,27534,"",4,2010-04-03,"DATE: Apr-03<br>Value: 21.8 °C<br>Anomaly: +12.9 °C<br>Weather station: NA (ECCC AES NA; station_id 27534)","DATE: Apr-03<br><b>Maximum temperature</b><br>10-90 percentile<br>2.8 to 15.1 °C","Historical daily maximum<br>28.8 °C<br>2010-04-03","DATE: Apr-03</b><br>Normal: 8.9 °C<br>Period: 1991-2020","6104027","KEMPTVILLE+CS",2000,2026
"04-03","TMIN",2001-04-03,-0.315789473684211,-9.2,12.5,4.82127958555665,-5.08,-3.3,2.5,4.18,2.8,"NA (ECCC AES NA; station_id 27534)",NA,27534,"",4,2010-04-03,"DATE: Apr-03<br>Value: 2.8 °C<br>Anomaly: +3.1 °C<br>Weather station: NA (ECCC AES NA; station_id 27534)","DATE: Apr-03<br><b>Minimum temperature</b><br>10-90 percentile<br>-5.1 to 4.2 °C","Historical daily maximum<br>12.5 °C<br>2010-04-03","DATE: Apr-03</b><br>Normal: -0.3 °C<br>Period: 1991-2020","6104027","KEMPTVILLE+CS",2000,2026
"04-03","VPD",2001-04-03,0.627155122550382,0.156785335867657,2.51013150472229,0.529315194548731,0.198823866450629,0.302019611450604,0.792803151346143,0.973328414831192,1.86479435973328,"NA (ECCC AES NA; station_id 27534)",NA,27534,"",4,2010-04-03,"DATE: Apr-03<br>Value: 1.9 kPa<br>Anomaly: +1.2 kPa<br>Weather station: NA (ECCC AES NA; station_id 27534)","DATE: Apr-03<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 1.0 kPa","Historical daily maximum<br>2.5 kPa<br>2010-04-03","DATE: Apr-03</b><br>Normal: 0.6 kPa<br>Period: 1991-2020","6104027","KEMPTVILLE+CS",2000,2026
"04-04","TMAX",2001-04-04,5.99473684210526,-3.9,18.5,5.49145535093795,-0.1,3.05,8.35,13.74,6.2,"NA (ECCC AES NA; station_id 27534)",NA,27534,"",4,2010-04-04,"DATE: Apr-04<br>Value: 6.2 °C<br>Anomaly: +0.2 °C<br>Weather station: NA (ECCC AES NA; station_id 27534)","DATE: Apr-04<br><b>Maximum temperature</b><br>10-90 percentile<br>-0.1 to 13.7 °C","Historical daily maximum<br>18.5 °C<br>2010-04-04","DATE: Apr-04</b><br>Normal: 6.0 °C<br>Period: 1991-2020","6104027","KEMPTVILLE+CS",2000,2026
"04-04","TMIN",2001-04-04,-2.21052631578947,-9.4,7.5,4.31468998974461,-7.34,-5,1.2,1.54,-1.3,"NA (ECCC AES NA; station_id 27534)",NA,27534,"",4,2010-04-04,"DATE: Apr-04<br>Value: -1.3 °C<br>Anomaly: +0.9 °C<br>Weather station: NA (ECCC AES NA; station_id 27534)","DATE: Apr-04<br><b>Minimum temperature</b><br>10-90 percentile<br>-7.3 to 1.5 °C","Historical daily maximum<br>7.5 °C<br>2010-04-04","DATE: Apr-04</b><br>Normal: -2.2 °C<br>Period: 1991-2020","6104027","KEMPTVILLE+CS",2000,2026
"04-04","VPD",2001-04-04,0.452318714498766,0.0792410952554233,1.09299737563609,0.288047796838218,0.178621019549571,0.226182825446797,0.557238662911717,0.909640879390775,0.392764512282643,"NA (ECCC AES NA; station_id 27534)",NA,27534,"",4,2010-04-04,"DATE: Apr-04<br>Value: 0.4 kPa<br>Anomaly: -0.1 kPa<br>Weather station: NA (ECCC AES NA; station_id 27534)","DATE: Apr-04<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 0.9 kPa","Historical daily maximum<br>1.1 kPa<br>2010-04-04","DATE: Apr-04</b><br>Normal: 0.5 kPa<br>Period: 1991-2020","6104027","KEMPTVILLE+CS",2000,2026
"04-05","TMAX",2001-04-05,5.85263157894737,-1.9,20.1,5.30412506357632,0.0599999999999999,1.85,9.2,10.8,12.2,"NA (ECCC AES NA; station_id 27534)",NA,27534,"",4,2010-04-05,"DATE: Apr-05<br>Value: 12.2 °C<br>Anomaly: +6.3 °C<br>Weather station: NA (ECCC AES NA; station_id 27534)","DATE: Apr-05<br><b>Maximum temperature</b><br>10-90 percentile<br>0.1 to 10.8 °C","Historical daily maximum<br>20.1 °C<br>2010-04-05","DATE: Apr-05</b><br>Normal: 5.9 °C<br>Period: 1991-2020","6104027","KEMPTVILLE+CS",2000,2026
"04-05","TMIN",2001-04-05,-3.53684210526316,-11.8,6.7,4.89820948310205,-10.5,-6.35,-0.2,1.1,0.7,"NA (ECCC AES NA; station_id 27534)",NA,27534,"",4,2010-04-05,"DATE: Apr-05<br>Value: 0.7 °C<br>Anomaly: +4.2 °C<br>Weather station: NA (ECCC AES NA; station_id 27534)","DATE: Apr-05<br><b>Minimum temperature</b><br>10-90 percentile<br>-10.5 to 1.1 °C","Historical daily maximum<br>6.7 °C<br>2010-04-05","DATE: Apr-05</b><br>Normal: -3.5 °C<br>Period: 1991-2020","6104027","KEMPTVILLE+CS",2000,2026
