"MD","variable","PLOT_DATE","clim_mean","clim_min","clim_max","clim_sd","q10","q25","q75","q90","value","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","MONTH","clim_max_date","hover_value","hover_band","hover_histmax","hover_mean","AES","NAME","por_start","por_end"
"04-01","TMAX",2001-04-01,4.26666666666667,-4.2,15.3,5.6086960395771,-2.28,0.325,8.675,12.31,0.6,"NA (ECCC AES NA; station_id 51137)",NA,51137,"",4,1958-04-01,"DATE: Apr-01<br>Value: 0.6 °C<br>Anomaly: -3.7 °C<br>Weather station: NA (ECCC AES NA; station_id 51137)","DATE: Apr-01<br><b>Maximum temperature</b><br>10-90 percentile<br>-2.3 to 12.3 °C","Historical daily maximum<br>15.3 °C<br>1958-04-01","DATE: Apr-01</b><br>Normal: 4.3 °C<br>Period: 1991-2020","6034075","KENORA+A",1953,2026
"04-01","TMIN",2001-04-01,-4.75666666666667,-15.1,3.5,5.79587744886819,-13.62,-9.25,-0.175,1.75,-14.2,"NA (ECCC AES NA; station_id 51137)",NA,51137,"",4,2012-04-01,"DATE: Apr-01<br>Value: -14.2 °C<br>Anomaly: -9.4 °C<br>Weather station: NA (ECCC AES NA; station_id 51137)","DATE: Apr-01<br><b>Minimum temperature</b><br>10-90 percentile<br>-13.6 to 1.8 °C","Historical daily maximum<br>3.5 °C<br>2012-04-01","DATE: Apr-01</b><br>Normal: -4.8 °C<br>Period: 1991-2020","6034075","KENORA+A",1953,2026
"04-01","VPD",2001-04-01,0.423239898628558,0.0942383435967393,0.984970701492441,0.250673838776613,0.13906292247559,0.270070005200508,0.554416486697925,0.857892397827888,0.434513849853828,"NA (ECCC AES NA; station_id 51137)",NA,51137,"",4,1958-04-01,"DATE: Apr-01<br>Value: 0.4 kPa<br>Anomaly: +0.0 kPa<br>Weather station: NA (ECCC AES NA; station_id 51137)","DATE: Apr-01<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.1 to 0.9 kPa","Historical daily maximum<br>1.0 kPa<br>1958-04-01","DATE: Apr-01</b><br>Normal: 0.4 kPa<br>Period: 1991-2020","6034075","KENORA+A",1953,2026
"04-02","TMAX",2001-04-02,3.58666666666667,-9.1,13.9,5.85731098320919,-3.66,-0.175,7.7,11.76,-0.9,"NA (ECCC AES NA; station_id 51137)",NA,51137,"",4,1991-04-02,"DATE: Apr-02<br>Value: -0.9 °C<br>Anomaly: -4.5 °C<br>Weather station: NA (ECCC AES NA; station_id 51137)","DATE: Apr-02<br><b>Maximum temperature</b><br>10-90 percentile<br>-3.7 to 11.8 °C","Historical daily maximum<br>13.9 °C<br>1991-04-02","DATE: Apr-02</b><br>Normal: 3.6 °C<br>Period: 1991-2020","6034075","KENORA+A",1953,2026
"04-02","TMIN",2001-04-02,-5.65666666666667,-19.9,4.2,5.94948177014884,-13.24,-9.375,-1.45,0.320000000000002,-3.8,"NA (ECCC AES NA; station_id 51137)",NA,51137,"",4,2012-04-02,"DATE: Apr-02<br>Value: -3.8 °C<br>Anomaly: +1.9 °C<br>Weather station: NA (ECCC AES NA; station_id 51137)","DATE: Apr-02<br><b>Minimum temperature</b><br>10-90 percentile<br>-13.2 to 0.3 °C","Historical daily maximum<br>4.2 °C<br>2012-04-02","DATE: Apr-02</b><br>Normal: -5.7 °C<br>Period: 1991-2020","6034075","KENORA+A",1953,2026
"04-02","VPD",2001-04-02,0.412547491780571,0.111841766441653,1.03696152101235,0.236798463142339,0.17104183283703,0.260132124970394,0.487096819810042,0.755246535681792,0.110785802763663,"NA (ECCC AES NA; station_id 51137)",NA,51137,"",4,1991-04-02,"DATE: Apr-02<br>Value: 0.1 kPa<br>Anomaly: -0.3 kPa<br>Weather station: NA (ECCC AES NA; station_id 51137)","DATE: Apr-02<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 0.8 kPa","Historical daily maximum<br>1.0 kPa<br>1991-04-02","DATE: Apr-02</b><br>Normal: 0.4 kPa<br>Period: 1991-2020","6034075","KENORA+A",1953,2026
"04-03","TMAX",2001-04-03,3.35,-7.6,16.6,6.50515710536781,-4.25,-1.125,8.6,12.87,6.5,"NA (ECCC AES NA; station_id 51137)",NA,51137,"",4,1991-04-03,"DATE: Apr-03<br>Value: 6.5 °C<br>Anomaly: +3.1 °C<br>Weather station: NA (ECCC AES NA; station_id 51137)","DATE: Apr-03<br><b>Maximum temperature</b><br>10-90 percentile<br>-4.2 to 12.9 °C","Historical daily maximum<br>16.6 °C<br>1991-04-03","DATE: Apr-03</b><br>Normal: 3.4 °C<br>Period: 1991-2020","6034075","KENORA+A",1953,2026
"04-03","TMIN",2001-04-03,-5.96666666666667,-20.2,5.4,6.17197969320487,-13.16,-9.775,-0.95,0.31,-3,"NA (ECCC AES NA; station_id 51137)",NA,51137,"",4,1991-04-03,"DATE: Apr-03<br>Value: -3.0 °C<br>Anomaly: +3.0 °C<br>Weather station: NA (ECCC AES NA; station_id 51137)","DATE: Apr-03<br><b>Minimum temperature</b><br>10-90 percentile<br>-13.2 to 0.3 °C","Historical daily maximum<br>5.4 °C<br>1991-04-03","DATE: Apr-03</b><br>Normal: -6.0 °C<br>Period: 1991-2020","6034075","KENORA+A",1953,2026
"04-03","VPD",2001-04-03,0.423201761735497,0.0894324572656398,0.992182737737509,0.266244081266979,0.150786732674167,0.236789492808085,0.558501902351613,0.829280632478744,0.478350647757749,"NA (ECCC AES NA; station_id 51137)",NA,51137,"",4,1991-04-03,"DATE: Apr-03<br>Value: 0.5 kPa<br>Anomaly: +0.1 kPa<br>Weather station: NA (ECCC AES NA; station_id 51137)","DATE: Apr-03<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 0.8 kPa","Historical daily maximum<br>1.0 kPa<br>1991-04-03","DATE: Apr-03</b><br>Normal: 0.4 kPa<br>Period: 1991-2020","6034075","KENORA+A",1953,2026
"04-04","TMAX",2001-04-04,3.82333333333333,-9,17,6.87437437069773,-3.84,-2.525,9.3,12.63,3.5,"NA (ECCC AES NA; station_id 51137)",NA,51137,"",4,1991-04-04,"DATE: Apr-04<br>Value: 3.5 °C<br>Anomaly: -0.3 °C<br>Weather station: NA (ECCC AES NA; station_id 51137)","DATE: Apr-04<br><b>Maximum temperature</b><br>10-90 percentile<br>-3.8 to 12.6 °C","Historical daily maximum<br>17.0 °C<br>1991-04-04","DATE: Apr-04</b><br>Normal: 3.8 °C<br>Period: 1991-2020","6034075","KENORA+A",1953,2026
"04-04","TMIN",2001-04-04,-6.43333333333333,-20.7,4.1,6.40330374498779,-14.55,-11.1,-2.2,2.24,-1.5,"NA (ECCC AES NA; station_id 51137)",NA,51137,"",4,2021-04-04,"DATE: Apr-04<br>Value: -1.5 °C<br>Anomaly: +4.9 °C<br>Weather station: NA (ECCC AES NA; station_id 51137)","DATE: Apr-04<br><b>Minimum temperature</b><br>10-90 percentile<br>-14.5 to 2.2 °C","Historical daily maximum<br>4.1 °C<br>2021-04-04","DATE: Apr-04</b><br>Normal: -6.4 °C<br>Period: 1991-2020","6034075","KENORA+A",1953,2026
"04-04","VPD",2001-04-04,0.468450125164186,0.157369466841974,1.1187263759053,0.266225755558223,0.189863571969623,0.249626334906937,0.666821503916444,0.834246338148889,0.237829020744661,"NA (ECCC AES NA; station_id 51137)",NA,51137,"",4,1991-04-04,"DATE: Apr-04<br>Value: 0.2 kPa<br>Anomaly: -0.2 kPa<br>Weather station: NA (ECCC AES NA; station_id 51137)","DATE: Apr-04<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 0.8 kPa","Historical daily maximum<br>1.1 kPa<br>1991-04-04","DATE: Apr-04</b><br>Normal: 0.5 kPa<br>Period: 1991-2020","6034075","KENORA+A",1953,2026
