"MD","PLOT_DATE","clim_mean","clim_min","clim_max","q10","q25","q75","q90","PRECIP","PRECIP_CUM","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","hover_bar","pct_normal","hover_value","hover_mean","hover_band25","hover_band10","AES","NAME","por_start","por_end"
"04-01",2001-04-01,1.65238095238095,0,15,0,0,1.8,4.4,0.3,0.3,"KIRKLAND LAKE (ECCC AES 6074207; station_id 55367)","6074207",55367,"KIRKLAND LAKE","DATE: Apr-01<br><b>Daily precipitation</b><br>Value: 0.3 mm<br>Weather station: KIRKLAND LAKE (ECCC AES 6074207; station_id 55367)",18.1556195965418,"DATE: Apr-01<br><b>Cumulative precipitation</b><br>Value: 0.3 mm<br>Anomaly: -1.4 mm<br>Percent of normal: <b>18%</b><br>Weather station: KIRKLAND LAKE (ECCC AES 6074207; station_id 55367)","DATE: Apr-01<br><b>Normal cumulative precipitation</b><br>1.7 mm<br>Period: 1991-2020","DATE: Apr-01<br><b>25-75 percentile</b><br>0.0 to 1.8 mm","DATE: Apr-01<br><b>10-90 percentile</b><br>0.0 to 4.4 mm","6074211","KIRKLAND+LAKE+CS",2000,2026
"04-02",2001-04-02,3.20952380952381,0,15.7,0,0,3.3,12.2,19.7,20,"KIRKLAND LAKE (ECCC AES 6074207; station_id 55367)","6074207",55367,"KIRKLAND LAKE","DATE: Apr-02<br><b>Daily precipitation</b><br>Value: 19.7 mm<br>Weather station: KIRKLAND LAKE (ECCC AES 6074207; station_id 55367)",623.145400593472,"DATE: Apr-02<br><b>Cumulative precipitation</b><br>Value: 20.0 mm<br>Anomaly: +16.8 mm<br>Percent of normal: <b>623%</b><br>Weather station: KIRKLAND LAKE (ECCC AES 6074207; station_id 55367)","DATE: Apr-02<br><b>Normal cumulative precipitation</b><br>3.2 mm<br>Period: 1991-2020","DATE: Apr-02<br><b>25-75 percentile</b><br>0.0 to 3.3 mm","DATE: Apr-02<br><b>10-90 percentile</b><br>0.0 to 12.2 mm","6074211","KIRKLAND+LAKE+CS",2000,2026
"04-03",2001-04-03,4.48571428571429,0,15.7,0,0.8,6.4,12.7,12.3,32.3,"KIRKLAND LAKE (ECCC AES 6074207; station_id 55367)","6074207",55367,"KIRKLAND LAKE","DATE: Apr-03<br><b>Daily precipitation</b><br>Value: 12.3 mm<br>Weather station: KIRKLAND LAKE (ECCC AES 6074207; station_id 55367)",720.063694267516,"DATE: Apr-03<br><b>Cumulative precipitation</b><br>Value: 32.3 mm<br>Anomaly: +27.8 mm<br>Percent of normal: <b>720%</b><br>Weather station: KIRKLAND LAKE (ECCC AES 6074207; station_id 55367)","DATE: Apr-03<br><b>Normal cumulative precipitation</b><br>4.5 mm<br>Period: 1991-2020","DATE: Apr-03<br><b>25-75 percentile</b><br>0.8 to 6.4 mm","DATE: Apr-03<br><b>10-90 percentile</b><br>0.0 to 12.7 mm","6074211","KIRKLAND+LAKE+CS",2000,2026
"04-04",2001-04-04,6.28571428571429,0,19.9,0,0.8,8.8,14.1,17.2,49.5,"KIRKLAND LAKE (ECCC AES 6074207; station_id 55367)","6074207",55367,"KIRKLAND LAKE","DATE: Apr-04<br><b>Daily precipitation</b><br>Value: 17.2 mm<br>Weather station: KIRKLAND LAKE (ECCC AES 6074207; station_id 55367)",787.5,"DATE: Apr-04<br><b>Cumulative precipitation</b><br>Value: 49.5 mm<br>Anomaly: +43.2 mm<br>Percent of normal: <b>788%</b><br>Weather station: KIRKLAND LAKE (ECCC AES 6074207; station_id 55367)","DATE: Apr-04<br><b>Normal cumulative precipitation</b><br>6.3 mm<br>Period: 1991-2020","DATE: Apr-04<br><b>25-75 percentile</b><br>0.8 to 8.8 mm","DATE: Apr-04<br><b>10-90 percentile</b><br>0.0 to 14.1 mm","6074211","KIRKLAND+LAKE+CS",2000,2026
"04-05",2001-04-05,6.86190476190476,0,20.5,0,1.5,10.5,15.7,0.8,50.3,"KIRKLAND LAKE (ECCC AES 6074207; station_id 55367)","6074207",55367,"KIRKLAND LAKE","DATE: Apr-05<br><b>Daily precipitation</b><br>Value: 0.8 mm<br>Weather station: KIRKLAND LAKE (ECCC AES 6074207; station_id 55367)",733.032616238723,"DATE: Apr-05<br><b>Cumulative precipitation</b><br>Value: 50.3 mm<br>Anomaly: +43.4 mm<br>Percent of normal: <b>733%</b><br>Weather station: KIRKLAND LAKE (ECCC AES 6074207; station_id 55367)","DATE: Apr-05<br><b>Normal cumulative precipitation</b><br>6.9 mm<br>Period: 1991-2020","DATE: Apr-05<br><b>25-75 percentile</b><br>1.5 to 10.5 mm","DATE: Apr-05<br><b>10-90 percentile</b><br>0.0 to 15.7 mm","6074211","KIRKLAND+LAKE+CS",2000,2026
"04-06",2001-04-06,7.33333333333333,0,20.5,0,1.8,11.1,15.7,0,50.3,"KIRKLAND LAKE (ECCC AES 6074207; station_id 55367)","6074207",55367,"KIRKLAND LAKE","DATE: Apr-06<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: KIRKLAND LAKE (ECCC AES 6074207; station_id 55367)",685.909090909091,"DATE: Apr-06<br><b>Cumulative precipitation</b><br>Value: 50.3 mm<br>Anomaly: +43.0 mm<br>Percent of normal: <b>686%</b><br>Weather station: KIRKLAND LAKE (ECCC AES 6074207; station_id 55367)","DATE: Apr-06<br><b>Normal cumulative precipitation</b><br>7.3 mm<br>Period: 1991-2020","DATE: Apr-06<br><b>25-75 percentile</b><br>1.8 to 11.1 mm","DATE: Apr-06<br><b>10-90 percentile</b><br>0.0 to 15.7 mm","6074211","KIRKLAND+LAKE+CS",2000,2026
"04-07",2001-04-07,8.94285714285714,0,22.8,0,2.4,14.9,17.8,0,50.3,"KIRKLAND LAKE (ECCC AES 6074207; station_id 55367)","6074207",55367,"KIRKLAND LAKE","DATE: Apr-07<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: KIRKLAND LAKE (ECCC AES 6074207; station_id 55367)",562.460063897764,"DATE: Apr-07<br><b>Cumulative precipitation</b><br>Value: 50.3 mm<br>Anomaly: +41.4 mm<br>Percent of normal: <b>562%</b><br>Weather station: KIRKLAND LAKE (ECCC AES 6074207; station_id 55367)","DATE: Apr-07<br><b>Normal cumulative precipitation</b><br>8.9 mm<br>Period: 1991-2020","DATE: Apr-07<br><b>25-75 percentile</b><br>2.4 to 14.9 mm","DATE: Apr-07<br><b>10-90 percentile</b><br>0.0 to 17.8 mm","6074211","KIRKLAND+LAKE+CS",2000,2026
"04-08",2001-04-08,11.0809523809524,0,27.3,0,3.5,16.3,23.2,1.2,51.5,"KIRKLAND LAKE (ECCC AES 6074207; station_id 55367)","6074207",55367,"KIRKLAND LAKE","DATE: Apr-08<br><b>Daily precipitation</b><br>Value: 1.2 mm<br>Weather station: KIRKLAND LAKE (ECCC AES 6074207; station_id 55367)",464.761495487752,"DATE: Apr-08<br><b>Cumulative precipitation</b><br>Value: 51.5 mm<br>Anomaly: +40.4 mm<br>Percent of normal: <b>465%</b><br>Weather station: KIRKLAND LAKE (ECCC AES 6074207; station_id 55367)","DATE: Apr-08<br><b>Normal cumulative precipitation</b><br>11.1 mm<br>Period: 1991-2020","DATE: Apr-08<br><b>25-75 percentile</b><br>3.5 to 16.3 mm","DATE: Apr-08<br><b>10-90 percentile</b><br>0.0 to 23.2 mm","6074211","KIRKLAND+LAKE+CS",2000,2026
"04-09",2001-04-09,12.4047619047619,0,31.2,0,3.5,19.9,26.7,8.1,59.6,"KIRKLAND LAKE (ECCC AES 6074207; station_id 55367)","6074207",55367,"KIRKLAND LAKE","DATE: Apr-09<br><b>Daily precipitation</b><br>Value: 8.1 mm<br>Weather station: KIRKLAND LAKE (ECCC AES 6074207; station_id 55367)",480.460652591171,"DATE: Apr-09<br><b>Cumulative precipitation</b><br>Value: 59.6 mm<br>Anomaly: +47.2 mm<br>Percent of normal: <b>480%</b><br>Weather station: KIRKLAND LAKE (ECCC AES 6074207; station_id 55367)","DATE: Apr-09<br><b>Normal cumulative precipitation</b><br>12.4 mm<br>Period: 1991-2020","DATE: Apr-09<br><b>25-75 percentile</b><br>3.5 to 19.9 mm","DATE: Apr-09<br><b>10-90 percentile</b><br>0.0 to 26.7 mm","6074211","KIRKLAND+LAKE+CS",2000,2026
"04-10",2001-04-10,14.4761904761905,0,38.4,0,4.1,23.6,27.7,0,59.6,"KIRKLAND LAKE (ECCC AES 6074207; station_id 55367)","6074207",55367,"KIRKLAND LAKE","DATE: Apr-10<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: KIRKLAND LAKE (ECCC AES 6074207; station_id 55367)",411.710526315789,"DATE: Apr-10<br><b>Cumulative precipitation</b><br>Value: 59.6 mm<br>Anomaly: +45.1 mm<br>Percent of normal: <b>412%</b><br>Weather station: KIRKLAND LAKE (ECCC AES 6074207; station_id 55367)","DATE: Apr-10<br><b>Normal cumulative precipitation</b><br>14.5 mm<br>Period: 1991-2020","DATE: Apr-10<br><b>25-75 percentile</b><br>4.1 to 23.6 mm","DATE: Apr-10<br><b>10-90 percentile</b><br>0.0 to 27.7 mm","6074211","KIRKLAND+LAKE+CS",2000,2026
