"variable","MD","PLOT_DATE","clim_mean","clim_sd","clim_max","clim_max_date","value","rec_all_val","rec_all_date","value_record","MONTH","hover_histmax","AES","NAME","por_start","por_end"
"BUI","04-01",2001-04-01,7.825,7.56499614452424,17.6,2012-04-01,NA,107.7,2007-08-02,NA,4,"Daily record reached in 2012","6144478","LONDON+CS",1994,2026
"BUI","04-02",2001-04-02,8.85,7.50755175362337,17.3,2012-04-02,NA,107.7,2007-08-02,NA,4,"Daily record reached in 2012","6144478","LONDON+CS",1994,2026
"BUI","04-03",2001-04-03,9.36,7.73194671476725,18.4,2012-04-03,NA,107.7,2007-08-02,NA,4,"Daily record reached in 2012","6144478","LONDON+CS",1994,2026
"BUI","04-04",2001-04-04,9.84,8.6995976918476,19.6,2012-04-04,NA,107.7,2007-08-02,NA,4,"Daily record reached in 2012","6144478","LONDON+CS",1994,2026
"BUI","04-05",2001-04-05,11.025,10.4866184571895,20.3,2012-04-05,NA,107.7,2007-08-02,NA,4,"Daily record reached in 2012","6144478","LONDON+CS",1994,2026
"BUI","04-06",2001-04-06,10.1333333333333,11.0028784112764,21.9,2012-04-06,NA,107.7,2007-08-02,NA,4,"Daily record reached in 2012","6144478","LONDON+CS",1994,2026
"BUI","04-07",2001-04-07,7.875,10.7167703468287,23.7,2012-04-07,NA,107.7,2007-08-02,NA,4,"Daily record reached in 2012","6144478","LONDON+CS",1994,2026
"BUI","04-08",2001-04-08,6.94285714285714,7.92440473954924,24.2,2012-04-08,NA,107.7,2007-08-02,NA,4,"Daily record reached in 2012","6144478","LONDON+CS",1994,2026
"BUI","04-09",2001-04-09,7.34285714285714,8.3715504623013,25.6,2012-04-09,NA,107.7,2007-08-02,NA,4,"Daily record reached in 2012","6144478","LONDON+CS",1994,2026
"BUI","04-10",2001-04-10,8.6,8.16047384245139,26.1,2012-04-10,NA,107.7,2007-08-02,NA,4,"Daily record reached in 2012","6144478","LONDON+CS",1994,2026
"BUI","04-11",2001-04-11,8.575,7.88502196753892,26.9,2012-04-11,NA,107.7,2007-08-02,NA,4,"Daily record reached in 2012","6144478","LONDON+CS",1994,2026
"BUI","04-12",2001-04-12,9.04444444444444,7.78718676915982,27.9,2012-04-12,NA,107.7,2007-08-02,NA,4,"Daily record reached in 2012","6144478","LONDON+CS",1994,2026
"BUI","04-13",2001-04-13,8.71111111111111,8.57444523634685,29.5,2012-04-13,NA,107.7,2007-08-02,NA,4,"Daily record reached in 2012","6144478","LONDON+CS",1994,2026
"BUI","04-14",2001-04-14,9.39,8.33299332639705,30.5,2012-04-14,NA,107.7,2007-08-02,NA,4,"Daily record reached in 2012","6144478","LONDON+CS",1994,2026
"BUI","04-15",2001-04-15,9.29,6.32744463077754,23.1,2012-04-15,1.1,107.7,2007-08-02,NA,4,"Daily record reached in 2012","6144478","LONDON+CS",1994,2026
"BUI","04-16",2001-04-16,10.11,5.31318067534776,20.4,2005-04-16,1,107.7,2007-08-02,NA,4,"Daily record reached in 2005","6144478","LONDON+CS",1994,2026
"BUI","04-17",2001-04-17,11.5454545454545,5.23361512462727,22.9,2005-04-17,0.9,107.7,2007-08-02,NA,4,"Daily record reached in 2005","6144478","LONDON+CS",1994,2026
"BUI","04-18",2001-04-18,13.2636363636364,5.68494023315509,25.2,2005-04-18,1.7,107.7,2007-08-02,NA,4,"Daily record reached in 2005","6144478","LONDON+CS",1994,2026
"BUI","04-19",2001-04-19,14.9545454545455,6.40474256100331,28.6,2005-04-19,2.2,107.7,2007-08-02,NA,4,"Daily record reached in 2005","6144478","LONDON+CS",1994,2026
"BUI","04-20",2001-04-20,13.5166666666667,5.61925801205645,24.8,2012-04-20,2.6,107.7,2007-08-02,NA,4,"Daily record reached in 2012","6144478","LONDON+CS",1994,2026
