"MD","variable","PLOT_DATE","clim_mean","clim_min","clim_max","clim_sd","q10","q25","q75","q90","value","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","MONTH","clim_max_date","hover_value","hover_band","hover_histmax","hover_mean","AES","NAME","por_start","por_end"
"04-01","TMAX",2001-04-01,10.3944444444444,2.6,22.4,5.49967616396609,3.76,6.15,13.025,17.09,5.5,"NA (ECCC AES NA; station_id 10999)",NA,10999,"",4,2010-04-01,"DATE: Apr-01<br>Value: 5.5 °C<br>Anomaly: -4.9 °C<br>Weather station: NA (ECCC AES NA; station_id 10999)","DATE: Apr-01<br><b>Maximum temperature</b><br>10-90 percentile<br>3.8 to 17.1 °C","Historical daily maximum<br>22.4 °C<br>2010-04-01","DATE: Apr-01</b><br>Normal: 10.4 °C<br>Period: 1991-2020","6144478","LONDON+CS",2002,2026
"04-01","TMIN",2001-04-01,0.188888888888889,-7.3,7.4,3.61791114398234,-4.23,-2.15,2.65,3.69,1.3,"NA (ECCC AES NA; station_id 10999)",NA,10999,"",4,2010-04-01,"DATE: Apr-01<br>Value: 1.3 °C<br>Anomaly: +1.1 °C<br>Weather station: NA (ECCC AES NA; station_id 10999)","DATE: Apr-01<br><b>Minimum temperature</b><br>10-90 percentile<br>-4.2 to 3.7 °C","Historical daily maximum<br>7.4 °C<br>2010-04-01","DATE: Apr-01</b><br>Normal: 0.2 °C<br>Period: 1991-2020","6144478","LONDON+CS",2002,2026
"04-01","VPD",2001-04-01,0.698873009854506,0.162449916301125,1.67937129117933,0.443724293621537,0.235499750587166,0.38561857127881,0.911643473243701,1.28829062133604,0.232165334991168,"NA (ECCC AES NA; station_id 10999)",NA,10999,"",4,2010-04-01,"DATE: Apr-01<br>Value: 0.2 kPa<br>Anomaly: -0.5 kPa<br>Weather station: NA (ECCC AES NA; station_id 10999)","DATE: Apr-01<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 1.3 kPa","Historical daily maximum<br>1.7 kPa<br>2010-04-01","DATE: Apr-01</b><br>Normal: 0.7 kPa<br>Period: 1991-2020","6144478","LONDON+CS",2002,2026
"04-02","TMAX",2001-04-02,10.4111111111111,2.2,24.6,5.49619000537312,5.16,6.125,12.8,16.31,10.9,"NA (ECCC AES NA; station_id 10999)",NA,10999,"",4,2010-04-02,"DATE: Apr-02<br>Value: 10.9 °C<br>Anomaly: +0.5 °C<br>Weather station: NA (ECCC AES NA; station_id 10999)","DATE: Apr-02<br><b>Maximum temperature</b><br>10-90 percentile<br>5.2 to 16.3 °C","Historical daily maximum<br>24.6 °C<br>2010-04-02","DATE: Apr-02</b><br>Normal: 10.4 °C<br>Period: 1991-2020","6144478","LONDON+CS",2002,2026
"04-02","TMIN",2001-04-02,-0.483333333333333,-5.5,9,3.4028102572813,-4.88,-2,0.9,2.14,0.3,"NA (ECCC AES NA; station_id 10999)",NA,10999,"",4,2010-04-02,"DATE: Apr-02<br>Value: 0.3 °C<br>Anomaly: +0.8 °C<br>Weather station: NA (ECCC AES NA; station_id 10999)","DATE: Apr-02<br><b>Minimum temperature</b><br>10-90 percentile<br>-4.9 to 2.1 °C","Historical daily maximum<br>9.0 °C<br>2010-04-02","DATE: Apr-02</b><br>Normal: -0.5 °C<br>Period: 1991-2020","6144478","LONDON+CS",2002,2026
"04-02","VPD",2001-04-02,0.733468067374564,0.265237222327222,1.94502085154443,0.430077176440319,0.303626986183095,0.433996508799645,0.922011171104597,1.22410872246947,0.67974864572039,"NA (ECCC AES NA; station_id 10999)",NA,10999,"",4,2010-04-02,"DATE: Apr-02<br>Value: 0.7 kPa<br>Anomaly: -0.1 kPa<br>Weather station: NA (ECCC AES NA; station_id 10999)","DATE: Apr-02<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.3 to 1.2 kPa","Historical daily maximum<br>1.9 kPa<br>2010-04-02","DATE: Apr-02</b><br>Normal: 0.7 kPa<br>Period: 1991-2020","6144478","LONDON+CS",2002,2026
"04-03","TMAX",2001-04-03,10.1705882352941,0.9,24.6,5.90992435504491,2.26,6.6,12.7,15.14,22.9,"NA (ECCC AES NA; station_id 10999)",NA,10999,"",4,2010-04-03,"DATE: Apr-03<br>Value: 22.9 °C<br>Anomaly: +12.7 °C<br>Weather station: NA (ECCC AES NA; station_id 10999)","DATE: Apr-03<br><b>Maximum temperature</b><br>10-90 percentile<br>2.3 to 15.1 °C","Historical daily maximum<br>24.6 °C<br>2010-04-03","DATE: Apr-03</b><br>Normal: 10.2 °C<br>Period: 1991-2020","6144478","LONDON+CS",2002,2026
"04-03","TMIN",2001-04-03,-0.476470588235294,-5,8.5,3.34804596215552,-3.26,-2.3,-0.3,3.56,3.2,"NA (ECCC AES NA; station_id 10999)",NA,10999,"",4,2010-04-03,"DATE: Apr-03<br>Value: 3.2 °C<br>Anomaly: +3.7 °C<br>Weather station: NA (ECCC AES NA; station_id 10999)","DATE: Apr-03<br><b>Minimum temperature</b><br>10-90 percentile<br>-3.3 to 3.6 °C","Historical daily maximum<br>8.5 °C<br>2010-04-03","DATE: Apr-03</b><br>Normal: -0.5 °C<br>Period: 1991-2020","6144478","LONDON+CS",2002,2026
"04-03","VPD",2001-04-03,0.721313029945577,0.142463445403898,1.98322843863351,0.455560984436085,0.236972463757991,0.397407471276731,0.920335707666598,1.11844901114002,2.02389988322605,"NA (ECCC AES NA; station_id 10999)",NA,10999,"",4,2026-04-03,"DATE: Apr-03<br>Value: 2.0 kPa<br>Anomaly: +1.3 kPa<br>Weather station: NA (ECCC AES NA; station_id 10999)","DATE: Apr-03<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 1.1 kPa","Historical daily maximum<br>2.0 kPa<br>2026-04-03","DATE: Apr-03</b><br>Normal: 0.7 kPa<br>Period: 1991-2020","6144478","LONDON+CS",2002,2026
"04-04","TMAX",2001-04-04,8.02222222222222,-2.1,16.5,5.39232085312127,0.65,4.95,11.525,15.63,14.2,"NA (ECCC AES NA; station_id 10999)",NA,10999,"",4,2010-04-04,"DATE: Apr-04<br>Value: 14.2 °C<br>Anomaly: +6.2 °C<br>Weather station: NA (ECCC AES NA; station_id 10999)","DATE: Apr-04<br><b>Maximum temperature</b><br>10-90 percentile<br>0.7 to 15.6 °C","Historical daily maximum<br>16.5 °C<br>2010-04-04","DATE: Apr-04</b><br>Normal: 8.0 °C<br>Period: 1991-2020","6144478","LONDON+CS",2002,2026
"04-04","TMIN",2001-04-04,-1.46111111111111,-8.4,5.5,3.54618915405536,-5.2,-3.85,1.225,2.51,3.1,"NA (ECCC AES NA; station_id 10999)",NA,10999,"",4,2023-04-04,"DATE: Apr-04<br>Value: 3.1 °C<br>Anomaly: +4.6 °C<br>Weather station: NA (ECCC AES NA; station_id 10999)","DATE: Apr-04<br><b>Minimum temperature</b><br>10-90 percentile<br>-5.2 to 2.5 °C","Historical daily maximum<br>5.5 °C<br>2023-04-04","DATE: Apr-04</b><br>Normal: -1.5 °C<br>Period: 1991-2020","6144478","LONDON+CS",2002,2026
