"MD","variable","PLOT_DATE","clim_mean","clim_min","clim_max","clim_sd","q10","q25","q75","q90","value","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","MONTH","clim_max_date","hover_value","hover_band","hover_histmax","hover_mean","AES","NAME","por_start","por_end"
"04-01","TMAX",2001-04-01,1.48823529411765,-8.8,18.8,6.4156919300397,-5.92,-1.7,4.1,6.72,-9.6,"NA (ECCC AES NA; station_id 55379)",NA,55379,"",4,2010-04-01,"DATE: Apr-01<br>Value: -9.6 °C<br>Anomaly: -11.1 °C<br>Weather station: NA (ECCC AES NA; station_id 55379)","DATE: Apr-01<br><b>Maximum temperature</b><br>10-90 percentile<br>-5.9 to 6.7 °C","Historical daily maximum<br>18.8 °C<br>2010-04-01","DATE: Apr-01</b><br>Normal: 1.5 °C<br>Period: 1991-2020","6075435","MOOSONEE+RCS",2003,2026
"04-01","TMIN",2001-04-01,-11.1705882352941,-27,1.7,6.72307265187228,-18.38,-13.6,-7,-4.42,-28.5,"NA (ECCC AES NA; station_id 55379)",NA,55379,"",4,2010-04-01,"DATE: Apr-01<br>Value: -28.5 °C<br>Anomaly: -17.3 °C<br>Weather station: NA (ECCC AES NA; station_id 55379)","DATE: Apr-01<br><b>Minimum temperature</b><br>10-90 percentile<br>-18.4 to -4.4 °C","Historical daily maximum<br>1.7 °C<br>2010-04-01","DATE: Apr-01</b><br>Normal: -11.2 °C<br>Period: 1991-2020","6075435","MOOSONEE+RCS",2003,2026
"04-01","VPD",2001-04-01,0.456645922799939,0.100331568182216,1.47949045390682,0.311420207631571,0.22393795311106,0.280866354746807,0.518117486165266,0.661936874438205,0.237074750493781,"NA (ECCC AES NA; station_id 55379)",NA,55379,"",4,2010-04-01,"DATE: Apr-01<br>Value: 0.2 kPa<br>Anomaly: -0.2 kPa<br>Weather station: NA (ECCC AES NA; station_id 55379)","DATE: Apr-01<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 0.7 kPa","Historical daily maximum<br>1.5 kPa<br>2010-04-01","DATE: Apr-01</b><br>Normal: 0.5 kPa<br>Period: 1991-2020","6075435","MOOSONEE+RCS",2003,2026
"04-02","TMAX",2001-04-02,3.00625,-11.6,11.1,6.75933613604176,-8.75,3.325,6.35,9,-3.7,"NA (ECCC AES NA; station_id 55379)",NA,55379,"",4,2010-04-02,"DATE: Apr-02<br>Value: -3.7 °C<br>Anomaly: -6.7 °C<br>Weather station: NA (ECCC AES NA; station_id 55379)","DATE: Apr-02<br><b>Maximum temperature</b><br>10-90 percentile<br>-8.8 to 9.0 °C","Historical daily maximum<br>11.1 °C<br>2010-04-02","DATE: Apr-02</b><br>Normal: 3.0 °C<br>Period: 1991-2020","6075435","MOOSONEE+RCS",2003,2026
"04-02","TMIN",2001-04-02,-10.0058823529412,-23.6,1.6,6.95444737094862,-18.6,-14.9,-7,-0.799999999999999,-28.5,"NA (ECCC AES NA; station_id 55379)",NA,55379,"",4,2010-04-02,"DATE: Apr-02<br>Value: -28.5 °C<br>Anomaly: -18.5 °C<br>Weather station: NA (ECCC AES NA; station_id 55379)","DATE: Apr-02<br><b>Minimum temperature</b><br>10-90 percentile<br>-18.6 to -0.8 °C","Historical daily maximum<br>1.6 °C<br>2010-04-02","DATE: Apr-02</b><br>Normal: -10.0 °C<br>Period: 1991-2020","6075435","MOOSONEE+RCS",2003,2026
"04-02","VPD",2001-04-02,0.494323128638479,0.134396250730405,0.995373236618724,0.25108016228915,0.160790830737425,0.283230278173018,0.64667232313989,0.735586425745895,0.406794042421809,"NA (ECCC AES NA; station_id 55379)",NA,55379,"",4,2006-04-02,"DATE: Apr-02<br>Value: 0.4 kPa<br>Anomaly: -0.1 kPa<br>Weather station: NA (ECCC AES NA; station_id 55379)","DATE: Apr-02<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 0.7 kPa","Historical daily maximum<br>1.0 kPa<br>2006-04-02","DATE: Apr-02</b><br>Normal: 0.5 kPa<br>Period: 1991-2020","6075435","MOOSONEE+RCS",2003,2026
"04-03","TMAX",2001-04-03,2.49411764705882,-11,25.3,8.13245585510884,-5.62,-1.1,6.6,8.22,1.4,"NA (ECCC AES NA; station_id 55379)",NA,55379,"",4,2010-04-03,"DATE: Apr-03<br>Value: 1.4 °C<br>Anomaly: -1.1 °C<br>Weather station: NA (ECCC AES NA; station_id 55379)","DATE: Apr-03<br><b>Maximum temperature</b><br>10-90 percentile<br>-5.6 to 8.2 °C","Historical daily maximum<br>25.3 °C<br>2010-04-03","DATE: Apr-03</b><br>Normal: 2.5 °C<br>Period: 1991-2020","6075435","MOOSONEE+RCS",2003,2026
"04-03","TMIN",2001-04-03,-11.0294117647059,-28.7,1.6,8.1488315654671,-23.82,-12.8,-4.8,-3.28,-12.2,"NA (ECCC AES NA; station_id 55379)",NA,55379,"",4,2010-04-03,"DATE: Apr-03<br>Value: -12.2 °C<br>Anomaly: -1.2 °C<br>Weather station: NA (ECCC AES NA; station_id 55379)","DATE: Apr-03<br><b>Minimum temperature</b><br>10-90 percentile<br>-23.8 to -3.3 °C","Historical daily maximum<br>1.6 °C<br>2010-04-03","DATE: Apr-03</b><br>Normal: -11.0 °C<br>Period: 1991-2020","6075435","MOOSONEE+RCS",2003,2026
"04-03","VPD",2001-04-03,0.546780817104942,0.172314092277012,2.5391325163729,0.5387734188697,0.237137881227847,0.304729306914828,0.575409748950262,0.693322523879368,0.43635862683966,"NA (ECCC AES NA; station_id 55379)",NA,55379,"",4,2010-04-03,"DATE: Apr-03<br>Value: 0.4 kPa<br>Anomaly: -0.1 kPa<br>Weather station: NA (ECCC AES NA; station_id 55379)","DATE: Apr-03<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 0.7 kPa","Historical daily maximum<br>2.5 kPa<br>2010-04-03","DATE: Apr-03</b><br>Normal: 0.5 kPa<br>Period: 1991-2020","6075435","MOOSONEE+RCS",2003,2026
"04-04","TMAX",2001-04-04,-0.464705882352941,-11,14,7.80239876387949,-10.68,-9.3,3.8,8.74,-1.6,"NA (ECCC AES NA; station_id 55379)",NA,55379,"",4,2010-04-04,"DATE: Apr-04<br>Value: -1.6 °C<br>Anomaly: -1.1 °C<br>Weather station: NA (ECCC AES NA; station_id 55379)","DATE: Apr-04<br><b>Maximum temperature</b><br>10-90 percentile<br>-10.7 to 8.7 °C","Historical daily maximum<br>14.0 °C<br>2010-04-04","DATE: Apr-04</b><br>Normal: -0.5 °C<br>Period: 1991-2020","6075435","MOOSONEE+RCS",2003,2026
