"variable","MD","PLOT_DATE","clim_mean","clim_sd","clim_max","clim_max_date","value","rec_all_val","rec_all_date","value_record","MONTH","hover_histmax","AES","NAME","por_start","por_end"
"BUI","04-01",2001-04-01,6.3,6.40572660463537,18.9,2012-04-01,NA,140.7,2002-07-18,NA,4,"Daily record reached in 2012","6145504","MOUNT+FOREST+AUT",1994,2026
"BUI","04-02",2001-04-02,6.97142857142857,7.1732638516727,19.9,2012-04-02,NA,140.7,2002-07-18,NA,4,"Daily record reached in 2012","6145504","MOUNT+FOREST+AUT",1994,2026
"BUI","04-03",2001-04-03,8.15555555555556,7.10600293961224,21.1,2012-04-03,NA,140.7,2002-07-18,NA,4,"Daily record reached in 2012","6145504","MOUNT+FOREST+AUT",1994,2026
"BUI","04-04",2001-04-04,6.75555555555556,7.97058829558884,21.9,2012-04-04,NA,140.7,2002-07-18,NA,4,"Daily record reached in 2012","6145504","MOUNT+FOREST+AUT",1994,2026
"BUI","04-05",2001-04-05,7.4375,8.79381885189819,22.3,2012-04-05,NA,140.7,2002-07-18,NA,4,"Daily record reached in 2012","6145504","MOUNT+FOREST+AUT",1994,2026
"BUI","04-06",2001-04-06,7.58571428571429,8.30610790752375,23.4,2012-04-06,NA,140.7,2002-07-18,NA,4,"Daily record reached in 2012","6145504","MOUNT+FOREST+AUT",1994,2026
"BUI","04-07",2001-04-07,8.04285714285714,8.88572959729197,24.8,2012-04-07,NA,140.7,2002-07-18,NA,4,"Daily record reached in 2012","6145504","MOUNT+FOREST+AUT",1994,2026
"BUI","04-08",2001-04-08,5.93333333333333,7.83294325269882,25.3,2012-04-08,NA,140.7,2002-07-18,NA,4,"Daily record reached in 2012","6145504","MOUNT+FOREST+AUT",1994,2026
"BUI","04-09",2001-04-09,5.94444444444445,8.0354077542946,26.3,2012-04-09,NA,140.7,2002-07-18,NA,4,"Daily record reached in 2012","6145504","MOUNT+FOREST+AUT",1994,2026
"BUI","04-10",2001-04-10,7.85,9.34553369262558,26.7,2012-04-10,NA,140.7,2002-07-18,NA,4,"Daily record reached in 2012","6145504","MOUNT+FOREST+AUT",1994,2026
"BUI","04-11",2001-04-11,8.2,9.95565166124247,25.7,2012-04-11,NA,140.7,2002-07-18,NA,4,"Daily record reached in 2012","6145504","MOUNT+FOREST+AUT",1994,2026
"BUI","04-12",2001-04-12,8.1,8.44551162847264,26.6,2012-04-12,NA,140.7,2002-07-18,NA,4,"Daily record reached in 2012","6145504","MOUNT+FOREST+AUT",1994,2026
"BUI","04-13",2001-04-13,6.83333333333333,8.30240928887513,27.8,2012-04-13,NA,140.7,2002-07-18,NA,4,"Daily record reached in 2012","6145504","MOUNT+FOREST+AUT",1994,2026
"BUI","04-14",2001-04-14,7.36,8.26185343746924,29.1,2012-04-14,NA,140.7,2002-07-18,NA,4,"Daily record reached in 2012","6145504","MOUNT+FOREST+AUT",1994,2026
"BUI","04-15",2001-04-15,7.97777777777778,9.2252070136363,29.7,2012-04-15,3.8,140.7,2002-07-18,NA,4,"Daily record reached in 2012","6145504","MOUNT+FOREST+AUT",1994,2026
"BUI","04-16",2001-04-16,8.79,9.13022453174072,31.6,2012-04-16,1.7,140.7,2002-07-18,NA,4,"Daily record reached in 2012","6145504","MOUNT+FOREST+AUT",1994,2026
"BUI","04-17",2001-04-17,8.81818181818182,8.74194694353817,32,2012-04-17,1.2,140.7,2002-07-18,NA,4,"Daily record reached in 2012","6145504","MOUNT+FOREST+AUT",1994,2026
"BUI","04-18",2001-04-18,9.3625,8.43373187464087,33.2,2012-04-18,0.3,140.7,2002-07-18,NA,4,"Daily record reached in 2012","6145504","MOUNT+FOREST+AUT",1994,2026
"BUI","04-19",2001-04-19,9.88235294117647,9.14079012545672,34.6,2012-04-19,0.7,140.7,2002-07-18,NA,4,"Daily record reached in 2012","6145504","MOUNT+FOREST+AUT",1994,2026
"BUI","04-20",2001-04-20,10.52,9.36316491058751,36.8,2012-04-20,1,140.7,2002-07-18,NA,4,"Daily record reached in 2012","6145504","MOUNT+FOREST+AUT",1994,2026
"BUI","04-21",2001-04-21,8.6,7.39687433988168,24.4,2012-04-21,2.2,140.7,2002-07-18,NA,4,"Daily record reached in 2012","6145504","MOUNT+FOREST+AUT",1994,2026
"BUI","04-22",2001-04-22,8.48823529411765,7.65636029332322,25.5,2012-04-22,4,140.7,2002-07-18,NA,4,"Daily record reached in 2012","6145504","MOUNT+FOREST+AUT",1994,2026
"BUI","04-23",2001-04-23,9.08823529411765,8.0152107234418,26.4,2012-04-23,6.5,140.7,2002-07-18,NA,4,"Daily record reached in 2012","6145504","MOUNT+FOREST+AUT",1994,2026
"BUI","04-24",2001-04-24,8.65882352941177,7.53550419875218,23,2008-04-24,8,140.7,2002-07-18,NA,4,"Daily record reached in 2008","6145504","MOUNT+FOREST+AUT",1994,2026
"BUI","04-25",2001-04-25,8.18947368421052,5.91503684001321,24.3,2008-04-25,3,140.7,2002-07-18,NA,4,"Daily record reached in 2008","6145504","MOUNT+FOREST+AUT",1994,2026
"BUI","04-26",2001-04-26,7.545,5.98036040103904,24.7,2008-04-26,5.2,140.7,2002-07-18,NA,4,"Daily record reached in 2008","6145504","MOUNT+FOREST+AUT",1994,2026
