"MD","variable","PLOT_DATE","clim_mean","clim_min","clim_max","clim_sd","q10","q25","q75","q90","value","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","MONTH","clim_max_date","hover_value","hover_band","hover_histmax","hover_mean","AES","NAME","por_start","por_end"
"04-01","TMAX",2001-04-01,7.352,-0.9,23.4,5.39877455230969,0.76,3.6,9.6,12.68,2,"NA (ECCC AES NA; station_id 7844)",NA,7844,"",4,2010-04-01,"DATE: Apr-01<br>Value: 2.0 °C<br>Anomaly: -5.4 °C<br>Weather station: NA (ECCC AES NA; station_id 7844)","DATE: Apr-01<br><b>Maximum temperature</b><br>10-90 percentile<br>0.8 to 12.7 °C","Historical daily maximum<br>23.4 °C<br>2010-04-01","DATE: Apr-01</b><br>Normal: 7.4 °C<br>Period: 1991-2020","6145504","MOUNT+FOREST+AUT",1994,2026
"04-01","TMIN",2001-04-01,-1.828,-10.7,9.9,4.86180007816035,-7.68,-5.8,-0.1,2.88,-2.2,"NA (ECCC AES NA; station_id 7844)",NA,7844,"",4,1999-04-01,"DATE: Apr-01<br>Value: -2.2 °C<br>Anomaly: -0.4 °C<br>Weather station: NA (ECCC AES NA; station_id 7844)","DATE: Apr-01<br><b>Minimum temperature</b><br>10-90 percentile<br>-7.7 to 2.9 °C","Historical daily maximum<br>9.9 °C<br>1999-04-01","DATE: Apr-01</b><br>Normal: -1.8 °C<br>Period: 1991-2020","6145504","MOUNT+FOREST+AUT",1994,2026
"04-01","VPD",2001-04-01,0.526416592828083,0.105410340381279,1.82708442753603,0.33873843246907,0.178457868093951,0.367759076794677,0.640513386734803,0.738361102722546,0.185988192113839,"NA (ECCC AES NA; station_id 7844)",NA,7844,"",4,2010-04-01,"DATE: Apr-01<br>Value: 0.2 kPa<br>Anomaly: -0.3 kPa<br>Weather station: NA (ECCC AES NA; station_id 7844)","DATE: Apr-01<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 0.7 kPa","Historical daily maximum<br>1.8 kPa<br>2010-04-01","DATE: Apr-01</b><br>Normal: 0.5 kPa<br>Period: 1991-2020","6145504","MOUNT+FOREST+AUT",1994,2026
"04-02","TMAX",2001-04-02,7.412,-2.5,25.7,6.36391650898512,1.04,2.4,11.7,13.34,9.7,"NA (ECCC AES NA; station_id 7844)",NA,7844,"",4,2010-04-02,"DATE: Apr-02<br>Value: 9.7 °C<br>Anomaly: +2.3 °C<br>Weather station: NA (ECCC AES NA; station_id 7844)","DATE: Apr-02<br><b>Maximum temperature</b><br>10-90 percentile<br>1.0 to 13.3 °C","Historical daily maximum<br>25.7 °C<br>2010-04-02","DATE: Apr-02</b><br>Normal: 7.4 °C<br>Period: 1991-2020","6145504","MOUNT+FOREST+AUT",1994,2026
"04-02","TMIN",2001-04-02,-1.444,-7.6,12.3,4.71779256291188,-7.16,-3.8,0.3,4.68,-1.4,"NA (ECCC AES NA; station_id 7844)",NA,7844,"",4,2010-04-02,"DATE: Apr-02<br>Value: -1.4 °C<br>Anomaly: +0.0 °C<br>Weather station: NA (ECCC AES NA; station_id 7844)","DATE: Apr-02<br><b>Minimum temperature</b><br>10-90 percentile<br>-7.2 to 4.7 °C","Historical daily maximum<br>12.3 °C<br>2010-04-02","DATE: Apr-02</b><br>Normal: -1.4 °C<br>Period: 1991-2020","6145504","MOUNT+FOREST+AUT",1994,2026
"04-02","VPD",2001-04-02,0.542034633297347,0.063547928079712,1.87173492217808,0.406794957260092,0.170560092019458,0.277893073827342,0.7873941253328,1.01507246399857,0.652195027750639,"NA (ECCC AES NA; station_id 7844)",NA,7844,"",4,2010-04-02,"DATE: Apr-02<br>Value: 0.7 kPa<br>Anomaly: +0.1 kPa<br>Weather station: NA (ECCC AES NA; station_id 7844)","DATE: Apr-02<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 1.0 kPa","Historical daily maximum<br>1.9 kPa<br>2010-04-02","DATE: Apr-02</b><br>Normal: 0.5 kPa<br>Period: 1991-2020","6145504","MOUNT+FOREST+AUT",1994,2026
"04-03","TMAX",2001-04-03,8.22916666666667,-2.8,25.5,6.88744788770101,-0.26,3.425,11.7,15.24,17.7,"NA (ECCC AES NA; station_id 7844)",NA,7844,"",4,2010-04-03,"DATE: Apr-03<br>Value: 17.7 °C<br>Anomaly: +9.5 °C<br>Weather station: NA (ECCC AES NA; station_id 7844)","DATE: Apr-03<br><b>Maximum temperature</b><br>10-90 percentile<br>-0.3 to 15.2 °C","Historical daily maximum<br>25.5 °C<br>2010-04-03","DATE: Apr-03</b><br>Normal: 8.2 °C<br>Period: 1991-2020","6145504","MOUNT+FOREST+AUT",1994,2026
"04-03","TMIN",2001-04-03,-1.34583333333333,-9.5,7.1,3.9769968095522,-4.99,-3.325,-0.3,5.2,0.8,"NA (ECCC AES NA; station_id 7844)",NA,7844,"",4,2010-04-03,"DATE: Apr-03<br>Value: 0.8 °C<br>Anomaly: +2.1 °C<br>Weather station: NA (ECCC AES NA; station_id 7844)","DATE: Apr-03<br><b>Minimum temperature</b><br>10-90 percentile<br>-5.0 to 5.2 °C","Historical daily maximum<br>7.1 °C<br>2010-04-03","DATE: Apr-03</b><br>Normal: -1.3 °C<br>Period: 1991-2020","6145504","MOUNT+FOREST+AUT",1994,2026
"04-03","VPD",2001-04-03,0.624839443038776,0.0884008396755235,2.25459797120011,0.49922236101028,0.177921304829813,0.272383543741871,0.715089834150611,1.17004381396997,1.3780854454748,"NA (ECCC AES NA; station_id 7844)",NA,7844,"",4,2010-04-03,"DATE: Apr-03<br>Value: 1.4 kPa<br>Anomaly: +0.8 kPa<br>Weather station: NA (ECCC AES NA; station_id 7844)","DATE: Apr-03<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 1.2 kPa","Historical daily maximum<br>2.3 kPa<br>2010-04-03","DATE: Apr-03</b><br>Normal: 0.6 kPa<br>Period: 1991-2020","6145504","MOUNT+FOREST+AUT",1994,2026
"04-04","TMAX",2001-04-04,4.9,-7.8,17.7,6.70950817869686,-4.44,1,9,13.5,9.8,"NA (ECCC AES NA; station_id 7844)",NA,7844,"",4,2010-04-04,"DATE: Apr-04<br>Value: 9.8 °C<br>Anomaly: +4.9 °C<br>Weather station: NA (ECCC AES NA; station_id 7844)","DATE: Apr-04<br><b>Maximum temperature</b><br>10-90 percentile<br>-4.4 to 13.5 °C","Historical daily maximum<br>17.7 °C<br>2010-04-04","DATE: Apr-04</b><br>Normal: 4.9 °C<br>Period: 1991-2020","6145504","MOUNT+FOREST+AUT",1994,2026
"04-04","TMIN",2001-04-04,-3.476,-13.3,5.5,4.26109140948654,-7.08,-6.2,-0.4,1.96,0.7,"NA (ECCC AES NA; station_id 7844)",NA,7844,"",4,2010-04-04,"DATE: Apr-04<br>Value: 0.7 °C<br>Anomaly: +4.2 °C<br>Weather station: NA (ECCC AES NA; station_id 7844)","DATE: Apr-04<br><b>Minimum temperature</b><br>10-90 percentile<br>-7.1 to 2.0 °C","Historical daily maximum<br>5.5 °C<br>2010-04-04","DATE: Apr-04</b><br>Normal: -3.5 °C<br>Period: 1991-2020","6145504","MOUNT+FOREST+AUT",1994,2026
"04-04","VPD",2001-04-04,0.454736296302966,0.0653730536223265,1.12214703233458,0.322818710966889,0.0903427681147564,0.202112623733307,0.68703349850621,0.949851552185781,0.568975522458518,"NA (ECCC AES NA; station_id 7844)",NA,7844,"",4,2010-04-04,"DATE: Apr-04<br>Value: 0.6 kPa<br>Anomaly: +0.1 kPa<br>Weather station: NA (ECCC AES NA; station_id 7844)","DATE: Apr-04<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.1 to 0.9 kPa","Historical daily maximum<br>1.1 kPa<br>2010-04-04","DATE: Apr-04</b><br>Normal: 0.5 kPa<br>Period: 1991-2020","6145504","MOUNT+FOREST+AUT",1994,2026
"04-05","TMAX",2001-04-05,3.98,-6.9,19.4,6.72594479113034,-2.56,-0.9,9.7,13.42,5.8,"NA (ECCC AES NA; station_id 7844)",NA,7844,"",4,2010-04-05,"DATE: Apr-05<br>Value: 5.8 °C<br>Anomaly: +1.8 °C<br>Weather station: NA (ECCC AES NA; station_id 7844)","DATE: Apr-05<br><b>Maximum temperature</b><br>10-90 percentile<br>-2.6 to 13.4 °C","Historical daily maximum<br>19.4 °C<br>2010-04-05","DATE: Apr-05</b><br>Normal: 4.0 °C<br>Period: 1991-2020","6145504","MOUNT+FOREST+AUT",1994,2026
"04-05","TMIN",2001-04-05,-4.5,-15.4,9.1,5.64106963852306,-10.54,-8.3,-2,0.820000000000005,-1.5,"NA (ECCC AES NA; station_id 7844)",NA,7844,"",4,2010-04-05,"DATE: Apr-05<br>Value: -1.5 °C<br>Anomaly: +3.0 °C<br>Weather station: NA (ECCC AES NA; station_id 7844)","DATE: Apr-05<br><b>Minimum temperature</b><br>10-90 percentile<br>-10.5 to 0.8 °C","Historical daily maximum<br>9.1 °C<br>2010-04-05","DATE: Apr-05</b><br>Normal: -4.5 °C<br>Period: 1991-2020","6145504","MOUNT+FOREST+AUT",1994,2026
