"variable","MD","PLOT_DATE","clim_mean","clim_sd","clim_max","clim_max_date","value","rec_all_val","rec_all_date","value_record","MONTH","hover_histmax","AES","NAME","por_start","por_end"
"BUI","04-01",2001-04-01,2.23333333333333,2.95014123955673,7.7,2021-04-01,3.3,152.9,2012-07-02,NA,4,"Daily record reached in 2021","6137154","RIDGETOWN+RCS",2003,2026
"BUI","04-02",2001-04-02,3.53333333333333,4.35583899304524,8.4,2010-04-02,3.7,152.9,2012-07-02,NA,4,"Daily record reached in 2010","6137154","RIDGETOWN+RCS",2003,2026
"BUI","04-03",2001-04-03,4.2,5.81291665173345,10.9,2010-04-03,4.5,152.9,2012-07-02,NA,4,"Daily record reached in 2010","6137154","RIDGETOWN+RCS",2003,2026
"BUI","04-04",2001-04-04,4.93333333333333,6.65156623159789,12.6,2010-04-04,5,152.9,2012-07-02,NA,4,"Daily record reached in 2010","6137154","RIDGETOWN+RCS",2003,2026
"BUI","04-05",2001-04-05,5.93333333333333,7.50821772016058,14.6,2010-04-05,1.4,152.9,2012-07-02,NA,4,"Daily record reached in 2010","6137154","RIDGETOWN+RCS",2003,2026
"BUI","04-06",2001-04-06,4.875,4.5102660675397,13.7,2021-04-06,2,152.9,2012-07-02,NA,4,"Daily record reached in 2021","6137154","RIDGETOWN+RCS",2003,2026
"BUI","04-07",2001-04-07,5.16666666666667,2.40277617212535,14.7,2021-04-07,NA,152.9,2012-07-02,NA,4,"Daily record reached in 2021","6137154","RIDGETOWN+RCS",2003,2026
"BUI","04-08",2001-04-08,4.525,2.96802403404465,16.5,2021-04-08,1,152.9,2012-07-02,NA,4,"Daily record reached in 2021","6137154","RIDGETOWN+RCS",2003,2026
"BUI","04-09",2001-04-09,5.3,3.54964786985977,10,2005-04-09,2.4,152.9,2012-07-02,NA,4,"Daily record reached in 2005","6137154","RIDGETOWN+RCS",2003,2026
"BUI","04-10",2001-04-10,4.6,2.0704266871026,10.3,2021-04-10,0.8,152.9,2012-07-02,NA,4,"Daily record reached in 2021","6137154","RIDGETOWN+RCS",2003,2026
"BUI","04-11",2001-04-11,6.01666666666667,3.86233953280478,13.1,2005-04-11,0.9,152.9,2012-07-02,NA,4,"Daily record reached in 2005","6137154","RIDGETOWN+RCS",2003,2026
"BUI","04-12",2001-04-12,7.36666666666667,3.87900330841141,14.3,2005-04-12,1.8,152.9,2012-07-02,NA,4,"Daily record reached in 2005","6137154","RIDGETOWN+RCS",2003,2026
"BUI","04-13",2001-04-13,7.35,5.03378585162301,16.3,2005-04-13,3.5,152.9,2012-07-02,NA,4,"Daily record reached in 2005","6137154","RIDGETOWN+RCS",2003,2026
"BUI","04-14",2001-04-14,7.97142857142857,5.35497098831677,18.3,2005-04-14,5.2,152.9,2012-07-02,NA,4,"Daily record reached in 2005","6137154","RIDGETOWN+RCS",2003,2026
"BUI","04-15",2001-04-15,8.3,5.89434757486639,19.8,2005-04-15,2.5,152.9,2012-07-02,NA,4,"Daily record reached in 2005","6137154","RIDGETOWN+RCS",2003,2026
"BUI","04-16",2001-04-16,9.82222222222222,5.72446018803908,22.4,2005-04-16,1.1,152.9,2012-07-02,NA,4,"Daily record reached in 2005","6137154","RIDGETOWN+RCS",2003,2026
"BUI","04-17",2001-04-17,10.58,5.55353741121619,24.6,2005-04-17,0.5,152.9,2012-07-02,NA,4,"Daily record reached in 2005","6137154","RIDGETOWN+RCS",2003,2026
"BUI","04-18",2001-04-18,11.9363636363636,5.32226882584349,26.5,2005-04-18,1,152.9,2012-07-02,NA,4,"Daily record reached in 2005","6137154","RIDGETOWN+RCS",2003,2026
"BUI","04-19",2001-04-19,13.2272727272727,5.9565243068573,29.7,2005-04-19,2.1,152.9,2012-07-02,NA,4,"Daily record reached in 2005","6137154","RIDGETOWN+RCS",2003,2026
"BUI","04-20",2001-04-20,11.4454545454545,4.68387951091051,17,2010-04-20,2.7,152.9,2012-07-02,NA,4,"Daily record reached in 2010","6137154","RIDGETOWN+RCS",2003,2026
"BUI","04-21",2001-04-21,11.475,5.12872924186524,19.3,2010-04-21,4.4,152.9,2012-07-02,NA,4,"Daily record reached in 2010","6137154","RIDGETOWN+RCS",2003,2026
"BUI","04-22",2001-04-22,11.6166666666667,5.67976205220755,20.5,2010-04-22,6.7,152.9,2012-07-02,NA,4,"Daily record reached in 2010","6137154","RIDGETOWN+RCS",2003,2026
"BUI","04-23",2001-04-23,11.3,5.92329760736826,22.1,2010-04-23,8.3,152.9,2012-07-02,NA,4,"Daily record reached in 2010","6137154","RIDGETOWN+RCS",2003,2026
"BUI","04-24",2001-04-24,11.9166666666667,6.93198559161978,23.7,2010-04-24,9.9,152.9,2012-07-02,NA,4,"Daily record reached in 2010","6137154","RIDGETOWN+RCS",2003,2026
"BUI","04-25",2001-04-25,10.35,6.2883008255591,18.3,2016-04-25,3.6,152.9,2012-07-02,NA,4,"Daily record reached in 2016","6137154","RIDGETOWN+RCS",2003,2026
"BUI","04-26",2001-04-26,10.0416666666667,6.6355048219728,20.3,2003-04-26,4.3,152.9,2012-07-02,NA,4,"Daily record reached in 2003","6137154","RIDGETOWN+RCS",2003,2026
"BUI","04-27",2001-04-27,10.825,7.31761573191706,22,2003-04-27,5.6,152.9,2012-07-02,NA,4,"Daily record reached in 2003","6137154","RIDGETOWN+RCS",2003,2026
"BUI","04-28",2001-04-28,11.5166666666667,8.2646930684177,25,2003-04-28,6.6,152.9,2012-07-02,NA,4,"Daily record reached in 2003","6137154","RIDGETOWN+RCS",2003,2026
"BUI","04-29",2001-04-29,10.9076923076923,7.75289854811966,26.8,2003-04-29,6.9,152.9,2012-07-02,NA,4,"Daily record reached in 2003","6137154","RIDGETOWN+RCS",2003,2026
"BUI","04-30",2001-04-30,10.3923076923077,8.23341378555108,28.1,2003-04-30,7.8,152.9,2012-07-02,NA,4,"Daily record reached in 2003","6137154","RIDGETOWN+RCS",2003,2026
"BUI","05-01",2001-05-01,8.77142857142857,6.32983516268893,20.8,2008-05-01,8.5,152.9,2012-07-02,NA,5,"Daily record reached in 2008","6137154","RIDGETOWN+RCS",2003,2026
"BUI","05-02",2001-05-02,8.65333333333333,7.21623830247417,21.8,2008-05-02,9.6,152.9,2012-07-02,NA,5,"Daily record reached in 2008","6137154","RIDGETOWN+RCS",2003,2026
"BUI","05-03",2001-05-03,8.7625,6.1281726476985,23.2,2015-05-03,11.8,152.9,2012-07-02,NA,5,"Daily record reached in 2015","6137154","RIDGETOWN+RCS",2003,2026
"BUI","05-04",2001-05-04,9.175,6.4568826327674,24.3,2015-05-04,13.9,152.9,2012-07-02,NA,5,"Daily record reached in 2015","6137154","RIDGETOWN+RCS",2003,2026
"BUI","05-05",2001-05-05,10.4875,7.09900227731569,25.1,2015-05-05,14.3,152.9,2012-07-02,NA,5,"Daily record reached in 2015","6137154","RIDGETOWN+RCS",2003,2026
"BUI","05-06",2001-05-06,11.60625,6.55413037709809,23.4,2010-05-06,9.8,152.9,2012-07-02,NA,5,"Daily record reached in 2010","6137154","RIDGETOWN+RCS",2003,2026
"BUI","05-07",2001-05-07,12.4294117647059,7.14508263649574,24.3,2006-05-07,11.8,152.9,2012-07-02,NA,5,"Daily record reached in 2006","6137154","RIDGETOWN+RCS",2003,2026
"BUI","05-08",2001-05-08,12.5647058823529,7.26841980561031,26.7,2006-05-08,13.2,152.9,2012-07-02,NA,5,"Daily record reached in 2006","6137154","RIDGETOWN+RCS",2003,2026
"BUI","05-09",2001-05-09,13.7764705882353,8.05423253728783,28.5,2006-05-09,14.6,152.9,2012-07-02,NA,5,"Daily record reached in 2006","6137154","RIDGETOWN+RCS",2003,2026
"BUI","05-10",2001-05-10,14.2176470588235,8.64546378846428,31.1,2006-05-10,12.7,152.9,2012-07-02,NA,5,"Daily record reached in 2006","6137154","RIDGETOWN+RCS",2003,2026
"BUI","05-11",2001-05-11,13.3941176470588,8.04374528657479,32.8,2015-05-11,14.7,152.9,2012-07-02,NA,5,"Daily record reached in 2015","6137154","RIDGETOWN+RCS",2003,2026
"BUI","05-12",2001-05-12,12.5352941176471,8.18595910511335,28,2013-05-12,16.5,152.9,2012-07-02,NA,5,"Daily record reached in 2013","6137154","RIDGETOWN+RCS",2003,2026
"BUI","05-13",2001-05-13,11.98125,8.84995056483368,29.2,2013-05-13,13.1,152.9,2012-07-02,NA,5,"Daily record reached in 2013","6137154","RIDGETOWN+RCS",2003,2026
"BUI","05-14",2001-05-14,11.1,8.59934590535815,30.6,2013-05-14,15.3,152.9,2012-07-02,NA,5,"Daily record reached in 2013","6137154","RIDGETOWN+RCS",2003,2026
"BUI","05-15",2001-05-15,10.8117647058824,9.70746377490931,34.3,2013-05-15,17.8,152.9,2012-07-02,NA,5,"Daily record reached in 2013","6137154","RIDGETOWN+RCS",2003,2026
"BUI","05-16",2001-05-16,9.81111111111111,10.0112812184049,37.7,2013-05-16,17.5,152.9,2012-07-02,NA,5,"Daily record reached in 2013","6137154","RIDGETOWN+RCS",2003,2026
"BUI","05-17",2001-05-17,11.0611111111111,10.1550415696365,39.7,2013-05-17,15.6,152.9,2012-07-02,NA,5,"Daily record reached in 2013","6137154","RIDGETOWN+RCS",2003,2026
"BUI","05-18",2001-05-18,11.5944444444444,11.4453418329556,42.2,2013-05-18,19.5,152.9,2012-07-02,NA,5,"Daily record reached in 2013","6137154","RIDGETOWN+RCS",2003,2026
"BUI","05-19",2001-05-19,13.1555555555556,12.003392766568,44.4,2013-05-19,14.9,152.9,2012-07-02,NA,5,"Daily record reached in 2013","6137154","RIDGETOWN+RCS",2003,2026
"BUI","05-20",2001-05-20,14.5333333333333,12.2581545487556,46.9,2013-05-20,8.7,152.9,2012-07-02,NA,5,"Daily record reached in 2013","6137154","RIDGETOWN+RCS",2003,2026
"BUI","05-21",2001-05-21,15.9111111111111,13.111507693127,49.9,2013-05-21,10.6,152.9,2012-07-02,NA,5,"Daily record reached in 2013","6137154","RIDGETOWN+RCS",2003,2026
