"MD","variable","PLOT_DATE","clim_mean","clim_min","clim_max","clim_sd","q10","q25","q75","q90","value","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","MONTH","clim_max_date","hover_value","hover_band","hover_histmax","hover_mean","AES","NAME","por_start","por_end"
"04-01","TMAX",2001-04-01,2.66666666666667,0,8,4.61880215351701,0,0,4,6.4,3.5,"NA (ECCC AES NA; station_id 10899)",NA,10899,"",4,2017-04-01,"DATE: Apr-01<br>Value: 3.5 °C<br>Anomaly: +0.8 °C<br>Weather station: NA (ECCC AES NA; station_id 10899)","DATE: Apr-01<br><b>Maximum temperature</b><br>10-90 percentile<br>0.0 to 6.4 °C","Historical daily maximum<br>8.0 °C<br>2017-04-01","DATE: Apr-01</b><br>Normal: 2.7 °C<br>Period: 1991-2020","6037201","ROYAL+ISLAND+AUT",2016,2026
"04-01","TMIN",2001-04-01,-7.66666666666667,-14.4,1.2,8.01581769586443,-13.48,-12.1,-4.3,-1,-14.8,"NA (ECCC AES NA; station_id 10899)",NA,10899,"",4,2017-04-01,"DATE: Apr-01<br>Value: -14.8 °C<br>Anomaly: -7.1 °C<br>Weather station: NA (ECCC AES NA; station_id 10899)","DATE: Apr-01<br><b>Minimum temperature</b><br>10-90 percentile<br>-13.5 to -1.0 °C","Historical daily maximum<br>1.2 °C<br>2017-04-01","DATE: Apr-01</b><br>Normal: -7.7 °C<br>Period: 1991-2020","6037201","ROYAL+ISLAND+AUT",2016,2026
"04-01","VPD",2001-04-01,0.379230938102616,0.320524314284605,0.410648128194352,0.0508833013201308,0.337723525793462,0.363522343056748,0.408584250011621,0.40982257692126,0.59143668907528,"NA (ECCC AES NA; station_id 10899)",NA,10899,"",4,2022-04-01,"DATE: Apr-01<br>Value: 0.6 kPa<br>Anomaly: +0.2 kPa<br>Weather station: NA (ECCC AES NA; station_id 10899)","DATE: Apr-01<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.3 to 0.4 kPa","Historical daily maximum<br>0.4 kPa<br>2022-04-01","DATE: Apr-01</b><br>Normal: 0.4 kPa<br>Period: 1991-2020","6037201","ROYAL+ISLAND+AUT",2016,2026
"04-02","TMAX",2001-04-02,-0.433333333333333,-8,11,10.072900939319,-7.26,-6.15,3.35,7.94,-0.2,"NA (ECCC AES NA; station_id 10899)",NA,10899,"",4,2021-04-02,"DATE: Apr-02<br>Value: -0.2 °C<br>Anomaly: +0.2 °C<br>Weather station: NA (ECCC AES NA; station_id 10899)","DATE: Apr-02<br><b>Maximum temperature</b><br>10-90 percentile<br>-7.3 to 7.9 °C","Historical daily maximum<br>11.0 °C<br>2021-04-02","DATE: Apr-02</b><br>Normal: -0.4 °C<br>Period: 1991-2020","6037201","ROYAL+ISLAND+AUT",2016,2026
"04-02","TMIN",2001-04-02,-9.03333333333333,-17,2.3,10.0808399120973,-16.08,-14.7,-5.05,-0.640000000000003,-2.9,"NA (ECCC AES NA; station_id 10899)",NA,10899,"",4,2017-04-02,"DATE: Apr-02<br>Value: -2.9 °C<br>Anomaly: +6.1 °C<br>Weather station: NA (ECCC AES NA; station_id 10899)","DATE: Apr-02<br><b>Minimum temperature</b><br>10-90 percentile<br>-16.1 to -0.6 °C","Historical daily maximum<br>2.3 °C<br>2017-04-02","DATE: Apr-02</b><br>Normal: -9.0 °C<br>Period: 1991-2020","6037201","ROYAL+ISLAND+AUT",2016,2026
"04-02","VPD",2001-04-02,0.324477655938085,0.173257395091786,0.591778374816897,0.232155028311461,0.180285355654543,0.190827296498679,0.400087786361234,0.515102139434632,0.108672771647825,"NA (ECCC AES NA; station_id 10899)",NA,10899,"",4,2021-04-02,"DATE: Apr-02<br>Value: 0.1 kPa<br>Anomaly: -0.2 kPa<br>Weather station: NA (ECCC AES NA; station_id 10899)","DATE: Apr-02<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 0.5 kPa","Historical daily maximum<br>0.6 kPa<br>2021-04-02","DATE: Apr-02</b><br>Normal: 0.3 kPa<br>Period: 1991-2020","6037201","ROYAL+ISLAND+AUT",2016,2026
"04-03","TMAX",2001-04-03,2.76666666666667,-4.4,13.6,9.54375886814694,-3.7,-2.65,6.35,10.7,5.5,"NA (ECCC AES NA; station_id 10899)",NA,10899,"",4,2021-04-03,"DATE: Apr-03<br>Value: 5.5 °C<br>Anomaly: +2.7 °C<br>Weather station: NA (ECCC AES NA; station_id 10899)","DATE: Apr-03<br><b>Maximum temperature</b><br>10-90 percentile<br>-3.7 to 10.7 °C","Historical daily maximum<br>13.6 °C<br>2021-04-03","DATE: Apr-03</b><br>Normal: 2.8 °C<br>Period: 1991-2020","6037201","ROYAL+ISLAND+AUT",2016,2026
"04-03","TMIN",2001-04-03,-6.6,-12.3,-0.9,8.06101730552664,-11.16,-9.45,-3.75,-2.04,-3.8,"NA (ECCC AES NA; station_id 10899)",NA,10899,"",4,2017-04-03,"DATE: Apr-03<br>Value: -3.8 °C<br>Anomaly: +2.8 °C<br>Weather station: NA (ECCC AES NA; station_id 10899)","DATE: Apr-03<br><b>Minimum temperature</b><br>10-90 percentile<br>-11.2 to -2.0 °C","Historical daily maximum<br>-0.9 °C<br>2017-04-03","DATE: Apr-03</b><br>Normal: -6.6 °C<br>Period: 1991-2020","6037201","ROYAL+ISLAND+AUT",2016,2026
"04-03","VPD",2001-04-03,0.65997875695458,0.334311595612146,0.985645918297014,0.460562916390017,0.399445027880633,0.497145176283363,0.822812337625797,0.920512486028527,0.442082567414644,"NA (ECCC AES NA; station_id 10899)",NA,10899,"",4,2021-04-03,"DATE: Apr-03<br>Value: 0.4 kPa<br>Anomaly: -0.2 kPa<br>Weather station: NA (ECCC AES NA; station_id 10899)","DATE: Apr-03<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.4 to 0.9 kPa","Historical daily maximum<br>1.0 kPa<br>2021-04-03","DATE: Apr-03</b><br>Normal: 0.7 kPa<br>Period: 1991-2020","6037201","ROYAL+ISLAND+AUT",2016,2026
"04-04","TMAX",2001-04-04,4.175,-0.6,10.7,5.35809356643449,-0.36,2.77555756156289e-17,7.475,9.41,3.7,"NA (ECCC AES NA; station_id 10899)",NA,10899,"",4,2021-04-04,"DATE: Apr-04<br>Value: 3.7 °C<br>Anomaly: -0.5 °C<br>Weather station: NA (ECCC AES NA; station_id 10899)","DATE: Apr-04<br><b>Maximum temperature</b><br>10-90 percentile<br>-0.4 to 9.4 °C","Historical daily maximum<br>10.7 °C<br>2021-04-04","DATE: Apr-04</b><br>Normal: 4.2 °C<br>Period: 1991-2020","6037201","ROYAL+ISLAND+AUT",2016,2026
