"variable","MD","PLOT_DATE","clim_mean","clim_sd","clim_max","clim_max_date","value","rec_all_val","rec_all_date","value_record","MONTH","hover_histmax","AES","NAME","por_start","por_end"
"BUI","04-01",2001-04-01,NA,NA,1.3,2025-04-01,NA,114.6,2016-08-12,NA,4,"Daily record reached in 2025","6127519","SARNIA+CLIMATE",2005,2026
"BUI","04-02",2001-04-02,8.8,NA,8.8,2010-04-02,NA,114.6,2016-08-12,NA,4,"Daily record reached in 2010","6127519","SARNIA+CLIMATE",2005,2026
"BUI","04-03",2001-04-03,11.7,1.13137084989848,12.5,2010-04-03,NA,114.6,2016-08-12,NA,4,"Daily record reached in 2010","6127519","SARNIA+CLIMATE",2005,2026
"BUI","04-04",2001-04-04,10.05,7.00035713374682,15,2010-04-04,NA,114.6,2016-08-12,NA,4,"Daily record reached in 2010","6127519","SARNIA+CLIMATE",2005,2026
"BUI","04-05",2001-04-05,11.55,8.41457069611992,17.5,2010-04-05,NA,114.6,2016-08-12,NA,4,"Daily record reached in 2010","6127519","SARNIA+CLIMATE",2005,2026
"BUI","04-06",2001-04-06,5.65,3.18198051533946,7.9,2010-04-06,NA,114.6,2016-08-12,NA,4,"Daily record reached in 2010","6127519","SARNIA+CLIMATE",2005,2026
"BUI","04-07",2001-04-07,3.9,2.76224546338663,7,2008-04-07,NA,114.6,2016-08-12,NA,4,"Daily record reached in 2008","6127519","SARNIA+CLIMATE",2005,2026
"BUI","04-08",2001-04-08,5.625,4.12502525244796,9.8,2019-04-08,NA,114.6,2016-08-12,NA,4,"Daily record reached in 2019","6127519","SARNIA+CLIMATE",2005,2026
"BUI","04-09",2001-04-09,6.425,4.48506781814203,10.9,2019-04-09,NA,114.6,2016-08-12,NA,4,"Daily record reached in 2019","6127519","SARNIA+CLIMATE",2005,2026
"BUI","04-10",2001-04-10,5.9,3.53411940941446,10.2,2024-04-10,NA,114.6,2016-08-12,NA,4,"Daily record reached in 2024","6127519","SARNIA+CLIMATE",2005,2026
"BUI","04-11",2001-04-11,5.4,0.866025403784439,6.4,2008-04-11,NA,114.6,2016-08-12,NA,4,"Daily record reached in 2008","6127519","SARNIA+CLIMATE",2005,2026
"BUI","04-12",2001-04-12,6.625,1.29453981527543,10.3,2023-04-12,NA,114.6,2016-08-12,NA,4,"Daily record reached in 2023","6127519","SARNIA+CLIMATE",2005,2026
"BUI","04-13",2001-04-13,6.275,1.34257215820975,13.8,2023-04-13,NA,114.6,2016-08-12,NA,4,"Daily record reached in 2023","6127519","SARNIA+CLIMATE",2005,2026
"BUI","04-14",2001-04-14,6.54,2.00574175805361,17.8,2023-04-14,NA,114.6,2016-08-12,NA,4,"Daily record reached in 2023","6127519","SARNIA+CLIMATE",2005,2026
"BUI","04-15",2001-04-15,8.08333333333333,3.46607366723021,21.7,2023-04-15,4.2,114.6,2016-08-12,NA,4,"Daily record reached in 2023","6127519","SARNIA+CLIMATE",2005,2026
"BUI","04-16",2001-04-16,8.34285714285714,4.36648491079386,24.7,2023-04-16,3,114.6,2016-08-12,NA,4,"Daily record reached in 2023","6127519","SARNIA+CLIMATE",2005,2026
"BUI","04-17",2001-04-17,8.8,5.02957917391372,14.7,2010-04-17,1.8,114.6,2016-08-12,NA,4,"Daily record reached in 2010","6127519","SARNIA+CLIMATE",2005,2026
"BUI","04-18",2001-04-18,9.9375,5.34333697234228,15.1,2010-04-18,0.9,114.6,2016-08-12,NA,4,"Daily record reached in 2010","6127519","SARNIA+CLIMATE",2005,2026
"BUI","04-19",2001-04-19,12.3,4.65546274105307,16.3,2008-04-19,1.8,114.6,2016-08-12,NA,4,"Daily record reached in 2008","6127519","SARNIA+CLIMATE",2005,2026
"BUI","04-20",2001-04-20,11.0875,6.71191637526656,18.2,2008-04-20,2.3,114.6,2016-08-12,NA,4,"Daily record reached in 2008","6127519","SARNIA+CLIMATE",2005,2026
"BUI","04-21",2001-04-21,11.08,6.12949155041971,19.3,2008-04-21,4.2,114.6,2016-08-12,NA,4,"Daily record reached in 2008","6127519","SARNIA+CLIMATE",2005,2026
"BUI","04-22",2001-04-22,11.44,6.6156716296315,21.3,2008-04-22,5.4,114.6,2016-08-12,NA,4,"Daily record reached in 2008","6127519","SARNIA+CLIMATE",2005,2026
"BUI","04-23",2001-04-23,11.96,7.22898486803107,22.1,2008-04-23,8.2,114.6,2016-08-12,NA,4,"Daily record reached in 2008","6127519","SARNIA+CLIMATE",2005,2026
"BUI","04-24",2001-04-24,13.5444444444444,8.11035004039763,24.8,2008-04-24,10.7,114.6,2016-08-12,NA,4,"Daily record reached in 2008","6127519","SARNIA+CLIMATE",2005,2026
"BUI","04-25",2001-04-25,12.14,7.08318823380796,26.8,2008-04-25,5,114.6,2016-08-12,NA,4,"Daily record reached in 2008","6127519","SARNIA+CLIMATE",2005,2026
"BUI","04-26",2001-04-26,11.0727272727273,7.79770362466937,28.4,2008-04-26,6,114.6,2016-08-12,NA,4,"Daily record reached in 2008","6127519","SARNIA+CLIMATE",2005,2026
"BUI","04-27",2001-04-27,11.8181818181818,8.4180541910608,30.9,2008-04-27,8.3,114.6,2016-08-12,NA,4,"Daily record reached in 2008","6127519","SARNIA+CLIMATE",2005,2026
"BUI","04-28",2001-04-28,12.4090909090909,8.77171072772633,31,2008-04-28,10,114.6,2016-08-12,NA,4,"Daily record reached in 2008","6127519","SARNIA+CLIMATE",2005,2026
"BUI","04-29",2001-04-29,12.1916666666667,8.81099089808068,31.4,2008-04-29,6.9,114.6,2016-08-12,NA,4,"Daily record reached in 2008","6127519","SARNIA+CLIMATE",2005,2026
"BUI","04-30",2001-04-30,12.675,9.32193161801293,33,2008-04-30,5.5,114.6,2016-08-12,NA,4,"Daily record reached in 2008","6127519","SARNIA+CLIMATE",2005,2026
"BUI","05-01",2001-05-01,11.7916666666667,8.97374537529376,35.1,2008-05-01,6.3,114.6,2016-08-12,NA,5,"Daily record reached in 2008","6127519","SARNIA+CLIMATE",2005,2026
"BUI","05-02",2001-05-02,12,9.35913101379254,36.5,2008-05-02,7.1,114.6,2016-08-12,NA,5,"Daily record reached in 2008","6127519","SARNIA+CLIMATE",2005,2026
"BUI","05-03",2001-05-03,11.6230769230769,7.82902227251844,24.8,2015-05-03,9.5,114.6,2016-08-12,NA,5,"Daily record reached in 2015","6127519","SARNIA+CLIMATE",2005,2026
"BUI","05-04",2001-05-04,11.7153846153846,8.1253560079796,26.8,2006-05-04,12.4,114.6,2016-08-12,NA,5,"Daily record reached in 2006","6127519","SARNIA+CLIMATE",2005,2026
"BUI","05-05",2001-05-05,13.3153846153846,8.52289525863973,28,2006-05-05,12.2,114.6,2016-08-12,NA,5,"Daily record reached in 2006","6127519","SARNIA+CLIMATE",2005,2026
"BUI","05-06",2001-05-06,13.9923076923077,8.31890032180351,28.7,2006-05-06,13.1,114.6,2016-08-12,NA,5,"Daily record reached in 2006","6127519","SARNIA+CLIMATE",2005,2026
"BUI","05-07",2001-05-07,15.1230769230769,9.30064100355041,31.3,2006-05-07,14.2,114.6,2016-08-12,NA,5,"Daily record reached in 2006","6127519","SARNIA+CLIMATE",2005,2026
"BUI","05-08",2001-05-08,15.5230769230769,10.3241750151569,34.8,2006-05-08,16.7,114.6,2016-08-12,NA,5,"Daily record reached in 2006","6127519","SARNIA+CLIMATE",2005,2026
"BUI","05-09",2001-05-09,16.2153846153846,10.4458002847912,37.1,2006-05-09,18.2,114.6,2016-08-12,NA,5,"Daily record reached in 2006","6127519","SARNIA+CLIMATE",2005,2026
