"MD","PLOT_DATE","clim_mean","clim_min","clim_max","q10","q25","q75","q90","PRECIP","PRECIP_CUM","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","hover_bar","pct_normal","hover_value","hover_mean","hover_band25","hover_band10","AES","NAME","por_start","por_end"
"04-01",2001-04-01,2.24666666666667,0,15.5,0,0,2.875,5.15,0,0,"NA (ECCC AES NA; station_id 50092)",NA,50092,"","DATE: Apr-01<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 50092)",0,"DATE: Apr-01<br><b>Cumulative precipitation</b><br>Value: 0.0 mm<br>Anomaly: -2.2 mm<br>Percent of normal: <b>0%</b><br>Weather station: NA (ECCC AES NA; station_id 50092)","DATE: Apr-01<br><b>Normal cumulative precipitation</b><br>2.2 mm<br>Period: 1991-2020","DATE: Apr-01<br><b>25-75 percentile</b><br>0.0 to 2.9 mm","DATE: Apr-01<br><b>10-90 percentile</b><br>0.0 to 5.2 mm","6057592","SAULT+STE+MARIE+A",1962,2026
"04-02",2001-04-02,2.92,0,15.5,0,0,4.85,6.94,10.8,10.8,"NA (ECCC AES NA; station_id 50092)",NA,50092,"","DATE: Apr-02<br><b>Daily precipitation</b><br>Value: 10.8 mm<br>Weather station: NA (ECCC AES NA; station_id 50092)",369.86301369863,"DATE: Apr-02<br><b>Cumulative precipitation</b><br>Value: 10.8 mm<br>Anomaly: +7.9 mm<br>Percent of normal: <b>370%</b><br>Weather station: NA (ECCC AES NA; station_id 50092)","DATE: Apr-02<br><b>Normal cumulative precipitation</b><br>2.9 mm<br>Period: 1991-2020","DATE: Apr-02<br><b>25-75 percentile</b><br>0.0 to 4.8 mm","DATE: Apr-02<br><b>10-90 percentile</b><br>0.0 to 6.9 mm","6057592","SAULT+STE+MARIE+A",1962,2026
"04-03",2001-04-03,5.13,0,15.5,0,1.2,8,11.97,0.3,11.1,"NA (ECCC AES NA; station_id 50092)",NA,50092,"","DATE: Apr-03<br><b>Daily precipitation</b><br>Value: 0.3 mm<br>Weather station: NA (ECCC AES NA; station_id 50092)",216.374269005848,"DATE: Apr-03<br><b>Cumulative precipitation</b><br>Value: 11.1 mm<br>Anomaly: +6.0 mm<br>Percent of normal: <b>216%</b><br>Weather station: NA (ECCC AES NA; station_id 50092)","DATE: Apr-03<br><b>Normal cumulative precipitation</b><br>5.1 mm<br>Period: 1991-2020","DATE: Apr-03<br><b>25-75 percentile</b><br>1.2 to 8.0 mm","DATE: Apr-03<br><b>10-90 percentile</b><br>0.0 to 12.0 mm","6057592","SAULT+STE+MARIE+A",1962,2026
"04-04",2001-04-04,8.66333333333333,0,32.2,0.72,1.975,12.85,17.68,8.2,19.3,"NA (ECCC AES NA; station_id 50092)",NA,50092,"","DATE: Apr-04<br><b>Daily precipitation</b><br>Value: 8.2 mm<br>Weather station: NA (ECCC AES NA; station_id 50092)",222.777991535206,"DATE: Apr-04<br><b>Cumulative precipitation</b><br>Value: 19.3 mm<br>Anomaly: +10.6 mm<br>Percent of normal: <b>223%</b><br>Weather station: NA (ECCC AES NA; station_id 50092)","DATE: Apr-04<br><b>Normal cumulative precipitation</b><br>8.7 mm<br>Period: 1991-2020","DATE: Apr-04<br><b>25-75 percentile</b><br>2.0 to 12.8 mm","DATE: Apr-04<br><b>10-90 percentile</b><br>0.7 to 17.7 mm","6057592","SAULT+STE+MARIE+A",1962,2026
"04-05",2001-04-05,9.91666666666667,0,36.2,0.72,3.3,15.2,18.51,0.6,19.9,"NA (ECCC AES NA; station_id 50092)",NA,50092,"","DATE: Apr-05<br><b>Daily precipitation</b><br>Value: 0.6 mm<br>Weather station: NA (ECCC AES NA; station_id 50092)",200.672268907563,"DATE: Apr-05<br><b>Cumulative precipitation</b><br>Value: 19.9 mm<br>Anomaly: +10.0 mm<br>Percent of normal: <b>201%</b><br>Weather station: NA (ECCC AES NA; station_id 50092)","DATE: Apr-05<br><b>Normal cumulative precipitation</b><br>9.9 mm<br>Period: 1991-2020","DATE: Apr-05<br><b>25-75 percentile</b><br>3.3 to 15.2 mm","DATE: Apr-05<br><b>10-90 percentile</b><br>0.7 to 18.5 mm","6057592","SAULT+STE+MARIE+A",1962,2026
"04-06",2001-04-06,13.7566666666667,0,56.2,1.56,4.45,18.3,23.26,2.3,22.2,"NA (ECCC AES NA; station_id 50092)",NA,50092,"","DATE: Apr-06<br><b>Daily precipitation</b><br>Value: 2.3 mm<br>Weather station: NA (ECCC AES NA; station_id 50092)",161.376302398837,"DATE: Apr-06<br><b>Cumulative precipitation</b><br>Value: 22.2 mm<br>Anomaly: +8.4 mm<br>Percent of normal: <b>161%</b><br>Weather station: NA (ECCC AES NA; station_id 50092)","DATE: Apr-06<br><b>Normal cumulative precipitation</b><br>13.8 mm<br>Period: 1991-2020","DATE: Apr-06<br><b>25-75 percentile</b><br>4.4 to 18.3 mm","DATE: Apr-06<br><b>10-90 percentile</b><br>1.6 to 23.3 mm","6057592","SAULT+STE+MARIE+A",1962,2026
"04-07",2001-04-07,15.8633333333333,0,70,3.08,6.6,19.475,24.15,0,22.2,"NA (ECCC AES NA; station_id 50092)",NA,50092,"","DATE: Apr-07<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 50092)",139.945366673671,"DATE: Apr-07<br><b>Cumulative precipitation</b><br>Value: 22.2 mm<br>Anomaly: +6.3 mm<br>Percent of normal: <b>140%</b><br>Weather station: NA (ECCC AES NA; station_id 50092)","DATE: Apr-07<br><b>Normal cumulative precipitation</b><br>15.9 mm<br>Period: 1991-2020","DATE: Apr-07<br><b>25-75 percentile</b><br>6.6 to 19.5 mm","DATE: Apr-07<br><b>10-90 percentile</b><br>3.1 to 24.2 mm","6057592","SAULT+STE+MARIE+A",1962,2026
"04-08",2001-04-08,18.1666666666667,0,70,5.84,8.675,23.675,29.3,2.8,25,"NA (ECCC AES NA; station_id 50092)",NA,50092,"","DATE: Apr-08<br><b>Daily precipitation</b><br>Value: 2.8 mm<br>Weather station: NA (ECCC AES NA; station_id 50092)",137.614678899083,"DATE: Apr-08<br><b>Cumulative precipitation</b><br>Value: 25.0 mm<br>Anomaly: +6.8 mm<br>Percent of normal: <b>138%</b><br>Weather station: NA (ECCC AES NA; station_id 50092)","DATE: Apr-08<br><b>Normal cumulative precipitation</b><br>18.2 mm<br>Period: 1991-2020","DATE: Apr-08<br><b>25-75 percentile</b><br>8.7 to 23.7 mm","DATE: Apr-08<br><b>10-90 percentile</b><br>5.8 to 29.3 mm","6057592","SAULT+STE+MARIE+A",1962,2026
"04-09",2001-04-09,21.7766666666667,0,70,7.72,12.025,26.2,40.72,1.9,26.9,"NA (ECCC AES NA; station_id 50092)",NA,50092,"","DATE: Apr-09<br><b>Daily precipitation</b><br>Value: 1.9 mm<br>Weather station: NA (ECCC AES NA; station_id 50092)",123.526710546456,"DATE: Apr-09<br><b>Cumulative precipitation</b><br>Value: 26.9 mm<br>Anomaly: +5.1 mm<br>Percent of normal: <b>124%</b><br>Weather station: NA (ECCC AES NA; station_id 50092)","DATE: Apr-09<br><b>Normal cumulative precipitation</b><br>21.8 mm<br>Period: 1991-2020","DATE: Apr-09<br><b>25-75 percentile</b><br>12.0 to 26.2 mm","DATE: Apr-09<br><b>10-90 percentile</b><br>7.7 to 40.7 mm","6057592","SAULT+STE+MARIE+A",1962,2026
"04-10",2001-04-10,23.4633333333333,0,70,9.24,14.3,29.05,45.42,0.2,27.1,"NA (ECCC AES NA; station_id 50092)",NA,50092,"","DATE: Apr-10<br><b>Daily precipitation</b><br>Value: 0.2 mm<br>Weather station: NA (ECCC AES NA; station_id 50092)",115.499360704646,"DATE: Apr-10<br><b>Cumulative precipitation</b><br>Value: 27.1 mm<br>Anomaly: +3.6 mm<br>Percent of normal: <b>115%</b><br>Weather station: NA (ECCC AES NA; station_id 50092)","DATE: Apr-10<br><b>Normal cumulative precipitation</b><br>23.5 mm<br>Period: 1991-2020","DATE: Apr-10<br><b>25-75 percentile</b><br>14.3 to 29.0 mm","DATE: Apr-10<br><b>10-90 percentile</b><br>9.2 to 45.4 mm","6057592","SAULT+STE+MARIE+A",1962,2026
