"MD","variable","PLOT_DATE","clim_mean","clim_min","clim_max","clim_sd","q10","q25","q75","q90","value","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","MONTH","clim_max_date","hover_value","hover_band","hover_histmax","hover_mean","AES","NAME","por_start","por_end"
"04-01","TMAX",2001-04-01,4.98,-5,20,5.11774465412525,-0.939999999999999,2.225,7.675,10.35,-0.5,"NA (ECCC AES NA; station_id 50092)",NA,50092,"",4,2010-04-01,"DATE: Apr-01<br>Value: -0.5 °C<br>Anomaly: -5.5 °C<br>Weather station: NA (ECCC AES NA; station_id 50092)","DATE: Apr-01<br><b>Maximum temperature</b><br>10-90 percentile<br>-0.9 to 10.4 °C","Historical daily maximum<br>20.0 °C<br>2010-04-01","DATE: Apr-01</b><br>Normal: 5.0 °C<br>Period: 1991-2020","6057592","SAULT+STE+MARIE+A",1962,2026
"04-01","TMIN",2001-04-01,-4.23333333333333,-15.8,4.4,4.82624529817548,-9.34,-7.15,-1.025,1.32,-8.4,"NA (ECCC AES NA; station_id 50092)",NA,50092,"",4,1999-04-01,"DATE: Apr-01<br>Value: -8.4 °C<br>Anomaly: -4.2 °C<br>Weather station: NA (ECCC AES NA; station_id 50092)","DATE: Apr-01<br><b>Minimum temperature</b><br>10-90 percentile<br>-9.3 to 1.3 °C","Historical daily maximum<br>4.4 °C<br>1999-04-01","DATE: Apr-01</b><br>Normal: -4.2 °C<br>Period: 1991-2020","6057592","SAULT+STE+MARIE+A",1962,2026
"04-01","VPD",2001-04-01,0.450415778359112,0.102125442060888,1.65749427709044,0.306459783836333,0.176761887251525,0.287045710273411,0.537784060915817,0.7582980641183,0.264842418633027,"NA (ECCC AES NA; station_id 50092)",NA,50092,"",4,2010-04-01,"DATE: Apr-01<br>Value: 0.3 kPa<br>Anomaly: -0.2 kPa<br>Weather station: NA (ECCC AES NA; station_id 50092)","DATE: Apr-01<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 0.8 kPa","Historical daily maximum<br>1.7 kPa<br>2010-04-01","DATE: Apr-01</b><br>Normal: 0.5 kPa<br>Period: 1991-2020","6057592","SAULT+STE+MARIE+A",1962,2026
"04-02","TMAX",2001-04-02,5.93,-3.5,26.9,6.35789761391024,-1.69,1.125,8.525,12.9,1.2,"NA (ECCC AES NA; station_id 50092)",NA,50092,"",4,2010-04-02,"DATE: Apr-02<br>Value: 1.2 °C<br>Anomaly: -4.7 °C<br>Weather station: NA (ECCC AES NA; station_id 50092)","DATE: Apr-02<br><b>Maximum temperature</b><br>10-90 percentile<br>-1.7 to 12.9 °C","Historical daily maximum<br>26.9 °C<br>2010-04-02","DATE: Apr-02</b><br>Normal: 5.9 °C<br>Period: 1991-2020","6057592","SAULT+STE+MARIE+A",1962,2026
"04-02","TMIN",2001-04-02,-4.53,-19,9.5,5.83001449102121,-13.01,-8.5,-2.25,1.64,-3,"NA (ECCC AES NA; station_id 50092)",NA,50092,"",4,2010-04-02,"DATE: Apr-02<br>Value: -3.0 °C<br>Anomaly: +1.5 °C<br>Weather station: NA (ECCC AES NA; station_id 50092)","DATE: Apr-02<br><b>Minimum temperature</b><br>10-90 percentile<br>-13.0 to 1.6 °C","Historical daily maximum<br>9.5 °C<br>2010-04-02","DATE: Apr-02</b><br>Normal: -4.5 °C<br>Period: 1991-2020","6057592","SAULT+STE+MARIE+A",1962,2026
"04-02","VPD",2001-04-02,0.54667768461885,0.0933377606236188,2.35705613423018,0.449008420495896,0.155725018988858,0.258875205131971,0.625825176689055,1.07011835470601,0.1766219749932,"NA (ECCC AES NA; station_id 50092)",NA,50092,"",4,2010-04-02,"DATE: Apr-02<br>Value: 0.2 kPa<br>Anomaly: -0.4 kPa<br>Weather station: NA (ECCC AES NA; station_id 50092)","DATE: Apr-02<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 1.1 kPa","Historical daily maximum<br>2.4 kPa<br>2010-04-02","DATE: Apr-02</b><br>Normal: 0.5 kPa<br>Period: 1991-2020","6057592","SAULT+STE+MARIE+A",1962,2026
"04-03","TMAX",2001-04-03,5.56333333333333,-5.8,19.6,5.12979688603302,-0.23,1.725,8.4,11.61,2.4,"NA (ECCC AES NA; station_id 50092)",NA,50092,"",4,2010-04-03,"DATE: Apr-03<br>Value: 2.4 °C<br>Anomaly: -3.2 °C<br>Weather station: NA (ECCC AES NA; station_id 50092)","DATE: Apr-03<br><b>Maximum temperature</b><br>10-90 percentile<br>-0.2 to 11.6 °C","Historical daily maximum<br>19.6 °C<br>2010-04-03","DATE: Apr-03</b><br>Normal: 5.6 °C<br>Period: 1991-2020","6057592","SAULT+STE+MARIE+A",1962,2026
"04-03","TMIN",2001-04-03,-4.34333333333333,-14.6,2.9,4.53314866087681,-10.14,-7.85,-1.05,1.61,0.1,"NA (ECCC AES NA; station_id 50092)",NA,50092,"",4,1988-04-03,"DATE: Apr-03<br>Value: 0.1 °C<br>Anomaly: +4.4 °C<br>Weather station: NA (ECCC AES NA; station_id 50092)","DATE: Apr-03<br><b>Minimum temperature</b><br>10-90 percentile<br>-10.1 to 1.6 °C","Historical daily maximum<br>2.9 °C<br>1988-04-03","DATE: Apr-03</b><br>Normal: -4.3 °C<br>Period: 1991-2020","6057592","SAULT+STE+MARIE+A",1962,2026
"04-03","VPD",2001-04-03,0.493539916137518,0.120802762419817,1.67463672084782,0.31582426665711,0.145332478838705,0.284823406256938,0.616603279543921,0.827446078511906,0.110838975109396,"NA (ECCC AES NA; station_id 50092)",NA,50092,"",4,2010-04-03,"DATE: Apr-03<br>Value: 0.1 kPa<br>Anomaly: -0.4 kPa<br>Weather station: NA (ECCC AES NA; station_id 50092)","DATE: Apr-03<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.1 to 0.8 kPa","Historical daily maximum<br>1.7 kPa<br>2010-04-03","DATE: Apr-03</b><br>Normal: 0.5 kPa<br>Period: 1991-2020","6057592","SAULT+STE+MARIE+A",1962,2026
"04-04","TMAX",2001-04-04,3.46666666666667,-7.4,19.1,5.62827427053514,-3.9,0.725,6.875,10.18,1.4,"NA (ECCC AES NA; station_id 50092)",NA,50092,"",4,2010-04-04,"DATE: Apr-04<br>Value: 1.4 °C<br>Anomaly: -2.1 °C<br>Weather station: NA (ECCC AES NA; station_id 50092)","DATE: Apr-04<br><b>Maximum temperature</b><br>10-90 percentile<br>-3.9 to 10.2 °C","Historical daily maximum<br>19.1 °C<br>2010-04-04","DATE: Apr-04</b><br>Normal: 3.5 °C<br>Period: 1991-2020","6057592","SAULT+STE+MARIE+A",1962,2026
"04-04","TMIN",2001-04-04,-5.08,-13.5,1.9,4.27941343064033,-11.94,-6.5,-1.9,-0.29,-0.2,"NA (ECCC AES NA; station_id 50092)",NA,50092,"",4,1991-04-04,"DATE: Apr-04<br>Value: -0.2 °C<br>Anomaly: +4.9 °C<br>Weather station: NA (ECCC AES NA; station_id 50092)","DATE: Apr-04<br><b>Minimum temperature</b><br>10-90 percentile<br>-11.9 to -0.3 °C","Historical daily maximum<br>1.9 °C<br>1991-04-04","DATE: Apr-04</b><br>Normal: -5.1 °C<br>Period: 1991-2020","6057592","SAULT+STE+MARIE+A",1962,2026
