"MD","PLOT_DATE","clim_mean","clim_min","clim_max","q10","q25","q75","q90","PRECIP","PRECIP_CUM","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","hover_bar","pct_normal","hover_value","hover_mean","hover_band25","hover_band10","AES","NAME","por_start","por_end"
"04-01",2001-04-01,4.05666666666667,0,30.4,0,0,4.05,11.22,0,0,"NA (ECCC AES NA; station_id 50840)",NA,50840,"","DATE: Apr-01<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 50840)",0,"DATE: Apr-01<br><b>Cumulative precipitation</b><br>Value: 0.0 mm<br>Anomaly: -4.1 mm<br>Percent of normal: <b>0%</b><br>Weather station: NA (ECCC AES NA; station_id 50840)","DATE: Apr-01<br><b>Normal cumulative precipitation</b><br>4.1 mm<br>Period: 1991-2020","DATE: Apr-01<br><b>25-75 percentile</b><br>0.0 to 4.1 mm","DATE: Apr-01<br><b>10-90 percentile</b><br>0.0 to 11.2 mm","6068150","SUDBURY+A",1954,2026
"04-02",2001-04-02,5.52333333333333,0,46.8,0,0,6.15,11.9,22.4,22.4,"NA (ECCC AES NA; station_id 50840)",NA,50840,"","DATE: Apr-02<br><b>Daily precipitation</b><br>Value: 22.4 mm<br>Weather station: NA (ECCC AES NA; station_id 50840)",405.552202776101,"DATE: Apr-02<br><b>Cumulative precipitation</b><br>Value: 22.4 mm<br>Anomaly: +16.9 mm<br>Percent of normal: <b>406%</b><br>Weather station: NA (ECCC AES NA; station_id 50840)","DATE: Apr-02<br><b>Normal cumulative precipitation</b><br>5.5 mm<br>Period: 1991-2020","DATE: Apr-02<br><b>25-75 percentile</b><br>0.0 to 6.1 mm","DATE: Apr-02<br><b>10-90 percentile</b><br>0.0 to 11.9 mm","6068150","SUDBURY+A",1954,2026
"04-03",2001-04-03,8.31,0,50.4,0,0.95,7.6,26.04,6.7,29.1,"NA (ECCC AES NA; station_id 50840)",NA,50840,"","DATE: Apr-03<br><b>Daily precipitation</b><br>Value: 6.7 mm<br>Weather station: NA (ECCC AES NA; station_id 50840)",350.180505415162,"DATE: Apr-03<br><b>Cumulative precipitation</b><br>Value: 29.1 mm<br>Anomaly: +20.8 mm<br>Percent of normal: <b>350%</b><br>Weather station: NA (ECCC AES NA; station_id 50840)","DATE: Apr-03<br><b>Normal cumulative precipitation</b><br>8.3 mm<br>Period: 1991-2020","DATE: Apr-03<br><b>25-75 percentile</b><br>1.0 to 7.6 mm","DATE: Apr-03<br><b>10-90 percentile</b><br>0.0 to 26.0 mm","6068150","SUDBURY+A",1954,2026
"04-04",2001-04-04,12.25,0,64.2,0,2.45,16.6,30.3,6.4,35.5,"NA (ECCC AES NA; station_id 50840)",NA,50840,"","DATE: Apr-04<br><b>Daily precipitation</b><br>Value: 6.4 mm<br>Weather station: NA (ECCC AES NA; station_id 50840)",289.795918367347,"DATE: Apr-04<br><b>Cumulative precipitation</b><br>Value: 35.5 mm<br>Anomaly: +23.2 mm<br>Percent of normal: <b>290%</b><br>Weather station: NA (ECCC AES NA; station_id 50840)","DATE: Apr-04<br><b>Normal cumulative precipitation</b><br>12.2 mm<br>Period: 1991-2020","DATE: Apr-04<br><b>25-75 percentile</b><br>2.4 to 16.6 mm","DATE: Apr-04<br><b>10-90 percentile</b><br>0.0 to 30.3 mm","6068150","SUDBURY+A",1954,2026
"04-05",2001-04-05,13.53,0,64.2,0.72,2.65,19.4,31.92,0.3,35.8,"NA (ECCC AES NA; station_id 50840)",NA,50840,"","DATE: Apr-05<br><b>Daily precipitation</b><br>Value: 0.3 mm<br>Weather station: NA (ECCC AES NA; station_id 50840)",264.59719142646,"DATE: Apr-05<br><b>Cumulative precipitation</b><br>Value: 35.8 mm<br>Anomaly: +22.3 mm<br>Percent of normal: <b>265%</b><br>Weather station: NA (ECCC AES NA; station_id 50840)","DATE: Apr-05<br><b>Normal cumulative precipitation</b><br>13.5 mm<br>Period: 1991-2020","DATE: Apr-05<br><b>25-75 percentile</b><br>2.7 to 19.4 mm","DATE: Apr-05<br><b>10-90 percentile</b><br>0.7 to 31.9 mm","6068150","SUDBURY+A",1954,2026
"04-06",2001-04-06,16.92,0,67.6,1.5,4.3,24.95,34.74,0.6,36.4,"NA (ECCC AES NA; station_id 50840)",NA,50840,"","DATE: Apr-06<br><b>Daily precipitation</b><br>Value: 0.6 mm<br>Weather station: NA (ECCC AES NA; station_id 50840)",215.130023640662,"DATE: Apr-06<br><b>Cumulative precipitation</b><br>Value: 36.4 mm<br>Anomaly: +19.5 mm<br>Percent of normal: <b>215%</b><br>Weather station: NA (ECCC AES NA; station_id 50840)","DATE: Apr-06<br><b>Normal cumulative precipitation</b><br>16.9 mm<br>Period: 1991-2020","DATE: Apr-06<br><b>25-75 percentile</b><br>4.3 to 24.9 mm","DATE: Apr-06<br><b>10-90 percentile</b><br>1.5 to 34.7 mm","6068150","SUDBURY+A",1954,2026
"04-07",2001-04-07,20.1666666666667,0,71,2.68,7.45,31.25,43.83,0,36.4,"NA (ECCC AES NA; station_id 50840)",NA,50840,"","DATE: Apr-07<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 50840)",180.495867768595,"DATE: Apr-07<br><b>Cumulative precipitation</b><br>Value: 36.4 mm<br>Anomaly: +16.2 mm<br>Percent of normal: <b>180%</b><br>Weather station: NA (ECCC AES NA; station_id 50840)","DATE: Apr-07<br><b>Normal cumulative precipitation</b><br>20.2 mm<br>Period: 1991-2020","DATE: Apr-07<br><b>25-75 percentile</b><br>7.4 to 31.2 mm","DATE: Apr-07<br><b>10-90 percentile</b><br>2.7 to 43.8 mm","6068150","SUDBURY+A",1954,2026
"04-08",2001-04-08,22.1,1.6,72.6,3.16,8,31.6,44.19,0,36.4,"NA (ECCC AES NA; station_id 50840)",NA,50840,"","DATE: Apr-08<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 50840)",164.705882352941,"DATE: Apr-08<br><b>Cumulative precipitation</b><br>Value: 36.4 mm<br>Anomaly: +14.3 mm<br>Percent of normal: <b>165%</b><br>Weather station: NA (ECCC AES NA; station_id 50840)","DATE: Apr-08<br><b>Normal cumulative precipitation</b><br>22.1 mm<br>Period: 1991-2020","DATE: Apr-08<br><b>25-75 percentile</b><br>8.0 to 31.6 mm","DATE: Apr-08<br><b>10-90 percentile</b><br>3.2 to 44.2 mm","6068150","SUDBURY+A",1954,2026
"04-09",2001-04-09,23.9866666666667,1.6,72.6,4.78,9.3,34.075,44.19,6.1,42.5,"NA (ECCC AES NA; station_id 50840)",NA,50840,"","DATE: Apr-09<br><b>Daily precipitation</b><br>Value: 6.1 mm<br>Weather station: NA (ECCC AES NA; station_id 50840)",177.181767648694,"DATE: Apr-09<br><b>Cumulative precipitation</b><br>Value: 42.5 mm<br>Anomaly: +18.5 mm<br>Percent of normal: <b>177%</b><br>Weather station: NA (ECCC AES NA; station_id 50840)","DATE: Apr-09<br><b>Normal cumulative precipitation</b><br>24.0 mm<br>Period: 1991-2020","DATE: Apr-09<br><b>25-75 percentile</b><br>9.3 to 34.1 mm","DATE: Apr-09<br><b>10-90 percentile</b><br>4.8 to 44.2 mm","6068150","SUDBURY+A",1954,2026
"04-10",2001-04-10,26.2833333333333,1.6,72.6,4.78,10.95,34.35,44.73,0,42.5,"NA (ECCC AES NA; station_id 50840)",NA,50840,"","DATE: Apr-10<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 50840)",161.699429296132,"DATE: Apr-10<br><b>Cumulative precipitation</b><br>Value: 42.5 mm<br>Anomaly: +16.2 mm<br>Percent of normal: <b>162%</b><br>Weather station: NA (ECCC AES NA; station_id 50840)","DATE: Apr-10<br><b>Normal cumulative precipitation</b><br>26.3 mm<br>Period: 1991-2020","DATE: Apr-10<br><b>25-75 percentile</b><br>10.9 to 34.4 mm","DATE: Apr-10<br><b>10-90 percentile</b><br>4.8 to 44.7 mm","6068150","SUDBURY+A",1954,2026
"04-11",2001-04-11,27.61,1.6,81.6,6.94,13.95,34.85,47.08,0,42.5,"NA (ECCC AES NA; station_id 50840)",NA,50840,"","DATE: Apr-11<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 50840)",153.929735603042,"DATE: Apr-11<br><b>Cumulative precipitation</b><br>Value: 42.5 mm<br>Anomaly: +14.9 mm<br>Percent of normal: <b>154%</b><br>Weather station: NA (ECCC AES NA; station_id 50840)","DATE: Apr-11<br><b>Normal cumulative precipitation</b><br>27.6 mm<br>Period: 1991-2020","DATE: Apr-11<br><b>25-75 percentile</b><br>14.0 to 34.8 mm","DATE: Apr-11<br><b>10-90 percentile</b><br>6.9 to 47.1 mm","6068150","SUDBURY+A",1954,2026
