"MD","variable","PLOT_DATE","clim_mean","clim_min","clim_max","clim_sd","q10","q25","q75","q90","value","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","MONTH","clim_max_date","hover_value","hover_band","hover_histmax","hover_mean","AES","NAME","por_start","por_end"
"04-01","TMAX",2001-04-01,7.93,0.4,20.8,4.12738123536813,3.81,5.375,11.225,12.28,6.6,"TRENTON A (ECCC AES 6158875; station_id 5126)","6158875",5126,"TRENTON A",4,2010-04-01,"DATE: Apr-01<br>Value: 6.6 °C<br>Anomaly: -1.3 °C<br>Weather station: TRENTON A (ECCC AES 6158875; station_id 5126)","DATE: Apr-01<br><b>Maximum temperature</b><br>10-90 percentile<br>3.8 to 12.3 °C","Historical daily maximum<br>20.8 °C<br>2010-04-01","DATE: Apr-01</b><br>Normal: 7.9 °C<br>Period: 1991-2020","6158875","TRENTON+A",1953,2026
"04-01","TMIN",2001-04-01,-1.19,-8.9,4.6,3.36773227701597,-4.39,-3.45,1.275,3.4,-1.2,"TRENTON A (ECCC AES 6158875; station_id 5126)","6158875",5126,"TRENTON A",4,1967-04-01,"DATE: Apr-01<br>Value: -1.2 °C<br>Anomaly: 0.0 °C<br>Weather station: TRENTON A (ECCC AES 6158875; station_id 5126)","DATE: Apr-01<br><b>Minimum temperature</b><br>10-90 percentile<br>-4.4 to 3.4 °C","Historical daily maximum<br>4.6 °C<br>1967-04-01","DATE: Apr-01</b><br>Normal: -1.2 °C<br>Period: 1991-2020","6158875","TRENTON+A",1953,2026
"04-01","VPD",2001-04-01,0.531542524949428,0.116813786072696,1.8971444796014,0.336430684169422,0.252132256414601,0.370969939374994,0.655856070217548,0.854971932492081,0.415199610160431,"TRENTON A (ECCC AES 6158875; station_id 5126)","6158875",5126,"TRENTON A",4,2010-04-01,"DATE: Apr-01<br>Value: 0.4 kPa<br>Anomaly: -0.1 kPa<br>Weather station: TRENTON A (ECCC AES 6158875; station_id 5126)","DATE: Apr-01<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.3 to 0.9 kPa","Historical daily maximum<br>1.9 kPa<br>2010-04-01","DATE: Apr-01</b><br>Normal: 0.5 kPa<br>Period: 1991-2020","6158875","TRENTON+A",1953,2026
"04-02","TMAX",2001-04-02,8.73333333333333,0.4,25.2,5.45327066259692,2.68,5.5,13.05,14.83,8.3,"TRENTON A (ECCC AES 6158875; station_id 5126)","6158875",5126,"TRENTON A",4,2010-04-02,"DATE: Apr-02<br>Value: 8.3 °C<br>Anomaly: -0.4 °C<br>Weather station: TRENTON A (ECCC AES 6158875; station_id 5126)","DATE: Apr-02<br><b>Maximum temperature</b><br>10-90 percentile<br>2.7 to 14.8 °C","Historical daily maximum<br>25.2 °C<br>2010-04-02","DATE: Apr-02</b><br>Normal: 8.7 °C<br>Period: 1991-2020","6158875","TRENTON+A",1953,2026
"04-02","TMIN",2001-04-02,-1.00666666666667,-7.2,5.2,3.24015041512638,-5.56,-2.675,-0.025,3.74,-1.5,"TRENTON A (ECCC AES 6158875; station_id 5126)","6158875",5126,"TRENTON A",4,1963-04-02,"DATE: Apr-02<br>Value: -1.5 °C<br>Anomaly: -0.5 °C<br>Weather station: TRENTON A (ECCC AES 6158875; station_id 5126)","DATE: Apr-02<br><b>Minimum temperature</b><br>10-90 percentile<br>-5.6 to 3.7 °C","Historical daily maximum<br>5.2 °C<br>1963-04-02","DATE: Apr-02</b><br>Normal: -1.0 °C<br>Period: 1991-2020","6158875","TRENTON+A",1953,2026
"04-02","VPD",2001-04-02,0.617814362851255,0.0734393963029345,2.32114781983377,0.474108410368579,0.222726884917762,0.285633125950812,0.901721869839574,1.15737404948542,0.547633971424102,"TRENTON A (ECCC AES 6158875; station_id 5126)","6158875",5126,"TRENTON A",4,2010-04-02,"DATE: Apr-02<br>Value: 0.5 kPa<br>Anomaly: -0.1 kPa<br>Weather station: TRENTON A (ECCC AES 6158875; station_id 5126)","DATE: Apr-02<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 1.2 kPa","Historical daily maximum<br>2.3 kPa<br>2010-04-02","DATE: Apr-02</b><br>Normal: 0.6 kPa<br>Period: 1991-2020","6158875","TRENTON+A",1953,2026
"04-03","TMAX",2001-04-03,8.53,-0.6,25.6,5.31965451302348,2.95,5.125,10.775,14.35,22.3,"TRENTON A (ECCC AES 6158875; station_id 5126)","6158875",5126,"TRENTON A",4,2010-04-03,"DATE: Apr-03<br>Value: 22.3 °C<br>Anomaly: +13.8 °C<br>Weather station: TRENTON A (ECCC AES 6158875; station_id 5126)","DATE: Apr-03<br><b>Maximum temperature</b><br>10-90 percentile<br>3.0 to 14.4 °C","Historical daily maximum<br>25.6 °C<br>2010-04-03","DATE: Apr-03</b><br>Normal: 8.5 °C<br>Period: 1991-2020","6158875","TRENTON+A",1953,2026
"04-03","TMIN",2001-04-03,-0.606666666666667,-7,6.4,3.60411004207728,-5.02,-3.2,2.3,4.01,3.4,"TRENTON A (ECCC AES 6158875; station_id 5126)","6158875",5126,"TRENTON A",4,1988-04-03,"DATE: Apr-03<br>Value: 3.4 °C<br>Anomaly: +4.0 °C<br>Weather station: TRENTON A (ECCC AES 6158875; station_id 5126)","DATE: Apr-03<br><b>Minimum temperature</b><br>10-90 percentile<br>-5.0 to 4.0 °C","Historical daily maximum<br>6.4 °C<br>1988-04-03","DATE: Apr-03</b><br>Normal: -0.6 °C<br>Period: 1991-2020","6158875","TRENTON+A",1953,2026
"04-03","VPD",2001-04-03,0.578663885863479,0.1523203257164,2.32144783153167,0.422634231026242,0.220562045310359,0.350412216127323,0.68937486814993,1.01221623479892,1.91311489214724,"TRENTON A (ECCC AES 6158875; station_id 5126)","6158875",5126,"TRENTON A",4,2010-04-03,"DATE: Apr-03<br>Value: 1.9 kPa<br>Anomaly: +1.3 kPa<br>Weather station: TRENTON A (ECCC AES 6158875; station_id 5126)","DATE: Apr-03<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 1.0 kPa","Historical daily maximum<br>2.3 kPa<br>2010-04-03","DATE: Apr-03</b><br>Normal: 0.6 kPa<br>Period: 1991-2020","6158875","TRENTON+A",1953,2026
"04-04","TMAX",2001-04-04,7.43,-2.8,16.2,4.26446018736899,2.81,5.225,10.625,12.58,8.4,"TRENTON A (ECCC AES 6158875; station_id 5126)","6158875",5126,"TRENTON A",4,1974-04-04,"DATE: Apr-04<br>Value: 8.4 °C<br>Anomaly: +1.0 °C<br>Weather station: TRENTON A (ECCC AES 6158875; station_id 5126)","DATE: Apr-04<br><b>Maximum temperature</b><br>10-90 percentile<br>2.8 to 12.6 °C","Historical daily maximum<br>16.2 °C<br>1974-04-04","DATE: Apr-04</b><br>Normal: 7.4 °C<br>Period: 1991-2020","6158875","TRENTON+A",1953,2026
"04-04","TMIN",2001-04-04,-1.60333333333333,-9.5,4.8,3.78258106856018,-5.98,-4.475,1.2,3.44,1.5,"TRENTON A (ECCC AES 6158875; station_id 5126)","6158875",5126,"TRENTON A",4,1981-04-04,"DATE: Apr-04<br>Value: 1.5 °C<br>Anomaly: +3.1 °C<br>Weather station: TRENTON A (ECCC AES 6158875; station_id 5126)","DATE: Apr-04<br><b>Minimum temperature</b><br>10-90 percentile<br>-6.0 to 3.4 °C","Historical daily maximum<br>4.8 °C<br>1981-04-04","DATE: Apr-04</b><br>Normal: -1.6 °C<br>Period: 1991-2020","6158875","TRENTON+A",1953,2026
"04-04","VPD",2001-04-04,0.507973947181296,0.121403253380602,1.15081916343376,0.261374256627857,0.203705365182703,0.299038461977251,0.597802230195843,0.841645959564538,0.421560118151799,"TRENTON A (ECCC AES 6158875; station_id 5126)","6158875",5126,"TRENTON A",4,1974-04-04,"DATE: Apr-04<br>Value: 0.4 kPa<br>Anomaly: -0.1 kPa<br>Weather station: TRENTON A (ECCC AES 6158875; station_id 5126)","DATE: Apr-04<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 0.8 kPa","Historical daily maximum<br>1.2 kPa<br>1974-04-04","DATE: Apr-04</b><br>Normal: 0.5 kPa<br>Period: 1991-2020","6158875","TRENTON+A",1953,2026
"04-05","TMAX",2001-04-05,7.7,-1.1,20,4.98743248161022,1.94,4,10.475,13.3,8.7,"TRENTON A (ECCC AES 6158875; station_id 5126)","6158875",5126,"TRENTON A",4,2010-04-05,"DATE: Apr-05<br>Value: 8.7 °C<br>Anomaly: +1.0 °C<br>Weather station: TRENTON A (ECCC AES 6158875; station_id 5126)","DATE: Apr-05<br><b>Maximum temperature</b><br>10-90 percentile<br>1.9 to 13.3 °C","Historical daily maximum<br>20.0 °C<br>2010-04-05","DATE: Apr-05</b><br>Normal: 7.7 °C<br>Period: 1991-2020","6158875","TRENTON+A",1953,2026
"04-05","TMIN",2001-04-05,-2.30666666666667,-10.3,4.8,4.00352718050689,-7.78,-4.9,0.275,3.15,1.2,"TRENTON A (ECCC AES 6158875; station_id 5126)","6158875",5126,"TRENTON A",4,1987-04-05,"DATE: Apr-05<br>Value: 1.2 °C<br>Anomaly: +3.5 °C<br>Weather station: TRENTON A (ECCC AES 6158875; station_id 5126)","DATE: Apr-05<br><b>Minimum temperature</b><br>10-90 percentile<br>-7.8 to 3.2 °C","Historical daily maximum<br>4.8 °C<br>1987-04-05","DATE: Apr-05</b><br>Normal: -2.3 °C<br>Period: 1991-2020","6158875","TRENTON+A",1953,2026
"04-05","VPD",2001-04-05,0.56987395341685,0.249078216836515,1.57512010122613,0.288027534382291,0.317281076170734,0.350949542846666,0.683861518485495,0.886872267035035,0.458751041260371,"TRENTON A (ECCC AES 6158875; station_id 5126)","6158875",5126,"TRENTON A",4,2010-04-05,"DATE: Apr-05<br>Value: 0.5 kPa<br>Anomaly: -0.1 kPa<br>Weather station: TRENTON A (ECCC AES 6158875; station_id 5126)","DATE: Apr-05<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.3 to 0.9 kPa","Historical daily maximum<br>1.6 kPa<br>2010-04-05","DATE: Apr-05</b><br>Normal: 0.6 kPa<br>Period: 1991-2020","6158875","TRENTON+A",1953,2026
"04-06","TMAX",2001-04-06,8.65666666666667,-2,20.8,5.89866632111159,2.25,4.2,13.8,15.28,7,"TRENTON A (ECCC AES 6158875; station_id 5126)","6158875",5126,"TRENTON A",4,1997-04-06,"DATE: Apr-06<br>Value: 7.0 °C<br>Anomaly: -1.7 °C<br>Weather station: TRENTON A (ECCC AES 6158875; station_id 5126)","DATE: Apr-06<br><b>Maximum temperature</b><br>10-90 percentile<br>2.3 to 15.3 °C","Historical daily maximum<br>20.8 °C<br>1997-04-06","DATE: Apr-06</b><br>Normal: 8.7 °C<br>Period: 1991-2020","6158875","TRENTON+A",1953,2026
