"AES","NAME","MD","variable","por_start","por_end","clim_mean","clim_sd","clim_max","clim_max_date","value","rec_all_val","rec_all_date","value_record"
"7060400","BAGOTVILLE+A","04-01","BUI",1953,2026,NA,NA,NA,NA,NA,94.8,2021-09-05,NA
"7060400","BAGOTVILLE+A","04-02","BUI",1953,2026,NA,NA,NA,NA,NA,94.8,2021-09-05,NA
"7060400","BAGOTVILLE+A","04-03","BUI",1953,2026,NA,NA,NA,NA,NA,94.8,2021-09-05,NA
"7060400","BAGOTVILLE+A","04-04","BUI",1953,2026,NA,NA,NA,NA,NA,94.8,2021-09-05,NA
"7060400","BAGOTVILLE+A","04-05","BUI",1953,2026,NA,NA,21.5,1958-04-05,NA,94.8,2021-09-05,NA
"7060400","BAGOTVILLE+A","04-06","BUI",1953,2026,NA,NA,22,1958-04-06,NA,94.8,2021-09-05,NA
"7060400","BAGOTVILLE+A","04-07","BUI",1953,2026,NA,NA,14.9,1958-04-07,NA,94.8,2021-09-05,NA
"7060400","BAGOTVILLE+A","04-08","BUI",1953,2026,NA,NA,NA,NA,NA,94.8,2021-09-05,NA
"7060400","BAGOTVILLE+A","04-09","BUI",1953,2026,NA,NA,6.4,1962-04-09,NA,94.8,2021-09-05,NA
"7060400","BAGOTVILLE+A","04-10","BUI",1953,2026,NA,NA,7,1981-04-10,NA,94.8,2021-09-05,NA
"7060400","BAGOTVILLE+A","04-11","BUI",1953,2026,NA,NA,16,1958-04-11,NA,94.8,2021-09-05,NA
"7060400","BAGOTVILLE+A","04-12","BUI",1953,2026,NA,NA,19.2,1965-04-12,NA,94.8,2021-09-05,NA
"7060400","BAGOTVILLE+A","04-13","BUI",1953,2026,NA,NA,20,1965-04-13,NA,94.8,2021-09-05,NA
"7060400","BAGOTVILLE+A","04-14","BUI",1953,2026,15,NA,21.3,1965-04-14,NA,94.8,2021-09-05,NA
"7060400","BAGOTVILLE+A","04-15","BUI",1953,2026,11.9,7.35391052434009,23.1,1965-04-15,NA,94.8,2021-09-05,NA
