"MD","variable","PLOT_DATE","clim_mean","clim_min","clim_max","clim_sd","q10","q25","q75","q90","value","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","MONTH","clim_max_date","hover_value","hover_band","hover_histmax","hover_mean","AES","NAME","por_start","por_end"
"04-01","TMAX",2001-04-01,4.27241379310345,-7.4,14.1,4.33695882187739,-1.44,3.7,6.3,7.68,0.1,"BAGOTVILLE A (ECCC AES 7060400; station_id 5889)","7060400",5889,"BAGOTVILLE A",4,1986-04-01,"DATE: Apr-01<br>Value: 0.1 °C<br>Anomaly: -4.2 °C<br>Weather station: BAGOTVILLE A (ECCC AES 7060400; station_id 5889)","DATE: Apr-01<br><b>Maximum temperature</b><br>10-90 percentile<br>-1.4 to 7.7 °C","Historical daily maximum<br>14.1 °C<br>1986-04-01","DATE: Apr-01</b><br>Normal: 4.3 °C<br>Period: 1991-2020","7060400","BAGOTVILLE+A",1953,2026
"04-01","TMIN",2001-04-01,-6.2,-17.6,0.5,5.48432832194218,-14.16,-9.7,-1.2,-0.28,-9.2,"BAGOTVILLE A (ECCC AES 7060400; station_id 5889)","7060400",5889,"BAGOTVILLE A",4,1976-04-01,"DATE: Apr-01<br>Value: -9.2 °C<br>Anomaly: -3.0 °C<br>Weather station: BAGOTVILLE A (ECCC AES 7060400; station_id 5889)","DATE: Apr-01<br><b>Minimum temperature</b><br>10-90 percentile<br>-14.2 to -0.3 °C","Historical daily maximum<br>0.5 °C<br>1976-04-01","DATE: Apr-01</b><br>Normal: -6.2 °C<br>Period: 1991-2020","7060400","BAGOTVILLE+A",1953,2026
"04-01","VPD",2001-04-01,0.448323407447362,0.146656034018855,1.07768175846678,0.208655032082619,0.242762524881512,0.293676357068868,0.567006093695359,0.694647017639343,0.3108982683298,"BAGOTVILLE A (ECCC AES 7060400; station_id 5889)","7060400",5889,"BAGOTVILLE A",4,1986-04-01,"DATE: Apr-01<br>Value: 0.3 kPa<br>Anomaly: -0.1 kPa<br>Weather station: BAGOTVILLE A (ECCC AES 7060400; station_id 5889)","DATE: Apr-01<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 0.7 kPa","Historical daily maximum<br>1.1 kPa<br>1986-04-01","DATE: Apr-01</b><br>Normal: 0.4 kPa<br>Period: 1991-2020","7060400","BAGOTVILLE+A",1953,2026
"04-02","TMAX",2001-04-02,3.99666666666667,-6.4,13.4,3.94701837125044,1.1,1.725,6.65,8.33,2.2,"BAGOTVILLE A (ECCC AES 7060400; station_id 5889)","7060400",5889,"BAGOTVILLE A",4,2010-04-02,"DATE: Apr-02<br>Value: 2.2 °C<br>Anomaly: -1.8 °C<br>Weather station: BAGOTVILLE A (ECCC AES 7060400; station_id 5889)","DATE: Apr-02<br><b>Maximum temperature</b><br>10-90 percentile<br>1.1 to 8.3 °C","Historical daily maximum<br>13.4 °C<br>2010-04-02","DATE: Apr-02</b><br>Normal: 4.0 °C<br>Period: 1991-2020","7060400","BAGOTVILLE+A",1953,2026
"04-02","TMIN",2001-04-02,-5.73333333333333,-22.6,0.6,5.20552314992142,-12.01,-8.7,-1.625,-0.549999999999999,-17.1,"BAGOTVILLE A (ECCC AES 7060400; station_id 5889)","7060400",5889,"BAGOTVILLE A",4,1976-04-02,"DATE: Apr-02<br>Value: -17.1 °C<br>Anomaly: -11.4 °C<br>Weather station: BAGOTVILLE A (ECCC AES 7060400; station_id 5889)","DATE: Apr-02<br><b>Minimum temperature</b><br>10-90 percentile<br>-12.0 to -0.5 °C","Historical daily maximum<br>0.6 °C<br>1976-04-02","DATE: Apr-02</b><br>Normal: -5.7 °C<br>Period: 1991-2020","7060400","BAGOTVILLE+A",1953,2026
"04-02","VPD",2001-04-02,0.416958009963214,0.103311961247899,0.952775917161171,0.178024252434948,0.202175309280473,0.283780447121179,0.535559727633328,0.616565511182657,0.556050861054617,"BAGOTVILLE A (ECCC AES 7060400; station_id 5889)","7060400",5889,"BAGOTVILLE A",4,2010-04-02,"DATE: Apr-02<br>Value: 0.6 kPa<br>Anomaly: +0.1 kPa<br>Weather station: BAGOTVILLE A (ECCC AES 7060400; station_id 5889)","DATE: Apr-02<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 0.6 kPa","Historical daily maximum<br>1.0 kPa<br>2010-04-02","DATE: Apr-02</b><br>Normal: 0.4 kPa<br>Period: 1991-2020","7060400","BAGOTVILLE+A",1953,2026
"04-03","TMAX",2001-04-03,4.06,-9,22.7,6.00239032845852,-2.84,0.85,6.3,9.99,-0.1,"BAGOTVILLE A (ECCC AES 7060400; station_id 5889)","7060400",5889,"BAGOTVILLE A",4,2010-04-03,"DATE: Apr-03<br>Value: -0.1 °C<br>Anomaly: -4.2 °C<br>Weather station: BAGOTVILLE A (ECCC AES 7060400; station_id 5889)","DATE: Apr-03<br><b>Maximum temperature</b><br>10-90 percentile<br>-2.8 to 10.0 °C","Historical daily maximum<br>22.7 °C<br>2010-04-03","DATE: Apr-03</b><br>Normal: 4.1 °C<br>Period: 1991-2020","7060400","BAGOTVILLE+A",1953,2026
"04-03","TMIN",2001-04-03,-5.4,-16.4,1.7,4.53933004323097,-11.37,-8.475,-2.5,0.6,-5.4,"BAGOTVILLE A (ECCC AES 7060400; station_id 5889)","7060400",5889,"BAGOTVILLE A",4,2010-04-03,"DATE: Apr-03<br>Value: -5.4 °C<br>Anomaly: 0.0 °C<br>Weather station: BAGOTVILLE A (ECCC AES 7060400; station_id 5889)","DATE: Apr-03<br><b>Minimum temperature</b><br>10-90 percentile<br>-11.4 to 0.6 °C","Historical daily maximum<br>1.7 °C<br>2010-04-03","DATE: Apr-03</b><br>Normal: -5.4 °C<br>Period: 1991-2020","7060400","BAGOTVILLE+A",1953,2026
"04-03","VPD",2001-04-03,0.456610158215586,0.0760222053016882,2.06822723899364,0.387495035553777,0.15510901437799,0.212004926775273,0.554514463881118,0.796236984155026,0.1978158694553,"BAGOTVILLE A (ECCC AES 7060400; station_id 5889)","7060400",5889,"BAGOTVILLE A",4,2010-04-03,"DATE: Apr-03<br>Value: 0.2 kPa<br>Anomaly: -0.3 kPa<br>Weather station: BAGOTVILLE A (ECCC AES 7060400; station_id 5889)","DATE: Apr-03<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 0.8 kPa","Historical daily maximum<br>2.1 kPa<br>2010-04-03","DATE: Apr-03</b><br>Normal: 0.5 kPa<br>Period: 1991-2020","7060400","BAGOTVILLE+A",1953,2026
"04-04","TMAX",2001-04-04,4.05,-8.9,16.7,5.5285310139687,-3.5,2.2,7,9.31,2.4,"BAGOTVILLE A (ECCC AES 7060400; station_id 5889)","7060400",5889,"BAGOTVILLE A",4,2010-04-04,"DATE: Apr-04<br>Value: 2.4 °C<br>Anomaly: -1.6 °C<br>Weather station: BAGOTVILLE A (ECCC AES 7060400; station_id 5889)","DATE: Apr-04<br><b>Maximum temperature</b><br>10-90 percentile<br>-3.5 to 9.3 °C","Historical daily maximum<br>16.7 °C<br>2010-04-04","DATE: Apr-04</b><br>Normal: 4.0 °C<br>Period: 1991-2020","7060400","BAGOTVILLE+A",1953,2026
