"AES","NAME","MD","variable","por_start","por_end","clim_mean","clim_sd","clim_max","clim_max_date","value","rec_all_val","rec_all_date","value_record"
"7010565","BEAUPORT","04-01","BUI",1999,2026,0.4,NA,0.4,2014-04-01,NA,111.1,2007-08-02,NA
"7010565","BEAUPORT","04-02","BUI",1999,2026,2.8,2.82842712474619,4.8,2012-04-02,NA,111.1,2007-08-02,NA
"7010565","BEAUPORT","04-03","BUI",1999,2026,3.5,3.39411254969543,5.9,2012-04-03,NA,111.1,2007-08-02,NA
"7010565","BEAUPORT","04-04","BUI",1999,2026,3.9,3.39411254969543,6.3,2012-04-04,NA,111.1,2007-08-02,NA
"7010565","BEAUPORT","04-05","BUI",1999,2026,3.65,4.73761543394987,7,2012-04-05,NA,111.1,2007-08-02,NA
"7010565","BEAUPORT","04-06","BUI",1999,2026,4.2,5.37401153701776,8,2012-04-06,NA,111.1,2007-08-02,NA
"7010565","BEAUPORT","04-07","BUI",1999,2026,4.9,4.80832611206852,8.3,2012-04-07,NA,111.1,2007-08-02,NA
"7010565","BEAUPORT","04-08","BUI",1999,2026,4.6,6.22253967444162,9,2012-04-08,NA,111.1,2007-08-02,NA
"7010565","BEAUPORT","04-09","BUI",1999,2026,5,6.36396103067893,9.5,2012-04-09,NA,111.1,2007-08-02,NA
"7010565","BEAUPORT","04-10","BUI",1999,2026,5.5,5.79827560572969,9.6,2012-04-10,NA,111.1,2007-08-02,NA
"7010565","BEAUPORT","04-11","BUI",1999,2026,5.5,6.50538238691624,10.1,2012-04-11,NA,111.1,2007-08-02,NA
"7010565","BEAUPORT","04-12","BUI",1999,2026,5.45,5.30330085889911,9.2,2012-04-12,NA,111.1,2007-08-02,NA
"7010565","BEAUPORT","04-13","BUI",1999,2026,6.5,6.50538238691624,11.1,2012-04-13,NA,111.1,2007-08-02,NA
"7010565","BEAUPORT","04-14","BUI",1999,2026,6.9,9.05096679918781,13.3,2012-04-14,NA,111.1,2007-08-02,NA
"7010565","BEAUPORT","04-15","BUI",1999,2026,7.65,10.3944696834422,15,2012-04-15,NA,111.1,2007-08-02,NA
"7010565","BEAUPORT","04-16","BUI",1999,2026,8.35,11.8086832458153,16.7,2012-04-16,NA,111.1,2007-08-02,NA
"7010565","BEAUPORT","04-17","BUI",1999,2026,8.05,10.5358910396796,15.5,2012-04-17,NA,111.1,2007-08-02,NA
"7010565","BEAUPORT","04-18","BUI",1999,2026,8.7,7.43236167042482,16.5,2012-04-18,NA,111.1,2007-08-02,NA
"7010565","BEAUPORT","04-19","BUI",1999,2026,10.5666666666667,8.05874266454348,18.4,2012-04-19,NA,111.1,2007-08-02,NA
"7010565","BEAUPORT","04-20","BUI",1999,2026,10.8,7.81728853247723,18.9,2012-04-20,NA,111.1,2007-08-02,NA
"7010565","BEAUPORT","04-21","BUI",1999,2026,11.7333333333333,7.40090084606822,19.2,2012-04-21,NA,111.1,2007-08-02,NA
