"MD","variable","PLOT_DATE","clim_mean","clim_min","clim_max","clim_sd","q10","q25","q75","q90","value","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","MONTH","clim_max_date","hover_value","hover_band","hover_histmax","hover_mean","AES","NAME","por_start","por_end"
"04-01","TMAX",2001-04-01,0.908333333333333,-2.7,6.1,2.41317338728518,-1.78,-0.825,2.05,3.88,-2.6,"CAP-D'ESPOIR (ECCC AES 7051050; station_id 9001)","7051050",9001,"CAP-D'ESPOIR",4,2000-04-01,"DATE: Apr-01<br>Value: -2.6 °C<br>Anomaly: -3.5 °C<br>Weather station: CAP-D'ESPOIR (ECCC AES 7051050; station_id 9001)","DATE: Apr-01<br><b>Maximum temperature</b><br>10-90 percentile<br>-1.8 to 3.9 °C","Historical daily maximum<br>6.1 °C<br>2000-04-01","DATE: Apr-01</b><br>Normal: 0.9 °C<br>Period: 1991-2020","7051050","CAP-DESPOIR",1994,2026
"04-01","TMIN",2001-04-01,-3.825,-10.3,0.9,2.97383517569046,-8.27,-5.2,-2.075,-0.1,-5.3,"CAP-D'ESPOIR (ECCC AES 7051050; station_id 9001)","7051050",9001,"CAP-D'ESPOIR",4,2006-04-01,"DATE: Apr-01<br>Value: -5.3 °C<br>Anomaly: -1.5 °C<br>Weather station: CAP-D'ESPOIR (ECCC AES 7051050; station_id 9001)","DATE: Apr-01<br><b>Minimum temperature</b><br>10-90 percentile<br>-8.3 to -0.1 °C","Historical daily maximum<br>0.9 °C<br>2006-04-01","DATE: Apr-01</b><br>Normal: -3.8 °C<br>Period: 1991-2020","7051050","CAP-DESPOIR",1994,2026
"04-01","VPD",2001-04-01,0.191157144980613,0.0352544295193694,0.335234069134393,0.0830618943796241,0.0712223457177024,0.140827783278086,0.252915372059375,0.281464598098827,0.0927649263225054,"CAP-D'ESPOIR (ECCC AES 7051050; station_id 9001)","7051050",9001,"CAP-D'ESPOIR",4,2025-04-01,"DATE: Apr-01<br>Value: 0.1 kPa<br>Anomaly: -0.1 kPa<br>Weather station: CAP-D'ESPOIR (ECCC AES 7051050; station_id 9001)","DATE: Apr-01<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.1 to 0.3 kPa","Historical daily maximum<br>0.3 kPa<br>2025-04-01","DATE: Apr-01</b><br>Normal: 0.2 kPa<br>Period: 1991-2020","7051050","CAP-DESPOIR",1994,2026
"04-02","TMAX",2001-04-02,0.858333333333333,-3.3,5,2.02590112352968,-0.87,-0.5,2.5,3.47,-1.1,"CAP-D'ESPOIR (ECCC AES 7051050; station_id 9001)","7051050",9001,"CAP-D'ESPOIR",4,2009-04-02,"DATE: Apr-02<br>Value: -1.1 °C<br>Anomaly: -2.0 °C<br>Weather station: CAP-D'ESPOIR (ECCC AES 7051050; station_id 9001)","DATE: Apr-02<br><b>Maximum temperature</b><br>10-90 percentile<br>-0.9 to 3.5 °C","Historical daily maximum<br>5.0 °C<br>2009-04-02","DATE: Apr-02</b><br>Normal: 0.9 °C<br>Period: 1991-2020","7051050","CAP-DESPOIR",1994,2026
"04-02","TMIN",2001-04-02,-3.96666666666667,-9.3,0.6,3.10002337532094,-8.63,-7.025,-1.55,-0.75,-5.5,"CAP-D'ESPOIR (ECCC AES 7051050; station_id 9001)","7051050",9001,"CAP-D'ESPOIR",4,2006-04-02,"DATE: Apr-02<br>Value: -5.5 °C<br>Anomaly: -1.5 °C<br>Weather station: CAP-D'ESPOIR (ECCC AES 7051050; station_id 9001)","DATE: Apr-02<br><b>Minimum temperature</b><br>10-90 percentile<br>-8.6 to -0.8 °C","Historical daily maximum<br>0.6 °C<br>2006-04-02","DATE: Apr-02</b><br>Normal: -4.0 °C<br>Period: 1991-2020","7051050","CAP-DESPOIR",1994,2026
"04-02","VPD",2001-04-02,0.190311958352275,0.0658362550636709,0.3166358351655,0.0882186147185139,0.0731763314537892,0.111158981885616,0.278457771918454,0.298013652459432,0.158148149539847,"CAP-D'ESPOIR (ECCC AES 7051050; station_id 9001)","7051050",9001,"CAP-D'ESPOIR",4,2023-04-02,"DATE: Apr-02<br>Value: 0.2 kPa<br>Anomaly: 0.0 kPa<br>Weather station: CAP-D'ESPOIR (ECCC AES 7051050; station_id 9001)","DATE: Apr-02<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.1 to 0.3 kPa","Historical daily maximum<br>0.3 kPa<br>2023-04-02","DATE: Apr-02</b><br>Normal: 0.2 kPa<br>Period: 1991-2020","7051050","CAP-DESPOIR",1994,2026
"04-03","TMAX",2001-04-03,0.995833333333333,-3,7.4,2.72356530507614,-1.72,-0.825,1.925,5.25,-1.9,"CAP-D'ESPOIR (ECCC AES 7051050; station_id 9001)","7051050",9001,"CAP-D'ESPOIR",4,2010-04-03,"DATE: Apr-03<br>Value: -1.9 °C<br>Anomaly: -2.9 °C<br>Weather station: CAP-D'ESPOIR (ECCC AES 7051050; station_id 9001)","DATE: Apr-03<br><b>Maximum temperature</b><br>10-90 percentile<br>-1.7 to 5.2 °C","Historical daily maximum<br>7.4 °C<br>2010-04-03","DATE: Apr-03</b><br>Normal: 1.0 °C<br>Period: 1991-2020","7051050","CAP-DESPOIR",1994,2026
"04-03","TMIN",2001-04-03,-4.20416666666667,-12,1.1,3.62329170142609,-9.7,-6.075,-1.725,0.0699999999999993,-3.8,"CAP-D'ESPOIR (ECCC AES 7051050; station_id 9001)","7051050",9001,"CAP-D'ESPOIR",4,2010-04-03,"DATE: Apr-03<br>Value: -3.8 °C<br>Anomaly: +0.4 °C<br>Weather station: CAP-D'ESPOIR (ECCC AES 7051050; station_id 9001)","DATE: Apr-03<br><b>Minimum temperature</b><br>10-90 percentile<br>-9.7 to 0.1 °C","Historical daily maximum<br>1.1 °C<br>2010-04-03","DATE: Apr-03</b><br>Normal: -4.2 °C<br>Period: 1991-2020","7051050","CAP-DESPOIR",1994,2026
"04-03","VPD",2001-04-03,0.206685448901832,0.0641425200562291,0.370520404092229,0.10085456457937,0.0746407736871997,0.110503513496304,0.266771664747164,0.350354696492026,0.0701800607079916,"CAP-D'ESPOIR (ECCC AES 7051050; station_id 9001)","7051050",9001,"CAP-D'ESPOIR",4,2023-04-03,"DATE: Apr-03<br>Value: 0.1 kPa<br>Anomaly: -0.1 kPa<br>Weather station: CAP-D'ESPOIR (ECCC AES 7051050; station_id 9001)","DATE: Apr-03<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.1 to 0.4 kPa","Historical daily maximum<br>0.4 kPa<br>2023-04-03","DATE: Apr-03</b><br>Normal: 0.2 kPa<br>Period: 1991-2020","7051050","CAP-DESPOIR",1994,2026
"04-04","TMAX",2001-04-04,1.45217391304348,-5.5,9.3,3.13975528363386,-1,-0.15,3.25,5.08,1.2,"CAP-D'ESPOIR (ECCC AES 7051050; station_id 9001)","7051050",9001,"CAP-D'ESPOIR",4,2010-04-04,"DATE: Apr-04<br>Value: 1.2 °C<br>Anomaly: -0.3 °C<br>Weather station: CAP-D'ESPOIR (ECCC AES 7051050; station_id 9001)","DATE: Apr-04<br><b>Maximum temperature</b><br>10-90 percentile<br>-1.0 to 5.1 °C","Historical daily maximum<br>9.3 °C<br>2010-04-04","DATE: Apr-04</b><br>Normal: 1.5 °C<br>Period: 1991-2020","7051050","CAP-DESPOIR",1994,2026
