"variable","MD","PLOT_DATE","clim_mean","clim_sd","clim_max","clim_max_date","value","rec_all_val","rec_all_date","value_record","MONTH","hover_histmax","AES","NAME","por_start","por_end"
"BUI","04-01",2001-04-01,8.1,NA,8.1,2012-04-01,NA,81.9,2020-06-23,NA,4,"Daily record reached in 2012","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","04-02",2001-04-02,8.8,NA,8.8,2012-04-02,NA,81.9,2020-06-23,NA,4,"Daily record reached in 2012","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","04-03",2001-04-03,9.4,NA,9.4,2012-04-03,NA,81.9,2020-06-23,NA,4,"Daily record reached in 2012","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","04-04",2001-04-04,9.9,NA,9.9,2012-04-04,NA,81.9,2020-06-23,NA,4,"Daily record reached in 2012","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","04-05",2001-04-05,9.5,1.4142135623731,10.5,2012-04-05,NA,81.9,2020-06-23,NA,4,"Daily record reached in 2012","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","04-06",2001-04-06,10.6,1.69705627484771,11.8,2012-04-06,NA,81.9,2020-06-23,NA,4,"Daily record reached in 2012","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","04-07",2001-04-07,10.05,2.75771644662754,12,2012-04-07,NA,81.9,2020-06-23,NA,4,"Daily record reached in 2012","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","04-08",2001-04-08,10.1,2.9698484809835,12.2,2012-04-08,NA,81.9,2020-06-23,NA,4,"Daily record reached in 2012","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","04-09",2001-04-09,10.7,NA,10.7,2012-04-09,NA,81.9,2020-06-23,NA,4,"Daily record reached in 2012","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","04-10",2001-04-10,8.1,4.5254833995939,11.3,2012-04-10,NA,81.9,2020-06-23,NA,4,"Daily record reached in 2012","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","04-11",2001-04-11,9.2,3.95979797464467,12,2012-04-11,NA,81.9,2020-06-23,NA,4,"Daily record reached in 2012","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","04-12",2001-04-12,10.2,3.67695526217005,12.8,2012-04-12,NA,81.9,2020-06-23,NA,4,"Daily record reached in 2012","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","04-13",2001-04-13,11.45,4.03050865276332,14.3,2012-04-13,NA,81.9,2020-06-23,NA,4,"Daily record reached in 2012","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","04-14",2001-04-14,13.85,4.87903679018718,17.3,2012-04-14,NA,81.9,2020-06-23,NA,4,"Daily record reached in 2012","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","04-15",2001-04-15,15.05,5.58614357137373,19,2012-04-15,NA,81.9,2020-06-23,NA,4,"Daily record reached in 2012","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","04-16",2001-04-16,16.75,6.43467170879758,21.3,2012-04-16,NA,81.9,2020-06-23,NA,4,"Daily record reached in 2012","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","04-17",2001-04-17,16.75,5.86898628384834,20.9,2012-04-17,NA,81.9,2020-06-23,NA,4,"Daily record reached in 2012","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","04-18",2001-04-18,21.7,NA,21.7,2012-04-18,NA,81.9,2020-06-23,NA,4,"Daily record reached in 2012","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","04-19",2001-04-19,16.85,8.98025612106915,23.2,2012-04-19,NA,81.9,2020-06-23,NA,4,"Daily record reached in 2012","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","04-20",2001-04-20,18.2,8.06101730552664,23.9,2012-04-20,NA,81.9,2020-06-23,NA,4,"Daily record reached in 2012","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","04-21",2001-04-21,13.8,0,13.8,2010-04-21,NA,81.9,2020-06-23,NA,4,"Daily record reached in 2010","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","04-22",2001-04-22,11.25,4.87903679018718,14.7,2010-04-22,NA,81.9,2020-06-23,NA,4,"Daily record reached in 2010","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","04-23",2001-04-23,12.55,4.59619407771256,15.8,2010-04-23,NA,81.9,2020-06-23,NA,4,"Daily record reached in 2010","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","04-24",2001-04-24,9.6,8.21644692065859,17.5,2010-04-24,NA,81.9,2020-06-23,NA,4,"Daily record reached in 2010","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","04-25",2001-04-25,8.46666666666667,6.45083973861801,14.4,2010-04-25,NA,81.9,2020-06-23,NA,4,"Daily record reached in 2010","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","04-26",2001-04-26,9.56666666666667,6.13297100379036,15.3,2010-04-26,NA,81.9,2020-06-23,NA,4,"Daily record reached in 2010","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","04-27",2001-04-27,7.93333333333333,7.26659021366509,15.7,2010-04-27,NA,81.9,2020-06-23,NA,4,"Daily record reached in 2010","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","04-28",2001-04-28,8.6,6.45058136914805,15.1,2010-04-28,NA,81.9,2020-06-23,NA,4,"Daily record reached in 2010","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","04-29",2001-04-29,10.4,6.69552089086428,16.6,2010-04-29,8.8,81.9,2020-06-23,NA,4,"Daily record reached in 2010","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","04-30",2001-04-30,11.85,10.1116269709676,19,2010-04-30,3.8,81.9,2020-06-23,NA,4,"Daily record reached in 2010","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","05-01",2001-05-01,13.8,11.1722871427475,21.7,2010-05-01,2,81.9,2020-06-23,NA,5,"Daily record reached in 2010","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","05-02",2001-05-02,20.7,12.0925596959453,30.8,1999-05-02,3.6,81.9,2020-06-23,NA,5,"Daily record reached in 1999","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","05-03",2001-05-03,22.2333333333333,13.0128141972954,34.9,1999-05-03,5,81.9,2020-06-23,NA,5,"Daily record reached in 1999","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","05-04",2001-05-04,21.7666666666667,14.164156640384,37.6,1999-05-04,6,81.9,2020-06-23,NA,5,"Daily record reached in 1999","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","05-05",2001-05-05,20.4,13.0830679378602,39.8,1999-05-05,7.1,81.9,2020-06-23,NA,5,"Daily record reached in 1999","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","05-06",2001-05-06,16.5,12.5005599874566,41.8,1999-05-06,2.3,81.9,2020-06-23,NA,5,"Daily record reached in 1999","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","05-07",2001-05-07,17.6333333333333,13.1530478090314,43.8,1999-05-07,1.2,81.9,2020-06-23,NA,5,"Daily record reached in 1999","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","05-08",2001-05-08,18.2285714285714,10.5588374179664,41.4,1999-05-08,1.3,81.9,2020-06-23,NA,5,"Daily record reached in 1999","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","05-09",2001-05-09,16.2888888888889,9.26531764760988,39.1,1999-05-09,3.2,81.9,2020-06-23,NA,5,"Daily record reached in 1999","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","05-10",2001-05-10,14.48,9.20854675469117,38.7,1999-05-10,4.9,81.9,2020-06-23,NA,5,"Daily record reached in 1999","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","05-11",2001-05-11,12.3818181818182,10.1178869515149,41,1999-05-11,7,81.9,2020-06-23,NA,5,"Daily record reached in 1999","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","05-12",2001-05-12,11.4916666666667,10.7144302299056,42.7,1999-05-12,8.2,81.9,2020-06-23,NA,5,"Daily record reached in 1999","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","05-13",2001-05-13,12.7333333333333,11.3467923647918,44.2,1999-05-13,10.3,81.9,2020-06-23,NA,5,"Daily record reached in 1999","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","05-14",2001-05-14,14.75,11.6564847344144,46,1999-05-14,10.4,81.9,2020-06-23,NA,5,"Daily record reached in 1999","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","05-15",2001-05-15,15.1615384615385,12.1318134438301,48.9,1999-05-15,7.2,81.9,2020-06-23,NA,5,"Daily record reached in 1999","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","05-16",2001-05-16,15.5428571428571,13.1490692437914,52.7,1999-05-16,10.8,81.9,2020-06-23,NA,5,"Daily record reached in 1999","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","05-17",2001-05-17,16.5142857142857,14.2062205845434,56.2,1999-05-17,13.3,81.9,2020-06-23,NA,5,"Daily record reached in 1999","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","05-18",2001-05-18,17.5466666666667,14.5702665269605,59.5,1999-05-18,14.9,81.9,2020-06-23,NA,5,"Daily record reached in 1999","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","05-19",2001-05-19,18.22,15.0523942091805,59,1999-05-19,13.2,81.9,2020-06-23,NA,5,"Daily record reached in 1999","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","05-20",2001-05-20,18.2,15.7600308194042,58.9,1999-05-20,17.3,81.9,2020-06-23,NA,5,"Daily record reached in 1999","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","05-21",2001-05-21,20.0266666666667,16.4860749320955,60.6,1999-05-21,18.8,81.9,2020-06-23,NA,5,"Daily record reached in 1999","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","05-22",2001-05-22,21.16,17.3408188964651,62.4,1999-05-22,21.8,81.9,2020-06-23,NA,5,"Daily record reached in 1999","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","05-23",2001-05-23,20.775,17.8145071968513,63.9,1999-05-23,24.7,81.9,2020-06-23,NA,5,"Daily record reached in 1999","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","05-24",2001-05-24,19.4235294117647,16.2650134265148,51.8,2010-05-24,26.6,81.9,2020-06-23,NA,5,"Daily record reached in 2010","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","05-25",2001-05-25,18.7176470588235,15.5868227717405,54.4,2010-05-25,NA,81.9,2020-06-23,NA,5,"Daily record reached in 2010","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","05-26",2001-05-26,17.7411764705882,14.2653013823547,52.6,1998-05-26,NA,81.9,2020-06-23,NA,5,"Daily record reached in 1998","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","05-27",2001-05-27,18.7411764705882,14.7997491035967,55.6,1998-05-27,NA,81.9,2020-06-23,NA,5,"Daily record reached in 1998","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","05-28",2001-05-28,20.4823529411765,15.6476529907091,58.7,1998-05-28,NA,81.9,2020-06-23,NA,5,"Daily record reached in 1998","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","05-29",2001-05-29,21.8058823529412,16.9965242986704,62.5,1998-05-29,NA,81.9,2020-06-23,NA,5,"Daily record reached in 1998","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","05-30",2001-05-30,21.6411764705882,18.3875317410851,65.3,1998-05-30,NA,81.9,2020-06-23,NA,5,"Daily record reached in 1998","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","05-31",2001-05-31,19.5411764705882,14.5338853555893,51.1,2010-05-31,NA,81.9,2020-06-23,NA,5,"Daily record reached in 2010","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","06-01",2001-06-01,18.4882352941176,13.1178257703469,47.9,1998-06-01,NA,81.9,2020-06-23,NA,6,"Daily record reached in 1998","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","06-02",2001-06-02,18.6235294117647,14.2855490536663,50.2,1998-06-02,NA,81.9,2020-06-23,NA,6,"Daily record reached in 1998","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","06-03",2001-06-03,16.2176470588235,13.1540504833168,47.4,2023-06-03,NA,81.9,2020-06-23,NA,6,"Daily record reached in 2023","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","06-04",2001-06-04,17.4882352941176,12.8939851458413,49.1,2023-06-04,NA,81.9,2020-06-23,NA,6,"Daily record reached in 2023","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","06-05",2001-06-05,18.2,12.1767195910886,50.9,2020-06-05,NA,81.9,2020-06-23,NA,6,"Daily record reached in 2020","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","06-06",2001-06-06,18.2117647058824,11.4791050583735,51.7,2023-06-06,NA,81.9,2020-06-23,NA,6,"Daily record reached in 2023","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","06-07",2001-06-07,18.9470588235294,11.7233803597266,47.3,2023-06-07,NA,81.9,2020-06-23,NA,6,"Daily record reached in 2023","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","06-08",2001-06-08,20.5882352941177,12.8134637370688,48.3,2023-06-08,NA,81.9,2020-06-23,NA,6,"Daily record reached in 2023","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","06-09",2001-06-09,21.9588235294118,14.0775112690209,49.6,2023-06-09,NA,81.9,2020-06-23,NA,6,"Daily record reached in 2023","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","06-10",2001-06-10,23.9294117647059,14.8058166232854,51.6,2021-06-10,NA,81.9,2020-06-23,NA,6,"Daily record reached in 2021","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","06-11",2001-06-11,24.7470588235294,15.4121752864034,55.3,2021-06-11,NA,81.9,2020-06-23,NA,6,"Daily record reached in 2021","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","06-12",2001-06-12,23.0705882352941,14.2084378410279,59.9,2021-06-12,NA,81.9,2020-06-23,NA,6,"Daily record reached in 2021","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","06-13",2001-06-13,20.4411764705882,11.5670360736626,62.9,2021-06-13,NA,81.9,2020-06-23,NA,6,"Daily record reached in 2021","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","06-14",2001-06-14,19.1529411764706,11.5649317792551,56.8,2021-06-14,NA,81.9,2020-06-23,NA,6,"Daily record reached in 2021","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","06-15",2001-06-15,20.3470588235294,12.726503724858,51.1,2020-06-15,NA,81.9,2020-06-23,NA,6,"Daily record reached in 2020","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","06-16",2001-06-16,20.3235294117647,13.598829426267,56.2,2020-06-16,NA,81.9,2020-06-23,NA,6,"Daily record reached in 2020","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","06-17",2001-06-17,19.7705882352941,14.8668996728421,61,2020-06-17,NA,81.9,2020-06-23,NA,6,"Daily record reached in 2020","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","06-18",2001-06-18,20.9529411764706,15.9907831909142,66.2,2020-06-18,NA,81.9,2020-06-23,NA,6,"Daily record reached in 2020","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","06-19",2001-06-19,22.9235294117647,17.5504105867842,71.6,2020-06-19,NA,81.9,2020-06-23,NA,6,"Daily record reached in 2020","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","06-20",2001-06-20,23.9058823529412,16.7437104082486,73.5,2020-06-20,NA,81.9,2020-06-23,NA,6,"Daily record reached in 2020","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","06-21",2001-06-21,21.9352941176471,18.0467774538999,75.1,2020-06-21,NA,81.9,2020-06-23,NA,6,"Daily record reached in 2020","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","06-22",2001-06-22,24.0176470588235,18.1037024974906,77.3,2020-06-22,NA,81.9,2020-06-23,NA,6,"Daily record reached in 2020","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","06-23",2001-06-23,24.7529411764706,18.3562359174975,81.9,2020-06-23,NA,81.9,2020-06-23,NA,6,"Daily record reached in 2020","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","06-24",2001-06-24,23.2,13.8712382287956,45.2,2020-06-24,NA,81.9,2020-06-23,NA,6,"Daily record reached in 2020","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","06-25",2001-06-25,20.1470588235294,10.8469533537682,47.6,2013-06-25,NA,81.9,2020-06-23,NA,6,"Daily record reached in 2013","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","06-26",2001-06-26,20.0294117647059,9.26011370785224,38,2023-06-26,NA,81.9,2020-06-23,NA,6,"Daily record reached in 2023","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","06-27",2001-06-27,20.4882352941176,9.42223980490714,36.5,2014-06-27,NA,81.9,2020-06-23,NA,6,"Daily record reached in 2014","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","06-28",2001-06-28,19.6588235294118,9.53159606411286,39.7,2014-06-28,NA,81.9,2020-06-23,NA,6,"Daily record reached in 2014","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","06-29",2001-06-29,18.3176470588235,11.0722194756809,44.6,2014-06-29,NA,81.9,2020-06-23,NA,6,"Daily record reached in 2014","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","06-30",2001-06-30,17.2117647058824,11.5408991391995,46.9,2014-06-30,NA,81.9,2020-06-23,NA,6,"Daily record reached in 2014","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","07-01",2001-07-01,17.9823529411765,13.0417711265628,50.1,2014-07-01,NA,81.9,2020-06-23,NA,7,"Daily record reached in 2014","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","07-02",2001-07-02,18.8294117647059,12.11702132879,42,2014-07-02,NA,81.9,2020-06-23,NA,7,"Daily record reached in 2014","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","07-03",2001-07-03,19.6117647058824,11.7540356023443,45.1,2014-07-03,NA,81.9,2020-06-23,NA,7,"Daily record reached in 2014","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","07-04",2001-07-04,20.8941176470588,12.5407570838165,44.4,1995-07-04,NA,81.9,2020-06-23,NA,7,"Daily record reached in 1995","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","07-05",2001-07-05,22.4823529411765,13.2449629715468,48.8,1995-07-05,NA,81.9,2020-06-23,NA,7,"Daily record reached in 1995","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","07-06",2001-07-06,24.2,13.9530462623758,52.1,1995-07-06,NA,81.9,2020-06-23,NA,7,"Daily record reached in 1995","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","07-07",2001-07-07,24.2941176470588,13.2062707921386,45.5,2020-07-07,NA,81.9,2020-06-23,NA,7,"Daily record reached in 2020","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","07-08",2001-07-08,23.5411764705882,13.5580722645003,48.9,2013-07-08,NA,81.9,2020-06-23,NA,7,"Daily record reached in 2013","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","07-09",2001-07-09,23.8588235294118,14.9330614252206,51.7,2013-07-09,NA,81.9,2020-06-23,NA,7,"Daily record reached in 2013","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","07-10",2001-07-10,22.0470588235294,15.2861913849992,54,2013-07-10,NA,81.9,2020-06-23,NA,7,"Daily record reached in 2013","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","07-11",2001-07-11,23.4647058823529,16.8074738277526,57.3,2013-07-11,NA,81.9,2020-06-23,NA,7,"Daily record reached in 2013","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","07-12",2001-07-12,23.9235294117647,17.4854056791573,60.4,2013-07-12,NA,81.9,2020-06-23,NA,7,"Daily record reached in 2013","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","07-13",2001-07-13,25.4235294117647,17.0618188293249,64.5,2013-07-13,NA,81.9,2020-06-23,NA,7,"Daily record reached in 2013","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","07-14",2001-07-14,26.2470588235294,17.4396501415259,68.2,2013-07-14,NA,81.9,2020-06-23,NA,7,"Daily record reached in 2013","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","07-15",2001-07-15,26.5117647058824,18.8437616452017,73.1,2013-07-15,NA,81.9,2020-06-23,NA,7,"Daily record reached in 2013","7041JG6","CAP-TOURMENTE",1994,2026
"BUI","07-16",2001-07-16,25.8235294117647,17.9760441077759,77.7,2013-07-16,NA,81.9,2020-06-23,NA,7,"Daily record reached in 2013","7041JG6","CAP-TOURMENTE",1994,2026
