"AES","NAME","MD","variable","por_start","por_end","clim_mean","clim_sd","clim_max","clim_max_date","value","rec_all_val","rec_all_date","value_record"
"7053KGR","ILES+DE+LA+MADELEINE","04-01","BUI",1994,2026,NA,NA,NA,NA,NA,83.6,2001-08-09,NA
"7053KGR","ILES+DE+LA+MADELEINE","04-02","BUI",1994,2026,0.7,NA,0.7,2012-04-02,NA,83.6,2001-08-09,NA
"7053KGR","ILES+DE+LA+MADELEINE","04-03","BUI",1994,2026,0.9,NA,0.9,2012-04-03,NA,83.6,2001-08-09,NA
"7053KGR","ILES+DE+LA+MADELEINE","04-04","BUI",1994,2026,1.1,NA,1.1,2012-04-04,NA,83.6,2001-08-09,NA
"7053KGR","ILES+DE+LA+MADELEINE","04-05","BUI",1994,2026,NA,NA,NA,NA,NA,83.6,2001-08-09,NA
"7053KGR","ILES+DE+LA+MADELEINE","04-06","BUI",1994,2026,NA,NA,NA,NA,NA,83.6,2001-08-09,NA
"7053KGR","ILES+DE+LA+MADELEINE","04-07","BUI",1994,2026,NA,NA,NA,NA,NA,83.6,2001-08-09,NA
"7053KGR","ILES+DE+LA+MADELEINE","04-08","BUI",1994,2026,0.5,NA,0.5,2012-04-08,NA,83.6,2001-08-09,NA
"7053KGR","ILES+DE+LA+MADELEINE","04-09","BUI",1994,2026,0.5,NA,0.5,2012-04-09,NA,83.6,2001-08-09,NA
"7053KGR","ILES+DE+LA+MADELEINE","04-10","BUI",1994,2026,0.6,NA,0.6,2012-04-10,NA,83.6,2001-08-09,NA
"7053KGR","ILES+DE+LA+MADELEINE","04-11","BUI",1994,2026,1,NA,1,2012-04-11,NA,83.6,2001-08-09,NA
"7053KGR","ILES+DE+LA+MADELEINE","04-12","BUI",1994,2026,1.1,NA,1.1,2012-04-12,NA,83.6,2001-08-09,NA
"7053KGR","ILES+DE+LA+MADELEINE","04-13","BUI",1994,2026,NA,NA,NA,NA,NA,83.6,2001-08-09,NA
"7053KGR","ILES+DE+LA+MADELEINE","04-14","BUI",1994,2026,NA,NA,NA,NA,NA,83.6,2001-08-09,NA
"7053KGR","ILES+DE+LA+MADELEINE","04-15","BUI",1994,2026,2.3,NA,2.3,2012-04-15,NA,83.6,2001-08-09,NA
"7053KGR","ILES+DE+LA+MADELEINE","04-16","BUI",1994,2026,3.3,NA,3.3,2012-04-16,NA,83.6,2001-08-09,NA
"7053KGR","ILES+DE+LA+MADELEINE","04-17","BUI",1994,2026,3.5,NA,3.5,2012-04-17,NA,83.6,2001-08-09,NA
"7053KGR","ILES+DE+LA+MADELEINE","04-18","BUI",1994,2026,3.9,NA,3.9,2012-04-18,NA,83.6,2001-08-09,NA
"7053KGR","ILES+DE+LA+MADELEINE","04-19","BUI",1994,2026,4.1,NA,4.1,2012-04-19,NA,83.6,2001-08-09,NA
"7053KGR","ILES+DE+LA+MADELEINE","04-20","BUI",1994,2026,5,NA,5,2012-04-20,NA,83.6,2001-08-09,NA
