"MD","variable","PLOT_DATE","clim_mean","clim_min","clim_max","clim_sd","q10","q25","q75","q90","value","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","MONTH","clim_max_date","hover_value","hover_band","hover_histmax","hover_mean","AES","NAME","por_start","por_end"
"04-01","TMAX",2001-04-01,3.96,-2.6,12.6,3.45832329315812,0.34,1.4,6.3,8,0.3,"NA (ECCC AES NA; station_id 26893)",NA,26893,"",4,2016-04-01,"DATE: Apr-01<br>Value: 0.3 °C<br>Anomaly: -3.7 °C<br>Weather station: NA (ECCC AES NA; station_id 26893)","DATE: Apr-01<br><b>Maximum temperature</b><br>10-90 percentile<br>0.3 to 8.0 °C","Historical daily maximum<br>12.6 °C<br>2016-04-01","DATE: Apr-01</b><br>Normal: 4.0 °C<br>Period: 1991-2020","7054096","LA+POCATIERE",1996,2026
"04-01","TMIN",2001-04-01,-3.108,-10.1,1.2,3.35471310248731,-8.08,-5,-0.3,0.2,-4.5,"NA (ECCC AES NA; station_id 26893)",NA,26893,"",4,2006-04-01,"DATE: Apr-01<br>Value: -4.5 °C<br>Anomaly: -1.4 °C<br>Weather station: NA (ECCC AES NA; station_id 26893)","DATE: Apr-01<br><b>Minimum temperature</b><br>10-90 percentile<br>-8.1 to 0.2 °C","Historical daily maximum<br>1.2 °C<br>2006-04-01","DATE: Apr-01</b><br>Normal: -3.1 °C<br>Period: 1991-2020","7054096","LA+POCATIERE",1996,2026
"04-01","VPD",2001-04-01,0.333894575369658,0.0369612957246687,0.839280330601091,0.18651334825335,0.159420024338398,0.21295562219208,0.40652037182889,0.581714167661049,0.186823925684195,"NA (ECCC AES NA; station_id 26893)",NA,26893,"",4,2016-04-01,"DATE: Apr-01<br>Value: 0.2 kPa<br>Anomaly: -0.1 kPa<br>Weather station: NA (ECCC AES NA; station_id 26893)","DATE: Apr-01<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 0.6 kPa","Historical daily maximum<br>0.8 kPa<br>2016-04-01","DATE: Apr-01</b><br>Normal: 0.3 kPa<br>Period: 1991-2020","7054096","LA+POCATIERE",1996,2026
"04-02","TMAX",2001-04-02,4.232,-1.8,10.4,2.9384973484192,1.24,1.8,5.4,8,1.6,"NA (ECCC AES NA; station_id 26893)",NA,26893,"",4,2009-04-02,"DATE: Apr-02<br>Value: 1.6 °C<br>Anomaly: -2.6 °C<br>Weather station: NA (ECCC AES NA; station_id 26893)","DATE: Apr-02<br><b>Maximum temperature</b><br>10-90 percentile<br>1.2 to 8.0 °C","Historical daily maximum<br>10.4 °C<br>2009-04-02","DATE: Apr-02</b><br>Normal: 4.2 °C<br>Period: 1991-2020","7054096","LA+POCATIERE",1996,2026
"04-02","TMIN",2001-04-02,-3.468,-11.7,1.9,4.20225336377203,-9.04,-6.5,-0.1,1.42,-6.5,"NA (ECCC AES NA; station_id 26893)",NA,26893,"",4,2009-04-02,"DATE: Apr-02<br>Value: -6.5 °C<br>Anomaly: -3.0 °C<br>Weather station: NA (ECCC AES NA; station_id 26893)","DATE: Apr-02<br><b>Minimum temperature</b><br>10-90 percentile<br>-9.0 to 1.4 °C","Historical daily maximum<br>1.9 °C<br>2009-04-02","DATE: Apr-02</b><br>Normal: -3.5 °C<br>Period: 1991-2020","7054096","LA+POCATIERE",1996,2026
"04-02","VPD",2001-04-02,0.349661362909338,0.0433436133317574,0.592425447474759,0.161651152165332,0.135417245867043,0.224225076282975,0.469657492828625,0.552611388051484,0.310143394996181,"NA (ECCC AES NA; station_id 26893)",NA,26893,"",4,2024-04-02,"DATE: Apr-02<br>Value: 0.3 kPa<br>Anomaly: 0.0 kPa<br>Weather station: NA (ECCC AES NA; station_id 26893)","DATE: Apr-02<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.1 to 0.6 kPa","Historical daily maximum<br>0.6 kPa<br>2024-04-02","DATE: Apr-02</b><br>Normal: 0.3 kPa<br>Period: 1991-2020","7054096","LA+POCATIERE",1996,2026
"04-03","TMAX",2001-04-03,4.336,-0.8,16.8,4.29562568201653,0.1,1.3,6.3,10.56,2.8,"NA (ECCC AES NA; station_id 26893)",NA,26893,"",4,2010-04-03,"DATE: Apr-03<br>Value: 2.8 °C<br>Anomaly: -1.5 °C<br>Weather station: NA (ECCC AES NA; station_id 26893)","DATE: Apr-03<br><b>Maximum temperature</b><br>10-90 percentile<br>0.1 to 10.6 °C","Historical daily maximum<br>16.8 °C<br>2010-04-03","DATE: Apr-03</b><br>Normal: 4.3 °C<br>Period: 1991-2020","7054096","LA+POCATIERE",1996,2026
"04-03","TMIN",2001-04-03,-3.712,-12.4,0.8,4.17146257324694,-9,-8.3,0.1,0.62,-1.1,"NA (ECCC AES NA; station_id 26893)",NA,26893,"",4,2002-04-03,"DATE: Apr-03<br>Value: -1.1 °C<br>Anomaly: +2.6 °C<br>Weather station: NA (ECCC AES NA; station_id 26893)","DATE: Apr-03<br><b>Minimum temperature</b><br>10-90 percentile<br>-9.0 to 0.6 °C","Historical daily maximum<br>0.8 °C<br>2002-04-03","DATE: Apr-03</b><br>Normal: -3.7 °C<br>Period: 1991-2020","7054096","LA+POCATIERE",1996,2026
"04-03","VPD",2001-04-03,0.38532216557025,0.0540445147559098,1.36605362258883,0.277886789104263,0.0822860751934991,0.268695583684416,0.480925311839014,0.64691016427061,0.183479130392816,"NA (ECCC AES NA; station_id 26893)",NA,26893,"",4,2010-04-03,"DATE: Apr-03<br>Value: 0.2 kPa<br>Anomaly: -0.2 kPa<br>Weather station: NA (ECCC AES NA; station_id 26893)","DATE: Apr-03<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.1 to 0.6 kPa","Historical daily maximum<br>1.4 kPa<br>2010-04-03","DATE: Apr-03</b><br>Normal: 0.4 kPa<br>Period: 1991-2020","7054096","LA+POCATIERE",1996,2026
"04-04","TMAX",2001-04-04,3.384,-5.6,14.7,3.98483374810041,-1.06,0.9,5.3,6.66,0.7,"NA (ECCC AES NA; station_id 26893)",NA,26893,"",4,2010-04-04,"DATE: Apr-04<br>Value: 0.7 °C<br>Anomaly: -2.7 °C<br>Weather station: NA (ECCC AES NA; station_id 26893)","DATE: Apr-04<br><b>Maximum temperature</b><br>10-90 percentile<br>-1.1 to 6.7 °C","Historical daily maximum<br>14.7 °C<br>2010-04-04","DATE: Apr-04</b><br>Normal: 3.4 °C<br>Period: 1991-2020","7054096","LA+POCATIERE",1996,2026
