"AES","NAME","MD","variable","por_start","por_end","clim_mean","clim_sd","clim_max","clim_max_date","value","rec_all_val","rec_all_date","value_record"
"704C64L","LAC+EON","04-01","BUI",1994,2026,NA,NA,NA,NA,NA,123.1,2010-07-20,NA
"704C64L","LAC+EON","04-02","BUI",1994,2026,NA,NA,NA,NA,NA,123.1,2010-07-20,NA
"704C64L","LAC+EON","04-03","BUI",1994,2026,NA,NA,NA,NA,NA,123.1,2010-07-20,NA
"704C64L","LAC+EON","04-04","BUI",1994,2026,NA,NA,NA,NA,NA,123.1,2010-07-20,NA
"704C64L","LAC+EON","04-05","BUI",1994,2026,NA,NA,NA,NA,NA,123.1,2010-07-20,NA
"704C64L","LAC+EON","04-06","BUI",1994,2026,NA,NA,NA,NA,NA,123.1,2010-07-20,NA
"704C64L","LAC+EON","04-07","BUI",1994,2026,NA,NA,NA,NA,NA,123.1,2010-07-20,NA
"704C64L","LAC+EON","04-08","BUI",1994,2026,NA,NA,NA,NA,NA,123.1,2010-07-20,NA
"704C64L","LAC+EON","04-09","BUI",1994,2026,NA,NA,NA,NA,NA,123.1,2010-07-20,NA
"704C64L","LAC+EON","04-10","BUI",1994,2026,NA,NA,NA,NA,NA,123.1,2010-07-20,NA
"704C64L","LAC+EON","04-11","BUI",1994,2026,NA,NA,NA,NA,NA,123.1,2010-07-20,NA
"704C64L","LAC+EON","04-12","BUI",1994,2026,NA,NA,NA,NA,NA,123.1,2010-07-20,NA
"704C64L","LAC+EON","04-13","BUI",1994,2026,NA,NA,NA,NA,NA,123.1,2010-07-20,NA
"704C64L","LAC+EON","04-14","BUI",1994,2026,NA,NA,NA,NA,NA,123.1,2010-07-20,NA
"704C64L","LAC+EON","04-15","BUI",1994,2026,NA,NA,NA,NA,NA,123.1,2010-07-20,NA
"704C64L","LAC+EON","04-16","BUI",1994,2026,NA,NA,NA,NA,NA,123.1,2010-07-20,NA
"704C64L","LAC+EON","04-17","BUI",1994,2026,NA,NA,NA,NA,NA,123.1,2010-07-20,NA
"704C64L","LAC+EON","04-18","BUI",1994,2026,NA,NA,NA,NA,NA,123.1,2010-07-20,NA
"704C64L","LAC+EON","04-19","BUI",1994,2026,NA,NA,NA,NA,NA,123.1,2010-07-20,NA
"704C64L","LAC+EON","04-20","BUI",1994,2026,NA,NA,NA,NA,NA,123.1,2010-07-20,NA
"704C64L","LAC+EON","04-21","BUI",1994,2026,NA,NA,NA,NA,NA,123.1,2010-07-20,NA
"704C64L","LAC+EON","04-22","BUI",1994,2026,NA,NA,NA,NA,NA,123.1,2010-07-20,NA
"704C64L","LAC+EON","04-23","BUI",1994,2026,NA,NA,NA,NA,NA,123.1,2010-07-20,NA
"704C64L","LAC+EON","04-24","BUI",1994,2026,NA,NA,NA,NA,NA,123.1,2010-07-20,NA
"704C64L","LAC+EON","04-25","BUI",1994,2026,NA,NA,NA,NA,NA,123.1,2010-07-20,NA
"704C64L","LAC+EON","04-26","BUI",1994,2026,NA,NA,NA,NA,NA,123.1,2010-07-20,NA
"704C64L","LAC+EON","04-27","BUI",1994,2026,NA,NA,NA,NA,NA,123.1,2010-07-20,NA
"704C64L","LAC+EON","04-28","BUI",1994,2026,NA,NA,NA,NA,NA,123.1,2010-07-20,NA
"704C64L","LAC+EON","04-29","BUI",1994,2026,NA,NA,NA,NA,NA,123.1,2010-07-20,NA
"704C64L","LAC+EON","04-30","BUI",1994,2026,43.7,NA,43.7,2013-04-30,NA,123.1,2010-07-20,NA
"704C64L","LAC+EON","05-01","BUI",1994,2026,46.5,NA,46.5,2013-05-01,NA,123.1,2010-07-20,NA
"704C64L","LAC+EON","05-02","BUI",1994,2026,48.7,NA,48.7,2013-05-02,NA,123.1,2010-07-20,NA
"704C64L","LAC+EON","05-03","BUI",1994,2026,37.95,19.3040151263927,51.6,2013-05-03,NA,123.1,2010-07-20,NA
"704C64L","LAC+EON","05-04","BUI",1994,2026,39.75,19.3040151263927,53.4,2013-05-04,NA,123.1,2010-07-20,NA
"704C64L","LAC+EON","05-05","BUI",1994,2026,39.05,17.4655374953077,51.4,2013-05-05,NA,123.1,2010-07-20,NA
"704C64L","LAC+EON","05-06","BUI",1994,2026,36.3,21.920310216783,51.8,2013-05-06,NA,123.1,2010-07-20,NA
"704C64L","LAC+EON","05-07","BUI",1994,2026,24,24.9313056216477,52.7,2013-05-07,NA,123.1,2010-07-20,NA
"704C64L","LAC+EON","05-08","BUI",1994,2026,23.3,27.0615964052382,54.5,2013-05-08,NA,123.1,2010-07-20,NA
"704C64L","LAC+EON","05-09","BUI",1994,2026,19.825,24.1804845553875,56,2013-05-09,NA,123.1,2010-07-20,NA
"704C64L","LAC+EON","05-10","BUI",1994,2026,15.85,14.7581615837927,37.7,2013-05-10,NA,123.1,2010-07-20,NA
"704C64L","LAC+EON","05-11","BUI",1994,2026,16.25,12.8894013308092,35,2013-05-11,NA,123.1,2010-07-20,NA
"704C64L","LAC+EON","05-12","BUI",1994,2026,10.275,6.47784686450676,17.1,2006-05-12,NA,123.1,2010-07-20,NA
"704C64L","LAC+EON","05-13","BUI",1994,2026,10.325,8.34560762716932,20.2,2006-05-13,NA,123.1,2010-07-20,NA
"704C64L","LAC+EON","05-14","BUI",1994,2026,13.7333333333333,9.00018518328003,23.7,2006-05-14,NA,123.1,2010-07-20,NA
"704C64L","LAC+EON","05-15","BUI",1994,2026,11.35,12.2530268369357,27.3,2006-05-15,NA,123.1,2010-07-20,NA
"704C64L","LAC+EON","05-16","BUI",1994,2026,13.92,13.3621480309118,29,2006-05-16,NA,123.1,2010-07-20,NA
"704C64L","LAC+EON","05-17","BUI",1994,2026,16.075,14.9671584922902,30.9,2006-05-17,NA,123.1,2010-07-20,NA
"704C64L","LAC+EON","05-18","BUI",1994,2026,15.42,14.0328899375717,32.2,2006-05-18,NA,123.1,2010-07-20,NA
"704C64L","LAC+EON","05-19","BUI",1994,2026,15.0857142857143,12.9793975940627,33,2006-05-19,NA,123.1,2010-07-20,NA
"704C64L","LAC+EON","05-20","BUI",1994,2026,14,11.2200713010212,29.8,2012-05-20,NA,123.1,2010-07-20,NA
"704C64L","LAC+EON","05-21","BUI",1994,2026,14.2285714285714,13.0932188919448,34.2,2012-05-21,NA,123.1,2010-07-20,NA
"704C64L","LAC+EON","05-22","BUI",1994,2026,14.9285714285714,13.9388801900433,36.2,2012-05-22,NA,123.1,2010-07-20,NA
"704C64L","LAC+EON","05-23","BUI",1994,2026,14.9,15.1336270162399,38.1,2012-05-23,NA,123.1,2010-07-20,NA
"704C64L","LAC+EON","05-24","BUI",1994,2026,16.0285714285714,15.7907899618432,40.4,2012-05-24,NA,123.1,2010-07-20,NA
"704C64L","LAC+EON","05-25","BUI",1994,2026,16.45,16.1203509355632,44.3,2012-05-25,NA,123.1,2010-07-20,NA
"704C64L","LAC+EON","05-26","BUI",1994,2026,16.9625,16.5672600976401,45.5,2012-05-26,NA,123.1,2010-07-20,NA
"704C64L","LAC+EON","05-27","BUI",1994,2026,18.1875,16.9681582046238,46.2,2012-05-27,NA,123.1,2010-07-20,NA
"704C64L","LAC+EON","05-28","BUI",1994,2026,19.4125,17.5997108336635,46.7,2012-05-28,NA,123.1,2010-07-20,NA
"704C64L","LAC+EON","05-29","BUI",1994,2026,26.0333333333333,23.7377336744686,71.6,2014-05-29,NA,123.1,2010-07-20,NA
"704C64L","LAC+EON","05-30","BUI",1994,2026,25.9111111111111,23.2322752030685,71.8,2014-05-30,NA,123.1,2010-07-20,NA
"704C64L","LAC+EON","05-31","BUI",1994,2026,26.2555555555556,24.5087796060468,73.6,2014-05-31,NA,123.1,2010-07-20,NA
"704C64L","LAC+EON","06-01","BUI",1994,2026,26.1777777777778,24.3802572678068,75.7,2014-06-01,NA,123.1,2010-07-20,NA
"704C64L","LAC+EON","06-02","BUI",1994,2026,24.4777777777778,25.3856149116866,76.6,2014-06-02,NA,123.1,2010-07-20,NA
"704C64L","LAC+EON","06-03","BUI",1994,2026,23.8555555555556,27.7287806760012,79.9,2014-06-03,NA,123.1,2010-07-20,NA
"704C64L","LAC+EON","06-04","BUI",1994,2026,24.7666666666667,28.7011759340972,81.7,2014-06-04,NA,123.1,2010-07-20,NA
"704C64L","LAC+EON","06-05","BUI",1994,2026,27.22,28.0306102522066,84.1,2014-06-05,NA,123.1,2010-07-20,NA
"704C64L","LAC+EON","06-06","BUI",1994,2026,28.85,28.0420022268184,86,2014-06-06,NA,123.1,2010-07-20,NA
"704C64L","LAC+EON","06-07","BUI",1994,2026,27.7363636363636,28.5629575754078,88.3,2014-06-07,NA,123.1,2010-07-20,NA
"704C64L","LAC+EON","06-08","BUI",1994,2026,27.4416666666667,29.0961558952173,91.7,2014-06-08,NA,123.1,2010-07-20,NA
"704C64L","LAC+EON","06-09","BUI",1994,2026,29.25,30.1482850409288,96,2014-06-09,NA,123.1,2010-07-20,NA
"704C64L","LAC+EON","06-10","BUI",1994,2026,30.6583333333333,30.792102244018,98.2,2014-06-10,8.4,123.1,2010-07-20,NA
"704C64L","LAC+EON","06-11","BUI",1994,2026,32.2833333333333,31.9991713907871,101.2,2014-06-11,8.1,123.1,2010-07-20,NA
"704C64L","LAC+EON","06-12","BUI",1994,2026,29.9230769230769,32.8372287159497,105.1,2014-06-12,10.5,123.1,2010-07-20,NA
"704C64L","LAC+EON","06-13","BUI",1994,2026,31.8461538461538,34.0832954046557,109.1,2014-06-13,11.6,123.1,2010-07-20,NA
"704C64L","LAC+EON","06-14","BUI",1994,2026,33.4230769230769,34.5893084118526,111.4,2014-06-14,10.8,123.1,2010-07-20,NA
"704C64L","LAC+EON","06-15","BUI",1994,2026,28.4071428571429,26.8564693333831,91.2,2012-06-15,6.8,123.1,2010-07-20,NA
"704C64L","LAC+EON","06-16","BUI",1994,2026,26.6214285714286,25.8433797078725,94.7,2012-06-16,3.1,123.1,2010-07-20,NA
"704C64L","LAC+EON","06-17","BUI",1994,2026,26.0375,25.3481853393887,99,2012-06-17,0.8,123.1,2010-07-20,NA
"704C64L","LAC+EON","06-18","BUI",1994,2026,25.3625,25.6271438127623,103.7,2012-06-18,3.8,123.1,2010-07-20,NA
"704C64L","LAC+EON","06-19","BUI",1994,2026,22.99375,26.973405884315,109.2,2012-06-19,4,123.1,2010-07-20,NA
"704C64L","LAC+EON","06-20","BUI",1994,2026,20.0277777777778,27.0929946568689,110.9,2012-06-20,4.4,123.1,2010-07-20,NA
"704C64L","LAC+EON","06-21","BUI",1994,2026,19.3666666666667,21.1902308234937,76.2,2012-06-21,5.7,123.1,2010-07-20,NA
"704C64L","LAC+EON","06-22","BUI",1994,2026,19.9526315789474,21.1345522366956,79.2,2012-06-22,9.9,123.1,2010-07-20,NA
"704C64L","LAC+EON","06-23","BUI",1994,2026,21.5631578947368,20.5980098964902,75.7,2010-06-23,13.7,123.1,2010-07-20,NA
"704C64L","LAC+EON","06-24","BUI",1994,2026,19.7842105263158,17.7077592270198,76,2010-06-24,8.1,123.1,2010-07-20,NA
"704C64L","LAC+EON","06-25","BUI",1994,2026,19.5894736842105,18.1039251341569,77.1,2010-06-25,10.8,123.1,2010-07-20,NA
"704C64L","LAC+EON","06-26","BUI",1994,2026,21.2947368421053,17.8490421057705,78.6,2010-06-26,14.6,123.1,2010-07-20,NA
"704C64L","LAC+EON","06-27","BUI",1994,2026,21.1368421052632,18.3536012368846,79.8,2010-06-27,17.6,123.1,2010-07-20,NA
"704C64L","LAC+EON","06-28","BUI",1994,2026,21.7789473684211,18.8880202758659,81.6,2010-06-28,21.7,123.1,2010-07-20,NA
"704C64L","LAC+EON","06-29","BUI",1994,2026,23.26,19.9886652091155,82.9,2010-06-29,25.6,123.1,2010-07-20,NA
"704C64L","LAC+EON","06-30","BUI",1994,2026,22.97,21.0323335041925,83,2010-06-30,29,123.1,2010-07-20,NA
"704C64L","LAC+EON","07-01","BUI",1994,2026,22.047619047619,22.2660642918235,83.6,2010-07-01,18.8,123.1,2010-07-20,NA
"704C64L","LAC+EON","07-02","BUI",1994,2026,22,21.709007347182,85.9,2010-07-02,10.8,123.1,2010-07-20,NA
"704C64L","LAC+EON","07-03","BUI",1994,2026,21.5714285714286,21.8982680332748,87.4,2010-07-03,7.5,123.1,2010-07-20,NA
"704C64L","LAC+EON","07-04","BUI",1994,2026,21.7571428571429,22.8886341101555,89.9,2010-07-04,8,123.1,2010-07-20,NA
"704C64L","LAC+EON","07-05","BUI",1994,2026,21.4181818181818,22.7632041506345,91.9,2010-07-05,6.9,123.1,2010-07-20,NA
"704C64L","LAC+EON","07-06","BUI",1994,2026,19.9818181818182,22.5111535606693,92.7,2010-07-06,11.5,123.1,2010-07-20,NA
"704C64L","LAC+EON","07-07","BUI",1994,2026,21.1818181818182,22.095714653765,92.9,2010-07-07,16.8,123.1,2010-07-20,NA
"704C64L","LAC+EON","07-08","BUI",1994,2026,22.4409090909091,23.081999977119,96.8,2010-07-08,22.1,123.1,2010-07-20,NA
