"MD","variable","PLOT_DATE","clim_mean","clim_min","clim_max","clim_sd","q10","q25","q75","q90","value","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","MONTH","clim_max_date","hover_value","hover_band","hover_histmax","hover_mean","AES","NAME","por_start","por_end"
"04-01","TMAX",2001-04-01,5.71052631578947,-2.5,13.9,4.11121700511636,1.58,2.55,8.55,10.46,3.7,"NA (ECCC AES NA; station_id 10975)","",10975,"",4,2016-04-01,"DATE: Apr-01<br>Value: 3.7 °C<br>Anomaly: -2.0 °C<br>Weather station: NA (ECCC AES NA; station_id 10975)","DATE: Apr-01<br><b>Maximum temperature</b><br>10-90 percentile<br>1.6 to 10.5 °C","Historical daily maximum<br>13.9 °C<br>2016-04-01","DATE: Apr-01</b><br>Normal: 5.7 °C<br>Period: 1991-2020","701LP0N","LAC+SAINT-PIERRE",1995,2026
"04-01","TMIN",2001-04-01,-1.26842105263158,-8.8,3.2,3.60000812214808,-7.26,-2.55,0.9,2.38,-0.8,"NA (ECCC AES NA; station_id 10975)","",10975,"",4,2016-04-01,"DATE: Apr-01<br>Value: -0.8 °C<br>Anomaly: +0.5 °C<br>Weather station: NA (ECCC AES NA; station_id 10975)","DATE: Apr-01<br><b>Minimum temperature</b><br>10-90 percentile<br>-7.3 to 2.4 °C","Historical daily maximum<br>3.2 °C<br>2016-04-01","DATE: Apr-01</b><br>Normal: -1.3 °C<br>Period: 1991-2020","701LP0N","LAC+SAINT-PIERRE",1995,2026
"04-01","VPD",2001-04-01,0.375977657034746,0.103674883297103,0.819670461634076,0.208970949210647,0.159201951417613,0.183408920818151,0.529318846253044,0.611917881472,0.220107803362612,"NA (ECCC AES NA; station_id 10975)","",10975,"",4,2016-04-01,"DATE: Apr-01<br>Value: 0.2 kPa<br>Anomaly: -0.2 kPa<br>Weather station: NA (ECCC AES NA; station_id 10975)","DATE: Apr-01<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 0.6 kPa","Historical daily maximum<br>0.8 kPa<br>2016-04-01","DATE: Apr-01</b><br>Normal: 0.4 kPa<br>Period: 1991-2020","701LP0N","LAC+SAINT-PIERRE",1995,2026
"04-02","TMAX",2001-04-02,6.165,-2.5,19,4.57283454647921,2.27,3.175,7.5,10.42,3.8,"NA (ECCC AES NA; station_id 10975)","",10975,"",4,2010-04-02,"DATE: Apr-02<br>Value: 3.8 °C<br>Anomaly: -2.4 °C<br>Weather station: NA (ECCC AES NA; station_id 10975)","DATE: Apr-02<br><b>Maximum temperature</b><br>10-90 percentile<br>2.3 to 10.4 °C","Historical daily maximum<br>19.0 °C<br>2010-04-02","DATE: Apr-02</b><br>Normal: 6.2 °C<br>Period: 1991-2020","701LP0N","LAC+SAINT-PIERRE",1995,2026
"04-02","TMIN",2001-04-02,-0.55,-6.7,4,3.108646684737,-4.33,-3.275,1.325,3.63,-2.5,"NA (ECCC AES NA; station_id 10975)","",10975,"",4,2009-04-02,"DATE: Apr-02<br>Value: -2.5 °C<br>Anomaly: -2.0 °C<br>Weather station: NA (ECCC AES NA; station_id 10975)","DATE: Apr-02<br><b>Minimum temperature</b><br>10-90 percentile<br>-4.3 to 3.6 °C","Historical daily maximum<br>4.0 °C<br>2009-04-02","DATE: Apr-02</b><br>Normal: -0.5 °C<br>Period: 1991-2020","701LP0N","LAC+SAINT-PIERRE",1995,2026
"04-02","VPD",2001-04-02,0.38969186588033,0.137351119591093,1.40674619144456,0.281161834437421,0.193572415486619,0.252370403426281,0.407324201212727,0.601447935048747,0.293676357068868,"NA (ECCC AES NA; station_id 10975)","",10975,"",4,2010-04-02,"DATE: Apr-02<br>Value: 0.3 kPa<br>Anomaly: -0.1 kPa<br>Weather station: NA (ECCC AES NA; station_id 10975)","DATE: Apr-02<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 0.6 kPa","Historical daily maximum<br>1.4 kPa<br>2010-04-02","DATE: Apr-02</b><br>Normal: 0.4 kPa<br>Period: 1991-2020","701LP0N","LAC+SAINT-PIERRE",1995,2026
"04-03","TMAX",2001-04-03,6.35789473684211,-3.6,23.3,5.65855456508832,1.04,3.8,9.25,10.7,9.2,"NA (ECCC AES NA; station_id 10975)","",10975,"",4,2010-04-03,"DATE: Apr-03<br>Value: 9.2 °C<br>Anomaly: +2.8 °C<br>Weather station: NA (ECCC AES NA; station_id 10975)","DATE: Apr-03<br><b>Maximum temperature</b><br>10-90 percentile<br>1.0 to 10.7 °C","Historical daily maximum<br>23.3 °C<br>2010-04-03","DATE: Apr-03</b><br>Normal: 6.4 °C<br>Period: 1991-2020","701LP0N","LAC+SAINT-PIERRE",1995,2026
"04-03","TMIN",2001-04-03,-0.678947368421053,-10.9,5.8,3.57313726877662,-4.86,-1.55,1.25,2.26,1.7,"NA (ECCC AES NA; station_id 10975)","",10975,"",4,2010-04-03,"DATE: Apr-03<br>Value: 1.7 °C<br>Anomaly: +2.4 °C<br>Weather station: NA (ECCC AES NA; station_id 10975)","DATE: Apr-03<br><b>Minimum temperature</b><br>10-90 percentile<br>-4.9 to 2.3 °C","Historical daily maximum<br>5.8 °C<br>2010-04-03","DATE: Apr-03</b><br>Normal: -0.7 °C<br>Period: 1991-2020","701LP0N","LAC+SAINT-PIERRE",1995,2026
"04-03","VPD",2001-04-03,0.431808888107348,0.134146202379396,1.9385808723196,0.404335230642551,0.200244836797749,0.21661109418303,0.511294870924523,0.639674719307454,0.473030175892217,"NA (ECCC AES NA; station_id 10975)","",10975,"",4,2010-04-03,"DATE: Apr-03<br>Value: 0.5 kPa<br>Anomaly: +0.0 kPa<br>Weather station: NA (ECCC AES NA; station_id 10975)","DATE: Apr-03<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 0.6 kPa","Historical daily maximum<br>1.9 kPa<br>2010-04-03","DATE: Apr-03</b><br>Normal: 0.4 kPa<br>Period: 1991-2020","701LP0N","LAC+SAINT-PIERRE",1995,2026
"04-04","TMAX",2001-04-04,4.815,-4.1,17.7,4.46993170794412,0.670000000000001,2.6,6.575,8.01,4.2,"NA (ECCC AES NA; station_id 10975)","",10975,"",4,2010-04-04,"DATE: Apr-04<br>Value: 4.2 °C<br>Anomaly: -0.6 °C<br>Weather station: NA (ECCC AES NA; station_id 10975)","DATE: Apr-04<br><b>Maximum temperature</b><br>10-90 percentile<br>0.7 to 8.0 °C","Historical daily maximum<br>17.7 °C<br>2010-04-04","DATE: Apr-04</b><br>Normal: 4.8 °C<br>Period: 1991-2020","701LP0N","LAC+SAINT-PIERRE",1995,2026
