"MD","variable","PLOT_DATE","clim_mean","clim_min","clim_max","clim_sd","q10","q25","q75","q90","value","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","MONTH","clim_max_date","hover_value","hover_band","hover_histmax","hover_mean","AES","NAME","por_start","por_end"
"04-01","TMAX",2001-04-01,7.575,-0.2,15.3,4.46164816495273,2.73,4.475,10.8,13.88,3.8,"L'ACADIE (ECCC AES 702LED4; station_id 10843)","702LED4",10843,"L'ACADIE",4,2016-04-01,"DATE: Apr-01<br>Value: 3.8 °C<br>Anomaly: -3.8 °C<br>Weather station: L'ACADIE (ECCC AES 702LED4; station_id 10843)","DATE: Apr-01<br><b>Maximum temperature</b><br>10-90 percentile<br>2.7 to 13.9 °C","Historical daily maximum<br>15.3 °C<br>2016-04-01","DATE: Apr-01</b><br>Normal: 7.6 °C<br>Period: 1991-2020","702LED4","LACADIE",1994,2026
"04-01","TMIN",2001-04-01,-1.37916666666667,-10.7,3.9,3.50564503357788,-5.16,-4.175,1.65,2.17,-1,"L'ACADIE (ECCC AES 702LED4; station_id 10843)","702LED4",10843,"L'ACADIE",4,2006-04-01,"DATE: Apr-01<br>Value: -1.0 °C<br>Anomaly: +0.4 °C<br>Weather station: L'ACADIE (ECCC AES 702LED4; station_id 10843)","DATE: Apr-01<br><b>Minimum temperature</b><br>10-90 percentile<br>-5.2 to 2.2 °C","Historical daily maximum<br>3.9 °C<br>2006-04-01","DATE: Apr-01</b><br>Normal: -1.4 °C<br>Period: 1991-2020","702LED4","LACADIE",1994,2026
"04-01","VPD",2001-04-01,0.516960357663457,0.127329678185975,0.99782548057549,0.281043675274633,0.227163139047442,0.326315061448639,0.753408303123842,0.9485570453155,0.234131888041713,"L'ACADIE (ECCC AES 702LED4; station_id 10843)","702LED4",10843,"L'ACADIE",4,2007-04-01,"DATE: Apr-01<br>Value: 0.2 kPa<br>Anomaly: -0.3 kPa<br>Weather station: L'ACADIE (ECCC AES 702LED4; station_id 10843)","DATE: Apr-01<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 0.9 kPa","Historical daily maximum<br>1.0 kPa<br>2007-04-01","DATE: Apr-01</b><br>Normal: 0.5 kPa<br>Period: 1991-2020","702LED4","LACADIE",1994,2026
"04-02","TMAX",2001-04-02,7.284,-0.7,24,4.75391768264169,2.7,5,9.7,10.58,7.1,"L'ACADIE (ECCC AES 702LED4; station_id 10843)","702LED4",10843,"L'ACADIE",4,2010-04-02,"DATE: Apr-02<br>Value: 7.1 °C<br>Anomaly: -0.2 °C<br>Weather station: L'ACADIE (ECCC AES 702LED4; station_id 10843)","DATE: Apr-02<br><b>Maximum temperature</b><br>10-90 percentile<br>2.7 to 10.6 °C","Historical daily maximum<br>24.0 °C<br>2010-04-02","DATE: Apr-02</b><br>Normal: 7.3 °C<br>Period: 1991-2020","702LED4","LACADIE",1994,2026
"04-02","TMIN",2001-04-02,-1.116,-6.3,4.3,2.76882646621272,-5.02,-3.1,1.1,1.6,-1.8,"L'ACADIE (ECCC AES 702LED4; station_id 10843)","702LED4",10843,"L'ACADIE",4,2007-04-02,"DATE: Apr-02<br>Value: -1.8 °C<br>Anomaly: -0.7 °C<br>Weather station: L'ACADIE (ECCC AES 702LED4; station_id 10843)","DATE: Apr-02<br><b>Minimum temperature</b><br>10-90 percentile<br>-5.0 to 1.6 °C","Historical daily maximum<br>4.3 °C<br>2007-04-02","DATE: Apr-02</b><br>Normal: -1.1 °C<br>Period: 1991-2020","702LED4","LACADIE",1994,2026
"04-02","VPD",2001-04-02,0.501459624232461,0.111949655596062,2.24739538812086,0.416378567397076,0.182312573630963,0.236980733363037,0.590946773351894,0.675825306892311,0.473489568329898,"L'ACADIE (ECCC AES 702LED4; station_id 10843)","702LED4",10843,"L'ACADIE",4,2010-04-02,"DATE: Apr-02<br>Value: 0.5 kPa<br>Anomaly: 0.0 kPa<br>Weather station: L'ACADIE (ECCC AES 702LED4; station_id 10843)","DATE: Apr-02<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 0.7 kPa","Historical daily maximum<br>2.2 kPa<br>2010-04-02","DATE: Apr-02</b><br>Normal: 0.5 kPa<br>Period: 1991-2020","702LED4","LACADIE",1994,2026
"04-03","TMAX",2001-04-03,8.096,-1.8,26.4,5.58252332432805,1.88,5.9,10.2,12.84,12.9,"L'ACADIE (ECCC AES 702LED4; station_id 10843)","702LED4",10843,"L'ACADIE",4,2010-04-03,"DATE: Apr-03<br>Value: 12.9 °C<br>Anomaly: +4.8 °C<br>Weather station: L'ACADIE (ECCC AES 702LED4; station_id 10843)","DATE: Apr-03<br><b>Maximum temperature</b><br>10-90 percentile<br>1.9 to 12.8 °C","Historical daily maximum<br>26.4 °C<br>2010-04-03","DATE: Apr-03</b><br>Normal: 8.1 °C<br>Period: 1991-2020","702LED4","LACADIE",1994,2026
"04-03","TMIN",2001-04-03,-0.668,-9,12.9,4.34134387795607,-4.18,-3.4,0.7,4.48,3.3,"L'ACADIE (ECCC AES 702LED4; station_id 10843)","702LED4",10843,"L'ACADIE",4,2010-04-03,"DATE: Apr-03<br>Value: 3.3 °C<br>Anomaly: +4.0 °C<br>Weather station: L'ACADIE (ECCC AES 702LED4; station_id 10843)","DATE: Apr-03<br><b>Minimum temperature</b><br>10-90 percentile<br>-4.2 to 4.5 °C","Historical daily maximum<br>12.9 °C<br>2010-04-03","DATE: Apr-03</b><br>Normal: -0.7 °C<br>Period: 1991-2020","702LED4","LACADIE",1994,2026
"04-03","VPD",2001-04-03,0.545183528302998,0.125942596302054,1.95374491346421,0.356770933951137,0.232285139302493,0.326688633210098,0.678838995170098,0.808512463416981,0.713948868740516,"L'ACADIE (ECCC AES 702LED4; station_id 10843)","702LED4",10843,"L'ACADIE",4,2010-04-03,"DATE: Apr-03<br>Value: 0.7 kPa<br>Anomaly: +0.2 kPa<br>Weather station: L'ACADIE (ECCC AES 702LED4; station_id 10843)","DATE: Apr-03<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 0.8 kPa","Historical daily maximum<br>2.0 kPa<br>2010-04-03","DATE: Apr-03</b><br>Normal: 0.5 kPa<br>Period: 1991-2020","702LED4","LACADIE",1994,2026
"04-04","TMAX",2001-04-04,6.28,-3.5,19,4.68392641559052,2.08,4.2,8.6,10.62,8.5,"L'ACADIE (ECCC AES 702LED4; station_id 10843)","702LED4",10843,"L'ACADIE",4,2010-04-04,"DATE: Apr-04<br>Value: 8.5 °C<br>Anomaly: +2.2 °C<br>Weather station: L'ACADIE (ECCC AES 702LED4; station_id 10843)","DATE: Apr-04<br><b>Maximum temperature</b><br>10-90 percentile<br>2.1 to 10.6 °C","Historical daily maximum<br>19.0 °C<br>2010-04-04","DATE: Apr-04</b><br>Normal: 6.3 °C<br>Period: 1991-2020","702LED4","LACADIE",1994,2026
"04-04","TMIN",2001-04-04,-2.056,-11.4,6.1,4.38330925215185,-7.46,-4.6,0.5,3.08,1,"L'ACADIE (ECCC AES 702LED4; station_id 10843)","702LED4",10843,"L'ACADIE",4,2010-04-04,"DATE: Apr-04<br>Value: 1.0 °C<br>Anomaly: +3.1 °C<br>Weather station: L'ACADIE (ECCC AES 702LED4; station_id 10843)","DATE: Apr-04<br><b>Minimum temperature</b><br>10-90 percentile<br>-7.5 to 3.1 °C","Historical daily maximum<br>6.1 °C<br>2010-04-04","DATE: Apr-04</b><br>Normal: -2.1 °C<br>Period: 1991-2020","702LED4","LACADIE",1994,2026
"04-04","VPD",2001-04-04,0.4484679617929,0.136501480074565,1.2557902026165,0.279214805852594,0.170129031274768,0.19602483042315,0.605105215006249,0.780210733648472,0.453143726899956,"L'ACADIE (ECCC AES 702LED4; station_id 10843)","702LED4",10843,"L'ACADIE",4,2010-04-04,"DATE: Apr-04<br>Value: 0.5 kPa<br>Anomaly: +0.0 kPa<br>Weather station: L'ACADIE (ECCC AES 702LED4; station_id 10843)","DATE: Apr-04<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 0.8 kPa","Historical daily maximum<br>1.3 kPa<br>2010-04-04","DATE: Apr-04</b><br>Normal: 0.4 kPa<br>Period: 1991-2020","702LED4","LACADIE",1994,2026
"04-05","TMAX",2001-04-05,6.18260869565217,-6.1,20.3,5.35500209438148,-0.14,3.65,8.65,11.54,9.5,"L'ACADIE (ECCC AES 702LED4; station_id 10843)","702LED4",10843,"L'ACADIE",4,2010-04-05,"DATE: Apr-05<br>Value: 9.5 °C<br>Anomaly: +3.3 °C<br>Weather station: L'ACADIE (ECCC AES 702LED4; station_id 10843)","DATE: Apr-05<br><b>Maximum temperature</b><br>10-90 percentile<br>-0.1 to 11.5 °C","Historical daily maximum<br>20.3 °C<br>2010-04-05","DATE: Apr-05</b><br>Normal: 6.2 °C<br>Period: 1991-2020","702LED4","LACADIE",1994,2026
"04-05","TMIN",2001-04-05,-2.625,-14.1,4.1,4.63786401360536,-9.23,-4.475,0.875,2.61,1.3,"L'ACADIE (ECCC AES 702LED4; station_id 10843)","702LED4",10843,"L'ACADIE",4,2010-04-05,"DATE: Apr-05<br>Value: 1.3 °C<br>Anomaly: +3.9 °C<br>Weather station: L'ACADIE (ECCC AES 702LED4; station_id 10843)","DATE: Apr-05<br><b>Minimum temperature</b><br>10-90 percentile<br>-9.2 to 2.6 °C","Historical daily maximum<br>4.1 °C<br>2010-04-05","DATE: Apr-05</b><br>Normal: -2.6 °C<br>Period: 1991-2020","702LED4","LACADIE",1994,2026
"04-05","VPD",2001-04-05,0.466199212252914,0.182108169647907,1.56305636131277,0.307608566297963,0.225303510709258,0.278212873370246,0.528150404859159,0.753749609248496,0.516356684154749,"L'ACADIE (ECCC AES 702LED4; station_id 10843)","702LED4",10843,"L'ACADIE",4,2010-04-05,"DATE: Apr-05<br>Value: 0.5 kPa<br>Anomaly: +0.1 kPa<br>Weather station: L'ACADIE (ECCC AES 702LED4; station_id 10843)","DATE: Apr-05<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 0.8 kPa","Historical daily maximum<br>1.6 kPa<br>2010-04-05","DATE: Apr-05</b><br>Normal: 0.5 kPa<br>Period: 1991-2020","702LED4","LACADIE",1994,2026
"04-06","TMAX",2001-04-06,6.97916666666667,-3,16.7,5.55947910968415,1.38,3.25,10.325,15.82,4.3,"L'ACADIE (ECCC AES 702LED4; station_id 10843)","702LED4",10843,"L'ACADIE",4,1999-04-06,"DATE: Apr-06<br>Value: 4.3 °C<br>Anomaly: -2.7 °C<br>Weather station: L'ACADIE (ECCC AES 702LED4; station_id 10843)","DATE: Apr-06<br><b>Maximum temperature</b><br>10-90 percentile<br>1.4 to 15.8 °C","Historical daily maximum<br>16.7 °C<br>1999-04-06","DATE: Apr-06</b><br>Normal: 7.0 °C<br>Period: 1991-2020","702LED4","LACADIE",1994,2026
"04-06","TMIN",2001-04-06,-2.175,-11.9,7.6,4.63561355631358,-7.84,-5.6,0.2,2.74,-2.6,"L'ACADIE (ECCC AES 702LED4; station_id 10843)","702LED4",10843,"L'ACADIE",4,2010-04-06,"DATE: Apr-06<br>Value: -2.6 °C<br>Anomaly: -0.4 °C<br>Weather station: L'ACADIE (ECCC AES 702LED4; station_id 10843)","DATE: Apr-06<br><b>Minimum temperature</b><br>10-90 percentile<br>-7.8 to 2.7 °C","Historical daily maximum<br>7.6 °C<br>2010-04-06","DATE: Apr-06</b><br>Normal: -2.2 °C<br>Period: 1991-2020","702LED4","LACADIE",1994,2026
"04-06","VPD",2001-04-06,0.5174712202492,0.140068017713958,1.31655743267516,0.302389987664513,0.237724772217515,0.290342885016905,0.627108426381303,0.853018591078567,0.326152062274269,"L'ACADIE (ECCC AES 702LED4; station_id 10843)","702LED4",10843,"L'ACADIE",4,1999-04-06,"DATE: Apr-06<br>Value: 0.3 kPa<br>Anomaly: -0.2 kPa<br>Weather station: L'ACADIE (ECCC AES 702LED4; station_id 10843)","DATE: Apr-06<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 0.9 kPa","Historical daily maximum<br>1.3 kPa<br>1999-04-06","DATE: Apr-06</b><br>Normal: 0.5 kPa<br>Period: 1991-2020","702LED4","LACADIE",1994,2026
"04-07","TMAX",2001-04-07,8.5375,-2,15.6,4.2506073734795,3.5,5.775,12.125,13.31,-1.7,"L'ACADIE (ECCC AES 702LED4; station_id 10843)","702LED4",10843,"L'ACADIE",4,2010-04-07,"DATE: Apr-07<br>Value: -1.7 °C<br>Anomaly: -10.2 °C<br>Weather station: L'ACADIE (ECCC AES 702LED4; station_id 10843)","DATE: Apr-07<br><b>Maximum temperature</b><br>10-90 percentile<br>3.5 to 13.3 °C","Historical daily maximum<br>15.6 °C<br>2010-04-07","DATE: Apr-07</b><br>Normal: 8.5 °C<br>Period: 1991-2020","702LED4","LACADIE",1994,2026
"04-07","TMIN",2001-04-07,-1.09166666666667,-12,9.2,4.34780471009238,-6.63,-2.65,1.05,2,-4.7,"L'ACADIE (ECCC AES 702LED4; station_id 10843)","702LED4",10843,"L'ACADIE",4,2010-04-07,"DATE: Apr-07<br>Value: -4.7 °C<br>Anomaly: -3.6 °C<br>Weather station: L'ACADIE (ECCC AES 702LED4; station_id 10843)","DATE: Apr-07<br><b>Minimum temperature</b><br>10-90 percentile<br>-6.6 to 2.0 °C","Historical daily maximum<br>9.2 °C<br>2010-04-07","DATE: Apr-07</b><br>Normal: -1.1 °C<br>Period: 1991-2020","702LED4","LACADIE",1994,2026
"04-07","VPD",2001-04-07,0.563099058983594,0.218315969029681,1.09243148696261,0.23607023087687,0.317507504491613,0.418054530428437,0.688747012770112,0.913988102556214,0.108367663261014,"L'ACADIE (ECCC AES 702LED4; station_id 10843)","702LED4",10843,"L'ACADIE",4,1997-04-07,"DATE: Apr-07<br>Value: 0.1 kPa<br>Anomaly: -0.5 kPa<br>Weather station: L'ACADIE (ECCC AES 702LED4; station_id 10843)","DATE: Apr-07<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.3 to 0.9 kPa","Historical daily maximum<br>1.1 kPa<br>1997-04-07","DATE: Apr-07</b><br>Normal: 0.6 kPa<br>Period: 1991-2020","702LED4","LACADIE",1994,2026
"04-08","TMAX",2001-04-08,7.616,-0.2,14,4.09874777625232,2.44,4.5,11.4,12.62,5.8,"L'ACADIE (ECCC AES 702LED4; station_id 10843)","702LED4",10843,"L'ACADIE",4,2021-04-08,"DATE: Apr-08<br>Value: 5.8 °C<br>Anomaly: -1.8 °C<br>Weather station: L'ACADIE (ECCC AES 702LED4; station_id 10843)","DATE: Apr-08<br><b>Maximum temperature</b><br>10-90 percentile<br>2.4 to 12.6 °C","Historical daily maximum<br>14.0 °C<br>2021-04-08","DATE: Apr-08</b><br>Normal: 7.6 °C<br>Period: 1991-2020","702LED4","LACADIE",1994,2026
"04-08","TMIN",2001-04-08,-0.884,-7,4.3,3.2835042256711,-5.56,-3.4,1.8,3.1,-6.7,"L'ACADIE (ECCC AES 702LED4; station_id 10843)","702LED4",10843,"L'ACADIE",4,1999-04-08,"DATE: Apr-08<br>Value: -6.7 °C<br>Anomaly: -5.8 °C<br>Weather station: L'ACADIE (ECCC AES 702LED4; station_id 10843)","DATE: Apr-08<br><b>Minimum temperature</b><br>10-90 percentile<br>-5.6 to 3.1 °C","Historical daily maximum<br>4.3 °C<br>1999-04-08","DATE: Apr-08</b><br>Normal: -0.9 °C<br>Period: 1991-2020","702LED4","LACADIE",1994,2026
"04-08","VPD",2001-04-08,0.493021350903674,0.179165379669034,1.00967670239945,0.233015108694808,0.220821280752672,0.338063519444205,0.590574092565965,0.840135473119223,0.552427824337673,"L'ACADIE (ECCC AES 702LED4; station_id 10843)","702LED4",10843,"L'ACADIE",4,2021-04-08,"DATE: Apr-08<br>Value: 0.6 kPa<br>Anomaly: +0.1 kPa<br>Weather station: L'ACADIE (ECCC AES 702LED4; station_id 10843)","DATE: Apr-08<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 0.8 kPa","Historical daily maximum<br>1.0 kPa<br>2021-04-08","DATE: Apr-08</b><br>Normal: 0.5 kPa<br>Period: 1991-2020","702LED4","LACADIE",1994,2026
"04-09","TMAX",2001-04-09,7.516,-2.2,17.3,5.19724927245173,0.62,4.5,9.1,15.64,13.8,"L'ACADIE (ECCC AES 702LED4; station_id 10843)","702LED4",10843,"L'ACADIE",4,2021-04-09,"DATE: Apr-09<br>Value: 13.8 °C<br>Anomaly: +6.3 °C<br>Weather station: L'ACADIE (ECCC AES 702LED4; station_id 10843)","DATE: Apr-09<br><b>Maximum temperature</b><br>10-90 percentile<br>0.6 to 15.6 °C","Historical daily maximum<br>17.3 °C<br>2021-04-09","DATE: Apr-09</b><br>Normal: 7.5 °C<br>Period: 1991-2020","702LED4","LACADIE",1994,2026
"04-09","TMIN",2001-04-09,-1.224,-10.2,5.9,3.59226947764223,-5,-2.5,0.9,2.66,2,"L'ACADIE (ECCC AES 702LED4; station_id 10843)","702LED4",10843,"L'ACADIE",4,2002-04-09,"DATE: Apr-09<br>Value: 2.0 °C<br>Anomaly: +3.2 °C<br>Weather station: L'ACADIE (ECCC AES 702LED4; station_id 10843)","DATE: Apr-09<br><b>Minimum temperature</b><br>10-90 percentile<br>-5.0 to 2.7 °C","Historical daily maximum<br>5.9 °C<br>2002-04-09","DATE: Apr-09</b><br>Normal: -1.2 °C<br>Period: 1991-2020","702LED4","LACADIE",1994,2026
