"variable","MD","PLOT_DATE","clim_mean","clim_sd","clim_max","clim_max_date","value","rec_all_val","rec_all_date","value_record","MONTH","hover_histmax","AES","NAME","por_start","por_end"
"BUI","04-01",2001-04-01,NA,NA,10.6,2024-04-01,NA,118.3,2020-06-23,NA,4,"Daily record reached in 2024","7014160","LASSOMPTION+CDA",1970,2026
"BUI","04-02",2001-04-02,NA,NA,11.4,2024-04-02,NA,118.3,2020-06-23,NA,4,"Daily record reached in 2024","7014160","LASSOMPTION+CDA",1970,2026
"BUI","04-03",2001-04-03,NA,NA,12.6,2024-04-03,NA,118.3,2020-06-23,NA,4,"Daily record reached in 2024","7014160","LASSOMPTION+CDA",1970,2026
"BUI","04-04",2001-04-04,7.23333333333333,0.838649708360608,8.2,2010-04-04,NA,118.3,2020-06-23,NA,4,"Daily record reached in 2010","7014160","LASSOMPTION+CDA",1970,2026
"BUI","04-05",2001-04-05,8.16666666666667,1.68621864932556,10.1,2010-04-05,NA,118.3,2020-06-23,NA,4,"Daily record reached in 2010","7014160","LASSOMPTION+CDA",1970,2026
"BUI","04-06",2001-04-06,9.43333333333333,1.78978583448784,11.5,2010-04-06,NA,118.3,2020-06-23,NA,4,"Daily record reached in 2010","7014160","LASSOMPTION+CDA",1970,2026
"BUI","04-07",2001-04-07,8.2,2.43310501211929,9.8,2020-04-07,NA,118.3,2020-06-23,NA,4,"Daily record reached in 2020","7014160","LASSOMPTION+CDA",1970,2026
"BUI","04-08",2001-04-08,7.8,5.02294734194974,10.7,2012-04-08,NA,118.3,2020-06-23,NA,4,"Daily record reached in 2012","7014160","LASSOMPTION+CDA",1970,2026
"BUI","04-09",2001-04-09,6.76666666666667,4.95614097189873,11.2,2021-04-09,NA,118.3,2020-06-23,NA,4,"Daily record reached in 2021","7014160","LASSOMPTION+CDA",1970,2026
"BUI","04-10",2001-04-10,5.3,2.95127091267474,12.8,2021-04-10,NA,118.3,2020-06-23,NA,4,"Daily record reached in 2021","7014160","LASSOMPTION+CDA",1970,2026
"BUI","04-11",2001-04-11,9,NA,14.6,2021-04-11,4.4,118.3,2020-06-23,NA,4,"Daily record reached in 2021","7014160","LASSOMPTION+CDA",1970,2026
"BUI","04-12",2001-04-12,7.68333333333333,1.75660657708739,15.8,2021-04-12,5.6,118.3,2020-06-23,NA,4,"Daily record reached in 2021","7014160","LASSOMPTION+CDA",1970,2026
"BUI","04-13",2001-04-13,7.65,3.13863027449873,17.4,2021-04-13,1.8,118.3,2020-06-23,NA,4,"Daily record reached in 2021","7014160","LASSOMPTION+CDA",1970,2026
