"variable","MD","PLOT_DATE","clim_mean","clim_sd","clim_max","clim_max_date","value","rec_all_val","rec_all_date","value_record","MONTH","hover_histmax","AES","NAME","por_start","por_end"
"BUI","04-01",2001-04-01,NA,NA,NA,NA,NA,108.2,2012-07-31,NA,4,"Daily record reached in NA","7034482","MANIWAKI+AIRPORT",1994,2026
"BUI","04-02",2001-04-02,7.75,1.20208152801713,8.6,2010-04-02,NA,108.2,2012-07-31,NA,4,"Daily record reached in 2010","7034482","MANIWAKI+AIRPORT",1994,2026
"BUI","04-03",2001-04-03,9.8,2.54558441227157,11.6,2010-04-03,NA,108.2,2012-07-31,NA,4,"Daily record reached in 2010","7034482","MANIWAKI+AIRPORT",1994,2026
"BUI","04-04",2001-04-04,11.15,4.03050865276332,14,2010-04-04,NA,108.2,2012-07-31,NA,4,"Daily record reached in 2010","7034482","MANIWAKI+AIRPORT",1994,2026
"BUI","04-05",2001-04-05,10.5,2.54558441227157,12.3,2010-04-05,NA,108.2,2012-07-31,NA,4,"Daily record reached in 2010","7034482","MANIWAKI+AIRPORT",1994,2026
"BUI","04-06",2001-04-06,10.85,1.62634559672906,12,2010-04-06,NA,108.2,2012-07-31,NA,4,"Daily record reached in 2010","7034482","MANIWAKI+AIRPORT",1994,2026
"BUI","04-07",2001-04-07,9.85,2.1920310216783,11.4,2012-04-07,NA,108.2,2012-07-31,NA,4,"Daily record reached in 2012","7034482","MANIWAKI+AIRPORT",1994,2026
"BUI","04-08",2001-04-08,10.65,2.89913780286484,12.7,2012-04-08,NA,108.2,2012-07-31,NA,4,"Daily record reached in 2012","7034482","MANIWAKI+AIRPORT",1994,2026
"BUI","04-09",2001-04-09,8.45,7.14177848998413,13.5,2012-04-09,NA,108.2,2012-07-31,NA,4,"Daily record reached in 2012","7034482","MANIWAKI+AIRPORT",1994,2026
"BUI","04-10",2001-04-10,9.05,6.57609306503489,13.7,2012-04-10,NA,108.2,2012-07-31,NA,4,"Daily record reached in 2012","7034482","MANIWAKI+AIRPORT",1994,2026
"BUI","04-11",2001-04-11,9.85,6.57609306503489,18,2021-04-11,NA,108.2,2012-07-31,NA,4,"Daily record reached in 2021","7034482","MANIWAKI+AIRPORT",1994,2026
"BUI","04-12",2001-04-12,10.2,4.95176736125598,19.5,2021-04-12,NA,108.2,2012-07-31,NA,4,"Daily record reached in 2021","7034482","MANIWAKI+AIRPORT",1994,2026
"BUI","04-13",2001-04-13,10,7.14212853426764,21.5,2021-04-13,NA,108.2,2012-07-31,NA,4,"Daily record reached in 2021","7034482","MANIWAKI+AIRPORT",1994,2026
"BUI","04-14",2001-04-14,10.98,6.1617367681523,23.2,2021-04-14,NA,108.2,2012-07-31,NA,4,"Daily record reached in 2021","7034482","MANIWAKI+AIRPORT",1994,2026
"BUI","04-15",2001-04-15,12.4,7.62659819316581,22.7,2012-04-15,NA,108.2,2012-07-31,NA,4,"Daily record reached in 2012","7034482","MANIWAKI+AIRPORT",1994,2026
"BUI","04-16",2001-04-16,12.22,8.11215137925816,24.8,2012-04-16,NA,108.2,2012-07-31,NA,4,"Daily record reached in 2012","7034482","MANIWAKI+AIRPORT",1994,2026
"BUI","04-17",2001-04-17,10.7666666666667,7.52400602516151,25.4,2012-04-17,NA,108.2,2012-07-31,NA,4,"Daily record reached in 2012","7034482","MANIWAKI+AIRPORT",1994,2026
"BUI","04-18",2001-04-18,11.3125,6.77504612530424,26.5,2012-04-18,NA,108.2,2012-07-31,NA,4,"Daily record reached in 2012","7034482","MANIWAKI+AIRPORT",1994,2026
"BUI","04-19",2001-04-19,13.05,7.40694654651005,29,2012-04-19,NA,108.2,2012-07-31,NA,4,"Daily record reached in 2012","7034482","MANIWAKI+AIRPORT",1994,2026
"BUI","04-20",2001-04-20,12.7555555555556,6.17132706780136,26.1,2012-04-20,NA,108.2,2012-07-31,NA,4,"Daily record reached in 2012","7034482","MANIWAKI+AIRPORT",1994,2026
"BUI","04-21",2001-04-21,12.1111111111111,4.88657457848656,16.9,2008-04-21,NA,108.2,2012-07-31,NA,4,"Daily record reached in 2008","7034482","MANIWAKI+AIRPORT",1994,2026
"BUI","04-22",2001-04-22,13.7777777777778,6.38744428112249,20.1,2008-04-22,NA,108.2,2012-07-31,NA,4,"Daily record reached in 2008","7034482","MANIWAKI+AIRPORT",1994,2026
"BUI","04-23",2001-04-23,12.42,7.39215800696928,22.2,2008-04-23,NA,108.2,2012-07-31,NA,4,"Daily record reached in 2008","7034482","MANIWAKI+AIRPORT",1994,2026
"BUI","04-24",2001-04-24,10.1090909090909,6.82589987407588,25.4,2008-04-24,NA,108.2,2012-07-31,NA,4,"Daily record reached in 2008","7034482","MANIWAKI+AIRPORT",1994,2026
"BUI","04-25",2001-04-25,10.0727272727273,8.54424846421157,29,2008-04-25,NA,108.2,2012-07-31,NA,4,"Daily record reached in 2008","7034482","MANIWAKI+AIRPORT",1994,2026
"BUI","04-26",2001-04-26,10.625,9.44121766029631,32,2008-04-26,NA,108.2,2012-07-31,NA,4,"Daily record reached in 2008","7034482","MANIWAKI+AIRPORT",1994,2026
"BUI","04-27",2001-04-27,9.17142857142857,7.85605387058811,25.2,2008-04-27,9.3,108.2,2012-07-31,NA,4,"Daily record reached in 2008","7034482","MANIWAKI+AIRPORT",1994,2026
"BUI","04-28",2001-04-28,8.56666666666666,7.29605242253515,23.1,2010-04-28,12.1,108.2,2012-07-31,NA,4,"Daily record reached in 2010","7034482","MANIWAKI+AIRPORT",1994,2026
"BUI","04-29",2001-04-29,8.74666666666667,7.23077417971929,24.8,2010-04-29,13.4,108.2,2012-07-31,NA,4,"Daily record reached in 2010","7034482","MANIWAKI+AIRPORT",1994,2026
"BUI","04-30",2001-04-30,10.9647058823529,8.57947705111379,29.8,1999-04-30,7.5,108.2,2012-07-31,NA,4,"Daily record reached in 1999","7034482","MANIWAKI+AIRPORT",1994,2026
"BUI","05-01",2001-05-01,11.5578947368421,9.77259864163705,34.2,1999-05-01,8.9,108.2,2012-07-31,NA,5,"Daily record reached in 1999","7034482","MANIWAKI+AIRPORT",1994,2026
"BUI","05-02",2001-05-02,12.1368421052632,10.7008935518029,39.2,1999-05-02,9.7,108.2,2012-07-31,NA,5,"Daily record reached in 1999","7034482","MANIWAKI+AIRPORT",1994,2026
"BUI","05-03",2001-05-03,12.835,11.81164790856,44,1999-05-03,11.4,108.2,2012-07-31,NA,5,"Daily record reached in 1999","7034482","MANIWAKI+AIRPORT",1994,2026
"BUI","05-04",2001-05-04,14.185,12.7221015725018,49.1,1999-05-04,8.5,108.2,2012-07-31,NA,5,"Daily record reached in 1999","7034482","MANIWAKI+AIRPORT",1994,2026
"BUI","05-05",2001-05-05,14.9521739130435,12.5836788075672,51.9,1999-05-05,6.3,108.2,2012-07-31,NA,5,"Daily record reached in 1999","7034482","MANIWAKI+AIRPORT",1994,2026
"BUI","05-06",2001-05-06,15.9391304347826,13.3374639517425,54.9,1999-05-06,6.2,108.2,2012-07-31,NA,5,"Daily record reached in 1999","7034482","MANIWAKI+AIRPORT",1994,2026
"BUI","05-07",2001-05-07,17.5347826086957,13.4222545422163,56.9,1999-05-07,7.2,108.2,2012-07-31,NA,5,"Daily record reached in 1999","7034482","MANIWAKI+AIRPORT",1994,2026
"BUI","05-08",2001-05-08,16.5166666666667,11.4860469859007,41.2,2015-05-08,8.9,108.2,2012-07-31,NA,5,"Daily record reached in 2015","7034482","MANIWAKI+AIRPORT",1994,2026
"BUI","05-09",2001-05-09,16.88,10.9202411450786,38.8,2013-05-09,11.8,108.2,2012-07-31,NA,5,"Daily record reached in 2013","7034482","MANIWAKI+AIRPORT",1994,2026
"BUI","05-10",2001-05-10,16.2153846153846,11.9095152649532,40.9,2001-05-10,8.1,108.2,2012-07-31,NA,5,"Daily record reached in 2001","7034482","MANIWAKI+AIRPORT",1994,2026
"BUI","05-11",2001-05-11,16.1423076923077,11.5130247312137,42.4,2001-05-11,9.7,108.2,2012-07-31,NA,5,"Daily record reached in 2001","7034482","MANIWAKI+AIRPORT",1994,2026
"BUI","05-12",2001-05-12,16.1846153846154,11.1045105180802,44.2,1998-05-12,11.4,108.2,2012-07-31,NA,5,"Daily record reached in 1998","7034482","MANIWAKI+AIRPORT",1994,2026
"BUI","05-13",2001-05-13,17.34,11.2963120825633,47.5,1998-05-13,11,108.2,2012-07-31,NA,5,"Daily record reached in 1998","7034482","MANIWAKI+AIRPORT",1994,2026
"BUI","05-14",2001-05-14,17.2,13.009104504154,50.8,1998-05-14,5.7,108.2,2012-07-31,NA,5,"Daily record reached in 1998","7034482","MANIWAKI+AIRPORT",1994,2026
"BUI","05-15",2001-05-15,17.2346153846154,13.3487959699051,54.5,1998-05-15,8.1,108.2,2012-07-31,NA,5,"Daily record reached in 1998","7034482","MANIWAKI+AIRPORT",1994,2026
"BUI","05-16",2001-05-16,17.2769230769231,14.4529943663535,58.3,1998-05-16,11.7,108.2,2012-07-31,NA,5,"Daily record reached in 1998","7034482","MANIWAKI+AIRPORT",1994,2026
"BUI","05-17",2001-05-17,18.5269230769231,15.5558235447001,62.3,1998-05-17,14.6,108.2,2012-07-31,NA,5,"Daily record reached in 1998","7034482","MANIWAKI+AIRPORT",1994,2026
"BUI","05-18",2001-05-18,18.7115384615385,15.8213609256113,66,1998-05-18,8.5,108.2,2012-07-31,NA,5,"Daily record reached in 1998","7034482","MANIWAKI+AIRPORT",1994,2026
"BUI","05-19",2001-05-19,19.1807692307692,16.5550238714602,69.4,1998-05-19,7.9,108.2,2012-07-31,NA,5,"Daily record reached in 1998","7034482","MANIWAKI+AIRPORT",1994,2026
"BUI","05-20",2001-05-20,20.5153846153846,17.137437201815,72.8,1998-05-20,8,108.2,2012-07-31,NA,5,"Daily record reached in 1998","7034482","MANIWAKI+AIRPORT",1994,2026
"BUI","05-21",2001-05-21,21.7423076923077,17.666401401008,73.5,1998-05-21,10.1,108.2,2012-07-31,NA,5,"Daily record reached in 1998","7034482","MANIWAKI+AIRPORT",1994,2026
"BUI","05-22",2001-05-22,23.7576923076923,18.0303782118274,75.6,1998-05-22,13.2,108.2,2012-07-31,NA,5,"Daily record reached in 1998","7034482","MANIWAKI+AIRPORT",1994,2026
"BUI","05-23",2001-05-23,25.2307692307692,19.0757808591055,79.3,1998-05-23,16.9,108.2,2012-07-31,NA,5,"Daily record reached in 1998","7034482","MANIWAKI+AIRPORT",1994,2026
"BUI","05-24",2001-05-24,25.2692307692308,19.3206163303507,83.6,1998-05-24,13.4,108.2,2012-07-31,NA,5,"Daily record reached in 1998","7034482","MANIWAKI+AIRPORT",1994,2026
"BUI","05-25",2001-05-25,24.7592592592593,19.5047185466503,88.5,1998-05-25,9.1,108.2,2012-07-31,NA,5,"Daily record reached in 1998","7034482","MANIWAKI+AIRPORT",1994,2026
"BUI","05-26",2001-05-26,24.1925925925926,19.3073307306582,91.2,1998-05-26,13.2,108.2,2012-07-31,NA,5,"Daily record reached in 1998","7034482","MANIWAKI+AIRPORT",1994,2026
"BUI","05-27",2001-05-27,24.9407407407407,20.543485946032,94.8,1998-05-27,16.3,108.2,2012-07-31,NA,5,"Daily record reached in 1998","7034482","MANIWAKI+AIRPORT",1994,2026
"BUI","05-28",2001-05-28,25.3851851851852,21.551614319398,99.7,1998-05-28,18.6,108.2,2012-07-31,NA,5,"Daily record reached in 1998","7034482","MANIWAKI+AIRPORT",1994,2026
"BUI","05-29",2001-05-29,23.8703703703704,19.2160953132607,90,1998-05-29,14.5,108.2,2012-07-31,NA,5,"Daily record reached in 1998","7034482","MANIWAKI+AIRPORT",1994,2026
"BUI","05-30",2001-05-30,23.0333333333333,19.6915444563631,91.8,1998-05-30,18.3,108.2,2012-07-31,NA,5,"Daily record reached in 1998","7034482","MANIWAKI+AIRPORT",1994,2026
"BUI","05-31",2001-05-31,22.3740740740741,16.9779176170014,64.3,1998-05-31,20.9,108.2,2012-07-31,NA,5,"Daily record reached in 1998","7034482","MANIWAKI+AIRPORT",1994,2026
"BUI","06-01",2001-06-01,22.1444444444444,15.5001571538766,66.3,1998-06-01,24.4,108.2,2012-07-31,NA,6,"Daily record reached in 1998","7034482","MANIWAKI+AIRPORT",1994,2026
"BUI","06-02",2001-06-02,19.9962962962963,12.8483007401303,54.6,2021-06-02,28.8,108.2,2012-07-31,NA,6,"Daily record reached in 2021","7034482","MANIWAKI+AIRPORT",1994,2026
"BUI","06-03",2001-06-03,20.6259259259259,12.6309629510669,56.4,2021-06-03,33.7,108.2,2012-07-31,NA,6,"Daily record reached in 2021","7034482","MANIWAKI+AIRPORT",1994,2026
"BUI","06-04",2001-06-04,21.2740740740741,11.6351123954967,59.5,2021-06-04,38.1,108.2,2012-07-31,NA,6,"Daily record reached in 2021","7034482","MANIWAKI+AIRPORT",1994,2026
"BUI","06-05",2001-06-05,21.4222222222222,11.8893725438805,62,2021-06-05,41.5,108.2,2012-07-31,NA,6,"Daily record reached in 2021","7034482","MANIWAKI+AIRPORT",1994,2026
"BUI","06-06",2001-06-06,20.8592592592593,11.6144558221892,56.7,2023-06-06,33.1,108.2,2012-07-31,NA,6,"Daily record reached in 2023","7034482","MANIWAKI+AIRPORT",1994,2026
"BUI","06-07",2001-06-07,22.7037037037037,12.2034825256967,58.8,2023-06-07,15,108.2,2012-07-31,NA,6,"Daily record reached in 2023","7034482","MANIWAKI+AIRPORT",1994,2026
