"MD","variable","PLOT_DATE","clim_mean","clim_min","clim_max","clim_sd","q10","q25","q75","q90","value","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","MONTH","clim_max_date","hover_value","hover_band","hover_histmax","hover_mean","AES","NAME","por_start","por_end"
"04-01","TMAX",2001-04-01,3.88,-6.2,17.9,5.69268536515647,-3.4,-1.7,7.8,8.76,-8.4,"NA (ECCC AES NA; station_id 10791)",NA,10791,"",4,2010-04-01,"DATE: Apr-01<br>Value: -8.4 °C<br>Anomaly: -12.3 °C<br>Weather station: NA (ECCC AES NA; station_id 10791)","DATE: Apr-01<br><b>Maximum temperature</b><br>10-90 percentile<br>-3.4 to 8.8 °C","Historical daily maximum<br>17.9 °C<br>2010-04-01","DATE: Apr-01</b><br>Normal: 3.9 °C<br>Period: 1991-2020","7094637","MATAGAMI",1994,2026
"04-01","TMIN",2001-04-01,-10.936,-23.5,1.2,6.90065697355452,-19.62,-15.9,-7.3,-2.22,-22,"NA (ECCC AES NA; station_id 10791)",NA,10791,"",4,2010-04-01,"DATE: Apr-01<br>Value: -22.0 °C<br>Anomaly: -11.1 °C<br>Weather station: NA (ECCC AES NA; station_id 10791)","DATE: Apr-01<br><b>Minimum temperature</b><br>10-90 percentile<br>-19.6 to -2.2 °C","Historical daily maximum<br>1.2 °C<br>2010-04-01","DATE: Apr-01</b><br>Normal: -10.9 °C<br>Period: 1991-2020","7094637","MATAGAMI",1994,2026
"04-01","VPD",2001-04-01,0.563240866714562,0.207598397240453,1.3847987649592,0.27211392494023,0.299134800937787,0.352584474323782,0.695695556730327,0.911476013304136,0.219493519957135,"NA (ECCC AES NA; station_id 10791)",NA,10791,"",4,2010-04-01,"DATE: Apr-01<br>Value: 0.2 kPa<br>Anomaly: -0.3 kPa<br>Weather station: NA (ECCC AES NA; station_id 10791)","DATE: Apr-01<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.3 to 0.9 kPa","Historical daily maximum<br>1.4 kPa<br>2010-04-01","DATE: Apr-01</b><br>Normal: 0.6 kPa<br>Period: 1991-2020","7094637","MATAGAMI",1994,2026
"04-02","TMAX",2001-04-02,2.788,-10.3,21.9,6.64412773306875,-5.88,-0.1,5.2,7.98,-0.9,"NA (ECCC AES NA; station_id 10791)",NA,10791,"",4,2010-04-02,"DATE: Apr-02<br>Value: -0.9 °C<br>Anomaly: -3.7 °C<br>Weather station: NA (ECCC AES NA; station_id 10791)","DATE: Apr-02<br><b>Maximum temperature</b><br>10-90 percentile<br>-5.9 to 8.0 °C","Historical daily maximum<br>21.9 °C<br>2010-04-02","DATE: Apr-02</b><br>Normal: 2.8 °C<br>Period: 1991-2020","7094637","MATAGAMI",1994,2026
"04-02","TMIN",2001-04-02,-9.448,-22,2.2,7.14930765878767,-20.16,-12.6,-4.7,-0.679999999999999,-24.7,"NA (ECCC AES NA; station_id 10791)",NA,10791,"",4,2010-04-02,"DATE: Apr-02<br>Value: -24.7 °C<br>Anomaly: -15.3 °C<br>Weather station: NA (ECCC AES NA; station_id 10791)","DATE: Apr-02<br><b>Minimum temperature</b><br>10-90 percentile<br>-20.2 to -0.7 °C","Historical daily maximum<br>2.2 °C<br>2010-04-02","DATE: Apr-02</b><br>Normal: -9.4 °C<br>Period: 1991-2020","7094637","MATAGAMI",1994,2026
"04-02","VPD",2001-04-02,0.483346039884524,0.10227317391704,1.91205339994176,0.364449103768113,0.165097604769134,0.286755075265581,0.609001017141007,0.711053655640282,0.489800214019015,"NA (ECCC AES NA; station_id 10791)",NA,10791,"",4,2010-04-02,"DATE: Apr-02<br>Value: 0.5 kPa<br>Anomaly: +0.0 kPa<br>Weather station: NA (ECCC AES NA; station_id 10791)","DATE: Apr-02<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 0.7 kPa","Historical daily maximum<br>1.9 kPa<br>2010-04-02","DATE: Apr-02</b><br>Normal: 0.5 kPa<br>Period: 1991-2020","7094637","MATAGAMI",1994,2026
"04-03","TMAX",2001-04-03,2.16923076923077,-15.1,23.8,8.0544531400099,-8.15,-1.4,7.9,8.95,-0.8,"NA (ECCC AES NA; station_id 10791)",NA,10791,"",4,2010-04-03,"DATE: Apr-03<br>Value: -0.8 °C<br>Anomaly: -3.0 °C<br>Weather station: NA (ECCC AES NA; station_id 10791)","DATE: Apr-03<br><b>Maximum temperature</b><br>10-90 percentile<br>-8.1 to 8.9 °C","Historical daily maximum<br>23.8 °C<br>2010-04-03","DATE: Apr-03</b><br>Normal: 2.2 °C<br>Period: 1991-2020","7094637","MATAGAMI",1994,2026
"04-03","TMIN",2001-04-03,-9.58846153846154,-27.5,7.6,8.84797499648714,-23.75,-12.375,-3.8,-0.75,-11.2,"NA (ECCC AES NA; station_id 10791)",NA,10791,"",4,2010-04-03,"DATE: Apr-03<br>Value: -11.2 °C<br>Anomaly: -1.6 °C<br>Weather station: NA (ECCC AES NA; station_id 10791)","DATE: Apr-03<br><b>Minimum temperature</b><br>10-90 percentile<br>-23.8 to -0.8 °C","Historical daily maximum<br>7.6 °C<br>2010-04-03","DATE: Apr-03</b><br>Normal: -9.6 °C<br>Period: 1991-2020","7094637","MATAGAMI",1994,2026
"04-03","VPD",2001-04-03,0.466641715815936,0.115941209000792,1.90439286974778,0.367606466234979,0.170906623053414,0.226751104338474,0.607303825972973,0.781300151745829,0.316501813497928,"NA (ECCC AES NA; station_id 10791)",NA,10791,"",4,2010-04-03,"DATE: Apr-03<br>Value: 0.3 kPa<br>Anomaly: -0.2 kPa<br>Weather station: NA (ECCC AES NA; station_id 10791)","DATE: Apr-03<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 0.8 kPa","Historical daily maximum<br>1.9 kPa<br>2010-04-03","DATE: Apr-03</b><br>Normal: 0.5 kPa<br>Period: 1991-2020","7094637","MATAGAMI",1994,2026
"04-04","TMAX",2001-04-04,0.268,-12.3,14.6,7.09487608536377,-8.98,-6.5,4.4,8.66,0.3,"NA (ECCC AES NA; station_id 10791)",NA,10791,"",4,2010-04-04,"DATE: Apr-04<br>Value: 0.3 °C<br>Anomaly: +0.0 °C<br>Weather station: NA (ECCC AES NA; station_id 10791)","DATE: Apr-04<br><b>Maximum temperature</b><br>10-90 percentile<br>-9.0 to 8.7 °C","Historical daily maximum<br>14.6 °C<br>2010-04-04","DATE: Apr-04</b><br>Normal: 0.3 °C<br>Period: 1991-2020","7094637","MATAGAMI",1994,2026
"04-04","TMIN",2001-04-04,-10.82,-27.7,3.5,9.1089699381068,-23.74,-18.3,-4.4,-1.34,-16.6,"NA (ECCC AES NA; station_id 10791)",NA,10791,"",4,2010-04-04,"DATE: Apr-04<br>Value: -16.6 °C<br>Anomaly: -5.8 °C<br>Weather station: NA (ECCC AES NA; station_id 10791)","DATE: Apr-04<br><b>Minimum temperature</b><br>10-90 percentile<br>-23.7 to -1.3 °C","Historical daily maximum<br>3.5 °C<br>2010-04-04","DATE: Apr-04</b><br>Normal: -10.8 °C<br>Period: 1991-2020","7094637","MATAGAMI",1994,2026
