"variable","MD","PLOT_DATE","clim_mean","clim_sd","clim_max","clim_max_date","value","rec_all_val","rec_all_date","value_record","MONTH","hover_histmax","AES","NAME","por_start","por_end"
"BUI","04-01",2001-04-01,1.6,NA,1.6,2012-04-01,NA,79.3,2022-11-05,NA,4,"Daily record reached in 2012","704Q003","POINTE+NOIRE+CS",1997,2026
"BUI","04-02",2001-04-02,2.1,NA,2.1,2012-04-02,NA,79.3,2022-11-05,NA,4,"Daily record reached in 2012","704Q003","POINTE+NOIRE+CS",1997,2026
"BUI","04-03",2001-04-03,2.9,NA,2.9,2012-04-03,NA,79.3,2022-11-05,NA,4,"Daily record reached in 2012","704Q003","POINTE+NOIRE+CS",1997,2026
"BUI","04-04",2001-04-04,3.2,NA,3.2,2012-04-04,NA,79.3,2022-11-05,NA,4,"Daily record reached in 2012","704Q003","POINTE+NOIRE+CS",1997,2026
"BUI","04-05",2001-04-05,3.8,NA,3.8,2012-04-05,NA,79.3,2022-11-05,NA,4,"Daily record reached in 2012","704Q003","POINTE+NOIRE+CS",1997,2026
"BUI","04-06",2001-04-06,3.9,NA,3.9,2012-04-06,NA,79.3,2022-11-05,NA,4,"Daily record reached in 2012","704Q003","POINTE+NOIRE+CS",1997,2026
"BUI","04-07",2001-04-07,NA,NA,NA,NA,NA,79.3,2022-11-05,NA,4,"Daily record reached in NA","704Q003","POINTE+NOIRE+CS",1997,2026
"BUI","04-08",2001-04-08,3.8,NA,3.8,2012-04-08,NA,79.3,2022-11-05,NA,4,"Daily record reached in 2012","704Q003","POINTE+NOIRE+CS",1997,2026
"BUI","04-09",2001-04-09,2.1,NA,2.1,2012-04-09,NA,79.3,2022-11-05,NA,4,"Daily record reached in 2012","704Q003","POINTE+NOIRE+CS",1997,2026
"BUI","04-10",2001-04-10,0.2,NA,0.2,2012-04-10,NA,79.3,2022-11-05,NA,4,"Daily record reached in 2012","704Q003","POINTE+NOIRE+CS",1997,2026
"BUI","04-11",2001-04-11,0.2,NA,0.2,2012-04-11,NA,79.3,2022-11-05,NA,4,"Daily record reached in 2012","704Q003","POINTE+NOIRE+CS",1997,2026
"BUI","04-12",2001-04-12,1,NA,1,2012-04-12,NA,79.3,2022-11-05,NA,4,"Daily record reached in 2012","704Q003","POINTE+NOIRE+CS",1997,2026
"BUI","04-13",2001-04-13,1.4,NA,1.4,2012-04-13,NA,79.3,2022-11-05,NA,4,"Daily record reached in 2012","704Q003","POINTE+NOIRE+CS",1997,2026
"BUI","04-14",2001-04-14,2.6,NA,2.6,2012-04-14,NA,79.3,2022-11-05,NA,4,"Daily record reached in 2012","704Q003","POINTE+NOIRE+CS",1997,2026
"BUI","04-15",2001-04-15,3.1,NA,3.1,2012-04-15,NA,79.3,2022-11-05,NA,4,"Daily record reached in 2012","704Q003","POINTE+NOIRE+CS",1997,2026
"BUI","04-16",2001-04-16,3.3,NA,3.3,2012-04-16,NA,79.3,2022-11-05,NA,4,"Daily record reached in 2012","704Q003","POINTE+NOIRE+CS",1997,2026
"BUI","04-17",2001-04-17,1.1,NA,1.1,2012-04-17,NA,79.3,2022-11-05,NA,4,"Daily record reached in 2012","704Q003","POINTE+NOIRE+CS",1997,2026
"BUI","04-18",2001-04-18,1.8,NA,1.8,2012-04-18,NA,79.3,2022-11-05,NA,4,"Daily record reached in 2012","704Q003","POINTE+NOIRE+CS",1997,2026
"BUI","04-19",2001-04-19,2.2,NA,2.2,2012-04-19,NA,79.3,2022-11-05,NA,4,"Daily record reached in 2012","704Q003","POINTE+NOIRE+CS",1997,2026
"BUI","04-20",2001-04-20,3.1,NA,3.1,2012-04-20,NA,79.3,2022-11-05,NA,4,"Daily record reached in 2012","704Q003","POINTE+NOIRE+CS",1997,2026
"BUI","04-21",2001-04-21,0.5,NA,0.5,2012-04-21,NA,79.3,2022-11-05,NA,4,"Daily record reached in 2012","704Q003","POINTE+NOIRE+CS",1997,2026
"BUI","04-22",2001-04-22,0.5,NA,0.5,2012-04-22,NA,79.3,2022-11-05,NA,4,"Daily record reached in 2012","704Q003","POINTE+NOIRE+CS",1997,2026
"BUI","04-23",2001-04-23,NA,NA,NA,NA,NA,79.3,2022-11-05,NA,4,"Daily record reached in NA","704Q003","POINTE+NOIRE+CS",1997,2026
"BUI","04-24",2001-04-24,0,NA,0,2012-04-24,NA,79.3,2022-11-05,NA,4,"Daily record reached in 2012","704Q003","POINTE+NOIRE+CS",1997,2026
"BUI","04-25",2001-04-25,0.5,NA,0.5,2012-04-25,NA,79.3,2022-11-05,NA,4,"Daily record reached in 2012","704Q003","POINTE+NOIRE+CS",1997,2026
"BUI","04-26",2001-04-26,1.3,NA,1.3,2012-04-26,NA,79.3,2022-11-05,NA,4,"Daily record reached in 2012","704Q003","POINTE+NOIRE+CS",1997,2026
"BUI","04-27",2001-04-27,0.2,NA,0.2,2012-04-27,NA,79.3,2022-11-05,NA,4,"Daily record reached in 2012","704Q003","POINTE+NOIRE+CS",1997,2026
"BUI","04-28",2001-04-28,0.1,NA,0.1,2012-04-28,NA,79.3,2022-11-05,NA,4,"Daily record reached in 2012","704Q003","POINTE+NOIRE+CS",1997,2026
"BUI","04-29",2001-04-29,NA,NA,NA,NA,NA,79.3,2022-11-05,NA,4,"Daily record reached in NA","704Q003","POINTE+NOIRE+CS",1997,2026
"BUI","04-30",2001-04-30,1.1,NA,1.1,2012-04-30,NA,79.3,2022-11-05,NA,4,"Daily record reached in 2012","704Q003","POINTE+NOIRE+CS",1997,2026
"BUI","05-01",2001-05-01,5.2,4.66690475583121,8.5,1999-05-01,NA,79.3,2022-11-05,NA,5,"Daily record reached in 1999","704Q003","POINTE+NOIRE+CS",1997,2026
"BUI","05-02",2001-05-02,7.23333333333333,3.92598183048945,9.5,1999-05-02,NA,79.3,2022-11-05,NA,5,"Daily record reached in 1999","704Q003","POINTE+NOIRE+CS",1997,2026
"BUI","05-03",2001-05-03,8.8,4.34856298103178,11.7,1999-05-03,NA,79.3,2022-11-05,NA,5,"Daily record reached in 1999","704Q003","POINTE+NOIRE+CS",1997,2026
"BUI","05-04",2001-05-04,10.3333333333333,5.38175931581238,14.9,1999-05-04,NA,79.3,2022-11-05,NA,5,"Daily record reached in 1999","704Q003","POINTE+NOIRE+CS",1997,2026
"BUI","05-05",2001-05-05,10.4,7.98999374217527,17.2,1999-05-05,NA,79.3,2022-11-05,NA,5,"Daily record reached in 1999","704Q003","POINTE+NOIRE+CS",1997,2026
