"MD","PLOT_DATE","clim_mean","clim_min","clim_max","q10","q25","q75","q90","PRECIP","PRECIP_CUM","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","hover_bar","pct_normal","hover_value","hover_mean","hover_band25","hover_band10","AES","NAME","por_start","por_end"
"04-01",2001-04-01,2.37083333333333,0,16.6,0,0,2.475,8.8,2.6,2.6,"NA (ECCC AES NA; station_id 27194)",NA,27194,"","DATE: Apr-01<br><b>Daily precipitation</b><br>Value: 2.6 mm<br>Weather station: NA (ECCC AES NA; station_id 27194)",109.666080843585,"DATE: Apr-01<br><b>Cumulative precipitation</b><br>Value: 2.6 mm<br>Anomaly: +0.2 mm<br>Percent of normal: <b>110%</b><br>Weather station: NA (ECCC AES NA; station_id 27194)","DATE: Apr-01<br><b>Normal cumulative precipitation</b><br>2.4 mm<br>Period: 1991-2020","DATE: Apr-01<br><b>25-75 percentile</b><br>0.0 to 2.5 mm","DATE: Apr-01<br><b>10-90 percentile</b><br>0.0 to 8.8 mm","7056068","POINTE-AU-PERE+INRS",1996,2026
"04-02",2001-04-02,4.325,0,24.6,0,0,6.025,13.49,0,2.6,"NA (ECCC AES NA; station_id 27194)",NA,27194,"","DATE: Apr-02<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 27194)",60.1156069364162,"DATE: Apr-02<br><b>Cumulative precipitation</b><br>Value: 2.6 mm<br>Anomaly: -1.7 mm<br>Percent of normal: <b>60%</b><br>Weather station: NA (ECCC AES NA; station_id 27194)","DATE: Apr-02<br><b>Normal cumulative precipitation</b><br>4.3 mm<br>Period: 1991-2020","DATE: Apr-02<br><b>25-75 percentile</b><br>0.0 to 6.0 mm","DATE: Apr-02<br><b>10-90 percentile</b><br>0.0 to 13.5 mm","7056068","POINTE-AU-PERE+INRS",1996,2026
"04-03",2001-04-03,6.25833333333333,0,29.4,0,0,8.05,16,15.3,17.9,"NA (ECCC AES NA; station_id 27194)",NA,27194,"","DATE: Apr-03<br><b>Daily precipitation</b><br>Value: 15.3 mm<br>Weather station: NA (ECCC AES NA; station_id 27194)",286.018641810919,"DATE: Apr-03<br><b>Cumulative precipitation</b><br>Value: 17.9 mm<br>Anomaly: +11.6 mm<br>Percent of normal: <b>286%</b><br>Weather station: NA (ECCC AES NA; station_id 27194)","DATE: Apr-03<br><b>Normal cumulative precipitation</b><br>6.3 mm<br>Period: 1991-2020","DATE: Apr-03<br><b>25-75 percentile</b><br>0.0 to 8.0 mm","DATE: Apr-03<br><b>10-90 percentile</b><br>0.0 to 16.0 mm","7056068","POINTE-AU-PERE+INRS",1996,2026
"04-04",2001-04-04,10.0958333333333,0,38.6,0,1.1,14.975,23.82,0,17.9,"NA (ECCC AES NA; station_id 27194)",NA,27194,"","DATE: Apr-04<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 27194)",177.300866694181,"DATE: Apr-04<br><b>Cumulative precipitation</b><br>Value: 17.9 mm<br>Anomaly: +7.8 mm<br>Percent of normal: <b>177%</b><br>Weather station: NA (ECCC AES NA; station_id 27194)","DATE: Apr-04<br><b>Normal cumulative precipitation</b><br>10.1 mm<br>Period: 1991-2020","DATE: Apr-04<br><b>25-75 percentile</b><br>1.1 to 15.0 mm","DATE: Apr-04<br><b>10-90 percentile</b><br>0.0 to 23.8 mm","7056068","POINTE-AU-PERE+INRS",1996,2026
"04-05",2001-04-05,12.6041666666667,0,48.1,1.1,3.025,18.075,26.84,15.3,33.2,"NA (ECCC AES NA; station_id 27194)",NA,27194,"","DATE: Apr-05<br><b>Daily precipitation</b><br>Value: 15.3 mm<br>Weather station: NA (ECCC AES NA; station_id 27194)",263.404958677686,"DATE: Apr-05<br><b>Cumulative precipitation</b><br>Value: 33.2 mm<br>Anomaly: +20.6 mm<br>Percent of normal: <b>263%</b><br>Weather station: NA (ECCC AES NA; station_id 27194)","DATE: Apr-05<br><b>Normal cumulative precipitation</b><br>12.6 mm<br>Period: 1991-2020","DATE: Apr-05<br><b>25-75 percentile</b><br>3.0 to 18.1 mm","DATE: Apr-05<br><b>10-90 percentile</b><br>1.1 to 26.8 mm","7056068","POINTE-AU-PERE+INRS",1996,2026
"04-06",2001-04-06,14.9041666666667,1.1,53.4,2.46,4.475,20.925,27.87,0,33.2,"NA (ECCC AES NA; station_id 27194)",NA,27194,"","DATE: Apr-06<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 27194)",222.756499860218,"DATE: Apr-06<br><b>Cumulative precipitation</b><br>Value: 33.2 mm<br>Anomaly: +18.3 mm<br>Percent of normal: <b>223%</b><br>Weather station: NA (ECCC AES NA; station_id 27194)","DATE: Apr-06<br><b>Normal cumulative precipitation</b><br>14.9 mm<br>Period: 1991-2020","DATE: Apr-06<br><b>25-75 percentile</b><br>4.5 to 20.9 mm","DATE: Apr-06<br><b>10-90 percentile</b><br>2.5 to 27.9 mm","7056068","POINTE-AU-PERE+INRS",1996,2026
"04-07",2001-04-07,17.0291666666667,1.1,68.2,3.42,5.95,22.35,31.49,0,33.2,"NA (ECCC AES NA; station_id 27194)",NA,27194,"","DATE: Apr-07<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 27194)",194.959628089063,"DATE: Apr-07<br><b>Cumulative precipitation</b><br>Value: 33.2 mm<br>Anomaly: +16.2 mm<br>Percent of normal: <b>195%</b><br>Weather station: NA (ECCC AES NA; station_id 27194)","DATE: Apr-07<br><b>Normal cumulative precipitation</b><br>17.0 mm<br>Period: 1991-2020","DATE: Apr-07<br><b>25-75 percentile</b><br>6.0 to 22.4 mm","DATE: Apr-07<br><b>10-90 percentile</b><br>3.4 to 31.5 mm","7056068","POINTE-AU-PERE+INRS",1996,2026
"04-08",2001-04-08,19.0291666666667,3.2,69.2,4,11.475,25.4,34.11,0,33.2,"NA (ECCC AES NA; station_id 27194)",NA,27194,"","DATE: Apr-08<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 27194)",174.469016860083,"DATE: Apr-08<br><b>Cumulative precipitation</b><br>Value: 33.2 mm<br>Anomaly: +14.2 mm<br>Percent of normal: <b>174%</b><br>Weather station: NA (ECCC AES NA; station_id 27194)","DATE: Apr-08<br><b>Normal cumulative precipitation</b><br>19.0 mm<br>Period: 1991-2020","DATE: Apr-08<br><b>25-75 percentile</b><br>11.5 to 25.4 mm","DATE: Apr-08<br><b>10-90 percentile</b><br>4.0 to 34.1 mm","7056068","POINTE-AU-PERE+INRS",1996,2026
"04-09",2001-04-09,21.0375,3.2,69.2,8.1,12.775,28.075,35.96,0,33.2,"NA (ECCC AES NA; station_id 27194)",NA,27194,"","DATE: Apr-09<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 27194)",157.813428401664,"DATE: Apr-09<br><b>Cumulative precipitation</b><br>Value: 33.2 mm<br>Anomaly: +12.2 mm<br>Percent of normal: <b>158%</b><br>Weather station: NA (ECCC AES NA; station_id 27194)","DATE: Apr-09<br><b>Normal cumulative precipitation</b><br>21.0 mm<br>Period: 1991-2020","DATE: Apr-09<br><b>25-75 percentile</b><br>12.8 to 28.1 mm","DATE: Apr-09<br><b>10-90 percentile</b><br>8.1 to 36.0 mm","7056068","POINTE-AU-PERE+INRS",1996,2026
"04-10",2001-04-10,23.1958333333333,3.2,69.2,9.66,14.075,29.025,37.51,0.3,33.5,"NA (ECCC AES NA; station_id 27194)",NA,27194,"","DATE: Apr-10<br><b>Daily precipitation</b><br>Value: 0.3 mm<br>Weather station: NA (ECCC AES NA; station_id 27194)",144.422489671277,"DATE: Apr-10<br><b>Cumulative precipitation</b><br>Value: 33.5 mm<br>Anomaly: +10.3 mm<br>Percent of normal: <b>144%</b><br>Weather station: NA (ECCC AES NA; station_id 27194)","DATE: Apr-10<br><b>Normal cumulative precipitation</b><br>23.2 mm<br>Period: 1991-2020","DATE: Apr-10<br><b>25-75 percentile</b><br>14.1 to 29.0 mm","DATE: Apr-10<br><b>10-90 percentile</b><br>9.7 to 37.5 mm","7056068","POINTE-AU-PERE+INRS",1996,2026
"04-11",2001-04-11,23.6083333333333,3.2,69.2,9.66,14.425,29.1,37.88,0,33.5,"NA (ECCC AES NA; station_id 27194)",NA,27194,"","DATE: Apr-11<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 27194)",141.8990469467,"DATE: Apr-11<br><b>Cumulative precipitation</b><br>Value: 33.5 mm<br>Anomaly: +9.9 mm<br>Percent of normal: <b>142%</b><br>Weather station: NA (ECCC AES NA; station_id 27194)","DATE: Apr-11<br><b>Normal cumulative precipitation</b><br>23.6 mm<br>Period: 1991-2020","DATE: Apr-11<br><b>25-75 percentile</b><br>14.4 to 29.1 mm","DATE: Apr-11<br><b>10-90 percentile</b><br>9.7 to 37.9 mm","7056068","POINTE-AU-PERE+INRS",1996,2026
"04-12",2001-04-12,25.1708333333333,3.2,71.7,10.7,14.425,29.325,44.47,0,33.5,"NA (ECCC AES NA; station_id 27194)",NA,27194,"","DATE: Apr-12<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 27194)",133.090547922529,"DATE: Apr-12<br><b>Cumulative precipitation</b><br>Value: 33.5 mm<br>Anomaly: +8.3 mm<br>Percent of normal: <b>133%</b><br>Weather station: NA (ECCC AES NA; station_id 27194)","DATE: Apr-12<br><b>Normal cumulative precipitation</b><br>25.2 mm<br>Period: 1991-2020","DATE: Apr-12<br><b>25-75 percentile</b><br>14.4 to 29.3 mm","DATE: Apr-12<br><b>10-90 percentile</b><br>10.7 to 44.5 mm","7056068","POINTE-AU-PERE+INRS",1996,2026
"04-13",2001-04-13,28.1833333333333,4.2,71.7,12.1,16.9,39.05,45.13,4.6,38.1,"NA (ECCC AES NA; station_id 27194)",NA,27194,"","DATE: Apr-13<br><b>Daily precipitation</b><br>Value: 4.6 mm<br>Weather station: NA (ECCC AES NA; station_id 27194)",135.18628030751,"DATE: Apr-13<br><b>Cumulative precipitation</b><br>Value: 38.1 mm<br>Anomaly: +9.9 mm<br>Percent of normal: <b>135%</b><br>Weather station: NA (ECCC AES NA; station_id 27194)","DATE: Apr-13<br><b>Normal cumulative precipitation</b><br>28.2 mm<br>Period: 1991-2020","DATE: Apr-13<br><b>25-75 percentile</b><br>16.9 to 39.0 mm","DATE: Apr-13<br><b>10-90 percentile</b><br>12.1 to 45.1 mm","7056068","POINTE-AU-PERE+INRS",1996,2026
"04-14",2001-04-14,29.7125,5.3,71.7,13.03,16.9,39.05,46.87,0,38.1,"NA (ECCC AES NA; station_id 27194)",NA,27194,"","DATE: Apr-14<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 27194)",128.228859907446,"DATE: Apr-14<br><b>Cumulative precipitation</b><br>Value: 38.1 mm<br>Anomaly: +8.4 mm<br>Percent of normal: <b>128%</b><br>Weather station: NA (ECCC AES NA; station_id 27194)","DATE: Apr-14<br><b>Normal cumulative precipitation</b><br>29.7 mm<br>Period: 1991-2020","DATE: Apr-14<br><b>25-75 percentile</b><br>16.9 to 39.0 mm","DATE: Apr-14<br><b>10-90 percentile</b><br>13.0 to 46.9 mm","7056068","POINTE-AU-PERE+INRS",1996,2026
"04-15",2001-04-15,31.4125,5.3,71.7,13.48,21.2,39.05,46.87,2.5,40.6,"NA (ECCC AES NA; station_id 27194)",NA,27194,"","DATE: Apr-15<br><b>Daily precipitation</b><br>Value: 2.5 mm<br>Weather station: NA (ECCC AES NA; station_id 27194)",129.24791086351,"DATE: Apr-15<br><b>Cumulative precipitation</b><br>Value: 40.6 mm<br>Anomaly: +9.2 mm<br>Percent of normal: <b>129%</b><br>Weather station: NA (ECCC AES NA; station_id 27194)","DATE: Apr-15<br><b>Normal cumulative precipitation</b><br>31.4 mm<br>Period: 1991-2020","DATE: Apr-15<br><b>25-75 percentile</b><br>21.2 to 39.0 mm","DATE: Apr-15<br><b>10-90 percentile</b><br>13.5 to 46.9 mm","7056068","POINTE-AU-PERE+INRS",1996,2026
"04-16",2001-04-16,32.4625,5.3,71.7,16.69,25.575,39.05,47.17,7.7,48.3,"NA (ECCC AES NA; station_id 27194)",NA,27194,"","DATE: Apr-16<br><b>Daily precipitation</b><br>Value: 7.7 mm<br>Weather station: NA (ECCC AES NA; station_id 27194)",148.787061994609,"DATE: Apr-16<br><b>Cumulative precipitation</b><br>Value: 48.3 mm<br>Anomaly: +15.8 mm<br>Percent of normal: <b>149%</b><br>Weather station: NA (ECCC AES NA; station_id 27194)","DATE: Apr-16<br><b>Normal cumulative precipitation</b><br>32.5 mm<br>Period: 1991-2020","DATE: Apr-16<br><b>25-75 percentile</b><br>25.6 to 39.0 mm","DATE: Apr-16<br><b>10-90 percentile</b><br>16.7 to 47.2 mm","7056068","POINTE-AU-PERE+INRS",1996,2026
"04-17",2001-04-17,35.5416666666667,5.3,77.1,18.39,27.85,45.325,58.39,0,48.3,"NA (ECCC AES NA; station_id 27194)",NA,27194,"","DATE: Apr-17<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 27194)",135.896834701055,"DATE: Apr-17<br><b>Cumulative precipitation</b><br>Value: 48.3 mm<br>Anomaly: +12.8 mm<br>Percent of normal: <b>136%</b><br>Weather station: NA (ECCC AES NA; station_id 27194)","DATE: Apr-17<br><b>Normal cumulative precipitation</b><br>35.5 mm<br>Period: 1991-2020","DATE: Apr-17<br><b>25-75 percentile</b><br>27.8 to 45.3 mm","DATE: Apr-17<br><b>10-90 percentile</b><br>18.4 to 58.4 mm","7056068","POINTE-AU-PERE+INRS",1996,2026
"04-18",2001-04-18,37.2208333333333,5.3,77.1,19.47,28.9,45.575,58.39,0,48.3,"NA (ECCC AES NA; station_id 27194)",NA,27194,"","DATE: Apr-18<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 27194)",129.766036046121,"DATE: Apr-18<br><b>Cumulative precipitation</b><br>Value: 48.3 mm<br>Anomaly: +11.1 mm<br>Percent of normal: <b>130%</b><br>Weather station: NA (ECCC AES NA; station_id 27194)","DATE: Apr-18<br><b>Normal cumulative precipitation</b><br>37.2 mm<br>Period: 1991-2020","DATE: Apr-18<br><b>25-75 percentile</b><br>28.9 to 45.6 mm","DATE: Apr-18<br><b>10-90 percentile</b><br>19.5 to 58.4 mm","7056068","POINTE-AU-PERE+INRS",1996,2026
"04-19",2001-04-19,38.6875,5.3,77.1,19.47,28.9,46.1,62.42,21.7,70,"NA (ECCC AES NA; station_id 27194)",NA,27194,"","DATE: Apr-19<br><b>Daily precipitation</b><br>Value: 21.7 mm<br>Weather station: NA (ECCC AES NA; station_id 27194)",180.936995153473,"DATE: Apr-19<br><b>Cumulative precipitation</b><br>Value: 70.0 mm<br>Anomaly: +31.3 mm<br>Percent of normal: <b>181%</b><br>Weather station: NA (ECCC AES NA; station_id 27194)","DATE: Apr-19<br><b>Normal cumulative precipitation</b><br>38.7 mm<br>Period: 1991-2020","DATE: Apr-19<br><b>25-75 percentile</b><br>28.9 to 46.1 mm","DATE: Apr-19<br><b>10-90 percentile</b><br>19.5 to 62.4 mm","7056068","POINTE-AU-PERE+INRS",1996,2026
"04-20",2001-04-20,40.0375,5.3,77.1,20.49,29.825,47.85,63.26,0,70,"NA (ECCC AES NA; station_id 27194)",NA,27194,"","DATE: Apr-20<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 27194)",174.836091164533,"DATE: Apr-20<br><b>Cumulative precipitation</b><br>Value: 70.0 mm<br>Anomaly: +30.0 mm<br>Percent of normal: <b>175%</b><br>Weather station: NA (ECCC AES NA; station_id 27194)","DATE: Apr-20<br><b>Normal cumulative precipitation</b><br>40.0 mm<br>Period: 1991-2020","DATE: Apr-20<br><b>25-75 percentile</b><br>29.8 to 47.8 mm","DATE: Apr-20<br><b>10-90 percentile</b><br>20.5 to 63.3 mm","7056068","POINTE-AU-PERE+INRS",1996,2026
