"MD","PLOT_DATE","clim_mean","clim_min","clim_max","q10","q25","q75","q90","PRECIP","PRECIP_CUM","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","hover_bar","pct_normal","hover_value","hover_mean","hover_band25","hover_band10","AES","NAME","por_start","por_end"
"04-01",2001-04-01,1.73461538461538,0,10,0,0,2.75,6.5,2.9,2.9,"NA (ECCC AES NA; station_id 9029)","",9029,"","DATE: Apr-01<br><b>Daily precipitation</b><br>Value: 2.9 mm<br>Weather station: NA (ECCC AES NA; station_id 9029)",167.184035476718,"DATE: Apr-01<br><b>Cumulative precipitation</b><br>Value: 2.9 mm<br>Anomaly: +1.2 mm<br>Percent of normal: <b>167%</b><br>Weather station: NA (ECCC AES NA; station_id 9029)","DATE: Apr-01<br><b>Normal cumulative precipitation</b><br>1.7 mm<br>Period: 1991-2020","DATE: Apr-01<br><b>25-75 percentile</b><br>0.0 to 2.8 mm","DATE: Apr-01<br><b>10-90 percentile</b><br>0.0 to 6.5 mm","704F0PN","POINTE-DES-MONTS",1994,2026
"04-02",2001-04-02,3.53846153846154,0,18,0,0,4.5,12.45,0,2.9,"NA (ECCC AES NA; station_id 9029)","",9029,"","DATE: Apr-02<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 9029)",81.9565217391304,"DATE: Apr-02<br><b>Cumulative precipitation</b><br>Value: 2.9 mm<br>Anomaly: -0.6 mm<br>Percent of normal: <b>82%</b><br>Weather station: NA (ECCC AES NA; station_id 9029)","DATE: Apr-02<br><b>Normal cumulative precipitation</b><br>3.5 mm<br>Period: 1991-2020","DATE: Apr-02<br><b>25-75 percentile</b><br>0.0 to 4.5 mm","DATE: Apr-02<br><b>10-90 percentile</b><br>0.0 to 12.4 mm","704F0PN","POINTE-DES-MONTS",1994,2026
"04-03",2001-04-03,6.32692307692308,0,38.1,0,0,8,14.5,11.9,14.8,"NA (ECCC AES NA; station_id 9029)","",9029,"","DATE: Apr-03<br><b>Daily precipitation</b><br>Value: 11.9 mm<br>Weather station: NA (ECCC AES NA; station_id 9029)",233.920972644377,"DATE: Apr-03<br><b>Cumulative precipitation</b><br>Value: 14.8 mm<br>Anomaly: +8.5 mm<br>Percent of normal: <b>234%</b><br>Weather station: NA (ECCC AES NA; station_id 9029)","DATE: Apr-03<br><b>Normal cumulative precipitation</b><br>6.3 mm<br>Period: 1991-2020","DATE: Apr-03<br><b>25-75 percentile</b><br>0.0 to 8.0 mm","DATE: Apr-03<br><b>10-90 percentile</b><br>0.0 to 14.5 mm","704F0PN","POINTE-DES-MONTS",1994,2026
"04-04",2001-04-04,9.96538461538461,0,49.1,0,0,14.75,23,0,14.8,"NA (ECCC AES NA; station_id 9029)","",9029,"","DATE: Apr-04<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 9029)",148.51408722501,"DATE: Apr-04<br><b>Cumulative precipitation</b><br>Value: 14.8 mm<br>Anomaly: +4.8 mm<br>Percent of normal: <b>149%</b><br>Weather station: NA (ECCC AES NA; station_id 9029)","DATE: Apr-04<br><b>Normal cumulative precipitation</b><br>10.0 mm<br>Period: 1991-2020","DATE: Apr-04<br><b>25-75 percentile</b><br>0.0 to 14.8 mm","DATE: Apr-04<br><b>10-90 percentile</b><br>0.0 to 23.0 mm","704F0PN","POINTE-DES-MONTS",1994,2026
"04-05",2001-04-05,13.4730769230769,0,51.9,1,3.925,20.5,27.5,18.7,33.5,"NA (ECCC AES NA; station_id 9029)","",9029,"","DATE: Apr-05<br><b>Daily precipitation</b><br>Value: 18.7 mm<br>Weather station: NA (ECCC AES NA; station_id 9029)",248.644019411933,"DATE: Apr-05<br><b>Cumulative precipitation</b><br>Value: 33.5 mm<br>Anomaly: +20.0 mm<br>Percent of normal: <b>249%</b><br>Weather station: NA (ECCC AES NA; station_id 9029)","DATE: Apr-05<br><b>Normal cumulative precipitation</b><br>13.5 mm<br>Period: 1991-2020","DATE: Apr-05<br><b>25-75 percentile</b><br>3.9 to 20.5 mm","DATE: Apr-05<br><b>10-90 percentile</b><br>1.0 to 27.5 mm","704F0PN","POINTE-DES-MONTS",1994,2026
"04-06",2001-04-06,14.7346153846154,0,51.9,2.05,6,21,32.5,0.6,34.1,"NA (ECCC AES NA; station_id 9029)","",9029,"","DATE: Apr-06<br><b>Daily precipitation</b><br>Value: 0.6 mm<br>Weather station: NA (ECCC AES NA; station_id 9029)",231.427825632994,"DATE: Apr-06<br><b>Cumulative precipitation</b><br>Value: 34.1 mm<br>Anomaly: +19.4 mm<br>Percent of normal: <b>231%</b><br>Weather station: NA (ECCC AES NA; station_id 9029)","DATE: Apr-06<br><b>Normal cumulative precipitation</b><br>14.7 mm<br>Period: 1991-2020","DATE: Apr-06<br><b>25-75 percentile</b><br>6.0 to 21.0 mm","DATE: Apr-06<br><b>10-90 percentile</b><br>2.0 to 32.5 mm","704F0PN","POINTE-DES-MONTS",1994,2026
"04-07",2001-04-07,17.8538461538462,0,70.2,3.55,8,24.25,32.5,0,34.1,"NA (ECCC AES NA; station_id 9029)","",9029,"","DATE: Apr-07<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 9029)",190.995260663507,"DATE: Apr-07<br><b>Cumulative precipitation</b><br>Value: 34.1 mm<br>Anomaly: +16.2 mm<br>Percent of normal: <b>191%</b><br>Weather station: NA (ECCC AES NA; station_id 9029)","DATE: Apr-07<br><b>Normal cumulative precipitation</b><br>17.9 mm<br>Period: 1991-2020","DATE: Apr-07<br><b>25-75 percentile</b><br>8.0 to 24.2 mm","DATE: Apr-07<br><b>10-90 percentile</b><br>3.5 to 32.5 mm","704F0PN","POINTE-DES-MONTS",1994,2026
"04-08",2001-04-08,20.7807692307692,0,71.2,6.05,9,29,38,0,34.1,"NA (ECCC AES NA; station_id 9029)","",9029,"","DATE: Apr-08<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 9029)",164.094021839719,"DATE: Apr-08<br><b>Cumulative precipitation</b><br>Value: 34.1 mm<br>Anomaly: +13.3 mm<br>Percent of normal: <b>164%</b><br>Weather station: NA (ECCC AES NA; station_id 9029)","DATE: Apr-08<br><b>Normal cumulative precipitation</b><br>20.8 mm<br>Period: 1991-2020","DATE: Apr-08<br><b>25-75 percentile</b><br>9.0 to 29.0 mm","DATE: Apr-08<br><b>10-90 percentile</b><br>6.0 to 38.0 mm","704F0PN","POINTE-DES-MONTS",1994,2026
"04-09",2001-04-09,23.05,0,73.2,8.5,11.025,33.45,43.5,0,34.1,"NA (ECCC AES NA; station_id 9029)","",9029,"","DATE: Apr-09<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 9029)",147.939262472885,"DATE: Apr-09<br><b>Cumulative precipitation</b><br>Value: 34.1 mm<br>Anomaly: +11.0 mm<br>Percent of normal: <b>148%</b><br>Weather station: NA (ECCC AES NA; station_id 9029)","DATE: Apr-09<br><b>Normal cumulative precipitation</b><br>23.0 mm<br>Period: 1991-2020","DATE: Apr-09<br><b>25-75 percentile</b><br>11.0 to 33.4 mm","DATE: Apr-09<br><b>10-90 percentile</b><br>8.5 to 43.5 mm","704F0PN","POINTE-DES-MONTS",1994,2026
"04-10",2001-04-10,24.9730769230769,0,73.2,9.5,12.575,36.4,43.5,0,34.1,"NA (ECCC AES NA; station_id 9029)","",9029,"","DATE: Apr-10<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 9029)",136.547050669952,"DATE: Apr-10<br><b>Cumulative precipitation</b><br>Value: 34.1 mm<br>Anomaly: +9.1 mm<br>Percent of normal: <b>137%</b><br>Weather station: NA (ECCC AES NA; station_id 9029)","DATE: Apr-10<br><b>Normal cumulative precipitation</b><br>25.0 mm<br>Period: 1991-2020","DATE: Apr-10<br><b>25-75 percentile</b><br>12.6 to 36.4 mm","DATE: Apr-10<br><b>10-90 percentile</b><br>9.5 to 43.5 mm","704F0PN","POINTE-DES-MONTS",1994,2026
