"variable","MD","PLOT_DATE","clim_mean","clim_sd","clim_max","clim_max_date","value","rec_all_val","rec_all_date","value_record","MONTH","hover_histmax","AES","NAME","por_start","por_end"
"BUI","04-01",2001-04-01,9.8,NA,9.8,2012-04-01,NA,97.4,2002-09-08,NA,4,"Daily record reached in 2012","7056616","RIVIERE-DU-LOUP",1994,2026
"BUI","04-02",2001-04-02,10.4,NA,10.4,2012-04-02,NA,97.4,2002-09-08,NA,4,"Daily record reached in 2012","7056616","RIVIERE-DU-LOUP",1994,2026
"BUI","04-03",2001-04-03,10.8,NA,10.8,2012-04-03,NA,97.4,2002-09-08,NA,4,"Daily record reached in 2012","7056616","RIVIERE-DU-LOUP",1994,2026
"BUI","04-04",2001-04-04,NA,NA,NA,NA,NA,97.4,2002-09-08,NA,4,"Daily record reached in NA","7056616","RIVIERE-DU-LOUP",1994,2026
"BUI","04-05",2001-04-05,NA,NA,NA,NA,NA,97.4,2002-09-08,NA,4,"Daily record reached in NA","7056616","RIVIERE-DU-LOUP",1994,2026
"BUI","04-06",2001-04-06,NA,NA,NA,NA,NA,97.4,2002-09-08,NA,4,"Daily record reached in NA","7056616","RIVIERE-DU-LOUP",1994,2026
"BUI","04-07",2001-04-07,NA,NA,NA,NA,NA,97.4,2002-09-08,NA,4,"Daily record reached in NA","7056616","RIVIERE-DU-LOUP",1994,2026
"BUI","04-08",2001-04-08,NA,NA,NA,NA,NA,97.4,2002-09-08,NA,4,"Daily record reached in NA","7056616","RIVIERE-DU-LOUP",1994,2026
"BUI","04-09",2001-04-09,NA,NA,6.3,2021-04-09,NA,97.4,2002-09-08,NA,4,"Daily record reached in 2021","7056616","RIVIERE-DU-LOUP",1994,2026
"BUI","04-10",2001-04-10,NA,NA,6.8,2021-04-10,NA,97.4,2002-09-08,NA,4,"Daily record reached in 2021","7056616","RIVIERE-DU-LOUP",1994,2026
"BUI","04-11",2001-04-11,NA,NA,7.5,2021-04-11,NA,97.4,2002-09-08,NA,4,"Daily record reached in 2021","7056616","RIVIERE-DU-LOUP",1994,2026
"BUI","04-12",2001-04-12,NA,NA,8.5,2021-04-12,NA,97.4,2002-09-08,NA,4,"Daily record reached in 2021","7056616","RIVIERE-DU-LOUP",1994,2026
"BUI","04-13",2001-04-13,6.8,NA,9.4,2021-04-13,NA,97.4,2002-09-08,NA,4,"Daily record reached in 2021","7056616","RIVIERE-DU-LOUP",1994,2026
"BUI","04-14",2001-04-14,7.05,1.06066017177982,10.4,2021-04-14,NA,97.4,2002-09-08,NA,4,"Daily record reached in 2021","7056616","RIVIERE-DU-LOUP",1994,2026
"BUI","04-15",2001-04-15,7.03333333333333,0.776745346515403,11.6,2021-04-15,NA,97.4,2002-09-08,NA,4,"Daily record reached in 2021","7056616","RIVIERE-DU-LOUP",1994,2026
"BUI","04-16",2001-04-16,8.06666666666667,0.901849950564579,12.2,2021-04-16,NA,97.4,2002-09-08,NA,4,"Daily record reached in 2021","7056616","RIVIERE-DU-LOUP",1994,2026
"BUI","04-17",2001-04-17,7.425,1.35,12.7,2021-04-17,NA,97.4,2002-09-08,NA,4,"Daily record reached in 2021","7056616","RIVIERE-DU-LOUP",1994,2026
"BUI","04-18",2001-04-18,6.36,2.74280877933552,13.1,2021-04-18,NA,97.4,2002-09-08,NA,4,"Daily record reached in 2021","7056616","RIVIERE-DU-LOUP",1994,2026
"BUI","04-19",2001-04-19,5.56,3.88110808919309,14.3,2021-04-19,3.6,97.4,2002-09-08,NA,4,"Daily record reached in 2021","7056616","RIVIERE-DU-LOUP",1994,2026
"BUI","04-20",2001-04-20,6.4,4.22563604679816,15,2021-04-20,0.1,97.4,2002-09-08,NA,4,"Daily record reached in 2021","7056616","RIVIERE-DU-LOUP",1994,2026
"BUI","04-21",2001-04-21,4.71666666666667,2.6558739929949,13.6,2021-04-21,0.7,97.4,2002-09-08,NA,4,"Daily record reached in 2021","7056616","RIVIERE-DU-LOUP",1994,2026
"BUI","04-22",2001-04-22,5.75,3.22955105239103,9.4,2006-04-22,NA,97.4,2002-09-08,NA,4,"Daily record reached in 2006","7056616","RIVIERE-DU-LOUP",1994,2026
"BUI","04-23",2001-04-23,6.4,3.9707262140151,12.8,2024-04-23,NA,97.4,2002-09-08,NA,4,"Daily record reached in 2024","7056616","RIVIERE-DU-LOUP",1994,2026
"BUI","04-24",2001-04-24,5.94,4.58617487673551,10.9,2006-04-24,NA,97.4,2002-09-08,NA,4,"Daily record reached in 2006","7056616","RIVIERE-DU-LOUP",1994,2026
"BUI","04-25",2001-04-25,6.475,4.55292945988258,10.8,2010-04-25,2.7,97.4,2002-09-08,NA,4,"Daily record reached in 2010","7056616","RIVIERE-DU-LOUP",1994,2026
"BUI","04-26",2001-04-26,5.98,3.89255700022492,11.6,2010-04-26,4.1,97.4,2002-09-08,NA,4,"Daily record reached in 2010","7056616","RIVIERE-DU-LOUP",1994,2026
"BUI","04-27",2001-04-27,3.18,3.47303901504144,8.2,2013-04-27,5.9,97.4,2002-09-08,NA,4,"Daily record reached in 2013","7056616","RIVIERE-DU-LOUP",1994,2026
"BUI","04-28",2001-04-28,6.26,5.5756613957449,13.4,2010-04-28,7.1,97.4,2002-09-08,NA,4,"Daily record reached in 2010","7056616","RIVIERE-DU-LOUP",1994,2026
"BUI","04-29",2001-04-29,6,4.38938112570174,11.3,2013-04-29,9,97.4,2002-09-08,NA,4,"Daily record reached in 2013","7056616","RIVIERE-DU-LOUP",1994,2026
"BUI","04-30",2001-04-30,7.77142857142857,5.2487186644978,15.4,2010-04-30,10,97.4,2002-09-08,NA,4,"Daily record reached in 2010","7056616","RIVIERE-DU-LOUP",1994,2026
"BUI","05-01",2001-05-01,7.95,4.45431353756211,17.7,2010-05-01,3.8,97.4,2002-09-08,NA,5,"Daily record reached in 2010","7056616","RIVIERE-DU-LOUP",1994,2026
"BUI","05-02",2001-05-02,8.81538461538462,4.90507325019144,19.5,2010-05-02,3,97.4,2002-09-08,NA,5,"Daily record reached in 2010","7056616","RIVIERE-DU-LOUP",1994,2026
"BUI","05-03",2001-05-03,9.95333333333333,10.0793896262668,43.8,2001-05-03,4,97.4,2002-09-08,NA,5,"Daily record reached in 2001","7056616","RIVIERE-DU-LOUP",1994,2026
"BUI","05-04",2001-05-04,9.6625,10.6495618063217,45,2001-05-04,5.3,97.4,2002-09-08,NA,5,"Daily record reached in 2001","7056616","RIVIERE-DU-LOUP",1994,2026
"BUI","05-05",2001-05-05,9.52941176470588,11.0868032309748,45.8,2001-05-05,7.3,97.4,2002-09-08,NA,5,"Daily record reached in 2001","7056616","RIVIERE-DU-LOUP",1994,2026
"BUI","05-06",2001-05-06,10.25,11.4113591498585,47.9,2001-05-06,4.2,97.4,2002-09-08,NA,5,"Daily record reached in 2001","7056616","RIVIERE-DU-LOUP",1994,2026
"BUI","05-07",2001-05-07,10.9578947368421,11.8702857678544,50.3,2001-05-07,3,97.4,2002-09-08,NA,5,"Daily record reached in 2001","7056616","RIVIERE-DU-LOUP",1994,2026
"BUI","05-08",2001-05-08,11.585,12.310298427269,53.4,2001-05-08,4.2,97.4,2002-09-08,NA,5,"Daily record reached in 2001","7056616","RIVIERE-DU-LOUP",1994,2026
"BUI","05-09",2001-05-09,12.3619047619048,12.1686678067271,56.6,2001-05-09,6.2,97.4,2002-09-08,NA,5,"Daily record reached in 2001","7056616","RIVIERE-DU-LOUP",1994,2026
"BUI","05-10",2001-05-10,11.935,12.5441231784366,59.3,2001-05-10,8,97.4,2002-09-08,NA,5,"Daily record reached in 2001","7056616","RIVIERE-DU-LOUP",1994,2026
"BUI","05-11",2001-05-11,9.86956521739131,11.9422258768322,60,2001-05-11,9.5,97.4,2002-09-08,NA,5,"Daily record reached in 2001","7056616","RIVIERE-DU-LOUP",1994,2026
"BUI","05-12",2001-05-12,10.1181818181818,12.3954537120378,60.9,2001-05-12,10.6,97.4,2002-09-08,NA,5,"Daily record reached in 2001","7056616","RIVIERE-DU-LOUP",1994,2026
"BUI","05-13",2001-05-13,10.3428571428571,6.58737970885021,33.3,2022-05-13,12.2,97.4,2002-09-08,NA,5,"Daily record reached in 2022","7056616","RIVIERE-DU-LOUP",1994,2026
"BUI","05-14",2001-05-14,10.2833333333333,7.25891755415165,35.2,2022-05-14,12.9,97.4,2002-09-08,NA,5,"Daily record reached in 2022","7056616","RIVIERE-DU-LOUP",1994,2026
"BUI","05-15",2001-05-15,11.0541666666667,7.07782693049011,36.5,2022-05-15,14.1,97.4,2002-09-08,NA,5,"Daily record reached in 2022","7056616","RIVIERE-DU-LOUP",1994,2026
"BUI","05-16",2001-05-16,11.3541666666667,7.51855554852339,26.8,1998-05-16,16.3,97.4,2002-09-08,NA,5,"Daily record reached in 1998","7056616","RIVIERE-DU-LOUP",1994,2026
"BUI","05-17",2001-05-17,11.0875,8.23060632242744,28.9,1999-05-17,18,97.4,2002-09-08,NA,5,"Daily record reached in 1999","7056616","RIVIERE-DU-LOUP",1994,2026
"BUI","05-18",2001-05-18,11.484,9.05606058578085,32,1999-05-18,20,97.4,2002-09-08,NA,5,"Daily record reached in 1999","7056616","RIVIERE-DU-LOUP",1994,2026
"BUI","05-19",2001-05-19,11.928,8.97475719263015,32.1,1998-05-19,10.7,97.4,2002-09-08,NA,5,"Daily record reached in 1998","7056616","RIVIERE-DU-LOUP",1994,2026
"BUI","05-20",2001-05-20,12.12,9.53082717641374,34.7,1998-05-20,7.4,97.4,2002-09-08,NA,5,"Daily record reached in 1998","7056616","RIVIERE-DU-LOUP",1994,2026
"BUI","05-21",2001-05-21,12.176,9.26243668444397,32.4,2024-05-21,5.6,97.4,2002-09-08,NA,5,"Daily record reached in 2024","7056616","RIVIERE-DU-LOUP",1994,2026
"BUI","05-22",2001-05-22,13.444,10.0652073997509,35.6,2024-05-22,7.9,97.4,2002-09-08,NA,5,"Daily record reached in 2024","7056616","RIVIERE-DU-LOUP",1994,2026
"BUI","05-23",2001-05-23,13.2115384615385,9.85410886577074,35.8,2001-05-23,10.7,97.4,2002-09-08,NA,5,"Daily record reached in 2001","7056616","RIVIERE-DU-LOUP",1994,2026
"BUI","05-24",2001-05-24,13.9576923076923,10.0823478645372,37.7,2001-05-24,14,97.4,2002-09-08,NA,5,"Daily record reached in 2001","7056616","RIVIERE-DU-LOUP",1994,2026
"BUI","05-25",2001-05-25,14.7923076923077,10.4720169242385,40.7,2001-05-25,8.5,97.4,2002-09-08,NA,5,"Daily record reached in 2001","7056616","RIVIERE-DU-LOUP",1994,2026
"BUI","05-26",2001-05-26,15.2769230769231,11.189077091246,43.3,2001-05-26,5.6,97.4,2002-09-08,NA,5,"Daily record reached in 2001","7056616","RIVIERE-DU-LOUP",1994,2026
"BUI","05-27",2001-05-27,15.4923076923077,11.9439331236213,44.5,2001-05-27,3.1,97.4,2002-09-08,NA,5,"Daily record reached in 2001","7056616","RIVIERE-DU-LOUP",1994,2026
"BUI","05-28",2001-05-28,15.5615384615385,11.7692506787162,39,2001-05-28,3.8,97.4,2002-09-08,NA,5,"Daily record reached in 2001","7056616","RIVIERE-DU-LOUP",1994,2026
"BUI","05-29",2001-05-29,14.1222222222222,10.760266415537,40,2020-05-29,4.5,97.4,2002-09-08,NA,5,"Daily record reached in 2020","7056616","RIVIERE-DU-LOUP",1994,2026
"BUI","05-30",2001-05-30,13.9481481481481,10.6129228327606,41.5,2010-05-30,6.7,97.4,2002-09-08,NA,5,"Daily record reached in 2010","7056616","RIVIERE-DU-LOUP",1994,2026
"BUI","05-31",2001-05-31,13.0148148148148,9.5406701789962,43.4,2010-05-31,7.9,97.4,2002-09-08,NA,5,"Daily record reached in 2010","7056616","RIVIERE-DU-LOUP",1994,2026
"BUI","06-01",2001-06-01,12.4555555555556,7.8774426411179,34.2,2023-06-01,7.8,97.4,2002-09-08,NA,6,"Daily record reached in 2023","7056616","RIVIERE-DU-LOUP",1994,2026
"BUI","06-02",2001-06-02,12.7814814814815,8.42697304160128,34.8,2023-06-02,11.3,97.4,2002-09-08,NA,6,"Daily record reached in 2023","7056616","RIVIERE-DU-LOUP",1994,2026
"BUI","06-03",2001-06-03,12.6666666666667,8.69212729560934,37.1,2023-06-03,14.5,97.4,2002-09-08,NA,6,"Daily record reached in 2023","7056616","RIVIERE-DU-LOUP",1994,2026
"BUI","06-04",2001-06-04,13.737037037037,8.72402289649537,38.5,2023-06-04,17.7,97.4,2002-09-08,NA,6,"Daily record reached in 2023","7056616","RIVIERE-DU-LOUP",1994,2026
"BUI","06-05",2001-06-05,14.1111111111111,9.40361359892827,40.2,2023-06-05,19.5,97.4,2002-09-08,NA,6,"Daily record reached in 2023","7056616","RIVIERE-DU-LOUP",1994,2026
"BUI","06-06",2001-06-06,13.4185185185185,8.32360115468877,36.6,2024-06-06,21.2,97.4,2002-09-08,NA,6,"Daily record reached in 2024","7056616","RIVIERE-DU-LOUP",1994,2026
"BUI","06-07",2001-06-07,14.1925925925926,7.55685760525477,38.7,2024-06-07,12,97.4,2002-09-08,NA,6,"Daily record reached in 2024","7056616","RIVIERE-DU-LOUP",1994,2026
"BUI","06-08",2001-06-08,14.3333333333333,7.72000398565063,27.3,2017-06-08,15,97.4,2002-09-08,NA,6,"Daily record reached in 2017","7056616","RIVIERE-DU-LOUP",1994,2026
"BUI","06-09",2001-06-09,14.6925925925926,8.79881661299824,29.7,2017-06-09,18.4,97.4,2002-09-08,NA,6,"Daily record reached in 2017","7056616","RIVIERE-DU-LOUP",1994,2026
"BUI","06-10",2001-06-10,15.7222222222222,9.18595639396328,32.4,2017-06-10,21.8,97.4,2002-09-08,NA,6,"Daily record reached in 2017","7056616","RIVIERE-DU-LOUP",1994,2026
"BUI","06-11",2001-06-11,16.5740740740741,9.89224998100077,36.6,2017-06-11,23.5,97.4,2002-09-08,NA,6,"Daily record reached in 2017","7056616","RIVIERE-DU-LOUP",1994,2026
"BUI","06-12",2001-06-12,17.1851851851852,10.8510440371034,38.1,2017-06-12,23.9,97.4,2002-09-08,NA,6,"Daily record reached in 2017","7056616","RIVIERE-DU-LOUP",1994,2026
"BUI","06-13",2001-06-13,17.4407407407407,10.2585896188833,38.1,2021-06-13,13.2,97.4,2002-09-08,NA,6,"Daily record reached in 2021","7056616","RIVIERE-DU-LOUP",1994,2026
"BUI","06-14",2001-06-14,16.9666666666667,10.006228829315,39.1,2021-06-14,9.7,97.4,2002-09-08,NA,6,"Daily record reached in 2021","7056616","RIVIERE-DU-LOUP",1994,2026
"BUI","06-15",2001-06-15,17.6925925925926,11.2513905440078,39.9,2020-06-15,NA,97.4,2002-09-08,NA,6,"Daily record reached in 2020","7056616","RIVIERE-DU-LOUP",1994,2026
"BUI","06-16",2001-06-16,17.762962962963,10.7301927772541,43.4,2020-06-16,NA,97.4,2002-09-08,NA,6,"Daily record reached in 2020","7056616","RIVIERE-DU-LOUP",1994,2026
"BUI","06-17",2001-06-17,16.8259259259259,10.8701635608879,47.6,2020-06-17,NA,97.4,2002-09-08,NA,6,"Daily record reached in 2020","7056616","RIVIERE-DU-LOUP",1994,2026
"BUI","06-18",2001-06-18,16.7592592592593,12.3630734061391,52,2020-06-18,NA,97.4,2002-09-08,NA,6,"Daily record reached in 2020","7056616","RIVIERE-DU-LOUP",1994,2026
"BUI","06-19",2001-06-19,18.2333333333333,13.0327988610983,56,2020-06-19,NA,97.4,2002-09-08,NA,6,"Daily record reached in 2020","7056616","RIVIERE-DU-LOUP",1994,2026
"BUI","06-20",2001-06-20,19.2481481481481,12.8707291757565,56.9,2020-06-20,NA,97.4,2002-09-08,NA,6,"Daily record reached in 2020","7056616","RIVIERE-DU-LOUP",1994,2026
"BUI","06-21",2001-06-21,18.9296296296296,13.9919156552526,58.6,2020-06-21,NA,97.4,2002-09-08,NA,6,"Daily record reached in 2020","7056616","RIVIERE-DU-LOUP",1994,2026
"BUI","06-22",2001-06-22,20.2888888888889,14.8362687962598,60.6,2020-06-22,NA,97.4,2002-09-08,NA,6,"Daily record reached in 2020","7056616","RIVIERE-DU-LOUP",1994,2026
"BUI","06-23",2001-06-23,21.5851851851852,15.4146459752182,63.9,2020-06-23,NA,97.4,2002-09-08,NA,6,"Daily record reached in 2020","7056616","RIVIERE-DU-LOUP",1994,2026
"BUI","06-24",2001-06-24,20.6148148148148,12.108601637606,46.4,2020-06-24,NA,97.4,2002-09-08,NA,6,"Daily record reached in 2020","7056616","RIVIERE-DU-LOUP",1994,2026
"BUI","06-25",2001-06-25,19.1740740740741,10.9302541526012,41.2,2000-06-25,NA,97.4,2002-09-08,NA,6,"Daily record reached in 2000","7056616","RIVIERE-DU-LOUP",1994,2026
