"MD","PLOT_DATE","clim_mean","clim_min","clim_max","q10","q25","q75","q90","PRECIP","PRECIP_CUM","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","hover_bar","pct_normal","hover_value","hover_mean","hover_band25","hover_band10","AES","NAME","por_start","por_end"
"04-01",2001-04-01,2.92222222222222,0,14.9,0,0,5.2,8.92,2,2,"NA (ECCC AES NA; station_id 42683)",NA,42683,"","DATE: Apr-01<br><b>Daily precipitation</b><br>Value: 2.0 mm<br>Weather station: NA (ECCC AES NA; station_id 42683)",68.4410646387833,"DATE: Apr-01<br><b>Cumulative precipitation</b><br>Value: 2.0 mm<br>Anomaly: -0.9 mm<br>Percent of normal: <b>68%</b><br>Weather station: NA (ECCC AES NA; station_id 42683)","DATE: Apr-01<br><b>Normal cumulative precipitation</b><br>2.9 mm<br>Period: 1991-2020","DATE: Apr-01<br><b>25-75 percentile</b><br>0.0 to 5.2 mm","DATE: Apr-01<br><b>10-90 percentile</b><br>0.0 to 8.9 mm","7047914","SEPT-ILES",2002,2026
"04-02",2001-04-02,5.24444444444444,0,21.3,0,0,9,17.94,0,2,"NA (ECCC AES NA; station_id 42683)",NA,42683,"","DATE: Apr-02<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 42683)",38.135593220339,"DATE: Apr-02<br><b>Cumulative precipitation</b><br>Value: 2.0 mm<br>Anomaly: -3.2 mm<br>Percent of normal: <b>38%</b><br>Weather station: NA (ECCC AES NA; station_id 42683)","DATE: Apr-02<br><b>Normal cumulative precipitation</b><br>5.2 mm<br>Period: 1991-2020","DATE: Apr-02<br><b>25-75 percentile</b><br>0.0 to 9.0 mm","DATE: Apr-02<br><b>10-90 percentile</b><br>0.0 to 17.9 mm","7047914","SEPT-ILES",2002,2026
"04-03",2001-04-03,6.61111111111111,0,21.3,0,0.35,10.85,19.9,14.8,16.8,"NA (ECCC AES NA; station_id 42683)",NA,42683,"","DATE: Apr-03<br><b>Daily precipitation</b><br>Value: 14.8 mm<br>Weather station: NA (ECCC AES NA; station_id 42683)",254.117647058824,"DATE: Apr-03<br><b>Cumulative precipitation</b><br>Value: 16.8 mm<br>Anomaly: +10.2 mm<br>Percent of normal: <b>254%</b><br>Weather station: NA (ECCC AES NA; station_id 42683)","DATE: Apr-03<br><b>Normal cumulative precipitation</b><br>6.6 mm<br>Period: 1991-2020","DATE: Apr-03<br><b>25-75 percentile</b><br>0.4 to 10.8 mm","DATE: Apr-03<br><b>10-90 percentile</b><br>0.0 to 19.9 mm","7047914","SEPT-ILES",2002,2026
"04-04",2001-04-04,10.3444444444444,0,42.3,0,0.6,15.65,22.52,0,16.8,"NA (ECCC AES NA; station_id 42683)",NA,42683,"","DATE: Apr-04<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 42683)",162.406015037594,"DATE: Apr-04<br><b>Cumulative precipitation</b><br>Value: 16.8 mm<br>Anomaly: +6.5 mm<br>Percent of normal: <b>162%</b><br>Weather station: NA (ECCC AES NA; station_id 42683)","DATE: Apr-04<br><b>Normal cumulative precipitation</b><br>10.3 mm<br>Period: 1991-2020","DATE: Apr-04<br><b>25-75 percentile</b><br>0.6 to 15.6 mm","DATE: Apr-04<br><b>10-90 percentile</b><br>0.0 to 22.5 mm","7047914","SEPT-ILES",2002,2026
"04-05",2001-04-05,15.4888888888889,0,45.2,1.61,7.3,22.575,34.44,20.2,37,"NA (ECCC AES NA; station_id 42683)",NA,42683,"","DATE: Apr-05<br><b>Daily precipitation</b><br>Value: 20.2 mm<br>Weather station: NA (ECCC AES NA; station_id 42683)",238.880918220947,"DATE: Apr-05<br><b>Cumulative precipitation</b><br>Value: 37.0 mm<br>Anomaly: +21.5 mm<br>Percent of normal: <b>239%</b><br>Weather station: NA (ECCC AES NA; station_id 42683)","DATE: Apr-05<br><b>Normal cumulative precipitation</b><br>15.5 mm<br>Period: 1991-2020","DATE: Apr-05<br><b>25-75 percentile</b><br>7.3 to 22.6 mm","DATE: Apr-05<br><b>10-90 percentile</b><br>1.6 to 34.4 mm","7047914","SEPT-ILES",2002,2026
"04-06",2001-04-06,16.8166666666667,0,47,2.52,9.825,22.575,36.46,0,37,"NA (ECCC AES NA; station_id 42683)",NA,42683,"","DATE: Apr-06<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 42683)",220.01982160555,"DATE: Apr-06<br><b>Cumulative precipitation</b><br>Value: 37.0 mm<br>Anomaly: +20.2 mm<br>Percent of normal: <b>220%</b><br>Weather station: NA (ECCC AES NA; station_id 42683)","DATE: Apr-06<br><b>Normal cumulative precipitation</b><br>16.8 mm<br>Period: 1991-2020","DATE: Apr-06<br><b>25-75 percentile</b><br>9.8 to 22.6 mm","DATE: Apr-06<br><b>10-90 percentile</b><br>2.5 to 36.5 mm","7047914","SEPT-ILES",2002,2026
"04-07",2001-04-07,21.8722222222222,0,80.4,2.73,10.45,26.625,43.78,0,37,"NA (ECCC AES NA; station_id 42683)",NA,42683,"","DATE: Apr-07<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 42683)",169.164338328677,"DATE: Apr-07<br><b>Cumulative precipitation</b><br>Value: 37.0 mm<br>Anomaly: +15.1 mm<br>Percent of normal: <b>169%</b><br>Weather station: NA (ECCC AES NA; station_id 42683)","DATE: Apr-07<br><b>Normal cumulative precipitation</b><br>21.9 mm<br>Period: 1991-2020","DATE: Apr-07<br><b>25-75 percentile</b><br>10.4 to 26.6 mm","DATE: Apr-07<br><b>10-90 percentile</b><br>2.7 to 43.8 mm","7047914","SEPT-ILES",2002,2026
"04-08",2001-04-08,24.8222222222222,0,84.3,3.78,10.725,35.875,47.5,0,37,"NA (ECCC AES NA; station_id 42683)",NA,42683,"","DATE: Apr-08<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 42683)",149.059982094897,"DATE: Apr-08<br><b>Cumulative precipitation</b><br>Value: 37.0 mm<br>Anomaly: +12.2 mm<br>Percent of normal: <b>149%</b><br>Weather station: NA (ECCC AES NA; station_id 42683)","DATE: Apr-08<br><b>Normal cumulative precipitation</b><br>24.8 mm<br>Period: 1991-2020","DATE: Apr-08<br><b>25-75 percentile</b><br>10.7 to 35.9 mm","DATE: Apr-08<br><b>10-90 percentile</b><br>3.8 to 47.5 mm","7047914","SEPT-ILES",2002,2026
"04-09",2001-04-09,26.4277777777778,0,84.3,8.1,13.875,35.875,47.5,0,37,"NA (ECCC AES NA; station_id 42683)",NA,42683,"","DATE: Apr-09<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 42683)",140.00420433046,"DATE: Apr-09<br><b>Cumulative precipitation</b><br>Value: 37.0 mm<br>Anomaly: +10.6 mm<br>Percent of normal: <b>140%</b><br>Weather station: NA (ECCC AES NA; station_id 42683)","DATE: Apr-09<br><b>Normal cumulative precipitation</b><br>26.4 mm<br>Period: 1991-2020","DATE: Apr-09<br><b>25-75 percentile</b><br>13.9 to 35.9 mm","DATE: Apr-09<br><b>10-90 percentile</b><br>8.1 to 47.5 mm","7047914","SEPT-ILES",2002,2026
"04-10",2001-04-10,29.6277777777778,0,84.5,10.11,14.9,45.35,53.09,0,37,"NA (ECCC AES NA; station_id 42683)",NA,42683,"","DATE: Apr-10<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 42683)",124.882805175323,"DATE: Apr-10<br><b>Cumulative precipitation</b><br>Value: 37.0 mm<br>Anomaly: +7.4 mm<br>Percent of normal: <b>125%</b><br>Weather station: NA (ECCC AES NA; station_id 42683)","DATE: Apr-10<br><b>Normal cumulative precipitation</b><br>29.6 mm<br>Period: 1991-2020","DATE: Apr-10<br><b>25-75 percentile</b><br>14.9 to 45.4 mm","DATE: Apr-10<br><b>10-90 percentile</b><br>10.1 to 53.1 mm","7047914","SEPT-ILES",2002,2026
