"MD","PLOT_DATE","clim_mean","clim_min","clim_max","q10","q25","q75","q90","PRECIP","PRECIP_CUM","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","hover_bar","pct_normal","hover_value","hover_mean","hover_band25","hover_band10","AES","NAME","por_start","por_end"
"04-01",2001-04-01,1.51851851851852,0,9,0,0,2.4,4.28,0,0,"NA (ECCC AES NA; station_id 10873)","",10873,"","DATE: Apr-01<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 10873)",0,"DATE: Apr-01<br><b>Cumulative precipitation</b><br>Value: 0.0 mm<br>Anomaly: -1.5 mm<br>Percent of normal: <b>0%</b><br>Weather station: NA (ECCC AES NA; station_id 10873)","DATE: Apr-01<br><b>Normal cumulative precipitation</b><br>1.5 mm<br>Period: 1991-2020","DATE: Apr-01<br><b>25-75 percentile</b><br>0.0 to 2.4 mm","DATE: Apr-01<br><b>10-90 percentile</b><br>0.0 to 4.3 mm","702FHL8","STE-ANNE-DE-BELLEVUE+1",1994,2026
"04-02",2001-04-02,3.44814814814815,0,28.2,0,0,4.85,9.30000000000001,4.5,4.5,"NA (ECCC AES NA; station_id 10873)","",10873,"","DATE: Apr-02<br><b>Daily precipitation</b><br>Value: 4.5 mm<br>Weather station: NA (ECCC AES NA; station_id 10873)",130.504833512352,"DATE: Apr-02<br><b>Cumulative precipitation</b><br>Value: 4.5 mm<br>Anomaly: +1.1 mm<br>Percent of normal: <b>131%</b><br>Weather station: NA (ECCC AES NA; station_id 10873)","DATE: Apr-02<br><b>Normal cumulative precipitation</b><br>3.4 mm<br>Period: 1991-2020","DATE: Apr-02<br><b>25-75 percentile</b><br>0.0 to 4.8 mm","DATE: Apr-02<br><b>10-90 percentile</b><br>0.0 to 9.3 mm","702FHL8","STE-ANNE-DE-BELLEVUE+1",1994,2026
"04-03",2001-04-03,5.18148148148148,0,32,0,0,7.1,16.8,3.6,8.1,"NA (ECCC AES NA; station_id 10873)","",10873,"","DATE: Apr-03<br><b>Daily precipitation</b><br>Value: 3.6 mm<br>Weather station: NA (ECCC AES NA; station_id 10873)",156.325947105075,"DATE: Apr-03<br><b>Cumulative precipitation</b><br>Value: 8.1 mm<br>Anomaly: +2.9 mm<br>Percent of normal: <b>156%</b><br>Weather station: NA (ECCC AES NA; station_id 10873)","DATE: Apr-03<br><b>Normal cumulative precipitation</b><br>5.2 mm<br>Period: 1991-2020","DATE: Apr-03<br><b>25-75 percentile</b><br>0.0 to 7.1 mm","DATE: Apr-03<br><b>10-90 percentile</b><br>0.0 to 16.8 mm","702FHL8","STE-ANNE-DE-BELLEVUE+1",1994,2026
"04-04",2001-04-04,10.3185185185185,0,36.5,0,0,16.25,28.9,3.3,11.4,"NA (ECCC AES NA; station_id 10873)","",10873,"","DATE: Apr-04<br><b>Daily precipitation</b><br>Value: 3.3 mm<br>Weather station: NA (ECCC AES NA; station_id 10873)",110.480976310122,"DATE: Apr-04<br><b>Cumulative precipitation</b><br>Value: 11.4 mm<br>Anomaly: +1.1 mm<br>Percent of normal: <b>110%</b><br>Weather station: NA (ECCC AES NA; station_id 10873)","DATE: Apr-04<br><b>Normal cumulative precipitation</b><br>10.3 mm<br>Period: 1991-2020","DATE: Apr-04<br><b>25-75 percentile</b><br>0.0 to 16.2 mm","DATE: Apr-04<br><b>10-90 percentile</b><br>0.0 to 28.9 mm","702FHL8","STE-ANNE-DE-BELLEVUE+1",1994,2026
"04-05",2001-04-05,11.562962962963,0,40.3,0,0.8,19.3,28.9,21.8,33.2,"NA (ECCC AES NA; station_id 10873)","",10873,"","DATE: Apr-05<br><b>Daily precipitation</b><br>Value: 21.8 mm<br>Weather station: NA (ECCC AES NA; station_id 10873)",287.123638693145,"DATE: Apr-05<br><b>Cumulative precipitation</b><br>Value: 33.2 mm<br>Anomaly: +21.6 mm<br>Percent of normal: <b>287%</b><br>Weather station: NA (ECCC AES NA; station_id 10873)","DATE: Apr-05<br><b>Normal cumulative precipitation</b><br>11.6 mm<br>Period: 1991-2020","DATE: Apr-05<br><b>25-75 percentile</b><br>0.8 to 19.3 mm","DATE: Apr-05<br><b>10-90 percentile</b><br>0.0 to 28.9 mm","702FHL8","STE-ANNE-DE-BELLEVUE+1",1994,2026
"04-06",2001-04-06,14.5888888888889,0,77.5,0,2.5,19.3,29.02,0,33.2,"NA (ECCC AES NA; station_id 10873)","",10873,"","DATE: Apr-06<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 10873)",227.570449352628,"DATE: Apr-06<br><b>Cumulative precipitation</b><br>Value: 33.2 mm<br>Anomaly: +18.6 mm<br>Percent of normal: <b>228%</b><br>Weather station: NA (ECCC AES NA; station_id 10873)","DATE: Apr-06<br><b>Normal cumulative precipitation</b><br>14.6 mm<br>Period: 1991-2020","DATE: Apr-06<br><b>25-75 percentile</b><br>2.5 to 19.3 mm","DATE: Apr-06<br><b>10-90 percentile</b><br>0.0 to 29.0 mm","702FHL8","STE-ANNE-DE-BELLEVUE+1",1994,2026
"04-07",2001-04-07,17.4555555555556,0,85.9,0,2.7,21.6,46.56,1.2,34.4,"NA (ECCC AES NA; station_id 10873)","",10873,"","DATE: Apr-07<br><b>Daily precipitation</b><br>Value: 1.2 mm<br>Weather station: NA (ECCC AES NA; station_id 10873)",197.071928707829,"DATE: Apr-07<br><b>Cumulative precipitation</b><br>Value: 34.4 mm<br>Anomaly: +16.9 mm<br>Percent of normal: <b>197%</b><br>Weather station: NA (ECCC AES NA; station_id 10873)","DATE: Apr-07<br><b>Normal cumulative precipitation</b><br>17.5 mm<br>Period: 1991-2020","DATE: Apr-07<br><b>25-75 percentile</b><br>2.7 to 21.6 mm","DATE: Apr-07<br><b>10-90 percentile</b><br>0.0 to 46.6 mm","702FHL8","STE-ANNE-DE-BELLEVUE+1",1994,2026
"04-08",2001-04-08,20.6814814814815,0,85.9,0,4.4,24.45,49.32,0,34.4,"NA (ECCC AES NA; station_id 10873)","",10873,"","DATE: Apr-08<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 10873)",166.332378223496,"DATE: Apr-08<br><b>Cumulative precipitation</b><br>Value: 34.4 mm<br>Anomaly: +13.7 mm<br>Percent of normal: <b>166%</b><br>Weather station: NA (ECCC AES NA; station_id 10873)","DATE: Apr-08<br><b>Normal cumulative precipitation</b><br>20.7 mm<br>Period: 1991-2020","DATE: Apr-08<br><b>25-75 percentile</b><br>4.4 to 24.5 mm","DATE: Apr-08<br><b>10-90 percentile</b><br>0.0 to 49.3 mm","702FHL8","STE-ANNE-DE-BELLEVUE+1",1994,2026
"04-09",2001-04-09,22.8851851851852,0,85.9,0,4.4,30.3,49.32,0,34.4,"NA (ECCC AES NA; station_id 10873)","",10873,"","DATE: Apr-09<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 10873)",150.315585046124,"DATE: Apr-09<br><b>Cumulative precipitation</b><br>Value: 34.4 mm<br>Anomaly: +11.5 mm<br>Percent of normal: <b>150%</b><br>Weather station: NA (ECCC AES NA; station_id 10873)","DATE: Apr-09<br><b>Normal cumulative precipitation</b><br>22.9 mm<br>Period: 1991-2020","DATE: Apr-09<br><b>25-75 percentile</b><br>4.4 to 30.3 mm","DATE: Apr-09<br><b>10-90 percentile</b><br>0.0 to 49.3 mm","702FHL8","STE-ANNE-DE-BELLEVUE+1",1994,2026
"04-10",2001-04-10,23.7962962962963,0,85.9,0,4.85,34.05,49.32,7.1,41.5,"NA (ECCC AES NA; station_id 10873)","",10873,"","DATE: Apr-10<br><b>Daily precipitation</b><br>Value: 7.1 mm<br>Weather station: NA (ECCC AES NA; station_id 10873)",174.396887159533,"DATE: Apr-10<br><b>Cumulative precipitation</b><br>Value: 41.5 mm<br>Anomaly: +17.7 mm<br>Percent of normal: <b>174%</b><br>Weather station: NA (ECCC AES NA; station_id 10873)","DATE: Apr-10<br><b>Normal cumulative precipitation</b><br>23.8 mm<br>Period: 1991-2020","DATE: Apr-10<br><b>25-75 percentile</b><br>4.8 to 34.0 mm","DATE: Apr-10<br><b>10-90 percentile</b><br>0.0 to 49.3 mm","702FHL8","STE-ANNE-DE-BELLEVUE+1",1994,2026
