"MD","variable","PLOT_DATE","clim_mean","clim_min","clim_max","clim_sd","q10","q25","q75","q90","value","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","MONTH","clim_max_date","hover_value","hover_band","hover_histmax","hover_mean","AES","NAME","por_start","por_end"
"04-01","TMAX",2001-04-01,7.06923076923077,-0.6,17.9,4.61924402739403,1.95,4.2,9.5,13.35,4.5,"NA (ECCC AES NA; station_id 10873)","",10873,"",4,2016-04-01,"DATE: Apr-01<br>Value: 4.5 °C<br>Anomaly: -2.6 °C<br>Weather station: NA (ECCC AES NA; station_id 10873)","DATE: Apr-01<br><b>Maximum temperature</b><br>10-90 percentile<br>2.0 to 13.4 °C","Historical daily maximum<br>17.9 °C<br>2016-04-01","DATE: Apr-01</b><br>Normal: 7.1 °C<br>Period: 1991-2020","702FHL8","STE-ANNE-DE-BELLEVUE+1",1994,2026
"04-01","TMIN",2001-04-01,-1.60384615384615,-9.2,3.1,3.58245511003064,-5.95,-4.55,1.375,2.5,-0.3,"NA (ECCC AES NA; station_id 10873)","",10873,"",4,2006-04-01,"DATE: Apr-01<br>Value: -0.3 °C<br>Anomaly: +1.3 °C<br>Weather station: NA (ECCC AES NA; station_id 10873)","DATE: Apr-01<br><b>Minimum temperature</b><br>10-90 percentile<br>-5.9 to 2.5 °C","Historical daily maximum<br>3.1 °C<br>2006-04-01","DATE: Apr-01</b><br>Normal: -1.6 °C<br>Period: 1991-2020","702FHL8","STE-ANNE-DE-BELLEVUE+1",1994,2026
"04-01","VPD",2001-04-01,0.493178691635873,0.0915403374606861,1.30396967256105,0.308174100136978,0.154589223085735,0.293161001874158,0.655576366376364,0.926239421468687,0.244737405942298,"NA (ECCC AES NA; station_id 10873)","",10873,"",4,2016-04-01,"DATE: Apr-01<br>Value: 0.2 kPa<br>Anomaly: -0.2 kPa<br>Weather station: NA (ECCC AES NA; station_id 10873)","DATE: Apr-01<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 0.9 kPa","Historical daily maximum<br>1.3 kPa<br>2016-04-01","DATE: Apr-01</b><br>Normal: 0.5 kPa<br>Period: 1991-2020","702FHL8","STE-ANNE-DE-BELLEVUE+1",1994,2026
"04-02","TMAX",2001-04-02,7.62307692307692,-1,25.2,5.24894714717591,2.8,4.45,9.575,11.85,6.6,"NA (ECCC AES NA; station_id 10873)","",10873,"",4,2010-04-02,"DATE: Apr-02<br>Value: 6.6 °C<br>Anomaly: -1.0 °C<br>Weather station: NA (ECCC AES NA; station_id 10873)","DATE: Apr-02<br><b>Maximum temperature</b><br>10-90 percentile<br>2.8 to 11.8 °C","Historical daily maximum<br>25.2 °C<br>2010-04-02","DATE: Apr-02</b><br>Normal: 7.6 °C<br>Period: 1991-2020","702FHL8","STE-ANNE-DE-BELLEVUE+1",1994,2026
"04-02","TMIN",2001-04-02,-1.10769230769231,-6.7,4.4,2.87846112732801,-4.9,-2.675,1,1.75,-2.1,"NA (ECCC AES NA; station_id 10873)","",10873,"",4,2010-04-02,"DATE: Apr-02<br>Value: -2.1 °C<br>Anomaly: -1.0 °C<br>Weather station: NA (ECCC AES NA; station_id 10873)","DATE: Apr-02<br><b>Minimum temperature</b><br>10-90 percentile<br>-4.9 to 1.8 °C","Historical daily maximum<br>4.4 °C<br>2010-04-02","DATE: Apr-02</b><br>Normal: -1.1 °C<br>Period: 1991-2020","702FHL8","STE-ANNE-DE-BELLEVUE+1",1994,2026
"04-02","VPD",2001-04-02,0.537137321334436,0.076979336260749,2.3692684602978,0.447681356025407,0.186459813620675,0.294811348279941,0.646163271338226,0.764611587259155,0.451152550368157,"NA (ECCC AES NA; station_id 10873)","",10873,"",4,2010-04-02,"DATE: Apr-02<br>Value: 0.5 kPa<br>Anomaly: -0.1 kPa<br>Weather station: NA (ECCC AES NA; station_id 10873)","DATE: Apr-02<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 0.8 kPa","Historical daily maximum<br>2.4 kPa<br>2010-04-02","DATE: Apr-02</b><br>Normal: 0.5 kPa<br>Period: 1991-2020","702FHL8","STE-ANNE-DE-BELLEVUE+1",1994,2026
"04-03","TMAX",2001-04-03,7.74615384615385,-3.1,25.6,5.39927630478239,2.15,5.1,9.575,11.55,15.9,"NA (ECCC AES NA; station_id 10873)","",10873,"",4,2010-04-03,"DATE: Apr-03<br>Value: 15.9 °C<br>Anomaly: +8.2 °C<br>Weather station: NA (ECCC AES NA; station_id 10873)","DATE: Apr-03<br><b>Maximum temperature</b><br>10-90 percentile<br>2.1 to 11.6 °C","Historical daily maximum<br>25.6 °C<br>2010-04-03","DATE: Apr-03</b><br>Normal: 7.7 °C<br>Period: 1991-2020","702FHL8","STE-ANNE-DE-BELLEVUE+1",1994,2026
"04-03","TMIN",2001-04-03,-1.01153846153846,-8.7,8.4,3.92462247081952,-5.1,-4.025,1.15,4.25,3.1,"NA (ECCC AES NA; station_id 10873)","",10873,"",4,2010-04-03,"DATE: Apr-03<br>Value: 3.1 °C<br>Anomaly: +4.1 °C<br>Weather station: NA (ECCC AES NA; station_id 10873)","DATE: Apr-03<br><b>Minimum temperature</b><br>10-90 percentile<br>-5.1 to 4.2 °C","Historical daily maximum<br>8.4 °C<br>2010-04-03","DATE: Apr-03</b><br>Normal: -1.0 °C<br>Period: 1991-2020","702FHL8","STE-ANNE-DE-BELLEVUE+1",1994,2026
"04-03","VPD",2001-04-03,0.534731736304578,0.149653379999371,2.18042405778812,0.394867879407525,0.243460408366738,0.303507894346334,0.612613482043884,0.748031493759086,1.04354395933144,"NA (ECCC AES NA; station_id 10873)","",10873,"",4,2010-04-03,"DATE: Apr-03<br>Value: 1.0 kPa<br>Anomaly: +0.5 kPa<br>Weather station: NA (ECCC AES NA; station_id 10873)","DATE: Apr-03<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 0.7 kPa","Historical daily maximum<br>2.2 kPa<br>2010-04-03","DATE: Apr-03</b><br>Normal: 0.5 kPa<br>Period: 1991-2020","702FHL8","STE-ANNE-DE-BELLEVUE+1",1994,2026
"04-04","TMAX",2001-04-04,6.37307692307692,-2.8,18.2,4.29963325806355,2.1,4.5,8.25,9.95,8.1,"NA (ECCC AES NA; station_id 10873)","",10873,"",4,2010-04-04,"DATE: Apr-04<br>Value: 8.1 °C<br>Anomaly: +1.7 °C<br>Weather station: NA (ECCC AES NA; station_id 10873)","DATE: Apr-04<br><b>Maximum temperature</b><br>10-90 percentile<br>2.1 to 9.9 °C","Historical daily maximum<br>18.2 °C<br>2010-04-04","DATE: Apr-04</b><br>Normal: 6.4 °C<br>Period: 1991-2020","702FHL8","STE-ANNE-DE-BELLEVUE+1",1994,2026
"04-04","TMIN",2001-04-04,-2.06923076923077,-11.9,9.3,4.6762180642711,-7.7,-4.925,1.55,2.55,1.3,"NA (ECCC AES NA; station_id 10873)","",10873,"",4,2010-04-04,"DATE: Apr-04<br>Value: 1.3 °C<br>Anomaly: +3.4 °C<br>Weather station: NA (ECCC AES NA; station_id 10873)","DATE: Apr-04<br><b>Minimum temperature</b><br>10-90 percentile<br>-7.7 to 2.5 °C","Historical daily maximum<br>9.3 °C<br>2010-04-04","DATE: Apr-04</b><br>Normal: -2.1 °C<br>Period: 1991-2020","702FHL8","STE-ANNE-DE-BELLEVUE+1",1994,2026
"04-04","VPD",2001-04-04,0.444348900885763,0.162618068876489,0.918551462281761,0.205854450800155,0.195989490643059,0.257567779314959,0.539380309441751,0.712456499821985,0.4090332742293,"NA (ECCC AES NA; station_id 10873)","",10873,"",4,2010-04-04,"DATE: Apr-04<br>Value: 0.4 kPa<br>Anomaly: 0.0 kPa<br>Weather station: NA (ECCC AES NA; station_id 10873)","DATE: Apr-04<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 0.7 kPa","Historical daily maximum<br>0.9 kPa<br>2010-04-04","DATE: Apr-04</b><br>Normal: 0.4 kPa<br>Period: 1991-2020","702FHL8","STE-ANNE-DE-BELLEVUE+1",1994,2026
"04-05","TMAX",2001-04-05,5.76153846153846,-5.1,19.2,5.30313695264053,-0.05,2.975,9,11.3,10.4,"NA (ECCC AES NA; station_id 10873)","",10873,"",4,2010-04-05,"DATE: Apr-05<br>Value: 10.4 °C<br>Anomaly: +4.6 °C<br>Weather station: NA (ECCC AES NA; station_id 10873)","DATE: Apr-05<br><b>Maximum temperature</b><br>10-90 percentile<br>0.0 to 11.3 °C","Historical daily maximum<br>19.2 °C<br>2010-04-05","DATE: Apr-05</b><br>Normal: 5.8 °C<br>Period: 1991-2020","702FHL8","STE-ANNE-DE-BELLEVUE+1",1994,2026
"04-05","TMIN",2001-04-05,-2.68076923076923,-14.3,6.4,4.70166091765616,-9.45,-4.925,0.4,1.7,1.1,"NA (ECCC AES NA; station_id 10873)","",10873,"",4,2010-04-05,"DATE: Apr-05<br>Value: 1.1 °C<br>Anomaly: +3.8 °C<br>Weather station: NA (ECCC AES NA; station_id 10873)","DATE: Apr-05<br><b>Minimum temperature</b><br>10-90 percentile<br>-9.4 to 1.7 °C","Historical daily maximum<br>6.4 °C<br>2010-04-05","DATE: Apr-05</b><br>Normal: -2.7 °C<br>Period: 1991-2020","702FHL8","STE-ANNE-DE-BELLEVUE+1",1994,2026
"04-05","VPD",2001-04-05,0.447686436213937,0.216179783961496,1.26363778009257,0.254980702362945,0.224147589360296,0.24448083867141,0.524819959093277,0.797842721431897,0.599803979511871,"NA (ECCC AES NA; station_id 10873)","",10873,"",4,2010-04-05,"DATE: Apr-05<br>Value: 0.6 kPa<br>Anomaly: +0.2 kPa<br>Weather station: NA (ECCC AES NA; station_id 10873)","DATE: Apr-05<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 0.8 kPa","Historical daily maximum<br>1.3 kPa<br>2010-04-05","DATE: Apr-05</b><br>Normal: 0.4 kPa<br>Period: 1991-2020","702FHL8","STE-ANNE-DE-BELLEVUE+1",1994,2026
"04-06","TMAX",2001-04-06,6.656,-2.8,16.2,5.44488138836222,0.56,2.8,9.5,15.36,4.3,"NA (ECCC AES NA; station_id 10873)","",10873,"",4,2005-04-06,"DATE: Apr-06<br>Value: 4.3 °C<br>Anomaly: -2.4 °C<br>Weather station: NA (ECCC AES NA; station_id 10873)","DATE: Apr-06<br><b>Maximum temperature</b><br>10-90 percentile<br>0.6 to 15.4 °C","Historical daily maximum<br>16.2 °C<br>2005-04-06","DATE: Apr-06</b><br>Normal: 6.7 °C<br>Period: 1991-2020","702FHL8","STE-ANNE-DE-BELLEVUE+1",1994,2026
"04-06","TMIN",2001-04-06,-2.244,-10.6,8.9,4.22848278542868,-7.16,-5.1,0.4,1.9,-3.6,"NA (ECCC AES NA; station_id 10873)","",10873,"",4,2010-04-06,"DATE: Apr-06<br>Value: -3.6 °C<br>Anomaly: -1.4 °C<br>Weather station: NA (ECCC AES NA; station_id 10873)","DATE: Apr-06<br><b>Minimum temperature</b><br>10-90 percentile<br>-7.2 to 1.9 °C","Historical daily maximum<br>8.9 °C<br>2010-04-06","DATE: Apr-06</b><br>Normal: -2.2 °C<br>Period: 1991-2020","702FHL8","STE-ANNE-DE-BELLEVUE+1",1994,2026
"04-06","VPD",2001-04-06,0.498580083171914,0.119497051403235,1.22235180243551,0.307387274084592,0.192397643304154,0.285911934180321,0.615488113814562,0.949085543667874,0.362468733811588,"NA (ECCC AES NA; station_id 10873)","",10873,"",4,1999-04-06,"DATE: Apr-06<br>Value: 0.4 kPa<br>Anomaly: -0.1 kPa<br>Weather station: NA (ECCC AES NA; station_id 10873)","DATE: Apr-06<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 0.9 kPa","Historical daily maximum<br>1.2 kPa<br>1999-04-06","DATE: Apr-06</b><br>Normal: 0.5 kPa<br>Period: 1991-2020","702FHL8","STE-ANNE-DE-BELLEVUE+1",1994,2026
"04-07","TMAX",2001-04-07,7.876,-1.5,14,4.23135911971556,3.44,4.7,11.2,13.08,-0.6,"NA (ECCC AES NA; station_id 10873)","",10873,"",4,2021-04-07,"DATE: Apr-07<br>Value: -0.6 °C<br>Anomaly: -8.5 °C<br>Weather station: NA (ECCC AES NA; station_id 10873)","DATE: Apr-07<br><b>Maximum temperature</b><br>10-90 percentile<br>3.4 to 13.1 °C","Historical daily maximum<br>14.0 °C<br>2021-04-07","DATE: Apr-07</b><br>Normal: 7.9 °C<br>Period: 1991-2020","702FHL8","STE-ANNE-DE-BELLEVUE+1",1994,2026
