"MD","PLOT_DATE","clim_mean","clim_min","clim_max","q10","q25","q75","q90","PRECIP","PRECIP_CUM","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","hover_bar","pct_normal","hover_value","hover_mean","hover_band25","hover_band10","AES","NAME","por_start","por_end"
"04-01",2001-04-01,2.11111111111111,0,22.9,0,0,2.4,5.5,0.1,0.1,"NA (ECCC AES NA; station_id 8321)",NA,8321,"","DATE: Apr-01<br><b>Daily precipitation</b><br>Value: 0.1 mm<br>Weather station: NA (ECCC AES NA; station_id 8321)",4.73684210526316,"DATE: Apr-01<br><b>Cumulative precipitation</b><br>Value: 0.1 mm<br>Anomaly: -2.0 mm<br>Percent of normal: <b>5%</b><br>Weather station: NA (ECCC AES NA; station_id 8321)","DATE: Apr-01<br><b>Normal cumulative precipitation</b><br>2.1 mm<br>Period: 1991-2020","DATE: Apr-01<br><b>25-75 percentile</b><br>0.0 to 2.4 mm","DATE: Apr-01<br><b>10-90 percentile</b><br>0.0 to 5.5 mm","7018562","TROIS-RIVIERES",1994,2026
"04-02",2001-04-02,4.36666666666667,0,30.2,0,0,4.4,11.32,2.8,2.9,"NA (ECCC AES NA; station_id 8321)",NA,8321,"","DATE: Apr-02<br><b>Daily precipitation</b><br>Value: 2.8 mm<br>Weather station: NA (ECCC AES NA; station_id 8321)",66.412213740458,"DATE: Apr-02<br><b>Cumulative precipitation</b><br>Value: 2.9 mm<br>Anomaly: -1.5 mm<br>Percent of normal: <b>66%</b><br>Weather station: NA (ECCC AES NA; station_id 8321)","DATE: Apr-02<br><b>Normal cumulative precipitation</b><br>4.4 mm<br>Period: 1991-2020","DATE: Apr-02<br><b>25-75 percentile</b><br>0.0 to 4.4 mm","DATE: Apr-02<br><b>10-90 percentile</b><br>0.0 to 11.3 mm","7018562","TROIS-RIVIERES",1994,2026
"04-03",2001-04-03,6.07037037037037,0,36.4,0,0.1,5.95,16.36,11.8,14.7,"NA (ECCC AES NA; station_id 8321)",NA,8321,"","DATE: Apr-03<br><b>Daily precipitation</b><br>Value: 11.8 mm<br>Weather station: NA (ECCC AES NA; station_id 8321)",242.15985356925,"DATE: Apr-03<br><b>Cumulative precipitation</b><br>Value: 14.7 mm<br>Anomaly: +8.6 mm<br>Percent of normal: <b>242%</b><br>Weather station: NA (ECCC AES NA; station_id 8321)","DATE: Apr-03<br><b>Normal cumulative precipitation</b><br>6.1 mm<br>Period: 1991-2020","DATE: Apr-03<br><b>25-75 percentile</b><br>0.1 to 5.9 mm","DATE: Apr-03<br><b>10-90 percentile</b><br>0.0 to 16.4 mm","7018562","TROIS-RIVIERES",1994,2026
"04-04",2001-04-04,10.9481481481481,0,41.2,0,0.6,16.9,28.5,5.7,20.4,"NA (ECCC AES NA; station_id 8321)",NA,8321,"","DATE: Apr-04<br><b>Daily precipitation</b><br>Value: 5.7 mm<br>Weather station: NA (ECCC AES NA; station_id 8321)",186.332882273342,"DATE: Apr-04<br><b>Cumulative precipitation</b><br>Value: 20.4 mm<br>Anomaly: +9.5 mm<br>Percent of normal: <b>186%</b><br>Weather station: NA (ECCC AES NA; station_id 8321)","DATE: Apr-04<br><b>Normal cumulative precipitation</b><br>10.9 mm<br>Period: 1991-2020","DATE: Apr-04<br><b>25-75 percentile</b><br>0.6 to 16.9 mm","DATE: Apr-04<br><b>10-90 percentile</b><br>0.0 to 28.5 mm","7018562","TROIS-RIVIERES",1994,2026
"04-05",2001-04-05,12.9037037037037,0,41.2,0,2.05,18.05,34.04,22.3,42.7,"NA (ECCC AES NA; station_id 8321)",NA,8321,"","DATE: Apr-05<br><b>Daily precipitation</b><br>Value: 22.3 mm<br>Weather station: NA (ECCC AES NA; station_id 8321)",330.912743972445,"DATE: Apr-05<br><b>Cumulative precipitation</b><br>Value: 42.7 mm<br>Anomaly: +29.8 mm<br>Percent of normal: <b>331%</b><br>Weather station: NA (ECCC AES NA; station_id 8321)","DATE: Apr-05<br><b>Normal cumulative precipitation</b><br>12.9 mm<br>Period: 1991-2020","DATE: Apr-05<br><b>25-75 percentile</b><br>2.0 to 18.0 mm","DATE: Apr-05<br><b>10-90 percentile</b><br>0.0 to 34.0 mm","7018562","TROIS-RIVIERES",1994,2026
"04-06",2001-04-06,15.4333333333333,0,68.2,0,5.1,20.7,38.76,0,42.7,"NA (ECCC AES NA; station_id 8321)",NA,8321,"","DATE: Apr-06<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 8321)",276.673866090713,"DATE: Apr-06<br><b>Cumulative precipitation</b><br>Value: 42.7 mm<br>Anomaly: +27.3 mm<br>Percent of normal: <b>277%</b><br>Weather station: NA (ECCC AES NA; station_id 8321)","DATE: Apr-06<br><b>Normal cumulative precipitation</b><br>15.4 mm<br>Period: 1991-2020","DATE: Apr-06<br><b>25-75 percentile</b><br>5.1 to 20.7 mm","DATE: Apr-06<br><b>10-90 percentile</b><br>0.0 to 38.8 mm","7018562","TROIS-RIVIERES",1994,2026
"04-07",2001-04-07,17.7962962962963,0,77.1,0,5.4,24.7,40.34,0,42.7,"NA (ECCC AES NA; station_id 8321)",NA,8321,"","DATE: Apr-07<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 8321)",239.93756503642,"DATE: Apr-07<br><b>Cumulative precipitation</b><br>Value: 42.7 mm<br>Anomaly: +24.9 mm<br>Percent of normal: <b>240%</b><br>Weather station: NA (ECCC AES NA; station_id 8321)","DATE: Apr-07<br><b>Normal cumulative precipitation</b><br>17.8 mm<br>Period: 1991-2020","DATE: Apr-07<br><b>25-75 percentile</b><br>5.4 to 24.7 mm","DATE: Apr-07<br><b>10-90 percentile</b><br>0.0 to 40.3 mm","7018562","TROIS-RIVIERES",1994,2026
"04-08",2001-04-08,21.6148148148148,0,77.1,1.56,8,33,45.22,0,42.7,"NA (ECCC AES NA; station_id 8321)",NA,8321,"","DATE: Apr-08<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 8321)",197.549691569568,"DATE: Apr-08<br><b>Cumulative precipitation</b><br>Value: 42.7 mm<br>Anomaly: +21.1 mm<br>Percent of normal: <b>198%</b><br>Weather station: NA (ECCC AES NA; station_id 8321)","DATE: Apr-08<br><b>Normal cumulative precipitation</b><br>21.6 mm<br>Period: 1991-2020","DATE: Apr-08<br><b>25-75 percentile</b><br>8.0 to 33.0 mm","DATE: Apr-08<br><b>10-90 percentile</b><br>1.6 to 45.2 mm","7018562","TROIS-RIVIERES",1994,2026
"04-09",2001-04-09,23.8222222222222,0,77.8,1.56,8.65,33.45,53.08,0.2,42.9,"NA (ECCC AES NA; station_id 8321)",NA,8321,"","DATE: Apr-09<br><b>Daily precipitation</b><br>Value: 0.2 mm<br>Weather station: NA (ECCC AES NA; station_id 8321)",180.083955223881,"DATE: Apr-09<br><b>Cumulative precipitation</b><br>Value: 42.9 mm<br>Anomaly: +19.1 mm<br>Percent of normal: <b>180%</b><br>Weather station: NA (ECCC AES NA; station_id 8321)","DATE: Apr-09<br><b>Normal cumulative precipitation</b><br>23.8 mm<br>Period: 1991-2020","DATE: Apr-09<br><b>25-75 percentile</b><br>8.6 to 33.4 mm","DATE: Apr-09<br><b>10-90 percentile</b><br>1.6 to 53.1 mm","7018562","TROIS-RIVIERES",1994,2026
"04-10",2001-04-10,25.1222222222222,0,79.9,1.96,9.5,35.5,53.08,4.8,47.7,"NA (ECCC AES NA; station_id 8321)",NA,8321,"","DATE: Apr-10<br><b>Daily precipitation</b><br>Value: 4.8 mm<br>Weather station: NA (ECCC AES NA; station_id 8321)",189.871738168952,"DATE: Apr-10<br><b>Cumulative precipitation</b><br>Value: 47.7 mm<br>Anomaly: +22.6 mm<br>Percent of normal: <b>190%</b><br>Weather station: NA (ECCC AES NA; station_id 8321)","DATE: Apr-10<br><b>Normal cumulative precipitation</b><br>25.1 mm<br>Period: 1991-2020","DATE: Apr-10<br><b>25-75 percentile</b><br>9.5 to 35.5 mm","DATE: Apr-10<br><b>10-90 percentile</b><br>2.0 to 53.1 mm","7018562","TROIS-RIVIERES",1994,2026
