"MD","PLOT_DATE","clim_mean","clim_min","clim_max","q10","q25","q75","q90","PRECIP","PRECIP_CUM","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","hover_bar","pct_normal","hover_value","hover_mean","hover_band25","hover_band10","AES","NAME","por_start","por_end"
"04-01",2001-04-01,0.807407407407407,0,5.4,0,0,0.5,2.92,0,0,"NA (ECCC AES NA; station_id 10805)",NA,10805,"","DATE: Apr-01<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 10805)",0,"DATE: Apr-01<br><b>Cumulative precipitation</b><br>Value: 0.0 mm<br>Anomaly: -0.8 mm<br>Percent of normal: <b>0%</b><br>Weather station: NA (ECCC AES NA; station_id 10805)","DATE: Apr-01<br><b>Normal cumulative precipitation</b><br>0.8 mm<br>Period: 1991-2020","DATE: Apr-01<br><b>25-75 percentile</b><br>0.0 to 0.5 mm","DATE: Apr-01<br><b>10-90 percentile</b><br>0.0 to 2.9 mm","4020286","ASSINIBOIA+AIRPORT",1994,2026
"04-02",2001-04-02,1.15555555555556,0,7.1,0,0,1.6,3.26,0,0,"NA (ECCC AES NA; station_id 10805)",NA,10805,"","DATE: Apr-02<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 10805)",0,"DATE: Apr-02<br><b>Cumulative precipitation</b><br>Value: 0.0 mm<br>Anomaly: -1.2 mm<br>Percent of normal: <b>0%</b><br>Weather station: NA (ECCC AES NA; station_id 10805)","DATE: Apr-02<br><b>Normal cumulative precipitation</b><br>1.2 mm<br>Period: 1991-2020","DATE: Apr-02<br><b>25-75 percentile</b><br>0.0 to 1.6 mm","DATE: Apr-02<br><b>10-90 percentile</b><br>0.0 to 3.3 mm","4020286","ASSINIBOIA+AIRPORT",1994,2026
"04-03",2001-04-03,2.11111111111111,0,16.1,0,0,2.6,5.88,0,0,"NA (ECCC AES NA; station_id 10805)",NA,10805,"","DATE: Apr-03<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 10805)",0,"DATE: Apr-03<br><b>Cumulative precipitation</b><br>Value: 0.0 mm<br>Anomaly: -2.1 mm<br>Percent of normal: <b>0%</b><br>Weather station: NA (ECCC AES NA; station_id 10805)","DATE: Apr-03<br><b>Normal cumulative precipitation</b><br>2.1 mm<br>Period: 1991-2020","DATE: Apr-03<br><b>25-75 percentile</b><br>0.0 to 2.6 mm","DATE: Apr-03<br><b>10-90 percentile</b><br>0.0 to 5.9 mm","4020286","ASSINIBOIA+AIRPORT",1994,2026
"04-04",2001-04-04,2.24814814814815,0,16.5,0,0,2.75,5.96,0,0,"NA (ECCC AES NA; station_id 10805)",NA,10805,"","DATE: Apr-04<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 10805)",0,"DATE: Apr-04<br><b>Cumulative precipitation</b><br>Value: 0.0 mm<br>Anomaly: -2.2 mm<br>Percent of normal: <b>0%</b><br>Weather station: NA (ECCC AES NA; station_id 10805)","DATE: Apr-04<br><b>Normal cumulative precipitation</b><br>2.2 mm<br>Period: 1991-2020","DATE: Apr-04<br><b>25-75 percentile</b><br>0.0 to 2.8 mm","DATE: Apr-04<br><b>10-90 percentile</b><br>0.0 to 6.0 mm","4020286","ASSINIBOIA+AIRPORT",1994,2026
"04-05",2001-04-05,2.77407407407407,0,16.5,0,0.4,2.95,6.92000000000001,0,0,"NA (ECCC AES NA; station_id 10805)",NA,10805,"","DATE: Apr-05<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 10805)",0,"DATE: Apr-05<br><b>Cumulative precipitation</b><br>Value: 0.0 mm<br>Anomaly: -2.8 mm<br>Percent of normal: <b>0%</b><br>Weather station: NA (ECCC AES NA; station_id 10805)","DATE: Apr-05<br><b>Normal cumulative precipitation</b><br>2.8 mm<br>Period: 1991-2020","DATE: Apr-05<br><b>25-75 percentile</b><br>0.4 to 3.0 mm","DATE: Apr-05<br><b>10-90 percentile</b><br>0.0 to 6.9 mm","4020286","ASSINIBOIA+AIRPORT",1994,2026
"04-06",2001-04-06,3.43703703703704,0,16.5,0.12,0.55,5.15,8.9,0,0,"NA (ECCC AES NA; station_id 10805)",NA,10805,"","DATE: Apr-06<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 10805)",0,"DATE: Apr-06<br><b>Cumulative precipitation</b><br>Value: 0.0 mm<br>Anomaly: -3.4 mm<br>Percent of normal: <b>0%</b><br>Weather station: NA (ECCC AES NA; station_id 10805)","DATE: Apr-06<br><b>Normal cumulative precipitation</b><br>3.4 mm<br>Period: 1991-2020","DATE: Apr-06<br><b>25-75 percentile</b><br>0.6 to 5.2 mm","DATE: Apr-06<br><b>10-90 percentile</b><br>0.1 to 8.9 mm","4020286","ASSINIBOIA+AIRPORT",1994,2026
"04-07",2001-04-07,4.15555555555556,0,16.7,0.32,0.65,5.95,9.08,0,0,"NA (ECCC AES NA; station_id 10805)",NA,10805,"","DATE: Apr-07<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 10805)",0,"DATE: Apr-07<br><b>Cumulative precipitation</b><br>Value: 0.0 mm<br>Anomaly: -4.2 mm<br>Percent of normal: <b>0%</b><br>Weather station: NA (ECCC AES NA; station_id 10805)","DATE: Apr-07<br><b>Normal cumulative precipitation</b><br>4.2 mm<br>Period: 1991-2020","DATE: Apr-07<br><b>25-75 percentile</b><br>0.6 to 6.0 mm","DATE: Apr-07<br><b>10-90 percentile</b><br>0.3 to 9.1 mm","4020286","ASSINIBOIA+AIRPORT",1994,2026
"04-08",2001-04-08,4.52592592592593,0,16.7,0.32,1.3,6,10.56,0,0,"NA (ECCC AES NA; station_id 10805)",NA,10805,"","DATE: Apr-08<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 10805)",0,"DATE: Apr-08<br><b>Cumulative precipitation</b><br>Value: 0.0 mm<br>Anomaly: -4.5 mm<br>Percent of normal: <b>0%</b><br>Weather station: NA (ECCC AES NA; station_id 10805)","DATE: Apr-08<br><b>Normal cumulative precipitation</b><br>4.5 mm<br>Period: 1991-2020","DATE: Apr-08<br><b>25-75 percentile</b><br>1.3 to 6.0 mm","DATE: Apr-08<br><b>10-90 percentile</b><br>0.3 to 10.6 mm","4020286","ASSINIBOIA+AIRPORT",1994,2026
"04-09",2001-04-09,4.95555555555556,0,16.7,0.52,1.45,7.4,11.4,0,0,"NA (ECCC AES NA; station_id 10805)",NA,10805,"","DATE: Apr-09<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 10805)",0,"DATE: Apr-09<br><b>Cumulative precipitation</b><br>Value: 0.0 mm<br>Anomaly: -5.0 mm<br>Percent of normal: <b>0%</b><br>Weather station: NA (ECCC AES NA; station_id 10805)","DATE: Apr-09<br><b>Normal cumulative precipitation</b><br>5.0 mm<br>Period: 1991-2020","DATE: Apr-09<br><b>25-75 percentile</b><br>1.4 to 7.4 mm","DATE: Apr-09<br><b>10-90 percentile</b><br>0.5 to 11.4 mm","4020286","ASSINIBOIA+AIRPORT",1994,2026
"04-10",2001-04-10,6.51851851851852,0.4,16.7,1.36,2.5,9.3,14.04,0,0,"NA (ECCC AES NA; station_id 10805)",NA,10805,"","DATE: Apr-10<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 10805)",0,"DATE: Apr-10<br><b>Cumulative precipitation</b><br>Value: 0.0 mm<br>Anomaly: -6.5 mm<br>Percent of normal: <b>0%</b><br>Weather station: NA (ECCC AES NA; station_id 10805)","DATE: Apr-10<br><b>Normal cumulative precipitation</b><br>6.5 mm<br>Period: 1991-2020","DATE: Apr-10<br><b>25-75 percentile</b><br>2.5 to 9.3 mm","DATE: Apr-10<br><b>10-90 percentile</b><br>1.4 to 14.0 mm","4020286","ASSINIBOIA+AIRPORT",1994,2026
