"MD","variable","PLOT_DATE","clim_mean","clim_min","clim_max","clim_sd","q10","q25","q75","q90","value","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","MONTH","clim_max_date","hover_value","hover_band","hover_histmax","hover_mean","AES","NAME","por_start","por_end"
"04-01","TMAX",2001-04-01,4.17777777777778,-12.3,13.9,6.70237233162967,-4.44,0.3,9.5,12.06,7.9,"NA (ECCC AES NA; station_id 10888)",NA,10888,"",4,2021-04-01,"DATE: Apr-01<br>Value: 7.9 °C<br>Anomaly: +3.7 °C<br>Weather station: NA (ECCC AES NA; station_id 10888)","DATE: Apr-01<br><b>Maximum temperature</b><br>10-90 percentile<br>-4.4 to 12.1 °C","Historical daily maximum<br>13.9 °C<br>2021-04-01","DATE: Apr-01</b><br>Normal: 4.2 °C<br>Period: 1991-2020","4031999","CYPRESS+HILLS+PARK",1994,2026
"04-01","TMIN",2001-04-01,-5.43333333333333,-19.7,1.9,5.86101855154362,-14.36,-7.7,-1.8,-0.759999999999999,-7.2,"NA (ECCC AES NA; station_id 10888)",NA,10888,"",4,1998-04-01,"DATE: Apr-01<br>Value: -7.2 °C<br>Anomaly: -1.8 °C<br>Weather station: NA (ECCC AES NA; station_id 10888)","DATE: Apr-01<br><b>Minimum temperature</b><br>10-90 percentile<br>-14.4 to -0.8 °C","Historical daily maximum<br>1.9 °C<br>1998-04-01","DATE: Apr-01</b><br>Normal: -5.4 °C<br>Period: 1991-2020","4031999","CYPRESS+HILLS+PARK",1994,2026
"04-01","VPD",2001-04-01,0.459963448789378,0.0860777250761047,1.05784076372042,0.277413569111693,0.142252724044692,0.236942783194892,0.605468144215328,0.862892443742702,0.709680891502527,"NA (ECCC AES NA; station_id 10888)",NA,10888,"",4,2021-04-01,"DATE: Apr-01<br>Value: 0.7 kPa<br>Anomaly: +0.2 kPa<br>Weather station: NA (ECCC AES NA; station_id 10888)","DATE: Apr-01<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.1 to 0.9 kPa","Historical daily maximum<br>1.1 kPa<br>2021-04-01","DATE: Apr-01</b><br>Normal: 0.5 kPa<br>Period: 1991-2020","4031999","CYPRESS+HILLS+PARK",1994,2026
"04-02","TMAX",2001-04-02,3.81111111111111,-14.6,19,7.44137773292705,-4.98,0.1,8.4,11.16,0.3,"NA (ECCC AES NA; station_id 10888)",NA,10888,"",4,2016-04-02,"DATE: Apr-02<br>Value: 0.3 °C<br>Anomaly: -3.5 °C<br>Weather station: NA (ECCC AES NA; station_id 10888)","DATE: Apr-02<br><b>Maximum temperature</b><br>10-90 percentile<br>-5.0 to 11.2 °C","Historical daily maximum<br>19.0 °C<br>2016-04-02","DATE: Apr-02</b><br>Normal: 3.8 °C<br>Period: 1991-2020","4031999","CYPRESS+HILLS+PARK",1994,2026
"04-02","TMIN",2001-04-02,-6.03703703703704,-20.7,3,5.57143457207237,-12.92,-7.75,-2.7,-1.16,-3.8,"NA (ECCC AES NA; station_id 10888)",NA,10888,"",4,2016-04-02,"DATE: Apr-02<br>Value: -3.8 °C<br>Anomaly: +2.2 °C<br>Weather station: NA (ECCC AES NA; station_id 10888)","DATE: Apr-02<br><b>Minimum temperature</b><br>10-90 percentile<br>-12.9 to -1.2 °C","Historical daily maximum<br>3.0 °C<br>2016-04-02","DATE: Apr-02</b><br>Normal: -6.0 °C<br>Period: 1991-2020","4031999","CYPRESS+HILLS+PARK",1994,2026
"04-02","VPD",2001-04-02,0.475232792356845,0.0786235905697568,1.43962699378777,0.304207841495602,0.130637877272499,0.297346226605999,0.584622673475635,0.813498180788218,0.163118486869951,"NA (ECCC AES NA; station_id 10888)",NA,10888,"",4,2016-04-02,"DATE: Apr-02<br>Value: 0.2 kPa<br>Anomaly: -0.3 kPa<br>Weather station: NA (ECCC AES NA; station_id 10888)","DATE: Apr-02<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.1 to 0.8 kPa","Historical daily maximum<br>1.4 kPa<br>2016-04-02","DATE: Apr-02</b><br>Normal: 0.5 kPa<br>Period: 1991-2020","4031999","CYPRESS+HILLS+PARK",1994,2026
"04-03","TMAX",2001-04-03,3.57037037037037,-9.2,14.4,6.95047396362927,-6.24,-1.85,9.05,11.44,2.8,"NA (ECCC AES NA; station_id 10888)",NA,10888,"",4,1998-04-03,"DATE: Apr-03<br>Value: 2.8 °C<br>Anomaly: -0.8 °C<br>Weather station: NA (ECCC AES NA; station_id 10888)","DATE: Apr-03<br><b>Maximum temperature</b><br>10-90 percentile<br>-6.2 to 11.4 °C","Historical daily maximum<br>14.4 °C<br>1998-04-03","DATE: Apr-03</b><br>Normal: 3.6 °C<br>Period: 1991-2020","4031999","CYPRESS+HILLS+PARK",1994,2026
"04-03","TMIN",2001-04-03,-5.9962962962963,-19,3,5.60943446220339,-15.56,-7.9,-2.65,-1.32,-2.6,"NA (ECCC AES NA; station_id 10888)",NA,10888,"",4,2024-04-03,"DATE: Apr-03<br>Value: -2.6 °C<br>Anomaly: +3.4 °C<br>Weather station: NA (ECCC AES NA; station_id 10888)","DATE: Apr-03<br><b>Minimum temperature</b><br>10-90 percentile<br>-15.6 to -1.3 °C","Historical daily maximum<br>3.0 °C<br>2024-04-03","DATE: Apr-03</b><br>Normal: -6.0 °C<br>Period: 1991-2020","4031999","CYPRESS+HILLS+PARK",1994,2026
"04-03","VPD",2001-04-03,0.449209460962016,0.0894995133111121,1.0480941271767,0.276614974087592,0.127755942075171,0.193012355829388,0.639986564968806,0.834296708057064,0.242635480307045,"NA (ECCC AES NA; station_id 10888)",NA,10888,"",4,2012-04-03,"DATE: Apr-03<br>Value: 0.2 kPa<br>Anomaly: -0.2 kPa<br>Weather station: NA (ECCC AES NA; station_id 10888)","DATE: Apr-03<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.1 to 0.8 kPa","Historical daily maximum<br>1.0 kPa<br>2012-04-03","DATE: Apr-03</b><br>Normal: 0.4 kPa<br>Period: 1991-2020","4031999","CYPRESS+HILLS+PARK",1994,2026
"04-04","TMAX",2001-04-04,5.14074074074074,-5.6,17.5,7.3613992847963,-3.52,-0.85,12.6,15.5,NA,NA,NA,NA,NA,4,2012-04-04,"","DATE: Apr-04<br><b>Maximum temperature</b><br>10-90 percentile<br>-3.5 to 15.5 °C","Historical daily maximum<br>17.5 °C<br>2012-04-04","DATE: Apr-04</b><br>Normal: 5.1 °C<br>Period: 1991-2020","4031999","CYPRESS+HILLS+PARK",1994,2026
"04-04","TMIN",2001-04-04,-4.65925925925926,-13.5,3.1,5.40208359084781,-11.22,-8.55,1.25,2.6,NA,NA,NA,NA,NA,4,2006-04-04,"","DATE: Apr-04<br><b>Minimum temperature</b><br>10-90 percentile<br>-11.2 to 2.6 °C","Historical daily maximum<br>3.1 °C<br>2006-04-04","DATE: Apr-04</b><br>Normal: -4.7 °C<br>Period: 1991-2020","4031999","CYPRESS+HILLS+PARK",1994,2026
