"variable","MD","PLOT_DATE","clim_mean","clim_sd","clim_max","clim_max_date","value","rec_all_val","rec_all_date","value_record","MONTH","hover_histmax","AES","NAME","por_start","por_end"
"BUI","04-01",2001-04-01,19.8,14.0299679258365,35.6,2010-04-01,NA,260.9,1998-09-17,NA,4,"Daily record reached in 2010","4022359","ELBOW+CS",1994,2026
"BUI","04-02",2001-04-02,28.35,13.3643181644257,37.8,2010-04-02,NA,260.9,1998-09-17,NA,4,"Daily record reached in 2010","4022359","ELBOW+CS",1994,2026
"BUI","04-03",2001-04-03,29.35,14.2128463018496,39.4,2010-04-03,NA,260.9,1998-09-17,NA,4,"Daily record reached in 2010","4022359","ELBOW+CS",1994,2026
"BUI","04-04",2001-04-04,26.4,12.925556080881,41.3,2010-04-04,NA,260.9,1998-09-17,NA,4,"Daily record reached in 2010","4022359","ELBOW+CS",1994,2026
"BUI","04-05",2001-04-05,31.6,16.9705627484771,43.6,2010-04-05,NA,260.9,1998-09-17,NA,4,"Daily record reached in 2010","4022359","ELBOW+CS",1994,2026
"BUI","04-06",2001-04-06,33,18.3847763108502,46,2010-04-06,NA,260.9,1998-09-17,NA,4,"Daily record reached in 2010","4022359","ELBOW+CS",1994,2026
"BUI","04-07",2001-04-07,30.15,26.0922402257836,48.6,2010-04-07,NA,260.9,1998-09-17,NA,4,"Daily record reached in 2010","4022359","ELBOW+CS",1994,2026
"BUI","04-08",2001-04-08,32.35,27.7892965006313,52,2010-04-08,NA,260.9,1998-09-17,NA,4,"Daily record reached in 2010","4022359","ELBOW+CS",1994,2026
"BUI","04-09",2001-04-09,33.05,27.0821897194448,52.2,2010-04-09,NA,260.9,1998-09-17,NA,4,"Daily record reached in 2010","4022359","ELBOW+CS",1994,2026
"BUI","04-10",2001-04-10,33.1,27.2943217538007,52.4,2010-04-10,NA,260.9,1998-09-17,NA,4,"Daily record reached in 2010","4022359","ELBOW+CS",1994,2026
"BUI","04-11",2001-04-11,14.5,NA,14.5,2016-04-11,NA,260.9,1998-09-17,NA,4,"Daily record reached in 2016","4022359","ELBOW+CS",1994,2026
"BUI","04-12",2001-04-12,16.55,2.33345237791561,18.2,2016-04-12,NA,260.9,1998-09-17,NA,4,"Daily record reached in 2016","4022359","ELBOW+CS",1994,2026
"BUI","04-13",2001-04-13,21.7,6.92170499226889,29.6,2012-04-13,NA,260.9,1998-09-17,NA,4,"Daily record reached in 2012","4022359","ELBOW+CS",1994,2026
"BUI","04-14",2001-04-14,16.2,2.54558441227157,35.5,2024-04-14,NA,260.9,1998-09-17,NA,4,"Daily record reached in 2024","4022359","ELBOW+CS",1994,2026
"BUI","04-15",2001-04-15,19.4333333333333,3.98036849215413,39.4,2024-04-15,NA,260.9,1998-09-17,NA,4,"Daily record reached in 2024","4022359","ELBOW+CS",1994,2026
"BUI","04-16",2001-04-16,21.9,4.9,41.1,2024-04-16,NA,260.9,1998-09-17,NA,4,"Daily record reached in 2024","4022359","ELBOW+CS",1994,2026
"BUI","04-17",2001-04-17,25.1666666666667,4.93288286231625,41.3,2024-04-17,NA,260.9,1998-09-17,NA,4,"Daily record reached in 2024","4022359","ELBOW+CS",1994,2026
"BUI","04-18",2001-04-18,29,4.47101778122163,33.2,2010-04-18,NA,260.9,1998-09-17,NA,4,"Daily record reached in 2010","4022359","ELBOW+CS",1994,2026
"BUI","04-19",2001-04-19,32.6,4.30929228528305,37.5,2010-04-19,NA,260.9,1998-09-17,NA,4,"Daily record reached in 2010","4022359","ELBOW+CS",1994,2026
"BUI","04-20",2001-04-20,36.3,5.48361194834208,42.7,2024-04-20,NA,260.9,1998-09-17,NA,4,"Daily record reached in 2024","4022359","ELBOW+CS",1994,2026
"BUI","04-21",2001-04-21,40.6,8.48528137423857,46.6,2010-04-21,NA,260.9,1998-09-17,NA,4,"Daily record reached in 2010","4022359","ELBOW+CS",1994,2026
"BUI","04-22",2001-04-22,34.525,13.7521816451063,51.3,2010-04-22,14.6,260.9,1998-09-17,NA,4,"Daily record reached in 2010","4022359","ELBOW+CS",1994,2026
"BUI","04-23",2001-04-23,32.76,8.20384056402853,51.2,2024-04-23,14.8,260.9,1998-09-17,NA,4,"Daily record reached in 2024","4022359","ELBOW+CS",1994,2026
"BUI","04-24",2001-04-24,31.9,10.0574350606902,55.7,2024-04-24,13.1,260.9,1998-09-17,NA,4,"Daily record reached in 2024","4022359","ELBOW+CS",1994,2026
"BUI","04-25",2001-04-25,29.2,8.64175908018732,59.4,2024-04-25,NA,260.9,1998-09-17,NA,4,"Daily record reached in 2024","4022359","ELBOW+CS",1994,2026
"BUI","04-26",2001-04-26,30.8333333333333,8.75046665422289,62.5,2024-04-26,NA,260.9,1998-09-17,NA,4,"Daily record reached in 2024","4022359","ELBOW+CS",1994,2026
