"variable","MD","PLOT_DATE","clim_mean","clim_sd","clim_max","clim_max_date","value","rec_all_val","rec_all_date","value_record","MONTH","hover_histmax","AES","NAME","por_start","por_end"
"BUI","04-01",2001-04-01,14.1,NA,14.1,2012-04-01,NA,224.3,2003-09-13,NA,4,"Daily record reached in 2012","4013480","INDIAN+HEAD+CDA",1970,2026
"BUI","04-02",2001-04-02,NA,NA,NA,NA,NA,224.3,2003-09-13,NA,4,"Daily record reached in NA","4013480","INDIAN+HEAD+CDA",1970,2026
"BUI","04-03",2001-04-03,NA,NA,NA,NA,NA,224.3,2003-09-13,NA,4,"Daily record reached in NA","4013480","INDIAN+HEAD+CDA",1970,2026
"BUI","04-04",2001-04-04,22.6,NA,22.6,2012-04-04,NA,224.3,2003-09-13,NA,4,"Daily record reached in 2012","4013480","INDIAN+HEAD+CDA",1970,2026
"BUI","04-05",2001-04-05,26.1,NA,26.1,2012-04-05,NA,224.3,2003-09-13,NA,4,"Daily record reached in 2012","4013480","INDIAN+HEAD+CDA",1970,2026
"BUI","04-06",2001-04-06,NA,NA,NA,NA,NA,224.3,2003-09-13,NA,4,"Daily record reached in NA","4013480","INDIAN+HEAD+CDA",1970,2026
"BUI","04-07",2001-04-07,NA,NA,NA,NA,NA,224.3,2003-09-13,NA,4,"Daily record reached in NA","4013480","INDIAN+HEAD+CDA",1970,2026
"BUI","04-08",2001-04-08,NA,NA,NA,NA,NA,224.3,2003-09-13,NA,4,"Daily record reached in NA","4013480","INDIAN+HEAD+CDA",1970,2026
"BUI","04-09",2001-04-09,NA,NA,NA,NA,NA,224.3,2003-09-13,NA,4,"Daily record reached in NA","4013480","INDIAN+HEAD+CDA",1970,2026
"BUI","04-10",2001-04-10,NA,NA,NA,NA,NA,224.3,2003-09-13,NA,4,"Daily record reached in NA","4013480","INDIAN+HEAD+CDA",1970,2026
"BUI","04-11",2001-04-11,NA,NA,NA,NA,NA,224.3,2003-09-13,NA,4,"Daily record reached in NA","4013480","INDIAN+HEAD+CDA",1970,2026
"BUI","04-12",2001-04-12,NA,NA,NA,NA,NA,224.3,2003-09-13,NA,4,"Daily record reached in NA","4013480","INDIAN+HEAD+CDA",1970,2026
"BUI","04-13",2001-04-13,NA,NA,12.1,2025-04-13,NA,224.3,2003-09-13,NA,4,"Daily record reached in 2025","4013480","INDIAN+HEAD+CDA",1970,2026
"BUI","04-14",2001-04-14,15.1,NA,36.5,2024-04-14,NA,224.3,2003-09-13,NA,4,"Daily record reached in 2024","4013480","INDIAN+HEAD+CDA",1970,2026
"BUI","04-15",2001-04-15,10.6,6.14410286372225,40,2024-04-15,NA,224.3,2003-09-13,NA,4,"Daily record reached in 2024","4013480","INDIAN+HEAD+CDA",1970,2026
"BUI","04-16",2001-04-16,13.325,6.35734483360257,40.9,2024-04-16,NA,224.3,2003-09-13,NA,4,"Daily record reached in 2024","4013480","INDIAN+HEAD+CDA",1970,2026
"BUI","04-17",2001-04-17,10.625,8.44723820744587,41.1,2024-04-17,NA,224.3,2003-09-13,NA,4,"Daily record reached in 2024","4013480","INDIAN+HEAD+CDA",1970,2026
