"variable","MD","PLOT_DATE","clim_mean","clim_sd","clim_max","clim_max_date","value","rec_all_val","rec_all_date","value_record","MONTH","hover_histmax","AES","NAME","por_start","por_end"
"BUI","04-01",2001-04-01,NA,NA,NA,NA,NA,154.1,2025-07-17,NA,4,"Daily record reached in NA","4064149","LA+RONGE+RCS",1999,2026
"BUI","04-02",2001-04-02,NA,NA,NA,NA,NA,154.1,2025-07-17,NA,4,"Daily record reached in NA","4064149","LA+RONGE+RCS",1999,2026
"BUI","04-03",2001-04-03,NA,NA,NA,NA,NA,154.1,2025-07-17,NA,4,"Daily record reached in NA","4064149","LA+RONGE+RCS",1999,2026
"BUI","04-04",2001-04-04,NA,NA,NA,NA,NA,154.1,2025-07-17,NA,4,"Daily record reached in NA","4064149","LA+RONGE+RCS",1999,2026
"BUI","04-05",2001-04-05,NA,NA,NA,NA,NA,154.1,2025-07-17,NA,4,"Daily record reached in NA","4064149","LA+RONGE+RCS",1999,2026
"BUI","04-06",2001-04-06,NA,NA,NA,NA,NA,154.1,2025-07-17,NA,4,"Daily record reached in NA","4064149","LA+RONGE+RCS",1999,2026
"BUI","04-07",2001-04-07,NA,NA,NA,NA,NA,154.1,2025-07-17,NA,4,"Daily record reached in NA","4064149","LA+RONGE+RCS",1999,2026
"BUI","04-08",2001-04-08,NA,NA,NA,NA,NA,154.1,2025-07-17,NA,4,"Daily record reached in NA","4064149","LA+RONGE+RCS",1999,2026
"BUI","04-09",2001-04-09,NA,NA,NA,NA,NA,154.1,2025-07-17,NA,4,"Daily record reached in NA","4064149","LA+RONGE+RCS",1999,2026
"BUI","04-10",2001-04-10,NA,NA,NA,NA,NA,154.1,2025-07-17,NA,4,"Daily record reached in NA","4064149","LA+RONGE+RCS",1999,2026
"BUI","04-11",2001-04-11,NA,NA,NA,NA,NA,154.1,2025-07-17,NA,4,"Daily record reached in NA","4064149","LA+RONGE+RCS",1999,2026
"BUI","04-12",2001-04-12,NA,NA,NA,NA,NA,154.1,2025-07-17,NA,4,"Daily record reached in NA","4064149","LA+RONGE+RCS",1999,2026
"BUI","04-13",2001-04-13,NA,NA,NA,NA,NA,154.1,2025-07-17,NA,4,"Daily record reached in NA","4064149","LA+RONGE+RCS",1999,2026
"BUI","04-14",2001-04-14,10.4,NA,20.3,2024-04-14,NA,154.1,2025-07-17,NA,4,"Daily record reached in 2024","4064149","LA+RONGE+RCS",1999,2026
"BUI","04-15",2001-04-15,11.4,NA,24.2,2024-04-15,NA,154.1,2025-07-17,NA,4,"Daily record reached in 2024","4064149","LA+RONGE+RCS",1999,2026
"BUI","04-16",2001-04-16,13.4,NA,13.4,2015-04-16,NA,154.1,2025-07-17,NA,4,"Daily record reached in 2015","4064149","LA+RONGE+RCS",1999,2026
"BUI","04-17",2001-04-17,NA,NA,NA,NA,NA,154.1,2025-07-17,NA,4,"Daily record reached in NA","4064149","LA+RONGE+RCS",1999,2026
"BUI","04-18",2001-04-18,7.9,NA,7.9,2010-04-18,NA,154.1,2025-07-17,NA,4,"Daily record reached in 2010","4064149","LA+RONGE+RCS",1999,2026
"BUI","04-19",2001-04-19,NA,NA,NA,NA,NA,154.1,2025-07-17,NA,4,"Daily record reached in NA","4064149","LA+RONGE+RCS",1999,2026
"BUI","04-20",2001-04-20,8.93333333333333,1.13724814061547,10.2,2010-04-20,NA,154.1,2025-07-17,NA,4,"Daily record reached in 2010","4064149","LA+RONGE+RCS",1999,2026
"BUI","04-21",2001-04-21,9.63333333333333,3.40342964277702,12.3,2010-04-21,NA,154.1,2025-07-17,NA,4,"Daily record reached in 2010","4064149","LA+RONGE+RCS",1999,2026
"BUI","04-22",2001-04-22,9.35,3.7476659402887,12,2006-04-22,NA,154.1,2025-07-17,NA,4,"Daily record reached in 2006","4064149","LA+RONGE+RCS",1999,2026
"BUI","04-23",2001-04-23,10.85,5.02045814642449,14.4,2010-04-23,NA,154.1,2025-07-17,NA,4,"Daily record reached in 2010","4064149","LA+RONGE+RCS",1999,2026
"BUI","04-24",2001-04-24,9.2,NA,27.8,2023-04-24,NA,154.1,2025-07-17,NA,4,"Daily record reached in 2023","4064149","LA+RONGE+RCS",1999,2026
"BUI","04-25",2001-04-25,12.3,1.55563491861041,28.8,2023-04-25,NA,154.1,2025-07-17,NA,4,"Daily record reached in 2023","4064149","LA+RONGE+RCS",1999,2026
"BUI","04-26",2001-04-26,14.15,0.636396103067893,29.3,2025-04-26,NA,154.1,2025-07-17,NA,4,"Daily record reached in 2025","4064149","LA+RONGE+RCS",1999,2026
"BUI","04-27",2001-04-27,13.4,4.76340214552582,29.7,2025-04-27,NA,154.1,2025-07-17,NA,4,"Daily record reached in 2025","4064149","LA+RONGE+RCS",1999,2026
"BUI","04-28",2001-04-28,15.5,4.16773319683494,30.1,2025-04-28,NA,154.1,2025-07-17,NA,4,"Daily record reached in 2025","4064149","LA+RONGE+RCS",1999,2026
"BUI","04-29",2001-04-29,17.2,4.58475735453906,33.3,2025-04-29,NA,154.1,2025-07-17,NA,4,"Daily record reached in 2025","4064149","LA+RONGE+RCS",1999,2026
"BUI","04-30",2001-04-30,20.425,3.66912796179147,36.2,2025-04-30,NA,154.1,2025-07-17,NA,4,"Daily record reached in 2025","4064149","LA+RONGE+RCS",1999,2026
"BUI","05-01",2001-05-01,22.675,2.65377090194312,30.7,2025-05-01,NA,154.1,2025-07-17,NA,5,"Daily record reached in 2025","4064149","LA+RONGE+RCS",1999,2026
"BUI","05-02",2001-05-02,17.5333333333333,7.16454232080924,31.1,2025-05-02,NA,154.1,2025-07-17,NA,5,"Daily record reached in 2025","4064149","LA+RONGE+RCS",1999,2026
"BUI","05-03",2001-05-03,17.1142857142857,8.56220932770442,35.6,2025-05-03,NA,154.1,2025-07-17,NA,5,"Daily record reached in 2025","4064149","LA+RONGE+RCS",1999,2026
"BUI","05-04",2001-05-04,20.2428571428571,9.17657473186612,39.4,2025-05-04,NA,154.1,2025-07-17,NA,5,"Daily record reached in 2025","4064149","LA+RONGE+RCS",1999,2026
"BUI","05-05",2001-05-05,19.8,9.84186070934873,41.5,2025-05-05,NA,154.1,2025-07-17,NA,5,"Daily record reached in 2025","4064149","LA+RONGE+RCS",1999,2026
"BUI","05-06",2001-05-06,19.78,10.8376709265004,43.9,2025-05-06,NA,154.1,2025-07-17,NA,5,"Daily record reached in 2025","4064149","LA+RONGE+RCS",1999,2026
"BUI","05-07",2001-05-07,20.2636363636364,10.5251387380189,48.8,2025-05-07,NA,154.1,2025-07-17,NA,5,"Daily record reached in 2025","4064149","LA+RONGE+RCS",1999,2026
"BUI","05-08",2001-05-08,22.1333333333333,13.1314507957042,51.2,2025-05-08,NA,154.1,2025-07-17,NA,5,"Daily record reached in 2025","4064149","LA+RONGE+RCS",1999,2026
"BUI","05-09",2001-05-09,21.4888888888889,12.4203909403493,53.7,2025-05-09,NA,154.1,2025-07-17,NA,5,"Daily record reached in 2025","4064149","LA+RONGE+RCS",1999,2026
"BUI","05-10",2001-05-10,19.03,13.6522729080383,57,2025-05-10,NA,154.1,2025-07-17,NA,5,"Daily record reached in 2025","4064149","LA+RONGE+RCS",1999,2026
"BUI","05-11",2001-05-11,20.74,14.1034432360013,58.9,2023-05-11,NA,154.1,2025-07-17,NA,5,"Daily record reached in 2023","4064149","LA+RONGE+RCS",1999,2026
"BUI","05-12",2001-05-12,21.8333333333333,13.6481989043732,63.7,2023-05-12,NA,154.1,2025-07-17,NA,5,"Daily record reached in 2023","4064149","LA+RONGE+RCS",1999,2026
"BUI","05-13",2001-05-13,23.5384615384615,13.8178953089546,68.1,2023-05-13,NA,154.1,2025-07-17,NA,5,"Daily record reached in 2023","4064149","LA+RONGE+RCS",1999,2026
"BUI","05-14",2001-05-14,24.0928571428571,15.0657770248546,73.4,2023-05-14,NA,154.1,2025-07-17,NA,5,"Daily record reached in 2023","4064149","LA+RONGE+RCS",1999,2026
"BUI","05-15",2001-05-15,27.8307692307692,14.2540862337427,77.8,2023-05-15,NA,154.1,2025-07-17,NA,5,"Daily record reached in 2023","4064149","LA+RONGE+RCS",1999,2026
"BUI","05-16",2001-05-16,28.7538461538462,12.8947415241392,81.1,2023-05-16,NA,154.1,2025-07-17,NA,5,"Daily record reached in 2023","4064149","LA+RONGE+RCS",1999,2026
"BUI","05-17",2001-05-17,27.75,14.9199273044218,82.2,2023-05-17,NA,154.1,2025-07-17,NA,5,"Daily record reached in 2023","4064149","LA+RONGE+RCS",1999,2026
"BUI","05-18",2001-05-18,29.9714285714286,15.4744170299751,84.9,2023-05-18,NA,154.1,2025-07-17,NA,5,"Daily record reached in 2023","4064149","LA+RONGE+RCS",1999,2026
"BUI","05-19",2001-05-19,29.98,16.3584054409783,89.5,2023-05-19,NA,154.1,2025-07-17,NA,5,"Daily record reached in 2023","4064149","LA+RONGE+RCS",1999,2026
"BUI","05-20",2001-05-20,31.11875,16.0886800266523,91.4,2023-05-20,NA,154.1,2025-07-17,NA,5,"Daily record reached in 2023","4064149","LA+RONGE+RCS",1999,2026
"BUI","05-21",2001-05-21,31.36875,17.6655868380683,93.3,2023-05-21,NA,154.1,2025-07-17,NA,5,"Daily record reached in 2023","4064149","LA+RONGE+RCS",1999,2026
"BUI","05-22",2001-05-22,33.2,17.9994444358708,96.2,2023-05-22,14.7,154.1,2025-07-17,NA,5,"Daily record reached in 2023","4064149","LA+RONGE+RCS",1999,2026
"BUI","05-23",2001-05-23,29.4055555555556,15.169763743254,98,2023-05-23,17.9,154.1,2025-07-17,NA,5,"Daily record reached in 2023","4064149","LA+RONGE+RCS",1999,2026
"BUI","05-24",2001-05-24,31.2294117647059,16.6151574137097,81.4,2025-05-24,19.5,154.1,2025-07-17,NA,5,"Daily record reached in 2025","4064149","LA+RONGE+RCS",1999,2026
"BUI","05-25",2001-05-25,27.4526315789474,17.0600041820059,86.9,2025-05-25,24.4,154.1,2025-07-17,NA,5,"Daily record reached in 2025","4064149","LA+RONGE+RCS",1999,2026
"BUI","05-26",2001-05-26,29.4,17.5026384565635,92.3,2025-05-26,27.6,154.1,2025-07-17,NA,5,"Daily record reached in 2025","4064149","LA+RONGE+RCS",1999,2026
"BUI","05-27",2001-05-27,28.4611111111111,17.9148685828244,97.4,2025-05-27,31.7,154.1,2025-07-17,NA,5,"Daily record reached in 2025","4064149","LA+RONGE+RCS",1999,2026
"BUI","05-28",2001-05-28,27.3210526315789,18.6915779890115,102.7,2025-05-28,35.8,154.1,2025-07-17,NA,5,"Daily record reached in 2025","4064149","LA+RONGE+RCS",1999,2026
"BUI","05-29",2001-05-29,28.0052631578947,19.2700825600552,107.4,2025-05-29,40.8,154.1,2025-07-17,NA,5,"Daily record reached in 2025","4064149","LA+RONGE+RCS",1999,2026
"BUI","05-30",2001-05-30,28.4315789473684,21.029953575042,111.1,2025-05-30,44.8,154.1,2025-07-17,NA,5,"Daily record reached in 2025","4064149","LA+RONGE+RCS",1999,2026
"BUI","05-31",2001-05-31,30.6789473684211,19.9532391953278,115.1,2025-05-31,47.2,154.1,2025-07-17,NA,5,"Daily record reached in 2025","4064149","LA+RONGE+RCS",1999,2026
"BUI","06-01",2001-06-01,31.7789473684211,19.9218913355626,116.8,2025-06-01,51.2,154.1,2025-07-17,NA,6,"Daily record reached in 2025","4064149","LA+RONGE+RCS",1999,2026
"BUI","06-02",2001-06-02,33.82,20.0805640516291,120.2,2025-06-02,52.9,154.1,2025-07-17,NA,6,"Daily record reached in 2025","4064149","LA+RONGE+RCS",1999,2026
"BUI","06-03",2001-06-03,33.845,21.3182520020065,122.6,2025-06-03,54.3,154.1,2025-07-17,NA,6,"Daily record reached in 2025","4064149","LA+RONGE+RCS",1999,2026
"BUI","06-04",2001-06-04,35.75,22.4418429677572,124.7,2025-06-04,56.4,154.1,2025-07-17,NA,6,"Daily record reached in 2025","4064149","LA+RONGE+RCS",1999,2026
"BUI","06-05",2001-06-05,38.1368421052632,24.1489868783654,128.1,2025-06-05,58.9,154.1,2025-07-17,NA,6,"Daily record reached in 2025","4064149","LA+RONGE+RCS",1999,2026
"BUI","06-06",2001-06-06,37.5894736842105,25.050635271094,130.8,2025-06-06,54,154.1,2025-07-17,NA,6,"Daily record reached in 2025","4064149","LA+RONGE+RCS",1999,2026
"BUI","06-07",2001-06-07,36.1473684210526,21.956759739215,131.4,2025-06-07,58,154.1,2025-07-17,NA,6,"Daily record reached in 2025","4064149","LA+RONGE+RCS",1999,2026
"BUI","06-08",2001-06-08,35.9263157894737,22.9820664892642,81.5,2008-06-08,41.5,154.1,2025-07-17,NA,6,"Daily record reached in 2008","4064149","LA+RONGE+RCS",1999,2026
"BUI","06-09",2001-06-09,34.85,21.9834228989241,84.5,2008-06-09,31.7,154.1,2025-07-17,NA,6,"Daily record reached in 2008","4064149","LA+RONGE+RCS",1999,2026
"BUI","06-10",2001-06-10,34.3736842105263,22.3226552110746,88.1,2008-06-10,34.7,154.1,2025-07-17,NA,6,"Daily record reached in 2008","4064149","LA+RONGE+RCS",1999,2026
"BUI","06-11",2001-06-11,32.97,21.1733471982808,91.3,2008-06-11,36.4,154.1,2025-07-17,NA,6,"Daily record reached in 2008","4064149","LA+RONGE+RCS",1999,2026
"BUI","06-12",2001-06-12,30.51,20.5403044101873,95,2008-06-12,37.9,154.1,2025-07-17,NA,6,"Daily record reached in 2008","4064149","LA+RONGE+RCS",1999,2026
"BUI","06-13",2001-06-13,31.31,21.7146542806077,97.3,2008-06-13,42.6,154.1,2025-07-17,NA,6,"Daily record reached in 2008","4064149","LA+RONGE+RCS",1999,2026
"BUI","06-14",2001-06-14,33.15,22.566638161116,98.5,2008-06-14,47.9,154.1,2025-07-17,NA,6,"Daily record reached in 2008","4064149","LA+RONGE+RCS",1999,2026
