"MD","variable","PLOT_DATE","clim_mean","clim_min","clim_max","clim_sd","q10","q25","q75","q90","value","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","MONTH","clim_max_date","hover_value","hover_band","hover_histmax","hover_mean","AES","NAME","por_start","por_end"
"04-01","TMAX",2001-04-01,7.01481481481482,-9.7,19.3,7.35232583314254,-2.84,3.15,12.5,16.54,6.8,"NA (ECCC AES NA; station_id 10795)","",10795,"",4,2017-04-01,"DATE: Apr-01<br>Value: 6.8 °C<br>Anomaly: -0.2 °C<br>Weather station: NA (ECCC AES NA; station_id 10795)","DATE: Apr-01<br><b>Maximum temperature</b><br>10-90 percentile<br>-2.8 to 16.5 °C","Historical daily maximum<br>19.3 °C<br>2017-04-01","DATE: Apr-01</b><br>Normal: 7.0 °C<br>Period: 1991-2020","402DAF0","LEADER+AIRPORT",1994,2026
"04-01","TMIN",2001-04-01,-5.4962962962963,-21.1,2.2,5.78050313763573,-14.3,-7.1,-1.3,1.0547118733939e-15,-6.7,"NA (ECCC AES NA; station_id 10795)","",10795,"",4,2017-04-01,"DATE: Apr-01<br>Value: -6.7 °C<br>Anomaly: -1.2 °C<br>Weather station: NA (ECCC AES NA; station_id 10795)","DATE: Apr-01<br><b>Minimum temperature</b><br>10-90 percentile<br>-14.3 to 0.0 °C","Historical daily maximum<br>2.2 °C<br>2017-04-01","DATE: Apr-01</b><br>Normal: -5.5 °C<br>Period: 1991-2020","402DAF0","LEADER+AIRPORT",1994,2026
"04-01","VPD",2001-04-01,0.672523747155362,0.0874226204965584,1.5230526803441,0.415638879255751,0.242960808959131,0.374243933536892,0.940483328326281,1.36247849390741,0.61837015269223,"NA (ECCC AES NA; station_id 10795)","",10795,"",4,2021-04-01,"DATE: Apr-01<br>Value: 0.6 kPa<br>Anomaly: -0.1 kPa<br>Weather station: NA (ECCC AES NA; station_id 10795)","DATE: Apr-01<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 1.4 kPa","Historical daily maximum<br>1.5 kPa<br>2021-04-01","DATE: Apr-01</b><br>Normal: 0.7 kPa<br>Period: 1991-2020","402DAF0","LEADER+AIRPORT",1994,2026
"04-02","TMAX",2001-04-02,7.37407407407407,-7.2,23.5,7.15362159988226,-5.1,5.1,12.2,13.08,0.6,"NA (ECCC AES NA; station_id 10795)","",10795,"",4,2016-04-02,"DATE: Apr-02<br>Value: 0.6 °C<br>Anomaly: -6.8 °C<br>Weather station: NA (ECCC AES NA; station_id 10795)","DATE: Apr-02<br><b>Maximum temperature</b><br>10-90 percentile<br>-5.1 to 13.1 °C","Historical daily maximum<br>23.5 °C<br>2016-04-02","DATE: Apr-02</b><br>Normal: 7.4 °C<br>Period: 1991-2020","402DAF0","LEADER+AIRPORT",1994,2026
"04-02","TMIN",2001-04-02,-6.32592592592593,-19,-0.5,4.73892170407772,-11.68,-7.75,-3.6,-1.04,-1.4,"NA (ECCC AES NA; station_id 10795)","",10795,"",4,2021-04-02,"DATE: Apr-02<br>Value: -1.4 °C<br>Anomaly: +4.9 °C<br>Weather station: NA (ECCC AES NA; station_id 10795)","DATE: Apr-02<br><b>Minimum temperature</b><br>10-90 percentile<br>-11.7 to -1.0 °C","Historical daily maximum<br>-0.5 °C<br>2021-04-02","DATE: Apr-02</b><br>Normal: -6.3 °C<br>Period: 1991-2020","402DAF0","LEADER+AIRPORT",1994,2026
"04-02","VPD",2001-04-02,0.729401749623478,0.0819237346493346,2.43090637459749,0.464544496569987,0.226921835628583,0.506386644560046,0.93763511846456,1.08335179610674,0.0866931414802494,"NA (ECCC AES NA; station_id 10795)","",10795,"",4,2016-04-02,"DATE: Apr-02<br>Value: 0.1 kPa<br>Anomaly: -0.6 kPa<br>Weather station: NA (ECCC AES NA; station_id 10795)","DATE: Apr-02<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 1.1 kPa","Historical daily maximum<br>2.4 kPa<br>2016-04-02","DATE: Apr-02</b><br>Normal: 0.7 kPa<br>Period: 1991-2020","402DAF0","LEADER+AIRPORT",1994,2026
"04-03","TMAX",2001-04-03,7.37407407407407,-6.9,19.8,7.44852037927371,-2.52,2.25,13.7,16.06,4.3,"NA (ECCC AES NA; station_id 10795)","",10795,"",4,1998-04-03,"DATE: Apr-03<br>Value: 4.3 °C<br>Anomaly: -3.1 °C<br>Weather station: NA (ECCC AES NA; station_id 10795)","DATE: Apr-03<br><b>Maximum temperature</b><br>10-90 percentile<br>-2.5 to 16.1 °C","Historical daily maximum<br>19.8 °C<br>1998-04-03","DATE: Apr-03</b><br>Normal: 7.4 °C<br>Period: 1991-2020","402DAF0","LEADER+AIRPORT",1994,2026
"04-03","TMIN",2001-04-03,-5.83703703703704,-16.9,0.1,4.81928403141987,-13.72,-8.45,-2.7,-1.08,-1.7,"NA (ECCC AES NA; station_id 10795)","",10795,"",4,2024-04-03,"DATE: Apr-03<br>Value: -1.7 °C<br>Anomaly: +4.1 °C<br>Weather station: NA (ECCC AES NA; station_id 10795)","DATE: Apr-03<br><b>Minimum temperature</b><br>10-90 percentile<br>-13.7 to -1.1 °C","Historical daily maximum<br>0.1 °C<br>2024-04-03","DATE: Apr-03</b><br>Normal: -5.8 °C<br>Period: 1991-2020","402DAF0","LEADER+AIRPORT",1994,2026
"04-03","VPD",2001-04-03,0.7254169948526,0.0573841310713491,1.75818942588298,0.482393477289669,0.224696802866836,0.34008486699504,1.08206267897652,1.39406956815757,0.291356781256527,"NA (ECCC AES NA; station_id 10795)","",10795,"",4,1998-04-03,"DATE: Apr-03<br>Value: 0.3 kPa<br>Anomaly: -0.4 kPa<br>Weather station: NA (ECCC AES NA; station_id 10795)","DATE: Apr-03<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 1.4 kPa","Historical daily maximum<br>1.8 kPa<br>1998-04-03","DATE: Apr-03</b><br>Normal: 0.7 kPa<br>Period: 1991-2020","402DAF0","LEADER+AIRPORT",1994,2026
"04-04","TMAX",2001-04-04,8.27037037037037,-4.4,21.5,7.56026122945166,-1.68,2.6,14.5,17.68,11.6,"NA (ECCC AES NA; station_id 10795)","",10795,"",4,2012-04-04,"DATE: Apr-04<br>Value: 11.6 °C<br>Anomaly: +3.3 °C<br>Weather station: NA (ECCC AES NA; station_id 10795)","DATE: Apr-04<br><b>Maximum temperature</b><br>10-90 percentile<br>-1.7 to 17.7 °C","Historical daily maximum<br>21.5 °C<br>2012-04-04","DATE: Apr-04</b><br>Normal: 8.3 °C<br>Period: 1991-2020","402DAF0","LEADER+AIRPORT",1994,2026
