"MD","variable","PLOT_DATE","clim_mean","clim_min","clim_max","clim_sd","q10","q25","q75","q90","value","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","MONTH","clim_max_date","hover_value","hover_band","hover_histmax","hover_mean","AES","NAME","por_start","por_end"
"04-01","TMAX",2001-04-01,6.84545454545455,-9.4,17.8,7.3075125904606,-2.27,2.95,13.5,16.31,4.1,"NA (ECCC AES NA; station_id 27476)",NA,27476,"",4,2021-04-01,"DATE: Apr-01<br>Value: 4.1 °C<br>Anomaly: -2.7 °C<br>Weather station: NA (ECCC AES NA; station_id 27476)","DATE: Apr-01<br><b>Maximum temperature</b><br>10-90 percentile<br>-2.3 to 16.3 °C","Historical daily maximum<br>17.8 °C<br>2021-04-01","DATE: Apr-01</b><br>Normal: 6.8 °C<br>Period: 1991-2020","4015322","MOOSE+JAW+CS",1998,2026
"04-01","TMIN",2001-04-01,-6.36363636363636,-16.3,1.4,5.48170510964343,-14.72,-11.075,-1.55,-0.749999999999999,-5.9,"NA (ECCC AES NA; station_id 27476)",NA,27476,"",4,2015-04-01,"DATE: Apr-01<br>Value: -5.9 °C<br>Anomaly: +0.5 °C<br>Weather station: NA (ECCC AES NA; station_id 27476)","DATE: Apr-01<br><b>Minimum temperature</b><br>10-90 percentile<br>-14.7 to -0.7 °C","Historical daily maximum<br>1.4 °C<br>2015-04-01","DATE: Apr-01</b><br>Normal: -6.4 °C<br>Period: 1991-2020","4015322","MOOSE+JAW+CS",1998,2026
"04-01","VPD",2001-04-01,0.687847792401737,0.107552738447242,1.49092426324589,0.416186629746556,0.295244341534319,0.400319191487217,1.10017534482753,1.28913407545925,0.425756407341307,"NA (ECCC AES NA; station_id 27476)",NA,27476,"",4,2021-04-01,"DATE: Apr-01<br>Value: 0.4 kPa<br>Anomaly: -0.3 kPa<br>Weather station: NA (ECCC AES NA; station_id 27476)","DATE: Apr-01<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.3 to 1.3 kPa","Historical daily maximum<br>1.5 kPa<br>2021-04-01","DATE: Apr-01</b><br>Normal: 0.7 kPa<br>Period: 1991-2020","4015322","MOOSE+JAW+CS",1998,2026
"04-02","TMAX",2001-04-02,5.05454545454545,-10.7,24.5,8.07858587771089,-6.29,1.9,10.325,13.09,1,"NA (ECCC AES NA; station_id 27476)",NA,27476,"",4,2016-04-02,"DATE: Apr-02<br>Value: 1.0 °C<br>Anomaly: -4.1 °C<br>Weather station: NA (ECCC AES NA; station_id 27476)","DATE: Apr-02<br><b>Maximum temperature</b><br>10-90 percentile<br>-6.3 to 13.1 °C","Historical daily maximum<br>24.5 °C<br>2016-04-02","DATE: Apr-02</b><br>Normal: 5.1 °C<br>Period: 1991-2020","4015322","MOOSE+JAW+CS",1998,2026
"04-02","TMIN",2001-04-02,-7.24090909090909,-20.2,3.9,5.66153765844657,-16.01,-9,-4.4,-1.89,-1.5,"NA (ECCC AES NA; station_id 27476)",NA,27476,"",4,2005-04-02,"DATE: Apr-02<br>Value: -1.5 °C<br>Anomaly: +5.7 °C<br>Weather station: NA (ECCC AES NA; station_id 27476)","DATE: Apr-02<br><b>Minimum temperature</b><br>10-90 percentile<br>-16.0 to -1.9 °C","Historical daily maximum<br>3.9 °C<br>2005-04-02","DATE: Apr-02</b><br>Normal: -7.2 °C<br>Period: 1991-2020","4015322","MOOSE+JAW+CS",1998,2026
"04-02","VPD",2001-04-02,0.617874233524933,0.0687846517418657,2.6873812447712,0.555136825922285,0.212658152505748,0.281694474454622,0.688931787299498,1.12904254845886,0.109457092068793,"NA (ECCC AES NA; station_id 27476)",NA,27476,"",4,2016-04-02,"DATE: Apr-02<br>Value: 0.1 kPa<br>Anomaly: -0.5 kPa<br>Weather station: NA (ECCC AES NA; station_id 27476)","DATE: Apr-02<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 1.1 kPa","Historical daily maximum<br>2.7 kPa<br>2016-04-02","DATE: Apr-02</b><br>Normal: 0.6 kPa<br>Period: 1991-2020","4015322","MOOSE+JAW+CS",1998,2026
"04-03","TMAX",2001-04-03,5.72727272727273,-7.5,18.4,7.90431960375265,-2.93,-0.2,13.125,15.44,5.3,"NA (ECCC AES NA; station_id 27476)",NA,27476,"",4,2024-04-03,"DATE: Apr-03<br>Value: 5.3 °C<br>Anomaly: -0.4 °C<br>Weather station: NA (ECCC AES NA; station_id 27476)","DATE: Apr-03<br><b>Maximum temperature</b><br>10-90 percentile<br>-2.9 to 15.4 °C","Historical daily maximum<br>18.4 °C<br>2024-04-03","DATE: Apr-03</b><br>Normal: 5.7 °C<br>Period: 1991-2020","4015322","MOOSE+JAW+CS",1998,2026
"04-03","TMIN",2001-04-03,-7.50909090909091,-23.6,-2.1,5.53369841803998,-11.89,-9.675,-3.825,-2.41,-3.3,"NA (ECCC AES NA; station_id 27476)",NA,27476,"",4,2024-04-03,"DATE: Apr-03<br>Value: -3.3 °C<br>Anomaly: +4.2 °C<br>Weather station: NA (ECCC AES NA; station_id 27476)","DATE: Apr-03<br><b>Minimum temperature</b><br>10-90 percentile<br>-11.9 to -2.4 °C","Historical daily maximum<br>-2.1 °C<br>2024-04-03","DATE: Apr-03</b><br>Normal: -7.5 °C<br>Period: 1991-2020","4015322","MOOSE+JAW+CS",1998,2026
"04-03","VPD",2001-04-03,0.664446018005664,0.102199070231042,1.81211352223531,0.509290131531778,0.198748093440258,0.251103650842895,1.10642500171896,1.31142788963032,0.411978837610409,"NA (ECCC AES NA; station_id 27476)",NA,27476,"",4,2024-04-03,"DATE: Apr-03<br>Value: 0.4 kPa<br>Anomaly: -0.3 kPa<br>Weather station: NA (ECCC AES NA; station_id 27476)","DATE: Apr-03<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 1.3 kPa","Historical daily maximum<br>1.8 kPa<br>2024-04-03","DATE: Apr-03</b><br>Normal: 0.7 kPa<br>Period: 1991-2020","4015322","MOOSE+JAW+CS",1998,2026
"04-04","TMAX",2001-04-04,7.80454545454545,-5,23.2,8.69249688895556,-0.99,-0.525,13.6,18.77,12.3,"NA (ECCC AES NA; station_id 27476)",NA,27476,"",4,2004-04-04,"DATE: Apr-04<br>Value: 12.3 °C<br>Anomaly: +4.5 °C<br>Weather station: NA (ECCC AES NA; station_id 27476)","DATE: Apr-04<br><b>Maximum temperature</b><br>10-90 percentile<br>-1.0 to 18.8 °C","Historical daily maximum<br>23.2 °C<br>2004-04-04","DATE: Apr-04</b><br>Normal: 7.8 °C<br>Period: 1991-2020","4015322","MOOSE+JAW+CS",1998,2026
