"MD","variable","PLOT_DATE","clim_mean","clim_min","clim_max","clim_sd","q10","q25","q75","q90","value","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","MONTH","clim_max_date","hover_value","hover_band","hover_histmax","hover_mean","AES","NAME","por_start","por_end"
"04-01","TMAX",2001-04-01,3.09583333333333,-10.4,14.5,6.11060938871478,-5.78,-1.125,6.475,9.47,-0.5,"NA (ECCC AES NA; station_id 48608)","",48608,"",4,1998-04-01,"DATE: Apr-01<br>Value: -0.5 °C<br>Anomaly: -3.6 °C<br>Weather station: NA (ECCC AES NA; station_id 48608)","DATE: Apr-01<br><b>Maximum temperature</b><br>10-90 percentile<br>-5.8 to 9.5 °C","Historical daily maximum<br>14.5 °C<br>1998-04-01","DATE: Apr-01</b><br>Normal: 3.1 °C<br>Period: 1991-2020","407N51G","NIPAWIN",1996,2026
"04-01","TMIN",2001-04-01,-8.44583333333333,-26.7,1,7.50286780919928,-19.2,-12.975,-2.7,-0.48,-17.3,"NA (ECCC AES NA; station_id 48608)","",48608,"",4,2012-04-01,"DATE: Apr-01<br>Value: -17.3 °C<br>Anomaly: -8.9 °C<br>Weather station: NA (ECCC AES NA; station_id 48608)","DATE: Apr-01<br><b>Minimum temperature</b><br>10-90 percentile<br>-19.2 to -0.5 °C","Historical daily maximum<br>1.0 °C<br>2012-04-01","DATE: Apr-01</b><br>Normal: -8.4 °C<br>Period: 1991-2020","407N51G","NIPAWIN",1996,2026
"04-01","VPD",2001-04-01,0.454450073758198,0.126223883965721,1.05362681670833,0.194225855945267,0.247380221118165,0.317074602015977,0.581942294920225,0.602802781750519,0.431853757827852,"NA (ECCC AES NA; station_id 48608)","",48608,"",4,1998-04-01,"DATE: Apr-01<br>Value: 0.4 kPa<br>Anomaly: 0.0 kPa<br>Weather station: NA (ECCC AES NA; station_id 48608)","DATE: Apr-01<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 0.6 kPa","Historical daily maximum<br>1.1 kPa<br>1998-04-01","DATE: Apr-01</b><br>Normal: 0.5 kPa<br>Period: 1991-2020","407N51G","NIPAWIN",1996,2026
"04-02","TMAX",2001-04-02,2.35,-11.8,11.9,6.76017751246223,-5.71,-1.525,7.7,11.07,2.5,"NA (ECCC AES NA; station_id 10195)","",10195,"",4,2010-04-02,"DATE: Apr-02<br>Value: 2.5 °C<br>Anomaly: +0.1 °C<br>Weather station: NA (ECCC AES NA; station_id 10195)","DATE: Apr-02<br><b>Maximum temperature</b><br>10-90 percentile<br>-5.7 to 11.1 °C","Historical daily maximum<br>11.9 °C<br>2010-04-02","DATE: Apr-02</b><br>Normal: 2.4 °C<br>Period: 1991-2020","407N51G","NIPAWIN",1996,2026
"04-02","TMIN",2001-04-02,-8.50833333333333,-25.9,2.1,7.34313738579544,-17.83,-14.075,-2.825,-0.1,-12,"NA (ECCC AES NA; station_id 10195)","",10195,"",4,2017-04-02,"DATE: Apr-02<br>Value: -12.0 °C<br>Anomaly: -3.5 °C<br>Weather station: NA (ECCC AES NA; station_id 10195)","DATE: Apr-02<br><b>Minimum temperature</b><br>10-90 percentile<br>-17.8 to -0.1 °C","Historical daily maximum<br>2.1 °C<br>2017-04-02","DATE: Apr-02</b><br>Normal: -8.5 °C<br>Period: 1991-2020","407N51G","NIPAWIN",1996,2026
"04-02","VPD",2001-04-02,0.427394137321325,0.123869188730977,0.907358831982332,0.204444182456194,0.183564461101461,0.239686599201103,0.602660204784092,0.644070603054209,0.487839582206251,"NA (ECCC AES NA; station_id 10195)","",10195,"",4,2010-04-02,"DATE: Apr-02<br>Value: 0.5 kPa<br>Anomaly: +0.1 kPa<br>Weather station: NA (ECCC AES NA; station_id 10195)","DATE: Apr-02<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 0.6 kPa","Historical daily maximum<br>0.9 kPa<br>2010-04-02","DATE: Apr-02</b><br>Normal: 0.4 kPa<br>Period: 1991-2020","407N51G","NIPAWIN",1996,2026
"04-03","TMAX",2001-04-03,2.525,-9,15.4,6.72362803202583,-6.34,-1.8,7.6,11.62,1.8,"NA (ECCC AES NA; station_id 10195)","",10195,"",4,2012-04-03,"DATE: Apr-03<br>Value: 1.8 °C<br>Anomaly: -0.7 °C<br>Weather station: NA (ECCC AES NA; station_id 10195)","DATE: Apr-03<br><b>Maximum temperature</b><br>10-90 percentile<br>-6.3 to 11.6 °C","Historical daily maximum<br>15.4 °C<br>2012-04-03","DATE: Apr-03</b><br>Normal: 2.5 °C<br>Period: 1991-2020","407N51G","NIPAWIN",1996,2026
"04-03","TMIN",2001-04-03,-9.07916666666667,-25.5,-0.1,7.08721930916716,-18.28,-13.975,-3.825,-2.01,-12.2,"NA (ECCC AES NA; station_id 10195)","",10195,"",4,2024-04-03,"DATE: Apr-03<br>Value: -12.2 °C<br>Anomaly: -3.1 °C<br>Weather station: NA (ECCC AES NA; station_id 10195)","DATE: Apr-03<br><b>Minimum temperature</b><br>10-90 percentile<br>-18.3 to -2.0 °C","Historical daily maximum<br>-0.1 °C<br>2024-04-03","DATE: Apr-03</b><br>Normal: -9.1 °C<br>Period: 1991-2020","407N51G","NIPAWIN",1996,2026
"04-03","VPD",2001-04-03,0.461557567529162,0.156035315947775,1.33177313648462,0.283165148962746,0.182724285391729,0.264110457044599,0.589581596097944,0.826762783946723,0.456053754877452,"NA (ECCC AES NA; station_id 10195)","",10195,"",4,2012-04-03,"DATE: Apr-03<br>Value: 0.5 kPa<br>Anomaly: 0.0 kPa<br>Weather station: NA (ECCC AES NA; station_id 10195)","DATE: Apr-03<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 0.8 kPa","Historical daily maximum<br>1.3 kPa<br>2012-04-03","DATE: Apr-03</b><br>Normal: 0.5 kPa<br>Period: 1991-2020","407N51G","NIPAWIN",1996,2026
"04-04","TMAX",2001-04-04,2.675,-6.4,18.9,7.41967126893978,-5.3,-3.325,7.125,11.95,6.9,"NA (ECCC AES NA; station_id 10195)","",10195,"",4,2012-04-04,"DATE: Apr-04<br>Value: 6.9 °C<br>Anomaly: +4.2 °C<br>Weather station: NA (ECCC AES NA; station_id 10195)","DATE: Apr-04<br><b>Maximum temperature</b><br>10-90 percentile<br>-5.3 to 11.9 °C","Historical daily maximum<br>18.9 °C<br>2012-04-04","DATE: Apr-04</b><br>Normal: 2.7 °C<br>Period: 1991-2020","407N51G","NIPAWIN",1996,2026
