"variable","MD","PLOT_DATE","clim_mean","clim_sd","clim_max","clim_max_date","value","rec_all_val","rec_all_date","value_record","MONTH","hover_histmax","AES","NAME","por_start","por_end"
"BUI","04-01",2001-04-01,21.25,20.1525432638166,46.5,2021-04-01,NA,228.1,2021-08-09,NA,4,"Daily record reached in 2021","4055736","OUTLOOK+PFRA",1970,2026
"BUI","04-02",2001-04-02,37.6,NA,48.7,2021-04-02,NA,228.1,2021-08-09,NA,4,"Daily record reached in 2021","4055736","OUTLOOK+PFRA",1970,2026
"BUI","04-03",2001-04-03,39.5,NA,51.2,2021-04-03,NA,228.1,2021-08-09,NA,4,"Daily record reached in 2021","4055736","OUTLOOK+PFRA",1970,2026
"BUI","04-04",2001-04-04,27.3,19.2333044482741,55,2021-04-04,NA,228.1,2021-08-09,NA,4,"Daily record reached in 2021","4055736","OUTLOOK+PFRA",1970,2026
"BUI","04-05",2001-04-05,25.2333333333333,15.0496954564979,56.7,2021-04-05,NA,228.1,2021-08-09,NA,4,"Daily record reached in 2021","4055736","OUTLOOK+PFRA",1970,2026
"BUI","04-06",2001-04-06,26.9333333333333,15.4211975324011,59.5,2021-04-06,NA,228.1,2021-08-09,NA,4,"Daily record reached in 2021","4055736","OUTLOOK+PFRA",1970,2026
"BUI","04-07",2001-04-07,28.5666666666667,16.3662253844108,63.7,2021-04-07,NA,228.1,2021-08-09,NA,4,"Daily record reached in 2021","4055736","OUTLOOK+PFRA",1970,2026
"BUI","04-08",2001-04-08,31.8,15.6980890556781,66,2021-04-08,NA,228.1,2021-08-09,NA,4,"Daily record reached in 2021","4055736","OUTLOOK+PFRA",1970,2026
"BUI","04-09",2001-04-09,23.3,0.989949493661165,61.3,2021-04-09,NA,228.1,2021-08-09,NA,4,"Daily record reached in 2021","4055736","OUTLOOK+PFRA",1970,2026
"BUI","04-10",2001-04-10,25.925,15.3721338791984,63.8,2021-04-10,NA,228.1,2021-08-09,NA,4,"Daily record reached in 2021","4055736","OUTLOOK+PFRA",1970,2026
"BUI","04-11",2001-04-11,20.28,8.85900671633113,64,2021-04-11,NA,228.1,2021-08-09,NA,4,"Daily record reached in 2021","4055736","OUTLOOK+PFRA",1970,2026
"BUI","04-12",2001-04-12,21.28,9.03919244180585,64.1,2021-04-12,NA,228.1,2021-08-09,NA,4,"Daily record reached in 2021","4055736","OUTLOOK+PFRA",1970,2026
"BUI","04-13",2001-04-13,25.65,11.5337331337256,45.4,2024-04-13,NA,228.1,2021-08-09,NA,4,"Daily record reached in 2024","4055736","OUTLOOK+PFRA",1970,2026
"BUI","04-14",2001-04-14,21.8714285714286,13.5127981663945,48.6,2024-04-14,NA,228.1,2021-08-09,NA,4,"Daily record reached in 2024","4055736","OUTLOOK+PFRA",1970,2026
"BUI","04-15",2001-04-15,20.8833333333333,15.9040141683371,68,2021-04-15,NA,228.1,2021-08-09,NA,4,"Daily record reached in 2021","4055736","OUTLOOK+PFRA",1970,2026
"BUI","04-16",2001-04-16,18.8714285714286,16.0140265898071,70.6,2021-04-16,NA,228.1,2021-08-09,NA,4,"Daily record reached in 2021","4055736","OUTLOOK+PFRA",1970,2026
"BUI","04-17",2001-04-17,19.8714285714286,15.7680810802197,74.8,2021-04-17,NA,228.1,2021-08-09,NA,4,"Daily record reached in 2021","4055736","OUTLOOK+PFRA",1970,2026
"BUI","04-18",2001-04-18,20.8571428571429,18.7690220969605,75.5,2021-04-18,NA,228.1,2021-08-09,NA,4,"Daily record reached in 2021","4055736","OUTLOOK+PFRA",1970,2026
"BUI","04-19",2001-04-19,20.7,15.5389027926685,75.8,2021-04-19,NA,228.1,2021-08-09,NA,4,"Daily record reached in 2021","4055736","OUTLOOK+PFRA",1970,2026
"BUI","04-20",2001-04-20,22.2583333333333,16.8022432665367,52.2,2009-04-20,NA,228.1,2021-08-09,NA,4,"Daily record reached in 2009","4055736","OUTLOOK+PFRA",1970,2026
"BUI","04-21",2001-04-21,23.24,15.7098149484418,79.9,2021-04-21,NA,228.1,2021-08-09,NA,4,"Daily record reached in 2021","4055736","OUTLOOK+PFRA",1970,2026
"BUI","04-22",2001-04-22,25.075,15.4546001781562,80.2,2021-04-22,14.7,228.1,2021-08-09,NA,4,"Daily record reached in 2021","4055736","OUTLOOK+PFRA",1970,2026
"BUI","04-23",2001-04-23,26.7588235294118,16.1619560551751,80.7,2021-04-23,15,228.1,2021-08-09,NA,4,"Daily record reached in 2021","4055736","OUTLOOK+PFRA",1970,2026
