"MD","variable","PLOT_DATE","clim_mean","clim_min","clim_max","clim_sd","q10","q25","q75","q90","value","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","MONTH","clim_max_date","hover_value","hover_band","hover_histmax","hover_mean","AES","NAME","por_start","por_end"
"04-01","TMAX",2001-04-01,4.24333333333333,-10.6,13.8,6.4417647685501,-5.56,1,8.7,12.04,-1.7,"PRINCE ALBERT GLASS FIELD (ECCC AES 4056243; station_id 54498)","4056243",54498,"PRINCE ALBERT GLASS FIELD",4,1991-04-01,"DATE: Apr-01<br>Value: -1.7 °C<br>Anomaly: -5.9 °C<br>Weather station: PRINCE ALBERT GLASS FIELD (ECCC AES 4056243; station_id 54498)","DATE: Apr-01<br><b>Maximum temperature</b><br>10-90 percentile<br>-5.6 to 12.0 °C","Historical daily maximum<br>13.8 °C<br>1991-04-01","DATE: Apr-01</b><br>Normal: 4.2 °C<br>Period: 1991-2020","4056240","PRINCE+ALBERT+A",1953,2026
"04-01","TMIN",2001-04-01,-7.02666666666667,-22.2,2.3,6.6949251667592,-17.69,-11.3,-2.125,-1.12,-15.4,"PRINCE ALBERT GLASS FIELD (ECCC AES 4056243; station_id 54498)","4056243",54498,"PRINCE ALBERT GLASS FIELD",4,2012-04-01,"DATE: Apr-01<br>Value: -15.4 °C<br>Anomaly: -8.4 °C<br>Weather station: PRINCE ALBERT GLASS FIELD (ECCC AES 4056243; station_id 54498)","DATE: Apr-01<br><b>Minimum temperature</b><br>10-90 percentile<br>-17.7 to -1.1 °C","Historical daily maximum<br>2.3 °C<br>2012-04-01","DATE: Apr-01</b><br>Normal: -7.0 °C<br>Period: 1991-2020","4056240","PRINCE+ALBERT+A",1953,2026
"04-01","VPD",2001-04-01,0.496892970476336,0.103061843514,1.09920557824909,0.259179009440023,0.227194782638005,0.275593321022771,0.628060193152847,0.872575164857113,0.355000769952354,"PRINCE ALBERT GLASS FIELD (ECCC AES 4056243; station_id 54498)","4056243",54498,"PRINCE ALBERT GLASS FIELD",4,1991-04-01,"DATE: Apr-01<br>Value: 0.4 kPa<br>Anomaly: -0.1 kPa<br>Weather station: PRINCE ALBERT GLASS FIELD (ECCC AES 4056243; station_id 54498)","DATE: Apr-01<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 0.9 kPa","Historical daily maximum<br>1.1 kPa<br>1991-04-01","DATE: Apr-01</b><br>Normal: 0.5 kPa<br>Period: 1991-2020","4056240","PRINCE+ALBERT+A",1953,2026
"04-02","TMAX",2001-04-02,4.27333333333333,-12,18,7.39771322231,-6.18,-0.125,10.425,12.42,1.2,"PRINCE ALBERT GLASS FIELD (ECCC AES 4056243; station_id 54498)","4056243",54498,"PRINCE ALBERT GLASS FIELD",4,1992-04-02,"DATE: Apr-02<br>Value: 1.2 °C<br>Anomaly: -3.1 °C<br>Weather station: PRINCE ALBERT GLASS FIELD (ECCC AES 4056243; station_id 54498)","DATE: Apr-02<br><b>Maximum temperature</b><br>10-90 percentile<br>-6.2 to 12.4 °C","Historical daily maximum<br>18.0 °C<br>1992-04-02","DATE: Apr-02</b><br>Normal: 4.3 °C<br>Period: 1991-2020","4056240","PRINCE+ALBERT+A",1953,2026
"04-02","TMIN",2001-04-02,-7.76333333333333,-26.5,3.4,6.51647690584167,-13.39,-9.475,-3.925,-1.07,-7.3,"PRINCE ALBERT GLASS FIELD (ECCC AES 4056243; station_id 54498)","4056243",54498,"PRINCE ALBERT GLASS FIELD",4,1992-04-02,"DATE: Apr-02<br>Value: -7.3 °C<br>Anomaly: +0.5 °C<br>Weather station: PRINCE ALBERT GLASS FIELD (ECCC AES 4056243; station_id 54498)","DATE: Apr-02<br><b>Minimum temperature</b><br>10-90 percentile<br>-13.4 to -1.1 °C","Historical daily maximum<br>3.4 °C<br>1992-04-02","DATE: Apr-02</b><br>Normal: -7.8 °C<br>Period: 1991-2020","4056240","PRINCE+ALBERT+A",1953,2026
"04-02","VPD",2001-04-02,0.547368856055472,0.0676072264295401,1.28443954177109,0.310952319239008,0.214734191290009,0.291982555154893,0.709915620756504,1.01653116763969,0.313189592112958,"PRINCE ALBERT GLASS FIELD (ECCC AES 4056243; station_id 54498)","4056243",54498,"PRINCE ALBERT GLASS FIELD",4,1992-04-02,"DATE: Apr-02<br>Value: 0.3 kPa<br>Anomaly: -0.2 kPa<br>Weather station: PRINCE ALBERT GLASS FIELD (ECCC AES 4056243; station_id 54498)","DATE: Apr-02<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 1.0 kPa","Historical daily maximum<br>1.3 kPa<br>1992-04-02","DATE: Apr-02</b><br>Normal: 0.5 kPa<br>Period: 1991-2020","4056240","PRINCE+ALBERT+A",1953,2026
"04-03","TMAX",2001-04-03,3.45333333333333,-12.6,16.2,7.44032504542706,-6.32,-1.525,8.6,12.82,2.3,"PRINCE ALBERT GLASS FIELD (ECCC AES 4056243; station_id 54498)","4056243",54498,"PRINCE ALBERT GLASS FIELD",4,2012-04-03,"DATE: Apr-03<br>Value: 2.3 °C<br>Anomaly: -1.2 °C<br>Weather station: PRINCE ALBERT GLASS FIELD (ECCC AES 4056243; station_id 54498)","DATE: Apr-03<br><b>Maximum temperature</b><br>10-90 percentile<br>-6.3 to 12.8 °C","Historical daily maximum<br>16.2 °C<br>2012-04-03","DATE: Apr-03</b><br>Normal: 3.5 °C<br>Period: 1991-2020","4056240","PRINCE+ALBERT+A",1953,2026
"04-03","TMIN",2001-04-03,-8.55,-29.8,1.3,7.67084718604954,-21.81,-10.95,-3.55,-0.799999999999999,-9.8,"PRINCE ALBERT GLASS FIELD (ECCC AES 4056243; station_id 54498)","4056243",54498,"PRINCE ALBERT GLASS FIELD",4,1958-04-03,"DATE: Apr-03<br>Value: -9.8 °C<br>Anomaly: -1.2 °C<br>Weather station: PRINCE ALBERT GLASS FIELD (ECCC AES 4056243; station_id 54498)","DATE: Apr-03<br><b>Minimum temperature</b><br>10-90 percentile<br>-21.8 to -0.8 °C","Historical daily maximum<br>1.3 °C<br>1958-04-03","DATE: Apr-03</b><br>Normal: -8.6 °C<br>Period: 1991-2020","4056240","PRINCE+ALBERT+A",1953,2026
"04-03","VPD",2001-04-03,0.510090820601688,0.078179014005581,1.42996799059696,0.338410202625193,0.169610242896943,0.305447229990206,0.715250655179784,0.976895513871945,0.430660078573537,"PRINCE ALBERT GLASS FIELD (ECCC AES 4056243; station_id 54498)","4056243",54498,"PRINCE ALBERT GLASS FIELD",4,2012-04-03,"DATE: Apr-03<br>Value: 0.4 kPa<br>Anomaly: -0.1 kPa<br>Weather station: PRINCE ALBERT GLASS FIELD (ECCC AES 4056243; station_id 54498)","DATE: Apr-03<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 1.0 kPa","Historical daily maximum<br>1.4 kPa<br>2012-04-03","DATE: Apr-03</b><br>Normal: 0.5 kPa<br>Period: 1991-2020","4056240","PRINCE+ALBERT+A",1953,2026
"04-04","TMAX",2001-04-04,4.70666666666667,-6.5,19.3,7.4832656218937,-5.51,-0.1,10.475,14.71,7.3,"PRINCE ALBERT GLASS FIELD (ECCC AES 4056243; station_id 54498)","4056243",54498,"PRINCE ALBERT GLASS FIELD",4,2012-04-04,"DATE: Apr-04<br>Value: 7.3 °C<br>Anomaly: +2.6 °C<br>Weather station: PRINCE ALBERT GLASS FIELD (ECCC AES 4056243; station_id 54498)","DATE: Apr-04<br><b>Maximum temperature</b><br>10-90 percentile<br>-5.5 to 14.7 °C","Historical daily maximum<br>19.3 °C<br>2012-04-04","DATE: Apr-04</b><br>Normal: 4.7 °C<br>Period: 1991-2020","4056240","PRINCE+ALBERT+A",1953,2026
