"MD","PLOT_DATE","clim_mean","clim_min","clim_max","q10","q25","q75","q90","PRECIP","PRECIP_CUM","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","hover_bar","pct_normal","hover_value","hover_mean","hover_band25","hover_band10","AES","NAME","por_start","por_end"
"04-01",2001-04-01,0.25,0,6.2,0,0,0,0.22,0,0,"NA (ECCC AES NA; station_id 3193)",NA,3193,"","DATE: Apr-01<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 3193)",0,"DATE: Apr-01<br><b>Cumulative precipitation</b><br>Value: 0.0 mm<br>Anomaly: -0.2 mm<br>Percent of normal: <b>0%</b><br>Weather station: NA (ECCC AES NA; station_id 3193)","DATE: Apr-01<br><b>Normal cumulative precipitation</b><br>0.2 mm<br>Period: 1991-2020","DATE: Apr-01<br><b>25-75 percentile</b><br>0.0 to 0.0 mm","DATE: Apr-01<br><b>10-90 percentile</b><br>0.0 to 0.2 mm","4036844","ROCKGLEN+AUT",1971,2026
"04-02",2001-04-02,1.54333333333333,0,26,0,0,0.55,4.28,0,0,"NA (ECCC AES NA; station_id 3193)",NA,3193,"","DATE: Apr-02<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 3193)",0,"DATE: Apr-02<br><b>Cumulative precipitation</b><br>Value: 0.0 mm<br>Anomaly: -1.5 mm<br>Percent of normal: <b>0%</b><br>Weather station: NA (ECCC AES NA; station_id 3193)","DATE: Apr-02<br><b>Normal cumulative precipitation</b><br>1.5 mm<br>Period: 1991-2020","DATE: Apr-02<br><b>25-75 percentile</b><br>0.0 to 0.5 mm","DATE: Apr-02<br><b>10-90 percentile</b><br>0.0 to 4.3 mm","4036844","ROCKGLEN+AUT",1971,2026
"04-03",2001-04-03,2.02,0,33.9,0,0,0.925,4.64,0.1,0.1,"NA (ECCC AES NA; station_id 3193)",NA,3193,"","DATE: Apr-03<br><b>Daily precipitation</b><br>Value: 0.1 mm<br>Weather station: NA (ECCC AES NA; station_id 3193)",4.95049504950495,"DATE: Apr-03<br><b>Cumulative precipitation</b><br>Value: 0.1 mm<br>Anomaly: -1.9 mm<br>Percent of normal: <b>5%</b><br>Weather station: NA (ECCC AES NA; station_id 3193)","DATE: Apr-03<br><b>Normal cumulative precipitation</b><br>2.0 mm<br>Period: 1991-2020","DATE: Apr-03<br><b>25-75 percentile</b><br>0.0 to 0.9 mm","DATE: Apr-03<br><b>10-90 percentile</b><br>0.0 to 4.6 mm","4036844","ROCKGLEN+AUT",1971,2026
"04-04",2001-04-04,2.11,0,33.9,0,0,1.3,4.82,0,0.1,"NA (ECCC AES NA; station_id 3193)",NA,3193,"","DATE: Apr-04<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 3193)",4.739336492891,"DATE: Apr-04<br><b>Cumulative precipitation</b><br>Value: 0.1 mm<br>Anomaly: -2.0 mm<br>Percent of normal: <b>5%</b><br>Weather station: NA (ECCC AES NA; station_id 3193)","DATE: Apr-04<br><b>Normal cumulative precipitation</b><br>2.1 mm<br>Period: 1991-2020","DATE: Apr-04<br><b>25-75 percentile</b><br>0.0 to 1.3 mm","DATE: Apr-04<br><b>10-90 percentile</b><br>0.0 to 4.8 mm","4036844","ROCKGLEN+AUT",1971,2026
"04-05",2001-04-05,2.86666666666667,0,33.9,0,0,1.575,7.86000000000001,0.1,0.2,"NA (ECCC AES NA; station_id 3193)",NA,3193,"","DATE: Apr-05<br><b>Daily precipitation</b><br>Value: 0.1 mm<br>Weather station: NA (ECCC AES NA; station_id 3193)",6.97674418604651,"DATE: Apr-05<br><b>Cumulative precipitation</b><br>Value: 0.2 mm<br>Anomaly: -2.7 mm<br>Percent of normal: <b>7%</b><br>Weather station: NA (ECCC AES NA; station_id 3193)","DATE: Apr-05<br><b>Normal cumulative precipitation</b><br>2.9 mm<br>Period: 1991-2020","DATE: Apr-05<br><b>25-75 percentile</b><br>0.0 to 1.6 mm","DATE: Apr-05<br><b>10-90 percentile</b><br>0.0 to 7.9 mm","4036844","ROCKGLEN+AUT",1971,2026
"04-06",2001-04-06,3.35666666666667,0,33.9,0,0,2.175,10.02,0,0.2,"NA (ECCC AES NA; station_id 3193)",NA,3193,"","DATE: Apr-06<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 3193)",5.95829195630586,"DATE: Apr-06<br><b>Cumulative precipitation</b><br>Value: 0.2 mm<br>Anomaly: -3.2 mm<br>Percent of normal: <b>6%</b><br>Weather station: NA (ECCC AES NA; station_id 3193)","DATE: Apr-06<br><b>Normal cumulative precipitation</b><br>3.4 mm<br>Period: 1991-2020","DATE: Apr-06<br><b>25-75 percentile</b><br>0.0 to 2.2 mm","DATE: Apr-06<br><b>10-90 percentile</b><br>0.0 to 10.0 mm","4036844","ROCKGLEN+AUT",1971,2026
"04-07",2001-04-07,3.63333333333333,0,33.9,0,0,3.125,10.12,0.3,0.5,"NA (ECCC AES NA; station_id 3193)",NA,3193,"","DATE: Apr-07<br><b>Daily precipitation</b><br>Value: 0.3 mm<br>Weather station: NA (ECCC AES NA; station_id 3193)",13.7614678899083,"DATE: Apr-07<br><b>Cumulative precipitation</b><br>Value: 0.5 mm<br>Anomaly: -3.1 mm<br>Percent of normal: <b>14%</b><br>Weather station: NA (ECCC AES NA; station_id 3193)","DATE: Apr-07<br><b>Normal cumulative precipitation</b><br>3.6 mm<br>Period: 1991-2020","DATE: Apr-07<br><b>25-75 percentile</b><br>0.0 to 3.1 mm","DATE: Apr-07<br><b>10-90 percentile</b><br>0.0 to 10.1 mm","4036844","ROCKGLEN+AUT",1971,2026
"04-08",2001-04-08,3.97333333333333,0,33.9,0,0,4.65,10.12,0.3,0.8,"NA (ECCC AES NA; station_id 3193)",NA,3193,"","DATE: Apr-08<br><b>Daily precipitation</b><br>Value: 0.3 mm<br>Weather station: NA (ECCC AES NA; station_id 3193)",20.1342281879195,"DATE: Apr-08<br><b>Cumulative precipitation</b><br>Value: 0.8 mm<br>Anomaly: -3.2 mm<br>Percent of normal: <b>20%</b><br>Weather station: NA (ECCC AES NA; station_id 3193)","DATE: Apr-08<br><b>Normal cumulative precipitation</b><br>4.0 mm<br>Period: 1991-2020","DATE: Apr-08<br><b>25-75 percentile</b><br>0.0 to 4.6 mm","DATE: Apr-08<br><b>10-90 percentile</b><br>0.0 to 10.1 mm","4036844","ROCKGLEN+AUT",1971,2026
"04-09",2001-04-09,4.83,0,33.9,0,0,7.075,10.12,0,0.8,"NA (ECCC AES NA; station_id 3193)",NA,3193,"","DATE: Apr-09<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 3193)",16.5631469979296,"DATE: Apr-09<br><b>Cumulative precipitation</b><br>Value: 0.8 mm<br>Anomaly: -4.0 mm<br>Percent of normal: <b>17%</b><br>Weather station: NA (ECCC AES NA; station_id 3193)","DATE: Apr-09<br><b>Normal cumulative precipitation</b><br>4.8 mm<br>Period: 1991-2020","DATE: Apr-09<br><b>25-75 percentile</b><br>0.0 to 7.1 mm","DATE: Apr-09<br><b>10-90 percentile</b><br>0.0 to 10.1 mm","4036844","ROCKGLEN+AUT",1971,2026
"04-10",2001-04-10,5.98666666666667,0,33.9,0,0,8.65,17.1,0,0.8,"NA (ECCC AES NA; station_id 3193)",NA,3193,"","DATE: Apr-10<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 3193)",13.3630289532294,"DATE: Apr-10<br><b>Cumulative precipitation</b><br>Value: 0.8 mm<br>Anomaly: -5.2 mm<br>Percent of normal: <b>13%</b><br>Weather station: NA (ECCC AES NA; station_id 3193)","DATE: Apr-10<br><b>Normal cumulative precipitation</b><br>6.0 mm<br>Period: 1991-2020","DATE: Apr-10<br><b>25-75 percentile</b><br>0.0 to 8.6 mm","DATE: Apr-10<br><b>10-90 percentile</b><br>0.0 to 17.1 mm","4036844","ROCKGLEN+AUT",1971,2026
