"variable","MD","PLOT_DATE","clim_mean","clim_sd","clim_max","clim_max_date","value","rec_all_val","rec_all_date","value_record","MONTH","hover_histmax","AES","NAME","por_start","por_end"
"BUI","04-01",2001-04-01,NA,NA,NA,NA,NA,208.4,2008-07-29,NA,4,"Daily record reached in NA","406QLD0","URANIUM+CITY+AUT",1994,2026
"BUI","04-02",2001-04-02,NA,NA,NA,NA,NA,208.4,2008-07-29,NA,4,"Daily record reached in NA","406QLD0","URANIUM+CITY+AUT",1994,2026
"BUI","04-03",2001-04-03,NA,NA,NA,NA,NA,208.4,2008-07-29,NA,4,"Daily record reached in NA","406QLD0","URANIUM+CITY+AUT",1994,2026
"BUI","04-04",2001-04-04,NA,NA,NA,NA,NA,208.4,2008-07-29,NA,4,"Daily record reached in NA","406QLD0","URANIUM+CITY+AUT",1994,2026
"BUI","04-05",2001-04-05,NA,NA,NA,NA,NA,208.4,2008-07-29,NA,4,"Daily record reached in NA","406QLD0","URANIUM+CITY+AUT",1994,2026
"BUI","04-06",2001-04-06,NA,NA,NA,NA,NA,208.4,2008-07-29,NA,4,"Daily record reached in NA","406QLD0","URANIUM+CITY+AUT",1994,2026
"BUI","04-07",2001-04-07,NA,NA,NA,NA,NA,208.4,2008-07-29,NA,4,"Daily record reached in NA","406QLD0","URANIUM+CITY+AUT",1994,2026
"BUI","04-08",2001-04-08,NA,NA,NA,NA,NA,208.4,2008-07-29,NA,4,"Daily record reached in NA","406QLD0","URANIUM+CITY+AUT",1994,2026
"BUI","04-09",2001-04-09,NA,NA,NA,NA,NA,208.4,2008-07-29,NA,4,"Daily record reached in NA","406QLD0","URANIUM+CITY+AUT",1994,2026
"BUI","04-10",2001-04-10,NA,NA,NA,NA,NA,208.4,2008-07-29,NA,4,"Daily record reached in NA","406QLD0","URANIUM+CITY+AUT",1994,2026
"BUI","04-11",2001-04-11,NA,NA,NA,NA,NA,208.4,2008-07-29,NA,4,"Daily record reached in NA","406QLD0","URANIUM+CITY+AUT",1994,2026
"BUI","04-12",2001-04-12,NA,NA,NA,NA,NA,208.4,2008-07-29,NA,4,"Daily record reached in NA","406QLD0","URANIUM+CITY+AUT",1994,2026
"BUI","04-13",2001-04-13,NA,NA,NA,NA,NA,208.4,2008-07-29,NA,4,"Daily record reached in NA","406QLD0","URANIUM+CITY+AUT",1994,2026
"BUI","04-14",2001-04-14,NA,NA,NA,NA,NA,208.4,2008-07-29,NA,4,"Daily record reached in NA","406QLD0","URANIUM+CITY+AUT",1994,2026
"BUI","04-15",2001-04-15,13.2,NA,13.2,2010-04-15,NA,208.4,2008-07-29,NA,4,"Daily record reached in 2010","406QLD0","URANIUM+CITY+AUT",1994,2026
"BUI","04-16",2001-04-16,17.5,NA,17.5,2010-04-16,NA,208.4,2008-07-29,NA,4,"Daily record reached in 2010","406QLD0","URANIUM+CITY+AUT",1994,2026
"BUI","04-17",2001-04-17,18.7,NA,18.7,2010-04-17,NA,208.4,2008-07-29,NA,4,"Daily record reached in 2010","406QLD0","URANIUM+CITY+AUT",1994,2026
"BUI","04-18",2001-04-18,19.7,NA,19.7,2010-04-18,NA,208.4,2008-07-29,NA,4,"Daily record reached in 2010","406QLD0","URANIUM+CITY+AUT",1994,2026
"BUI","04-19",2001-04-19,27.85,7.99030662740799,33.5,2019-04-19,NA,208.4,2008-07-29,NA,4,"Daily record reached in 2019","406QLD0","URANIUM+CITY+AUT",1994,2026
"BUI","04-20",2001-04-20,26.25,0.636396103067892,26.7,2019-04-20,NA,208.4,2008-07-29,NA,4,"Daily record reached in 2019","406QLD0","URANIUM+CITY+AUT",1994,2026
"BUI","04-21",2001-04-21,29.35,2.05060966544099,30.8,2010-04-21,NA,208.4,2008-07-29,NA,4,"Daily record reached in 2010","406QLD0","URANIUM+CITY+AUT",1994,2026
"BUI","04-22",2001-04-22,32.35,1.62634559672906,33.5,2010-04-22,NA,208.4,2008-07-29,NA,4,"Daily record reached in 2010","406QLD0","URANIUM+CITY+AUT",1994,2026
"BUI","04-23",2001-04-23,33.05,0.777817459305203,33.6,2010-04-23,NA,208.4,2008-07-29,NA,4,"Daily record reached in 2010","406QLD0","URANIUM+CITY+AUT",1994,2026
"BUI","04-24",2001-04-24,29.6,5.65685424949238,33.6,2010-04-24,NA,208.4,2008-07-29,NA,4,"Daily record reached in 2010","406QLD0","URANIUM+CITY+AUT",1994,2026
"BUI","04-25",2001-04-25,NA,NA,NA,NA,NA,208.4,2008-07-29,NA,4,"Daily record reached in NA","406QLD0","URANIUM+CITY+AUT",1994,2026
"BUI","04-26",2001-04-26,7.4,NA,7.4,2006-04-26,NA,208.4,2008-07-29,NA,4,"Daily record reached in 2006","406QLD0","URANIUM+CITY+AUT",1994,2026
"BUI","04-27",2001-04-27,22.7,18.5261976670875,35.8,2010-04-27,NA,208.4,2008-07-29,NA,4,"Daily record reached in 2010","406QLD0","URANIUM+CITY+AUT",1994,2026
"BUI","04-28",2001-04-28,25.6,10.7166537065759,36,2010-04-28,NA,208.4,2008-07-29,NA,4,"Daily record reached in 2010","406QLD0","URANIUM+CITY+AUT",1994,2026
"BUI","04-29",2001-04-29,26.525,10.3750903610523,36.3,2010-04-29,NA,208.4,2008-07-29,NA,4,"Daily record reached in 2010","406QLD0","URANIUM+CITY+AUT",1994,2026
"BUI","04-30",2001-04-30,28.1,11.0492835363505,38.6,2010-04-30,NA,208.4,2008-07-29,NA,4,"Daily record reached in 2010","406QLD0","URANIUM+CITY+AUT",1994,2026
"BUI","05-01",2001-05-01,26.48,12.2579362047614,41,2010-05-01,NA,208.4,2008-07-29,NA,5,"Daily record reached in 2010","406QLD0","URANIUM+CITY+AUT",1994,2026
"BUI","05-02",2001-05-02,23.6142857142857,12.7537482819011,43.9,2010-05-02,NA,208.4,2008-07-29,NA,5,"Daily record reached in 2010","406QLD0","URANIUM+CITY+AUT",1994,2026
"BUI","05-03",2001-05-03,24.7666666666667,13.9251810281471,46.6,2010-05-03,NA,208.4,2008-07-29,NA,5,"Daily record reached in 2010","406QLD0","URANIUM+CITY+AUT",1994,2026
"BUI","05-04",2001-05-04,24.2875,12.358275133922,47.2,2010-05-04,NA,208.4,2008-07-29,NA,5,"Daily record reached in 2010","406QLD0","URANIUM+CITY+AUT",1994,2026
"BUI","05-05",2001-05-05,23.2,11.4873843846195,47.7,2010-05-05,NA,208.4,2008-07-29,NA,5,"Daily record reached in 2010","406QLD0","URANIUM+CITY+AUT",1994,2026
"BUI","05-06",2001-05-06,23.6777777777778,9.42016159332973,41.1,2015-05-06,NA,208.4,2008-07-29,NA,5,"Daily record reached in 2015","406QLD0","URANIUM+CITY+AUT",1994,2026
"BUI","05-07",2001-05-07,22.6555555555556,11.4935972514169,42.3,2015-05-07,NA,208.4,2008-07-29,NA,5,"Daily record reached in 2015","406QLD0","URANIUM+CITY+AUT",1994,2026
"BUI","05-08",2001-05-08,24.9083333333333,14.5227381799172,51.5,2010-05-08,NA,208.4,2008-07-29,NA,5,"Daily record reached in 2010","406QLD0","URANIUM+CITY+AUT",1994,2026
"BUI","05-09",2001-05-09,26.4833333333333,14.6854184534018,53.8,2010-05-09,NA,208.4,2008-07-29,NA,5,"Daily record reached in 2010","406QLD0","URANIUM+CITY+AUT",1994,2026
"BUI","05-10",2001-05-10,26.9454545454545,15.0480140640793,57.1,2010-05-10,NA,208.4,2008-07-29,NA,5,"Daily record reached in 2010","406QLD0","URANIUM+CITY+AUT",1994,2026
"BUI","05-11",2001-05-11,29.4916666666667,14.8846142853701,59.6,2010-05-11,NA,208.4,2008-07-29,NA,5,"Daily record reached in 2010","406QLD0","URANIUM+CITY+AUT",1994,2026
"BUI","05-12",2001-05-12,34.7538461538462,17.69013922051,69.3,2003-05-12,NA,208.4,2008-07-29,NA,5,"Daily record reached in 2003","406QLD0","URANIUM+CITY+AUT",1994,2026
"BUI","05-13",2001-05-13,36.8833333333333,19.159893401361,72.8,2003-05-13,NA,208.4,2008-07-29,NA,5,"Daily record reached in 2003","406QLD0","URANIUM+CITY+AUT",1994,2026
"BUI","05-14",2001-05-14,38.0846153846154,19.2158721787418,74.7,2003-05-14,NA,208.4,2008-07-29,NA,5,"Daily record reached in 2003","406QLD0","URANIUM+CITY+AUT",1994,2026
"BUI","05-15",2001-05-15,36.4666666666667,18.5288064015647,68.9,2010-05-15,NA,208.4,2008-07-29,NA,5,"Daily record reached in 2010","406QLD0","URANIUM+CITY+AUT",1994,2026
"BUI","05-16",2001-05-16,36.7411764705882,18.5414420563615,71.6,2010-05-16,NA,208.4,2008-07-29,NA,5,"Daily record reached in 2010","406QLD0","URANIUM+CITY+AUT",1994,2026
"BUI","05-17",2001-05-17,34.0777777777778,17.2175886661612,69.1,2015-05-17,NA,208.4,2008-07-29,NA,5,"Daily record reached in 2015","406QLD0","URANIUM+CITY+AUT",1994,2026
"BUI","05-18",2001-05-18,36.3277777777778,17.2749667763554,72.2,2015-05-18,NA,208.4,2008-07-29,NA,5,"Daily record reached in 2015","406QLD0","URANIUM+CITY+AUT",1994,2026
"BUI","05-19",2001-05-19,35.8,18.4439014310964,75.9,2015-05-19,NA,208.4,2008-07-29,NA,5,"Daily record reached in 2015","406QLD0","URANIUM+CITY+AUT",1994,2026
"BUI","05-20",2001-05-20,34.6,17.9248430955476,79.9,2015-05-20,17.3,208.4,2008-07-29,NA,5,"Daily record reached in 2015","406QLD0","URANIUM+CITY+AUT",1994,2026
"BUI","05-21",2001-05-21,36.5421052631579,18.3038039698332,84.3,2015-05-21,21.7,208.4,2008-07-29,NA,5,"Daily record reached in 2015","406QLD0","URANIUM+CITY+AUT",1994,2026
"BUI","05-22",2001-05-22,36.4842105263158,20.3193466418883,87.7,2015-05-22,25.3,208.4,2008-07-29,NA,5,"Daily record reached in 2015","406QLD0","URANIUM+CITY+AUT",1994,2026
"BUI","05-23",2001-05-23,39.4388888888889,21.561680030824,90.7,2015-05-23,30.1,208.4,2008-07-29,NA,5,"Daily record reached in 2015","406QLD0","URANIUM+CITY+AUT",1994,2026
"BUI","05-24",2001-05-24,40.2,21.7609984291066,94.8,2015-05-24,28.8,208.4,2008-07-29,NA,5,"Daily record reached in 2015","406QLD0","URANIUM+CITY+AUT",1994,2026
"BUI","05-25",2001-05-25,41.1714285714286,22.4735209270186,98.3,2015-05-25,29.8,208.4,2008-07-29,NA,5,"Daily record reached in 2015","406QLD0","URANIUM+CITY+AUT",1994,2026
"BUI","05-26",2001-05-26,42.9285714285714,22.3931717909086,100.2,2015-05-26,32.6,208.4,2008-07-29,NA,5,"Daily record reached in 2015","406QLD0","URANIUM+CITY+AUT",1994,2026
"BUI","05-27",2001-05-27,44.1714285714286,23.3544458906038,102,2015-05-27,21.2,208.4,2008-07-29,NA,5,"Daily record reached in 2015","406QLD0","URANIUM+CITY+AUT",1994,2026
"BUI","05-28",2001-05-28,45.6952380952381,21.587044174469,96.5,2011-05-28,17.7,208.4,2008-07-29,NA,5,"Daily record reached in 2011","406QLD0","URANIUM+CITY+AUT",1994,2026
"BUI","05-29",2001-05-29,46.2636363636364,23.2362923330139,98.9,2011-05-29,23.6,208.4,2008-07-29,NA,5,"Daily record reached in 2011","406QLD0","URANIUM+CITY+AUT",1994,2026
"BUI","05-30",2001-05-30,48.1863636363636,24.3954581146446,102.5,2011-05-30,24.8,208.4,2008-07-29,NA,5,"Daily record reached in 2011","406QLD0","URANIUM+CITY+AUT",1994,2026
"BUI","05-31",2001-05-31,50.6,25.635485079048,107,2011-05-31,12.1,208.4,2008-07-29,NA,5,"Daily record reached in 2011","406QLD0","URANIUM+CITY+AUT",1994,2026
"BUI","06-01",2001-06-01,51.6090909090909,26.8017929231629,113.2,2011-06-01,6.8,208.4,2008-07-29,NA,6,"Daily record reached in 2011","406QLD0","URANIUM+CITY+AUT",1994,2026
"BUI","06-02",2001-06-02,50.8869565217391,27.5434252895286,118.3,2011-06-02,11.9,208.4,2008-07-29,NA,6,"Daily record reached in 2011","406QLD0","URANIUM+CITY+AUT",1994,2026
"BUI","06-03",2001-06-03,52.3521739130435,28.5647568862117,118.9,2011-06-03,16.7,208.4,2008-07-29,NA,6,"Daily record reached in 2011","406QLD0","URANIUM+CITY+AUT",1994,2026
"BUI","06-04",2001-06-04,50.1391304347826,30.5577953025892,120.2,2011-06-04,18.7,208.4,2008-07-29,NA,6,"Daily record reached in 2011","406QLD0","URANIUM+CITY+AUT",1994,2026
"BUI","06-05",2001-06-05,51.6347826086957,32.3333575105515,122.1,2011-06-05,22.8,208.4,2008-07-29,NA,6,"Daily record reached in 2011","406QLD0","URANIUM+CITY+AUT",1994,2026
"BUI","06-06",2001-06-06,53.0217391304348,34.0536469348764,124.9,2011-06-06,17.4,208.4,2008-07-29,NA,6,"Daily record reached in 2011","406QLD0","URANIUM+CITY+AUT",1994,2026
"BUI","06-07",2001-06-07,52.6565217391304,32.4692977509937,126.8,2011-06-07,18.4,208.4,2008-07-29,NA,6,"Daily record reached in 2011","406QLD0","URANIUM+CITY+AUT",1994,2026
"BUI","06-08",2001-06-08,54.9391304347826,33.3083492007967,130.3,2011-06-08,10.9,208.4,2008-07-29,NA,6,"Daily record reached in 2011","406QLD0","URANIUM+CITY+AUT",1994,2026
"BUI","06-09",2001-06-09,57.4739130434783,32.9409280847247,134.9,2011-06-09,6,208.4,2008-07-29,NA,6,"Daily record reached in 2011","406QLD0","URANIUM+CITY+AUT",1994,2026
"BUI","06-10",2001-06-10,59.6260869565217,33.1496636125988,140.1,2011-06-10,8.2,208.4,2008-07-29,NA,6,"Daily record reached in 2011","406QLD0","URANIUM+CITY+AUT",1994,2026
