"MD","variable","PLOT_DATE","clim_mean","clim_min","clim_max","clim_sd","q10","q25","q75","q90","value","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","MONTH","clim_max_date","hover_value","hover_band","hover_histmax","hover_mean","AES","NAME","por_start","por_end"
"04-01","TMAX",2001-04-01,3.17037037037037,-10.5,12,6.15553627075877,-5.86,1.3,7.65,9.72,2.1,"NA (ECCC AES NA; station_id 10688)",NA,10688,"",4,2021-04-01,"DATE: Apr-01<br>Value: 2.1 °C<br>Anomaly: -1.1 °C<br>Weather station: NA (ECCC AES NA; station_id 10688)","DATE: Apr-01<br><b>Maximum temperature</b><br>10-90 percentile<br>-5.9 to 9.7 °C","Historical daily maximum<br>12.0 °C<br>2021-04-01","DATE: Apr-01</b><br>Normal: 3.2 °C<br>Period: 1991-2020","4068559","WASKESIU+LAKE",1994,2026
"04-01","TMIN",2001-04-01,-7.72592592592593,-21.6,1.3,6.44423371302967,-17.5,-12.45,-3.15,-0.339999999999999,-10.2,"NA (ECCC AES NA; station_id 10688)",NA,10688,"",4,2017-04-01,"DATE: Apr-01<br>Value: -10.2 °C<br>Anomaly: -2.5 °C<br>Weather station: NA (ECCC AES NA; station_id 10688)","DATE: Apr-01<br><b>Minimum temperature</b><br>10-90 percentile<br>-17.5 to -0.3 °C","Historical daily maximum<br>1.3 °C<br>2017-04-01","DATE: Apr-01</b><br>Normal: -7.7 °C<br>Period: 1991-2020","4068559","WASKESIU+LAKE",1994,2026
"04-01","VPD",2001-04-01,0.449151029164448,0.0925653978798123,0.862044625280977,0.207823134904473,0.210401479344835,0.278275958393961,0.587582632607556,0.692320074154963,0.42949718289575,"NA (ECCC AES NA; station_id 10688)",NA,10688,"",4,2006-04-01,"DATE: Apr-01<br>Value: 0.4 kPa<br>Anomaly: 0.0 kPa<br>Weather station: NA (ECCC AES NA; station_id 10688)","DATE: Apr-01<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 0.7 kPa","Historical daily maximum<br>0.9 kPa<br>2006-04-01","DATE: Apr-01</b><br>Normal: 0.4 kPa<br>Period: 1991-2020","4068559","WASKESIU+LAKE",1994,2026
"04-02","TMAX",2001-04-02,2.3962962962963,-12.8,11.7,6.71694078039203,-6.52,-2.4,7.7,9.46,4,"NA (ECCC AES NA; station_id 10688)",NA,10688,"",4,1998-04-02,"DATE: Apr-02<br>Value: 4.0 °C<br>Anomaly: +1.6 °C<br>Weather station: NA (ECCC AES NA; station_id 10688)","DATE: Apr-02<br><b>Maximum temperature</b><br>10-90 percentile<br>-6.5 to 9.5 °C","Historical daily maximum<br>11.7 °C<br>1998-04-02","DATE: Apr-02</b><br>Normal: 2.4 °C<br>Period: 1991-2020","4068559","WASKESIU+LAKE",1994,2026
"04-02","TMIN",2001-04-02,-8.91481481481481,-22.6,-1,6.07894877701879,-18.02,-11.85,-4.7,-1.96,-5.8,"NA (ECCC AES NA; station_id 10688)",NA,10688,"",4,2017-04-02,"DATE: Apr-02<br>Value: -5.8 °C<br>Anomaly: +3.1 °C<br>Weather station: NA (ECCC AES NA; station_id 10688)","DATE: Apr-02<br><b>Minimum temperature</b><br>10-90 percentile<br>-18.0 to -2.0 °C","Historical daily maximum<br>-1.0 °C<br>2017-04-02","DATE: Apr-02</b><br>Normal: -8.9 °C<br>Period: 1991-2020","4068559","WASKESIU+LAKE",1994,2026
"04-02","VPD",2001-04-02,0.453158056819914,0.109083216803515,0.855405184273739,0.223361004237797,0.162501545108202,0.263842542544831,0.620967234008049,0.700972122217471,0.416994554914981,"NA (ECCC AES NA; station_id 10688)",NA,10688,"",4,2024-04-02,"DATE: Apr-02<br>Value: 0.4 kPa<br>Anomaly: 0.0 kPa<br>Weather station: NA (ECCC AES NA; station_id 10688)","DATE: Apr-02<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 0.7 kPa","Historical daily maximum<br>0.9 kPa<br>2024-04-02","DATE: Apr-02</b><br>Normal: 0.5 kPa<br>Period: 1991-2020","4068559","WASKESIU+LAKE",1994,2026
"04-03","TMAX",2001-04-03,2.57777777777778,-13.9,15.2,6.96575874343886,-5.5,-2.05,7.95,11.48,3.9,"NA (ECCC AES NA; station_id 10688)",NA,10688,"",4,2012-04-03,"DATE: Apr-03<br>Value: 3.9 °C<br>Anomaly: +1.3 °C<br>Weather station: NA (ECCC AES NA; station_id 10688)","DATE: Apr-03<br><b>Maximum temperature</b><br>10-90 percentile<br>-5.5 to 11.5 °C","Historical daily maximum<br>15.2 °C<br>2012-04-03","DATE: Apr-03</b><br>Normal: 2.6 °C<br>Period: 1991-2020","4068559","WASKESIU+LAKE",1994,2026
"04-03","TMIN",2001-04-03,-9.85925925925926,-25.2,-1.4,7.10867613225391,-20.9,-13.25,-4,-2.96,-8.6,"NA (ECCC AES NA; station_id 10688)",NA,10688,"",4,2024-04-03,"DATE: Apr-03<br>Value: -8.6 °C<br>Anomaly: +1.3 °C<br>Weather station: NA (ECCC AES NA; station_id 10688)","DATE: Apr-03<br><b>Minimum temperature</b><br>10-90 percentile<br>-20.9 to -3.0 °C","Historical daily maximum<br>-1.4 °C<br>2024-04-03","DATE: Apr-03</b><br>Normal: -9.9 °C<br>Period: 1991-2020","4068559","WASKESIU+LAKE",1994,2026
"04-03","VPD",2001-04-03,0.48783837261272,0.118076009047838,1.27657759651126,0.279533919186291,0.217919054480985,0.324264105345444,0.621256642422172,0.850982287689929,0.48850370990263,"NA (ECCC AES NA; station_id 10688)",NA,10688,"",4,2012-04-03,"DATE: Apr-03<br>Value: 0.5 kPa<br>Anomaly: +0.0 kPa<br>Weather station: NA (ECCC AES NA; station_id 10688)","DATE: Apr-03<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 0.9 kPa","Historical daily maximum<br>1.3 kPa<br>2012-04-03","DATE: Apr-03</b><br>Normal: 0.5 kPa<br>Period: 1991-2020","4068559","WASKESIU+LAKE",1994,2026
"04-04","TMAX",2001-04-04,3.36296296296296,-6.3,17.6,7.07553467118852,-4.88,-1.85,9.6,13.06,8.9,"NA (ECCC AES NA; station_id 10688)",NA,10688,"",4,2012-04-04,"DATE: Apr-04<br>Value: 8.9 °C<br>Anomaly: +5.5 °C<br>Weather station: NA (ECCC AES NA; station_id 10688)","DATE: Apr-04<br><b>Maximum temperature</b><br>10-90 percentile<br>-4.9 to 13.1 °C","Historical daily maximum<br>17.6 °C<br>2012-04-04","DATE: Apr-04</b><br>Normal: 3.4 °C<br>Period: 1991-2020","4068559","WASKESIU+LAKE",1994,2026
"04-04","TMIN",2001-04-04,-9.45925925925926,-26.2,3.1,7.23762919423732,-18.72,-15,-4.25,-0.32,-6.6,"NA (ECCC AES NA; station_id 10688)",NA,10688,"",4,2012-04-04,"DATE: Apr-04<br>Value: -6.6 °C<br>Anomaly: +2.9 °C<br>Weather station: NA (ECCC AES NA; station_id 10688)","DATE: Apr-04<br><b>Minimum temperature</b><br>10-90 percentile<br>-18.7 to -0.3 °C","Historical daily maximum<br>3.1 °C<br>2012-04-04","DATE: Apr-04</b><br>Normal: -9.5 °C<br>Period: 1991-2020","4068559","WASKESIU+LAKE",1994,2026
