"variable","MD","PLOT_DATE","clim_mean","clim_sd","clim_max","clim_max_date","value","rec_all_val","rec_all_date","value_record","MONTH","hover_histmax","AES","NAME","por_start","por_end"
"BUI","04-01",2001-04-01,18.4,NA,18.4,2012-04-01,NA,215.7,2021-08-09,NA,4,"Daily record reached in 2012","4018642","WATROUS+EAST",1994,2026
"BUI","04-02",2001-04-02,19.9,NA,19.9,2012-04-02,NA,215.7,2021-08-09,NA,4,"Daily record reached in 2012","4018642","WATROUS+EAST",1994,2026
"BUI","04-03",2001-04-03,22.6,NA,22.6,2012-04-03,NA,215.7,2021-08-09,NA,4,"Daily record reached in 2012","4018642","WATROUS+EAST",1994,2026
"BUI","04-04",2001-04-04,26,NA,26,2012-04-04,NA,215.7,2021-08-09,NA,4,"Daily record reached in 2012","4018642","WATROUS+EAST",1994,2026
"BUI","04-05",2001-04-05,27.8,NA,27.8,2012-04-05,NA,215.7,2021-08-09,NA,4,"Daily record reached in 2012","4018642","WATROUS+EAST",1994,2026
"BUI","04-06",2001-04-06,23.9,NA,23.9,2012-04-06,NA,215.7,2021-08-09,NA,4,"Daily record reached in 2012","4018642","WATROUS+EAST",1994,2026
"BUI","04-07",2001-04-07,13.9,NA,13.9,2012-04-07,NA,215.7,2021-08-09,NA,4,"Daily record reached in 2012","4018642","WATROUS+EAST",1994,2026
"BUI","04-08",2001-04-08,NA,NA,25.2,2021-04-08,NA,215.7,2021-08-09,NA,4,"Daily record reached in 2021","4018642","WATROUS+EAST",1994,2026
"BUI","04-09",2001-04-09,NA,NA,26.6,2021-04-09,NA,215.7,2021-08-09,NA,4,"Daily record reached in 2021","4018642","WATROUS+EAST",1994,2026
"BUI","04-10",2001-04-10,NA,NA,30.8,2021-04-10,NA,215.7,2021-08-09,NA,4,"Daily record reached in 2021","4018642","WATROUS+EAST",1994,2026
"BUI","04-11",2001-04-11,NA,NA,30.9,2021-04-11,NA,215.7,2021-08-09,NA,4,"Daily record reached in 2021","4018642","WATROUS+EAST",1994,2026
"BUI","04-12",2001-04-12,17,NA,17,2012-04-12,NA,215.7,2021-08-09,NA,4,"Daily record reached in 2012","4018642","WATROUS+EAST",1994,2026
"BUI","04-13",2001-04-13,17.5,NA,17.5,2012-04-13,NA,215.7,2021-08-09,NA,4,"Daily record reached in 2012","4018642","WATROUS+EAST",1994,2026
"BUI","04-14",2001-04-14,18.5,0.848528137423859,19.1,2012-04-14,NA,215.7,2021-08-09,NA,4,"Daily record reached in 2012","4018642","WATROUS+EAST",1994,2026
