"variable","MD","PLOT_DATE","clim_mean","clim_sd","clim_max","clim_max_date","value","rec_all_val","rec_all_date","value_record","MONTH","hover_histmax","AES","NAME","por_start","por_end"
"BUI","04-01",2001-04-01,NA,NA,NA,NA,NA,380.4,2003-09-15,NA,4,"Daily record reached in NA","2100LRP","DAWSON",1995,2026
"BUI","04-02",2001-04-02,NA,NA,NA,NA,NA,380.4,2003-09-15,NA,4,"Daily record reached in NA","2100LRP","DAWSON",1995,2026
"BUI","04-03",2001-04-03,NA,NA,NA,NA,NA,380.4,2003-09-15,NA,4,"Daily record reached in NA","2100LRP","DAWSON",1995,2026
"BUI","04-04",2001-04-04,NA,NA,NA,NA,NA,380.4,2003-09-15,NA,4,"Daily record reached in NA","2100LRP","DAWSON",1995,2026
"BUI","04-05",2001-04-05,NA,NA,NA,NA,NA,380.4,2003-09-15,NA,4,"Daily record reached in NA","2100LRP","DAWSON",1995,2026
"BUI","04-06",2001-04-06,NA,NA,NA,NA,NA,380.4,2003-09-15,NA,4,"Daily record reached in NA","2100LRP","DAWSON",1995,2026
"BUI","04-07",2001-04-07,NA,NA,NA,NA,NA,380.4,2003-09-15,NA,4,"Daily record reached in NA","2100LRP","DAWSON",1995,2026
"BUI","04-08",2001-04-08,NA,NA,NA,NA,NA,380.4,2003-09-15,NA,4,"Daily record reached in NA","2100LRP","DAWSON",1995,2026
"BUI","04-09",2001-04-09,NA,NA,NA,NA,NA,380.4,2003-09-15,NA,4,"Daily record reached in NA","2100LRP","DAWSON",1995,2026
"BUI","04-10",2001-04-10,NA,NA,NA,NA,NA,380.4,2003-09-15,NA,4,"Daily record reached in NA","2100LRP","DAWSON",1995,2026
"BUI","04-11",2001-04-11,NA,NA,NA,NA,NA,380.4,2003-09-15,NA,4,"Daily record reached in NA","2100LRP","DAWSON",1995,2026
"BUI","04-12",2001-04-12,10.8,NA,10.8,2016-04-12,NA,380.4,2003-09-15,NA,4,"Daily record reached in 2016","2100LRP","DAWSON",1995,2026
"BUI","04-13",2001-04-13,11,NA,11,2016-04-13,NA,380.4,2003-09-15,NA,4,"Daily record reached in 2016","2100LRP","DAWSON",1995,2026
"BUI","04-14",2001-04-14,11.3,NA,11.3,2016-04-14,NA,380.4,2003-09-15,NA,4,"Daily record reached in 2016","2100LRP","DAWSON",1995,2026
"BUI","04-15",2001-04-15,12.5,NA,12.5,2016-04-15,NA,380.4,2003-09-15,NA,4,"Daily record reached in 2016","2100LRP","DAWSON",1995,2026
"BUI","04-16",2001-04-16,14.2,NA,14.2,2016-04-16,NA,380.4,2003-09-15,NA,4,"Daily record reached in 2016","2100LRP","DAWSON",1995,2026
"BUI","04-17",2001-04-17,15.5,NA,15.5,2016-04-17,NA,380.4,2003-09-15,NA,4,"Daily record reached in 2016","2100LRP","DAWSON",1995,2026
"BUI","04-18",2001-04-18,10,NA,10,2016-04-18,NA,380.4,2003-09-15,NA,4,"Daily record reached in 2016","2100LRP","DAWSON",1995,2026
"BUI","04-19",2001-04-19,11.7,NA,11.7,2016-04-19,NA,380.4,2003-09-15,NA,4,"Daily record reached in 2016","2100LRP","DAWSON",1995,2026
"BUI","04-20",2001-04-20,20.95,9.6873629022557,27.8,2015-04-20,NA,380.4,2003-09-15,NA,4,"Daily record reached in 2015","2100LRP","DAWSON",1995,2026
"BUI","04-21",2001-04-21,20.45,5.58614357137372,24.4,2015-04-21,NA,380.4,2003-09-15,NA,4,"Daily record reached in 2015","2100LRP","DAWSON",1995,2026
"BUI","04-22",2001-04-22,15.925,7.66219072241527,25.1,2015-04-22,NA,380.4,2003-09-15,NA,4,"Daily record reached in 2015","2100LRP","DAWSON",1995,2026
"BUI","04-23",2001-04-23,16.84,6.74522053012353,26.5,2015-04-23,NA,380.4,2003-09-15,NA,4,"Daily record reached in 2015","2100LRP","DAWSON",1995,2026
"BUI","04-24",2001-04-24,18.66,6.75225888129298,27.9,2015-04-24,NA,380.4,2003-09-15,NA,4,"Daily record reached in 2015","2100LRP","DAWSON",1995,2026
"BUI","04-25",2001-04-25,20.3166666666667,6.36503469485176,29.5,2015-04-25,NA,380.4,2003-09-15,NA,4,"Daily record reached in 2015","2100LRP","DAWSON",1995,2026
