"MD","variable","PLOT_DATE","clim_mean","clim_min","clim_max","clim_sd","q10","q25","q75","q90","value","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","MONTH","clim_max_date","hover_value","hover_band","hover_histmax","hover_mean","AES","NAME","por_start","por_end"
"04-01","TMAX",2001-04-01,-12.795,-23.8,-4,6.59405433944693,-20.29,-19.35,-7.275,-5.12,-8,"NA (ECCC AES NA; station_id 26869)",NA,26869,"",4,2020-04-01,"DATE: Apr-01<br>Value: -8.0 °C<br>Anomaly: +4.8 °C<br>Weather station: NA (ECCC AES NA; station_id 26869)","DATE: Apr-01<br><b>Maximum temperature</b><br>10-90 percentile<br>-20.3 to -5.1 °C","Historical daily maximum<br>-4.0 °C<br>2020-04-01","DATE: Apr-01</b><br>Normal: -12.8 °C<br>Period: 1991-2020","2100660","IVVAVIK+NAT.+PARK",1995,2026
"04-01","TMIN",2001-04-01,-23.975,-36.4,-13.3,6.18145571340943,-30.35,-28.35,-20.175,-16.65,-20.2,"NA (ECCC AES NA; station_id 26869)",NA,26869,"",4,2018-04-01,"DATE: Apr-01<br>Value: -20.2 °C<br>Anomaly: +3.8 °C<br>Weather station: NA (ECCC AES NA; station_id 26869)","DATE: Apr-01<br><b>Minimum temperature</b><br>10-90 percentile<br>-30.3 to -16.6 °C","Historical daily maximum<br>-13.3 °C<br>2018-04-01","DATE: Apr-01</b><br>Normal: -24.0 °C<br>Period: 1991-2020","2100660","IVVAVIK+NAT.+PARK",1995,2026
"04-01","VPD",2001-04-01,0.156422135789206,0.0599894370706245,0.334945215582935,0.0968631614417428,0.0622424659117132,0.0687569079661847,0.229501192398246,0.301231295612125,0.21189463958311,"NA (ECCC AES NA; station_id 26869)",NA,26869,"",4,2020-04-01,"DATE: Apr-01<br>Value: 0.2 kPa<br>Anomaly: +0.1 kPa<br>Weather station: NA (ECCC AES NA; station_id 26869)","DATE: Apr-01<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.1 to 0.3 kPa","Historical daily maximum<br>0.3 kPa<br>2020-04-01","DATE: Apr-01</b><br>Normal: 0.2 kPa<br>Period: 1991-2020","2100660","IVVAVIK+NAT.+PARK",1995,2026
"04-02","TMAX",2001-04-02,-12.08,-22.9,0.2,6.12755639455249,-19.57,-15.8,-9,-4.39,-17.3,"NA (ECCC AES NA; station_id 26869)",NA,26869,"",4,2008-04-02,"DATE: Apr-02<br>Value: -17.3 °C<br>Anomaly: -5.2 °C<br>Weather station: NA (ECCC AES NA; station_id 26869)","DATE: Apr-02<br><b>Maximum temperature</b><br>10-90 percentile<br>-19.6 to -4.4 °C","Historical daily maximum<br>0.2 °C<br>2008-04-02","DATE: Apr-02</b><br>Normal: -12.1 °C<br>Period: 1991-2020","2100660","IVVAVIK+NAT.+PARK",1995,2026
"04-02","TMIN",2001-04-02,-22.5809523809524,-35.7,-10.8,6.83714992139408,-31.8,-25.5,-19.7,-13.2,-26.5,"NA (ECCC AES NA; station_id 26869)",NA,26869,"",4,2008-04-02,"DATE: Apr-02<br>Value: -26.5 °C<br>Anomaly: -3.9 °C<br>Weather station: NA (ECCC AES NA; station_id 26869)","DATE: Apr-02<br><b>Minimum temperature</b><br>10-90 percentile<br>-31.8 to -13.2 °C","Historical daily maximum<br>-10.8 °C<br>2008-04-02","DATE: Apr-02</b><br>Normal: -22.6 °C<br>Period: 1991-2020","2100660","IVVAVIK+NAT.+PARK",1995,2026
"04-02","VPD",2001-04-02,0.154097027062652,0.0563347314786778,0.360983957563078,0.0884310149586351,0.0670228359200484,0.0909660888663983,0.180524367914556,0.288102309438143,0.0874071256890233,"NA (ECCC AES NA; station_id 26869)",NA,26869,"",4,2006-04-02,"DATE: Apr-02<br>Value: 0.1 kPa<br>Anomaly: -0.1 kPa<br>Weather station: NA (ECCC AES NA; station_id 26869)","DATE: Apr-02<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.1 to 0.3 kPa","Historical daily maximum<br>0.4 kPa<br>2006-04-02","DATE: Apr-02</b><br>Normal: 0.2 kPa<br>Period: 1991-2020","2100660","IVVAVIK+NAT.+PARK",1995,2026
"04-03","TMAX",2001-04-03,-10.6105263157895,-19.5,0,5.55816663786441,-17.5,-14.8,-7.9,-4.76,NA,NA,NA,NA,NA,4,1998-04-03,"","DATE: Apr-03<br><b>Maximum temperature</b><br>10-90 percentile<br>-17.5 to -4.8 °C","Historical daily maximum<br>0.0 °C<br>1998-04-03","DATE: Apr-03</b><br>Normal: -10.6 °C<br>Period: 1991-2020","2100660","IVVAVIK+NAT.+PARK",1995,2026
"04-03","TMIN",2001-04-03,-23.675,-35.5,-7.5,6.28748757454041,-29.59,-27.975,-20.725,-17.12,NA,NA,NA,NA,NA,4,2008-04-03,"","DATE: Apr-03<br><b>Minimum temperature</b><br>10-90 percentile<br>-29.6 to -17.1 °C","Historical daily maximum<br>-7.5 °C<br>2008-04-03","DATE: Apr-03</b><br>Normal: -23.7 °C<br>Period: 1991-2020","2100660","IVVAVIK+NAT.+PARK",1995,2026
"04-03","VPD",2001-04-03,0.19040006404021,0.0615492011565152,0.398789773708504,0.0894382836730534,0.0788984892474487,0.11338664830808,0.251341564674791,0.270003939768634,NA,NA,NA,NA,NA,4,1998-04-03,"","DATE: Apr-03<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.1 to 0.3 kPa","Historical daily maximum<br>0.4 kPa<br>1998-04-03","DATE: Apr-03</b><br>Normal: 0.2 kPa<br>Period: 1991-2020","2100660","IVVAVIK+NAT.+PARK",1995,2026
"04-04","TMAX",2001-04-04,-9.51578947368421,-18.4,3,5.71268210581556,-16.52,-12.6,-7.15,-2.88,-6.4,"NA (ECCC AES NA; station_id 26869)",NA,26869,"",4,2008-04-04,"DATE: Apr-04<br>Value: -6.4 °C<br>Anomaly: +3.1 °C<br>Weather station: NA (ECCC AES NA; station_id 26869)","DATE: Apr-04<br><b>Maximum temperature</b><br>10-90 percentile<br>-16.5 to -2.9 °C","Historical daily maximum<br>3.0 °C<br>2008-04-04","DATE: Apr-04</b><br>Normal: -9.5 °C<br>Period: 1991-2020","2100660","IVVAVIK+NAT.+PARK",1995,2026
