"MD","variable","PLOT_DATE","clim_mean","clim_min","clim_max","clim_sd","q10","q25","q75","q90","value","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","MONTH","clim_max_date","hover_value","hover_band","hover_histmax","hover_mean","AES","NAME","por_start","por_end"
"04-01","TMAX",2001-04-01,-8.2,-18.9,6.1,5.6686015452015,-15.85,-11.625,-4.775,-2.48,-8.1,"NA (ECCC AES NA; station_id 26894)",NA,26894,"",4,2008-04-01,"DATE: Apr-01<br>Value: -8.1 °C<br>Anomaly: +0.1 °C<br>Weather station: NA (ECCC AES NA; station_id 26894)","DATE: Apr-01<br><b>Maximum temperature</b><br>10-90 percentile<br>-15.8 to -2.5 °C","Historical daily maximum<br>6.1 °C<br>2008-04-01","DATE: Apr-01</b><br>Normal: -8.2 °C<br>Period: 1991-2020","2100805","OLD+CROW+RCS",1995,2026
"04-01","TMIN",2001-04-01,-22.2958333333333,-32,-6.4,8.02498701971951,-30.15,-28.225,-17.5,-10.48,-29.5,"NA (ECCC AES NA; station_id 26894)",NA,26894,"",4,2019-04-01,"DATE: Apr-01<br>Value: -29.5 °C<br>Anomaly: -7.2 °C<br>Weather station: NA (ECCC AES NA; station_id 26894)","DATE: Apr-01<br><b>Minimum temperature</b><br>10-90 percentile<br>-30.2 to -10.5 °C","Historical daily maximum<br>-6.4 °C<br>2019-04-01","DATE: Apr-01</b><br>Normal: -22.3 °C<br>Period: 1991-2020","2100805","OLD+CROW+RCS",1995,2026
"04-01","VPD",2001-04-01,0.230233367171603,0.0319343575101118,0.583036183221998,0.129210866812643,0.0843314307417864,0.130597467367659,0.292372779073518,0.367443327551702,0.279151975193503,"NA (ECCC AES NA; station_id 26894)",NA,26894,"",4,2008-04-01,"DATE: Apr-01<br>Value: 0.3 kPa<br>Anomaly: +0.0 kPa<br>Weather station: NA (ECCC AES NA; station_id 26894)","DATE: Apr-01<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.1 to 0.4 kPa","Historical daily maximum<br>0.6 kPa<br>2008-04-01","DATE: Apr-01</b><br>Normal: 0.2 kPa<br>Period: 1991-2020","2100805","OLD+CROW+RCS",1995,2026
"04-02","TMAX",2001-04-02,-9.05,-17.6,4,5.59541737962182,-16.06,-14.6,-5.575,-2.96,-15.5,"NA (ECCC AES NA; station_id 26894)",NA,26894,"",4,2008-04-02,"DATE: Apr-02<br>Value: -15.5 °C<br>Anomaly: -6.4 °C<br>Weather station: NA (ECCC AES NA; station_id 26894)","DATE: Apr-02<br><b>Maximum temperature</b><br>10-90 percentile<br>-16.1 to -3.0 °C","Historical daily maximum<br>4.0 °C<br>2008-04-02","DATE: Apr-02</b><br>Normal: -9.0 °C<br>Period: 1991-2020","2100805","OLD+CROW+RCS",1995,2026
"04-02","TMIN",2001-04-02,-23.6791666666667,-37.2,-4.4,7.47901290665894,-31.72,-29.025,-19.075,-15.87,-24.1,"NA (ECCC AES NA; station_id 26894)",NA,26894,"",4,2008-04-02,"DATE: Apr-02<br>Value: -24.1 °C<br>Anomaly: -0.4 °C<br>Weather station: NA (ECCC AES NA; station_id 26894)","DATE: Apr-02<br><b>Minimum temperature</b><br>10-90 percentile<br>-31.7 to -15.9 °C","Historical daily maximum<br>-4.4 °C<br>2008-04-02","DATE: Apr-02</b><br>Normal: -23.7 °C<br>Period: 1991-2020","2100805","OLD+CROW+RCS",1995,2026
"04-02","VPD",2001-04-02,0.224598469264087,0.0390944614853818,0.454420625379621,0.126524578826329,0.0805493544119878,0.128859673212591,0.308573675534064,0.404866410039218,0.0959980090886063,"NA (ECCC AES NA; station_id 26894)",NA,26894,"",4,2025-04-02,"DATE: Apr-02<br>Value: 0.1 kPa<br>Anomaly: -0.1 kPa<br>Weather station: NA (ECCC AES NA; station_id 26894)","DATE: Apr-02<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.1 to 0.4 kPa","Historical daily maximum<br>0.5 kPa<br>2025-04-02","DATE: Apr-02</b><br>Normal: 0.2 kPa<br>Period: 1991-2020","2100805","OLD+CROW+RCS",1995,2026
"04-03","TMAX",2001-04-03,-9.09583333333333,-17.1,4.4,5.66541599582918,-14.97,-13.625,-5,-1.18,-12,"NA (ECCC AES NA; station_id 26894)",NA,26894,"",4,2008-04-03,"DATE: Apr-03<br>Value: -12.0 °C<br>Anomaly: -2.9 °C<br>Weather station: NA (ECCC AES NA; station_id 26894)","DATE: Apr-03<br><b>Maximum temperature</b><br>10-90 percentile<br>-15.0 to -1.2 °C","Historical daily maximum<br>4.4 °C<br>2008-04-03","DATE: Apr-03</b><br>Normal: -9.1 °C<br>Period: 1991-2020","2100805","OLD+CROW+RCS",1995,2026
"04-03","TMIN",2001-04-03,-22.5541666666667,-34.2,0.1,7.83359427564144,-29.49,-28.225,-18.7,-13.12,-28,"NA (ECCC AES NA; station_id 26894)",NA,26894,"",4,2008-04-03,"DATE: Apr-03<br>Value: -28.0 °C<br>Anomaly: -5.4 °C<br>Weather station: NA (ECCC AES NA; station_id 26894)","DATE: Apr-03<br><b>Minimum temperature</b><br>10-90 percentile<br>-29.5 to -13.1 °C","Historical daily maximum<br>0.1 °C<br>2008-04-03","DATE: Apr-03</b><br>Normal: -22.6 °C<br>Period: 1991-2020","2100805","OLD+CROW+RCS",1995,2026
"04-03","VPD",2001-04-03,0.208978489680285,0.0490436901166834,0.474854676404804,0.125444962686522,0.0801738294534812,0.110433297300401,0.272078979166833,0.381373340813832,0.182847856355908,"NA (ECCC AES NA; station_id 26894)",NA,26894,"",4,1998-04-03,"DATE: Apr-03<br>Value: 0.2 kPa<br>Anomaly: 0.0 kPa<br>Weather station: NA (ECCC AES NA; station_id 26894)","DATE: Apr-03<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.1 to 0.4 kPa","Historical daily maximum<br>0.5 kPa<br>1998-04-03","DATE: Apr-03</b><br>Normal: 0.2 kPa<br>Period: 1991-2020","2100805","OLD+CROW+RCS",1995,2026
"04-04","TMAX",2001-04-04,-7.29166666666667,-16.7,8,6.09803365788953,-13.48,-11.35,-4.75,-1.06,-5,"NA (ECCC AES NA; station_id 26894)",NA,26894,"",4,1998-04-04,"DATE: Apr-04<br>Value: -5.0 °C<br>Anomaly: +2.3 °C<br>Weather station: NA (ECCC AES NA; station_id 26894)","DATE: Apr-04<br><b>Maximum temperature</b><br>10-90 percentile<br>-13.5 to -1.1 °C","Historical daily maximum<br>8.0 °C<br>1998-04-04","DATE: Apr-04</b><br>Normal: -7.3 °C<br>Period: 1991-2020","2100805","OLD+CROW+RCS",1995,2026
