FROM,TO,N_DAYS,ECCC_AES,ECCC_STATION_ID,ECCC_STATION_NAME,ECCC_START,ECCC_END,ECCC_DIST_KM,ECCC_MATCH_TYPE
2000-01-01,2026-05-22,9639,"",27492,"",,,,""
2026-05-23,2026-05-24,2,301A001,27492,EDMONTON STONY PLAIN CS,1997,2026,0.660632479532067,same name
2026-05-25,2026-05-28,4,301222F,1870,EDMONTON STONY PLAIN UA,1966,2026,0.660632479532067,same cleaned name
2026-05-29,2026-05-31,3,301A001,27492,EDMONTON STONY PLAIN CS,1997,2026,0.660632479532067,same name
2026-06-01,2026-06-04,4,301222F,1870,EDMONTON STONY PLAIN UA,1966,2026,0.660632479532067,same cleaned name
2026-06-05,2026-06-07,3,301A001,27492,EDMONTON STONY PLAIN CS,1997,2026,0.660632479532067,same name
2026-06-08,2026-06-11,4,301222F,1870,EDMONTON STONY PLAIN UA,1966,2026,0.660632479532067,same cleaned name
2026-06-12,2026-06-14,3,301A001,27492,EDMONTON STONY PLAIN CS,1997,2026,0.660632479532067,same name
2026-06-15,2026-06-18,4,301222F,1870,EDMONTON STONY PLAIN UA,1966,2026,0.660632479532067,same cleaned name
2026-06-19,2026-06-21,3,301A001,27492,EDMONTON STONY PLAIN CS,1997,2026,0.660632479532067,same name
2026-06-22,2026-06-25,4,301222F,1870,EDMONTON STONY PLAIN UA,1966,2026,0.660632479532067,same cleaned name
2026-06-26,2026-06-28,3,301A001,27492,EDMONTON STONY PLAIN CS,1997,2026,0.660632479532067,same name
2026-06-29,2026-07-02,4,301222F,1870,EDMONTON STONY PLAIN UA,1966,2026,0.660632479532067,same cleaned name
2026-07-03,2026-07-05,3,301A001,27492,EDMONTON STONY PLAIN CS,1997,2026,0.660632479532067,same name
2026-07-06,2026-07-09,4,301222F,1870,EDMONTON STONY PLAIN UA,1966,2026,0.660632479532067,same cleaned name
2026-07-10,2026-07-12,3,301A001,27492,EDMONTON STONY PLAIN CS,1997,2026,0.660632479532067,same name
2026-07-13,2026-07-14,2,301222F,1870,EDMONTON STONY PLAIN UA,1966,2026,0.660632479532067,same cleaned name
2026-07-15,2026-08-06,23,301A001,27492,EDMONTON STONY PLAIN CS,1997,2026,0.660632479532067,same name
