FROM,TO,N_DAYS,ECCC_AES,ECCC_STATION_ID,ECCC_STATION_NAME,ECCC_START,ECCC_END,ECCC_DIST_KM,ECCC_MATCH_TYPE
1954-06-30,1955-01-31,216,,4132,"",,,,""
1955-02-01,1955-02-13,13,,50840,"",,,,""
1955-02-14,1985-02-05,10950,,4132,"",,,,""
1985-02-06,1985-02-06,1,,50840,"",,,,""
1985-02-07,1992-11-30,2854,,4132,"",,,,""
1992-12-01,1992-12-06,6,,50840,"",,,,""
1992-12-07,1992-12-07,1,,4132,"",,,,""
1992-12-08,1992-12-09,2,,50840,"",,,,""
1992-12-10,1992-12-14,5,,4132,"",,,,""
1992-12-15,1992-12-15,1,,50840,"",,,,""
1992-12-16,1992-12-27,12,,4132,"",,,,""
1992-12-28,1992-12-28,1,,50840,"",,,,""
1992-12-29,1992-12-29,1,,4132,"",,,,""
1992-12-30,1992-12-30,1,,50840,"",,,,""
1992-12-31,1993-01-02,3,,4132,"",,,,""
1993-01-03,1993-01-03,1,,50840,"",,,,""
1993-01-04,1993-01-08,5,,4132,"",,,,""
1993-01-09,1993-01-09,1,,50840,"",,,,""
1993-01-10,1993-01-10,1,,4132,"",,,,""
1993-01-11,1993-01-11,1,,50840,"",,,,""
1993-01-12,1993-01-12,1,,4132,"",,,,""
1993-01-13,1993-01-13,1,,50840,"",,,,""
1993-01-14,1993-01-14,1,,4132,"",,,,""
1993-01-15,1993-01-16,2,,50840,"",,,,""
1993-01-17,1993-01-20,4,,4132,"",,,,""
1993-01-21,1993-01-22,2,,50840,"",,,,""
1993-01-23,1993-01-24,2,,4132,"",,,,""
1993-01-25,1993-01-25,1,,50840,"",,,,""
1993-01-26,1993-01-27,2,,4132,"",,,,""
1993-01-28,1993-01-28,1,,50840,"",,,,""
1993-01-29,1993-02-02,5,,4132,"",,,,""
1993-02-03,1993-02-04,2,,50840,"",,,,""
1993-02-05,1993-02-08,4,,4132,"",,,,""
1993-02-09,1993-02-09,1,,50840,"",,,,""
1993-02-10,1993-02-12,3,,4132,"",,,,""
1993-02-13,1993-02-13,1,,50840,"",,,,""
1993-02-14,1993-02-20,7,,4132,"",,,,""
1993-02-21,1993-02-21,1,,50840,"",,,,""
1993-02-22,1993-02-28,7,,4132,"",,,,""
1993-03-01,1993-03-01,1,,50840,"",,,,""
1993-03-02,1993-03-03,2,,4132,"",,,,""
1993-03-04,1993-03-04,1,,50840,"",,,,""
1993-03-05,1993-03-06,2,,4132,"",,,,""
1993-03-07,1993-03-07,1,,50840,"",,,,""
1993-03-08,1993-03-15,8,,4132,"",,,,""
1993-03-16,1993-03-16,1,,50840,"",,,,""
1993-03-17,1993-03-19,3,,4132,"",,,,""
1993-03-20,1993-03-20,1,,50840,"",,,,""
1993-03-21,1993-03-21,1,,4132,"",,,,""
1993-03-22,1993-03-22,1,,50840,"",,,,""
1993-03-23,1993-03-24,2,,4132,"",,,,""
1993-03-25,1993-03-25,1,,50840,"",,,,""
1993-03-26,1993-04-14,20,,4132,"",,,,""
1993-04-15,1993-04-15,1,,50840,"",,,,""
1993-04-16,1993-04-19,4,,4132,"",,,,""
1993-04-20,1993-04-20,1,,50840,"",,,,""
1993-04-21,1993-04-21,1,,4132,"",,,,""
1993-04-22,1993-04-22,1,,50840,"",,,,""
1993-04-23,1993-05-13,21,,4132,"",,,,""
1993-05-14,1993-05-14,1,,50840,"",,,,""
1993-05-15,1993-05-15,1,,4132,"",,,,""
1993-05-16,1993-05-16,1,,50840,"",,,,""
1993-05-17,1993-06-03,18,,4132,"",,,,""
1993-06-04,1993-06-04,1,,50840,"",,,,""
