FROM,TO,N_DAYS,ECCC_AES,ECCC_STATION_ID,ECCC_STATION_NAME,ECCC_START,ECCC_END,ECCC_DIST_KM,ECCC_MATCH_TYPE
1994-02-01,1999-06-30,1976,"",5957,"",,,,""
1999-07-01,2000-03-31,275,"",10875,"",,,,""
2000-04-01,2000-05-31,61,"",5957,"",,,,""
2000-06-01,2001-01-31,245,"",10875,"",,,,""
2001-02-01,2001-05-18,107,"",5957,"",,,,""
2001-05-19,2001-05-20,2,"",10875,"",,,,""
2001-05-21,2001-08-17,89,"",5957,"",,,,""
2001-08-18,2001-08-19,2,"",10875,"",,,,""
2001-08-20,2001-09-15,27,"",5957,"",,,,""
2001-09-16,2001-09-21,6,"",10875,"",,,,""
2001-09-22,2002-01-31,132,"",5957,"",,,,""
2002-02-01,2004-03-30,789,"",10875,"",,,,""
2004-03-31,2004-04-30,31,"",5957,"",,,,""
2004-05-01,2026-05-22,8057,"",10875,"",,,,""
2026-05-23,2026-08-06,76,707DBD4,10875,LA TUQUE,1994,2026,1.08261055268616,same name
